assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_2,expected_assists_2,expected_goal_involvements_2,expected_goals_2,expected_goals_conceded_2,goals_conceded_2,goals_scored_2,ict_index_2,influence_2,creativity_2,threat_2,minutes_2,own_goals_2,penalties_missed_2,penalties_saved_2,red_cards_2,yellow_cards_2,saves_2,starts_2,team_a_score_2,team_h_score_2,total_points_2,goals_2,shots_2,xG_2,xA_2,assists_x_2,assists_y_2,key_passes_2,npg_2,npxG_2,xGChain_2,xGBuildup_2,xP_2,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_4,expected_assists_4,expected_goal_involvements_4,expected_goals_4,expected_goals_conceded_4,goals_conceded_4,goals_scored_4,ict_index_4,influence_4,creativity_4,threat_4,minutes_4,own_goals_4,penalties_missed_4,penalties_saved_4,red_cards_4,yellow_cards_4,saves_4,starts_4,team_a_score_4,team_h_score_4,total_points_4,goals_4,shots_4,xG_4,xA_4,assists_x_4,assists_y_4,key_passes_4,npg_4,npxG_4,xGChain_4,xGBuildup_4,xP_4,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers
0,0,14,0,1.0,436,0.0,0.0,0.0,1.22,6,1,0,2.1,19.8,2024-08-17,90,False,3,0,0,0,0,1,0,44981,1,1,1,0.0,2,0,0,0,4.5,True,0,0,0,0.0,90,Nottingham Forest,Bournemouth,1,1,26607,2024,666387,0.0,0,0,0,0.0,0.1246510371565818,0.1246510371565818,Nottingham Forest,3,4,1,1.9,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
0,1,28,1,10.8,436,0.11,0.11,0.0,0.14,18,0,0,2.4,9.0,2024-08-24,90,False,17,0,0,0,0,2,0,47827,1,1,0,4.0,7,-1154,2005,3159,4.5,False,0,0,0,0.0,90,Southampton,Nottingham Forest,0,1,26616,2024,668056,0.0431173890829086,0,1,0,0.0,0.0229019001126289,0.0229019001126289,Nottingham Forest,4,1,2,5.0,DEF,0.0,0.0,0.0,0.0,1.22,1.0,0.0,2.1,19.8,1.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2846.0,-0.22347017815646786
0,0,12,0,1.3,436,0.01,0.01,0.0,0.74,29,1,0,3.2,29.0,2024-08-31,90,False,20,0,0,0,0,3,0,61601,1,1,1,2.0,2,8264,14119,5855,4.5,True,0,0,0,0.0,90,Nottingham Forest,Wolverhampton Wanderers,1,1,26627,2024,671845,0.0,0,0,0,0.0,0.7361162900924683,0.7361162900924683,Nottingham Forest,3,4,3,3.7,DEF,1.0,0.11,0.11,0.0,0.14,0.0,0.0,2.4,9.0,10.8,4.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.04,0.0,0.0,1.0,0.0,0.0,0.02,0.02,5.0,0.5,0.06,0.06,0.0,0.68,0.5,0.0,2.25,14.4,5.9,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,4.5,0.0,0.0,0.0,0.02,0.0,0.0,0.5,0.0,0.0,0.07,0.07,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13774.0,0.4137378592169821
0,0,22,1,0.0,436,0.0,0.0,0.0,0.94,36,0,0,1.5,14.6,2024-09-14,90,False,12,0,0,0,0,4,0,56736,1,1,0,0.0,6,-5349,4432,9781,4.5,False,0,0,0,0.0,90,Liverpool,Nottingham Forest,0,1,26635,2024,673782,0.0,0,0,0,0.0,0.0,0.0,Nottingham Forest,4,5,4,3.7,DEF,0.0,0.01,0.01,0.0,0.74,1.0,0.0,3.2,29.0,1.3,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.74,3.7,0.5,0.06,0.06,0.0,0.44,0.5,0.0,2.8,19.0,6.05,3.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,4.5,0.0,0.0,0.0,0.02,0.0,0.0,0.5,0.0,0.0,0.38,0.38,4.35,0.33,0.04,0.04,0.0,0.7,0.67,0.0,2.57,19.27,4.37,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.67,3.67,0.0,0.0,0.0,0.01,0.0,0.0,0.33,0.0,0.0,0.29,0.29,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4865.0,-0.376345599099416
0,0,10,0,10.2,436,0.01,0.01,0.0,0.94,42,2,0,4.8,37.6,2024-09-22,90,False,5,0,0,0,0,5,0,75940,1,2,2,0.0,1,14492,18477,3985,4.5,False,0,0,0,0.0,90,Brighton,Nottingham Forest,2,2,26650,2024,676315,0.0691234245896339,0,1,0,0.0,0.6080609560012817,0.5389375686645508,Nottingham Forest,4,3,5,4.0,DEF,1.0,0.0,0.0,0.0,0.94,0.0,0.0,1.5,14.6,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.5,0.0,0.0,0.0,0.84,0.5,0.0,2.35,21.8,0.65,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.37,3.7,0.67,0.04,0.04,0.0,0.61,0.33,0.0,2.37,17.53,4.03,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.33,5.0,0.0,0.0,0.0,0.01,0.0,0.0,0.33,0.0,0.0,0.25,0.25,4.13,0.5,0.03,0.03,0.0,0.76,0.5,0.0,2.3,18.1,3.28,1.5,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,4.25,0.0,0.0,0.0,0.01,0.0,0.0,0.25,0.0,0.0,0.22,0.22,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19204.0,0.6451785237289644
0,0,5,0,15.7,436,0.15,0.15,0.0,1.33,59,1,0,3.2,15.8,2024-09-28,90,False,9,0,0,0,0,6,0,82285,1,1,0,0.0,1,5546,15120,9574,4.5,True,1,0,0,0.0,90,Nottingham Forest,Fulham,0,1,26653,2024,677775,0.0819641053676605,0,1,0,0.0,0.0819641053676605,0.0,Nottingham Forest,3,4,6,2.7,DEF,0.0,0.01,0.01,0.0,0.94,2.0,0.0,4.8,37.6,10.2,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.07,0.0,0.0,1.0,0.0,0.0,0.61,0.54,4.0,0.5,0.0,0.0,0.0,0.94,1.0,0.0,3.15,26.1,5.1,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0,3.5,0.0,0.0,0.0,0.03,0.0,0.0,0.5,0.0,0.0,0.3,0.27,3.85,0.33,0.01,0.01,0.0,0.87,1.0,0.0,3.17,27.07,3.83,0.67,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,1.0,3.0,0.0,0.0,0.0,0.02,0.0,0.0,0.33,0.0,0.0,0.45,0.43,3.8,0.5,0.03,0.03,0.0,0.69,0.75,0.0,2.98,22.55,5.58,1.5,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.25,0.75,4.0,0.0,0.0,0.0,0.03,0.0,0.0,0.5,0.0,0.0,0.34,0.32,4.1,0.4,0.03,0.03,0.0,0.8,0.8,0.0,2.8,22.0,4.66,1.2,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,0.8,3.6,0.0,0.0,0.0,0.02,0.0,0.0,0.4,0.0,0.0,0.3,0.28,3.66,6345.0,0.2245889689803191
0,0,8,0,13.2,436,0.0,0.06,0.06,2.27,65,1,0,4.1,18.4,2024-10-06,90,False,6,0,0,0,0,7,0,77683,1,1,1,9.0,2,-4817,2460,7277,4.5,False,0,0,2,0.0524149164557457,90,Chelsea,Nottingham Forest,1,1,26668,2024,680153,0.0144126564264297,0,1,0,0.0524149164557457,0.0341999679803848,0.0,Nottingham Forest,4,4,7,2.5,DEF,0.0,0.15,0.15,0.0,1.33,1.0,0.0,3.2,15.8,15.7,0.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.08,0.0,0.0,1.0,0.0,0.0,0.08,0.0,2.7,0.0,0.08,0.08,0.0,1.14,1.5,0.0,4.0,26.7,12.95,0.0,90.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.5,1.0,1.0,0.0,0.0,0.0,0.08,0.0,0.0,1.0,0.0,0.0,0.35,0.27,3.35,0.33,0.05,0.05,0.0,1.07,1.0,0.0,3.17,22.67,8.63,0.0,90.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.33,0.67,2.67,0.0,0.0,0.0,0.05,0.0,0.0,0.67,0.0,0.0,0.23,0.18,3.47,0.25,0.04,0.04,0.0,0.99,1.0,0.0,3.18,24.25,6.8,0.5,90.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,1.25,0.75,2.5,0.0,0.0,0.0,0.04,0.0,0.0,0.5,0.0,0.0,0.36,0.32,3.53,0.4,0.06,0.06,0.0,0.82,0.8,0.0,3.02,21.2,7.6,1.2,90.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.2,0.6,3.4,0.0,0.0,0.0,0.04,0.0,0.0,0.6,0.0,0.0,0.29,0.26,3.82,-4602.0,-0.49471089658005546
0,2,31,1,1.8,436,0.01,0.03,0.02,1.12,77,0,0,4.5,26.0,2024-10-21,90,False,7,0,0,0,0,8,0,82005,1,0,1,17.0,8,2756,6257,3501,4.5,True,0,0,1,0.021996496245265,90,Nottingham Forest,Crystal Palace,1,0,26677,2024,682436,0.0,0,0,0,0.021996496245265,0.9014458060264589,0.9014458060264589,Nottingham Forest,3,4,8,3.7,DEF,0.0,0.0,0.06,0.06,2.27,1.0,0.0,4.1,18.4,13.2,9.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.05,0.01,0.0,0.0,1.0,0.0,0.05,0.03,0.0,2.5,0.0,0.08,0.1,0.03,1.8,1.0,0.0,3.65,17.1,14.45,4.5,90.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.5,1.5,0.0,1.0,0.03,0.05,0.0,0.0,1.0,0.0,0.03,0.06,0.0,2.6,0.0,0.05,0.07,0.02,1.51,1.33,0.0,4.03,23.93,13.03,3.0,90.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.33,1.0,1.33,0.0,0.67,0.02,0.06,0.0,0.0,1.0,0.0,0.02,0.24,0.18,3.07,0.25,0.04,0.06,0.02,1.37,1.0,0.0,3.4,21.6,9.77,2.25,90.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,1.25,0.75,2.5,0.0,0.5,0.01,0.04,0.0,0.0,0.75,0.0,0.01,0.18,0.13,3.23,0.2,0.03,0.05,0.01,1.24,1.0,0.0,3.36,23.08,8.08,2.2,90.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.2,0.8,2.4,0.0,0.4,0.01,0.03,0.0,0.0,0.6,0.0,0.01,0.29,0.26,3.32,4322.0,0.282434925189588
0,0,12,0,21.3,436,0.08,0.25,0.17,0.76,88,1,0,6.3,30.8,2024-10-25,90,False,11,0,0,0,0,9,0,95516,1,3,1,11.0,2,11911,14377,2466,4.5,False,0,0,2,0.1770516186952591,90,Leicester,Nottingham Forest,1,3,26682,2024,682637,0.627815842628479,0,2,0,0.1770516186952591,0.0575908683240413,0.0378841198980808,Nottingham Forest,4,1,9,4.0,DEF,1.0,0.01,0.03,0.02,1.12,0.0,0.0,4.5,26.0,1.8,17.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.9,0.9,3.7,0.5,0.0,0.04,0.04,1.7,0.5,0.0,4.3,22.2,7.5,13.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,5.0,0.0,1.5,0.04,0.01,0.0,0.0,0.5,0.0,0.04,0.47,0.45,3.1,0.33,0.05,0.08,0.03,1.57,0.67,0.0,3.93,20.07,10.23,8.67,90.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.67,0.67,3.67,0.0,1.0,0.02,0.03,0.0,0.0,0.67,0.0,0.02,0.34,0.3,2.97,0.25,0.04,0.06,0.02,1.42,1.0,0.0,4.15,24.45,10.22,6.5,90.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,1.0,1.0,3.0,0.0,0.75,0.02,0.04,0.0,0.0,0.75,0.0,0.02,0.41,0.36,3.22,0.4,0.03,0.05,0.02,1.32,0.8,0.0,3.62,22.48,8.18,5.2,90.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.0,0.8,3.6,0.0,0.6,0.01,0.03,0.0,0.0,0.6,0.0,0.01,0.33,0.29,3.32,13511.0,0.7071780561657662
0,0,24,1,11.8,436,0.03,0.11,0.08,0.13,97,0,0,2.7,11.2,2024-11-02,90,False,19,0,0,0,0,10,0,122869,1,0,3,4.0,6,25149,29630,4481,4.5,True,0,0,2,0.0609206296503543,90,Nottingham Forest,West Ham,3,0,26698,2024,685055,0.0683993771672248,0,1,0,0.0609206296503543,0.2319479435682296,0.1635485738515854,Nottingham Forest,2,4,10,5.3,DEF,0.0,0.08,0.25,0.17,0.76,1.0,0.0,6.3,30.8,21.3,11.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,2.0,0.18,0.63,0.0,0.0,2.0,0.0,0.18,0.06,0.04,4.0,0.5,0.04,0.14,0.1,0.94,0.5,0.0,5.4,28.4,11.55,14.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0,5.0,0.0,1.5,0.1,0.31,0.0,0.0,1.0,0.0,0.1,0.48,0.47,3.85,0.33,0.03,0.11,0.08,1.38,0.67,0.0,4.97,25.07,12.1,12.33,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,1.0,4.0,0.0,1.67,0.08,0.21,0.0,0.0,1.0,0.0,0.08,0.33,0.31,3.4,0.25,0.06,0.12,0.06,1.37,0.75,0.0,4.53,22.75,13.0,9.25,90.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,1.25,0.75,3.25,0.0,1.25,0.06,0.18,0.0,0.0,1.0,0.0,0.06,0.27,0.23,3.22,0.2,0.05,0.1,0.05,1.28,1.0,0.0,4.58,25.72,12.44,7.4,90.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.4,1.0,2.8,0.0,1.0,0.05,0.16,0.0,0.0,1.0,0.0,0.05,0.34,0.3,3.38,27353.0,0.7372695025065228
