assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position
0,0,9,0,16.3,224,0.26,0.4,0.14,1.36,3,2,0,5.8,9.8,2024-08-17,84,False,5,0,0,0,0,1,0,15242,1,3,0,32.0,2,0,0,0,55,True,0,0,3,0.1603580862283706,89,Everton,Brighton,0,3,26605,2024,666332,0.1128760799765586,0,1,0,0.1603580862283706,0.2732341587543487,0.0,Everton,3,3,1,2.0,MID
0,0,1,0,0.3,224,0.0,0.54,0.54,1.66,19,2,0,1.0,0.0,2024-08-24,56,False,18,0,0,0,0,2,0,16267,1,0,4,12.0,1,-1536,972,2508,55,False,0,0,2,0.2105863839387893,60,Tottenham,Everton,4,0,26617,2024,667998,0.0,0,0,0,0.2105863839387893,0.0885984823107719,0.0,Everton,3,3,2,1.5,MID
0,0,26,0,59.7,224,0.16,0.27,0.11,2.22,24,3,0,9.7,25.4,2024-08-31,90,False,3,0,0,0,0,3,0,15886,1,3,2,12.0,2,-1432,1538,2970,55,True,0,0,2,0.0679384991526603,90,Everton,Bournemouth,2,3,26624,2024,671758,0.6736250519752502,0,5,0,0.0679384991526603,0.8614973425865173,0.236273318529129,Everton,3,3,3,1.7,MID
0,0,9,0,1.9,224,0.05,0.05,0.0,1.4,31,2,0,1.2,6.2,2024-09-14,63,False,2,0,0,0,0,4,0,14497,1,2,3,4.0,2,-2017,744,2761,54,False,0,0,0,0.0,71,Aston Villa,Everton,3,2,26638,2024,673944,0.0,0,0,0,0.0,0.0,0.0,Everton,3,4,4,1.8,MID
0,0,2,0,10.5,224,0.01,0.01,0.0,0.47,45,1,0,1.9,6.2,2024-09-21,29,False,11,0,0,0,0,5,0,13351,0,1,1,2.0,1,-1331,493,1824,54,False,0,0,0,0.0,25,Leicester,Everton,1,1,26644,2024,675682,0.0167871005833148,0,1,0,0.0,0.0167871005833148,0.0,Everton,3,1,5,1.5,MID
1,0,9,0,2.3,224,0.0,0.0,0.0,0.4,55,0,0,0.5,2.4,2024-09-28,45,False,7,0,0,0,0,6,0,12650,0,1,2,0.0,4,-887,505,1392,53,True,0,0,0,0.0,43,Everton,Crystal Palace,2,1,26654,2024,677817,0.0,0,0,0,0.0,0.0,0.0,Everton,3,3,6,2.3,MID
0,0,4,1,3.8,224,0.02,0.02,0.0,1.66,67,0,0,1.6,3.8,2024-10-05,67,False,15,0,0,0,0,7,0,12858,1,0,0,8.0,3,-69,913,982,53,True,0,0,0,0.0,74,Everton,Newcastle United,0,0,26669,2024,679735,0.0,0,0,0,0.0,0.0185160990804433,0.0185160990804433,Everton,4,3,7,2.0,MID
0,0,15,1,14.9,224,0.21,0.21,0.0,1.25,73,0,0,4.6,16.8,2024-10-19,90,False,10,0,0,0,0,8,0,14264,1,2,0,14.0,3,1031,1806,775,53,False,0,0,0,0.0,90,Ipswich,Everton,0,2,26674,2024,681435,0.4238699972629547,0,1,0,0.0,0.5350488424301147,0.1111788228154182,Everton,3,2,8,3.3,MID
0,0,2,0,14.8,224,0.13,0.19,0.06,1.11,87,1,0,2.0,0.0,2024-10-26,67,False,9,0,0,0,0,9,0,14422,1,1,1,6.0,2,68,1087,1019,53,True,0,0,1,0.0473298951983451,69,Everton,Fulham,1,1,26687,2024,683150,0.1139530315995216,0,1,0,0.0473298951983451,0.2116857767105102,0.0504028461873531,Everton,3,3,9,2.7,MID
0,0,-3,0,0.5,224,0.0,0.33,0.33,0.32,98,1,0,0.2,0.0,2024-11-02,28,False,17,0,0,0,0,10,0,16755,0,0,1,5.0,1,1953,3038,1085,53,False,0,0,2,0.3445189297199249,25,Southampton,Everton,1,0,26699,2024,685141,0.0,0,0,0,0.3445189297199249,0.3260747790336609,0.0,Everton,3,1,10,2.5,MID
0,0,3,0,0.0,224,0.0,0.0,0.0,0.35,109,0,0,0.0,0.0,2024-11-09,4,False,19,0,0,0,0,11,0,16459,0,0,0,0.0,1,-247,1827,2074,53,False,0,0,0,0.0,3,West Ham,Everton,0,0,26710,2024,686660,0.0,0,0,0,0.0,0.0,0.0,Everton,3,2,11,1.3,MID
0,0,1,0,5.0,224,0.01,0.01,0.0,0.16,126,0,0,0.5,0.0,2024-12-01,23,False,14,0,0,0,0,13,0,13532,0,0,4,0.0,1,-1072,139,1211,53,False,0,0,0,0.0,21,Manchester United,Everton,4,0,26727,2024,690672,0.0,0,0,0,0.0,0.0,0.0,Everton,3,3,13,0.8,MID
0,0,-3,0,0.0,224,0.0,0.39,0.39,0.0,134,0,0,1.5,0.0,2024-12-04,16,False,20,0,0,0,0,14,0,13163,0,0,4,17.0,1,-454,307,761,53,True,0,0,3,0.768718957901001,10,Everton,Wolverhampton Wanderers,4,0,26735,2024,691582,0.0,0,0,0,0.768718957901001,0.768718957901001,0.0,Everton,3,3,14,0.8,MID
0,0,6,1,0.3,224,0.0,0.0,0.0,1.07,151,0,0,0.6,5.2,2024-12-14,65,False,1,0,0,0,0,16,0,12116,1,0,0,0.0,3,-497,173,670,52,False,0,0,0,0.0,67,Arsenal,Everton,0,0,26755,2024,693748,0.0,0,0,0,0.0,0.0,0.0,Everton,3,5,16,0.7,MID
0,0,11,1,1.0,224,0.0,0.56,0.56,0.8,164,0,0,3.1,12.8,2024-12-22,73,False,6,0,0,0,0,17,0,11893,1,0,0,17.0,3,-273,164,437,52,True,0,0,1,0.3337366580963135,74,Everton,Chelsea,0,0,26764,2024,695762,0.0,0,0,0,0.3337366580963135,0.3337366580963135,0.0,Everton,3,3,17,1.1,MID
0,0,8,0,47.8,224,0.2,0.28,0.08,2.09,176,1,0,7.1,12.4,2024-12-26,90,False,13,0,0,0,0,18,0,11933,1,1,1,11.0,2,-32,467,499,52,False,0,0,1,0.087397888302803,90,Manchester City,Everton,1,1,26777,2024,696143,0.1219557523727417,0,3,0,0.087397888302803,0.1212309226393699,0.0,Everton,3,4,18,1.5,MID
0,0,4,0,11.2,224,0.01,0.01,0.0,0.42,184,1,0,1.8,1.0,2024-12-29,45,False,16,0,0,0,0,19,0,12879,1,2,0,6.0,1,841,1417,576,52,True,0,0,0,0.0,48,Everton,Nottingham Forest,0,2,26785,2024,696678,0.026267634704709,0,1,0,0.0,0.026267634704709,0.0,Everton,4,3,19,2.0,MID
