goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,0.0,90,DC,Tottenham,Chelsea,3,4,2024-12-08,26745,2024,693032,0.0,0,0,0,0.0,0.1629065126180648,0.1629065126180648
1,0,0,0.0,25,Sub,Chelsea,Aston Villa,3,0,2024-12-01,26724,2024,690685,0.0,0,0,0,0.0,0.1392620652914047,0.1392620652914047
2,0,0,0.0,90,DC,Leicester,Chelsea,1,2,2024-11-23,26719,2024,688092,0.0,0,0,0,0.0,0.2284422367811203,0.2284422367811203
3,0,0,0.0,29,Sub,Liverpool,Chelsea,2,1,2024-10-20,26679,2024,682210,0.0,0,0,0,0.0,0.1603420376777649,0.1603420376777649
4,0,0,0.0,90,DC,Chelsea,Bournemouth,2,1,2024-05-19,22269,2023,663269,0.069172479212284,0,1,0,0.0,0.3447399437427521,0.3447399437427521
5,0,0,0.0,90,DC,Brighton,Chelsea,1,2,2024-05-15,22226,2023,662162,0.0,0,0,0,0.0,0.6475745439529419,0.6475745439529419
6,0,1,0.0184406116604805,63,DC,Nottingham Forest,Chelsea,2,3,2024-05-11,22261,2023,660887,0.0,0,0,0,0.0184406116604805,0.0184406116604805,0.0
7,0,0,0.0,90,DC,Chelsea,West Ham,5,0,2024-05-05,22249,2023,659329,0.0,0,0,0,0.0,1.9918575286865237,1.9918575286865237
8,0,1,0.0283211171627044,90,DC,Chelsea,Tottenham,2,0,2024-05-02,22149,2023,658375,0.0,0,0,0,0.0283211171627044,0.1144115477800369,0.1144115477800369
9,0,0,0.0,90,DC,Aston Villa,Chelsea,2,2,2024-04-27,22236,2023,657262,0.0,0,0,0,0.0,0.1758463382720947,0.1758463382720947
10,0,1,0.0788686126470565,90,DC,Arsenal,Chelsea,5,0,2024-04-23,22175,2023,656048,0.9499414563179016,0,2,0,0.0788686126470565,0.0750532299280166,0.0
11,0,0,0.0,1,Sub,Sheffield United,Chelsea,2,2,2024-04-07,22212,2023,652597,0.0,0,0,0,0.0,0.0,0.0
12,0,1,0.079196847975254,90,DC,Chelsea,Manchester United,4,3,2024-04-04,22201,2023,651272,0.0,0,0,0,0.079196847975254,0.1219269260764122,0.1219269260764122
13,0,0,0.0,90,DC,Chelsea,Burnley,2,2,2024-03-30,22188,2023,649769,0.0,0,0,0,0.0,1.4941091537475586,1.4941091537475586
14,0,0,0.0,5,Sub,Chelsea,Wolverhampton Wanderers,2,4,2024-02-04,22120,2023,639049,0.0,0,0,0,0.0,0.0,0.0
15,0,0,0.0,90,DC,Liverpool,Chelsea,4,1,2024-01-31,22113,2023,638038,0.0,0,0,0,0.0,0.1031715497374534,0.1031715497374534
16,0,0,0.0,90,DC,Chelsea,Crystal Palace,2,1,2023-12-27,22080,2023,633068,0.0,0,0,0,0.0,1.2846615314483645,1.2846615314483645
17,0,0,0.0,9,Sub,Wolverhampton Wanderers,Chelsea,2,1,2023-12-24,22073,2023,632907,0.0,0,0,0,0.0,0.0208154153078794,0.0208154153078794
18,0,0,0.0,90,DC,Chelsea,Sheffield United,2,0,2023-12-16,22059,2023,630271,0.0094495443627238,0,1,0,0.0,1.7581579685211182,1.7581579685211182
19,0,1,0.0135782249271869,90,DC,Everton,Chelsea,2,0,2023-12-10,22048,2023,629280,0.0,0,0,0,0.0135782249271869,0.1632229834794998,0.1632229834794998
20,0,0,0.0,90,DC,Chelsea,Brighton,3,2,2023-12-03,22029,2023,627239,0.526261568069458,1,2,0,0.0,0.0226736757904291,0.0226736757904291
21,0,1,0.2988872528076172,90,DC,Newcastle United,Chelsea,4,1,2023-11-25,22021,2023,624914,0.0,0,0,0,0.2988872528076172,0.1235466748476028,0.1235466748476028
22,0,0,0.0,90,DC,Chelsea,Nottingham Forest,2,2,2023-05-13,18555,2022,596367,0.0,0,0,0,0.0,0.2571759223937988,0.2571759223937988
23,1,1,0.4952180385589599,90,DC,Bournemouth,Chelsea,1,3,2023-05-06,18542,2022,594754,0.0,0,0,1,0.4952180385589599,0.1193410903215408,0.1193410903215408
24,0,0,0.0,90,DC,Chelsea,Brighton,1,2,2023-04-15,18503,2022,588454,0.0,0,0,0,0.0,0.068589299917221,0.068589299917221
25,0,1,0.0794799029827117,90,DC,Chelsea,Everton,2,2,2023-03-18,18476,2022,583260,0.0,0,0,0,0.0794799029827117,0.1529369950294494,0.1529369950294494
26,0,0,0.0,1,Sub,Leicester,Chelsea,1,3,2023-03-11,18467,2022,581313,0.0,0,0,0,0.0,0.0,0.0
27,0,0,0.0,90,DC,Chelsea,Leeds,1,0,2023-03-04,18456,2022,579542,0.0,0,0,0,0.0,0.4243899881839752,0.4243899881839752
28,0,0,0.0,90,DC,Chelsea,Southampton,0,1,2023-02-18,18435,2022,576384,0.0705280974507331,0,1,0,0.0,0.7732489705085754,0.7027209997177124
29,0,2,0.0916941985487937,90,DC,West Ham,Chelsea,1,1,2023-02-11,18431,2022,574588,0.0,0,0,0,0.0916941985487937,0.4965369999408722,0.4965369999408722
30,0,1,0.1055219992995262,90,DC,Chelsea,Fulham,0,0,2023-02-03,18415,2022,572935,0.0730862021446228,0,1,0,0.1055219992995262,0.384782999753952,0.3116970062255859
31,0,1,0.4416210055351257,90,DC,Liverpool,Chelsea,0,0,2023-01-21,18408,2022,569921,0.5477409958839417,0,1,0,0.4416210055351257,0.0335531011223793,0.0335531011223793
32,0,0,0.0,90,DC,Chelsea,Crystal Palace,1,0,2023-01-15,18395,2022,569413,0.0,0,0,0,0.0,0.5955579876899719,0.5955579876899719
33,0,0,0.0,90,DC,Monaco,Marseille,2,3,2022-11-13,19788,2022,565419,0.0,0,0,0,0.0,0.0770225971937179,0.0770225971937179
34,0,0,0.0,90,DC,Lille,Monaco,4,3,2022-10-23,19761,2022,559319,0.0,0,0,0,0.0,0.0,0.0
35,0,0,0.0,90,DC,Montpellier,Monaco,0,2,2022-10-09,19741,2022,554538,0.0,0,0,0,0.0,0.016992200165987,0.016992200165987
36,0,0,0.0,67,DC,Monaco,Nantes,4,1,2022-10-02,19730,2022,553233,0.0,0,0,0,0.0,0.0,0.0
37,0,1,0.013315100222826,90,DC,Reims,Monaco,0,3,2022-09-18,19727,2022,551085,0.0,0,0,0,0.013315100222826,0.7825490236282349,0.7692340016365051
38,1,1,0.0882076025009155,90,DC,Monaco,Lyon,2,1,2022-09-11,19709,2022,550055,0.0,0,0,1,0.0882076025009155,0.0,0.0
39,0,1,0.0218557007610797,90,DC,Nice,Monaco,0,1,2022-09-04,19703,2022,548295,0.0,0,0,0,0.0218557007610797,0.0534329004585742,0.0315771996974945
40,0,1,0.0524347983300685,41,Sub,Monaco,Troyes,2,4,2022-08-31,19688,2022,546234,0.0,0,0,0,0.0524347983300685,0.0,0.0
41,0,0,0.0,90,DC,Paris Saint Germain,Monaco,1,1,2022-08-28,19683,2022,545687,0.0,0,0,0,0.0,0.0,0.0
42,1,1,0.3824700117111206,90,DC,Monaco,Lens,1,4,2022-08-20,19668,2022,542488,0.5455020070075989,0,1,1,0.3824700117111206,0.5455020070075989,0.5455020070075989
43,0,0,0.0,4,Sub,Monaco,Rennes,1,1,2022-08-13,19659,2022,540743,0.0,0,0,0,0.0,0.0,0.0
44,1,2,0.6663529872894287,90,DC,Lens,Monaco,2,2,2022-05-21,18192,2021,537364,0.0173381008207798,0,1,1,0.6663529872894287,0.0983532965183258,0.0983532965183258
