goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,0.0,90,MC,Wolverhampton Wanderers,Nottingham Forest,0,3,2025-01-06,26801,2024,697804,0.0364154130220413,0,1,0,0.0,0.5283210873603821,0.4919056892395019
1,0,0,0.0,90,MC,Tottenham,Wolverhampton Wanderers,2,2,2024-12-29,26790,2024,696754,0.0,0,0,0,0.0,0.2948162257671356,0.2948162257671356
2,0,0,0.0,74,MC,Wolverhampton Wanderers,Manchester United,2,0,2024-12-26,26781,2024,696310,0.0198925323784351,0,1,0,0.0,0.0817196071147918,0.0618270710110664
3,0,2,0.5832070708274841,90,MC,Leicester,Wolverhampton Wanderers,0,3,2024-12-22,26770,2024,695683,0.0,0,0,0,0.5832070708274841,0.9766311049461364,0.3934240341186523
4,0,2,0.3578109741210937,79,AMC,West Ham,Wolverhampton Wanderers,2,1,2024-12-09,26746,2024,693287,0.1101858019828796,0,2,0,0.3578109741210937,0.5137405395507812,0.4721069037914276
5,0,1,0.0192496348172426,90,MC,Everton,Wolverhampton Wanderers,4,0,2024-12-04,26735,2024,691591,0.0175396129488945,0,1,0,0.0192496348172426,0.5309487581253052,0.5134091377258301
6,0,1,0.0403633713722229,90,DMC,Wolverhampton Wanderers,Bournemouth,2,4,2024-11-30,26731,2024,689965,0.0,0,0,0,0.0403633713722229,0.3747012913227081,0.3747012913227081
7,1,4,0.2228010296821594,90,MC,Fulham,Wolverhampton Wanderers,1,4,2024-11-23,26717,2024,688413,0.0458222404122352,1,1,1,0.2228010296821594,0.761509895324707,0.5625317096710205
8,0,1,0.0800203904509544,90,MC,Wolverhampton Wanderers,Southampton,2,0,2024-11-09,26711,2024,686667,0.0,0,0,0,0.0800203904509544,0.0800203904509544,0.0
9,1,1,0.3342380821704864,90,MC,Wolverhampton Wanderers,Crystal Palace,2,2,2024-11-02,26701,2024,685240,0.1010411754250526,0,3,1,0.3342380821704864,0.8861371874809265,0.5518991351127625
10,0,1,0.0609717704355716,90,AMC,Brighton,Wolverhampton Wanderers,2,2,2024-10-26,26686,2024,683046,0.1588069200515747,0,1,0,0.0609717704355716,0.219778686761856,0.0
11,0,0,0.0,90,MC,Wolverhampton Wanderers,Manchester City,1,2,2024-10-20,26681,2024,681881,0.0,0,0,0,0.0,0.0,0.0
12,0,1,0.0193669646978378,81,MC,Brentford,Wolverhampton Wanderers,5,3,2024-10-05,26667,2024,679567,0.035907432436943,0,1,0,0.0193669646978378,0.0928790867328643,0.0376046895980834
13,0,0,0.0,90,MC,Wolverhampton Wanderers,Liverpool,1,2,2024-09-28,26658,2024,678057,0.0,0,0,0,0.0,0.0862123593688011,0.0862123593688011
14,0,0,0.0,88,MC,Aston Villa,Wolverhampton Wanderers,3,1,2024-09-21,26647,2024,675768,0.0,0,0,0,0.0,0.117926575243473,0.117926575243473
15,0,1,0.0358638763427734,90,MC,Wolverhampton Wanderers,Newcastle United,1,2,2024-09-15,26641,2024,674617,0.0,0,0,0,0.0358638763427734,0.906694233417511,0.906694233417511
16,0,1,0.0240380223840475,62,MC,Nottingham Forest,Wolverhampton Wanderers,1,1,2024-08-31,26627,2024,671864,0.0,0,0,0,0.0240380223840475,0.0486552864313125,0.024617264047265
17,0,1,0.0159965883940458,90,DMC,Wolverhampton Wanderers,Chelsea,2,6,2024-08-25,26619,2024,668737,0.0,0,0,0,0.0159965883940458,0.657800555229187,0.657800555229187
18,0,0,0.0,85,DMC,Arsenal,Wolverhampton Wanderers,2,0,2024-08-17,26604,2024,666314,0.0,0,0,0,0.0,0.2483385056257248,0.2483385056257248
19,0,1,0.1733891665935516,90,MC,Liverpool,Wolverhampton Wanderers,2,0,2024-05-19,22271,2023,663070,0.0,0,0,0,0.1733891665935516,0.2464741915464401,0.2464741915464401
20,0,2,0.110053040087223,90,MC,Wolverhampton Wanderers,Crystal Palace,1,3,2024-05-11,22264,2023,660570,0.0669205263257026,0,2,0,0.110053040087223,0.0151373064145445,0.0151373064145445
21,0,0,0.0,90,MC,Manchester City,Wolverhampton Wanderers,5,1,2024-05-04,22253,2023,659070,0.0,0,0,0,0.0,0.0,0.0
22,0,1,0.0511196739971637,90,MC,Wolverhampton Wanderers,Luton,2,1,2024-04-27,22244,2023,658287,0.0182194449007511,0,1,0,0.0511196739971637,0.0709854215383529,0.0198657494038343
23,0,0,0.0,66,MC,Wolverhampton Wanderers,Bournemouth,0,1,2024-04-24,22184,2023,656373,0.0435651950538158,0,2,0,0.0,0.1490937322378158,0.1351464539766311
24,0,1,0.0700369998812675,90,MR,Wolverhampton Wanderers,Arsenal,0,2,2024-04-20,22234,2023,655052,0.0,0,0,0,0.0700369998812675,0.094344712793827,0.0243077091872692
25,0,1,0.0517750605940818,63,AMC,Nottingham Forest,Wolverhampton Wanderers,2,2,2024-04-13,22223,2023,653341,0.0,0,0,0,0.0517750605940818,0.0748834684491157,0.023108409717679
26,0,1,0.040947251021862,90,MC,Wolverhampton Wanderers,West Ham,1,2,2024-04-06,22214,2023,651806,0.0480245016515255,0,1,0,0.040947251021862,0.1861985027790069,0.1452512443065643
27,0,1,0.0974051207304,90,MC,Burnley,Wolverhampton Wanderers,1,1,2024-04-02,22197,2023,651083,0.0,0,0,0,0.0974051207304,0.3067641854286194,0.3067641854286194
28,0,0,0.0,86,MC,Aston Villa,Wolverhampton Wanderers,2,0,2024-03-30,22186,2023,650033,0.0,0,0,0,0.0,0.0768041461706161,0.0768041461706161
29,0,0,0.0,90,DMC,Wolverhampton Wanderers,Fulham,2,1,2024-03-09,22174,2023,646690,0.0939751714468002,0,2,0,0.0,0.1326797902584076,0.0387046188116073
30,0,3,0.1585042625665664,90,MC,Wolverhampton Wanderers,Sheffield United,1,0,2024-02-25,22154,2023,643712,0.0931722074747085,0,2,0,0.1585042625665664,0.3094567358493805,0.1828192472457885
31,2,2,0.6221554279327393,90,MC,Tottenham,Wolverhampton Wanderers,1,2,2024-02-17,22144,2023,641872,0.0,0,0,2,0.6221554279327393,0.5998049378395081,0.0901089757680893
32,0,0,0.0,66,MC,Wolverhampton Wanderers,Brentford,0,2,2024-02-10,22134,2023,640248,0.0,0,0,0,0.0,0.2452719509601593,0.2452719509601593
33,0,0,0.0,90,MC,Chelsea,Wolverhampton Wanderers,2,4,2024-02-04,22120,2023,639060,0.0637058615684509,1,1,0,0.0,0.0637058615684509,0.0
34,0,0,0.0,4,Sub,Wolverhampton Wanderers,Manchester United,3,4,2024-02-01,22111,2023,638122,0.0,0,0,0,0.0,0.0460142157971859,0.0460142157971859
35,0,1,0.0901102647185325,90,MC,Wolverhampton Wanderers,Everton,3,0,2023-12-30,22094,2023,633463,0.0,0,0,0,0.0901102647185325,1.1002260446548462,1.1002260446548462
36,0,2,0.0888605043292045,90,MC,Brentford,Wolverhampton Wanderers,1,4,2023-12-27,22077,2023,633142,0.0,0,0,0,0.0888605043292045,0.0720973387360572,0.0214096065610647
37,0,2,0.0607607588171958,90,MC,Wolverhampton Wanderers,Chelsea,2,1,2023-12-24,22073,2023,632886,0.3345531225204468,0,1,0,0.0607607588171958,0.1725625991821289,0.111801840364933
38,0,0,0.0,90,MC,West Ham,Wolverhampton Wanderers,3,0,2023-12-17,22064,2023,630905,0.0169699396938085,0,1,0,0.0,0.0902843475341796,0.0733144059777259
39,0,0,0.0,90,MC,Wolverhampton Wanderers,Nottingham Forest,1,1,2023-12-09,22054,2023,628786,0.0,0,0,0,0.0,0.0923984870314598,0.0923984870314598
40,0,0,0.0,90,MC,Wolverhampton Wanderers,Burnley,1,0,2023-12-05,22042,2023,627878,0.0,0,0,0,0.0,0.0453847460448741,0.0453847460448741
41,0,0,0.0,90,MC,Fulham,Wolverhampton Wanderers,3,2,2023-11-27,22018,2023,626122,0.1117640882730484,0,2,0,0.0,0.491538792848587,0.491538792848587
42,0,2,0.0550445131957531,90,MC,Wolverhampton Wanderers,Tottenham,2,1,2023-11-11,22014,2023,622993,0.2170687764883041,0,1,0,0.0550445131957531,0.3196492791175842,0.10258050262928
43,0,0,0.0,1,Sub,Wolverhampton Wanderers,Newcastle United,2,2,2023-10-28,21994,2023,620123,0.0,0,0,0,0.0,0.0969536826014518,0.0969536826014518
44,0,0,0.0,50,MC,Bournemouth,Wolverhampton Wanderers,1,2,2023-10-21,21975,2023,618052,0.0,0,0,0,0.0,0.0363743491470813,0.0363743491470813
45,0,1,0.0182074699550867,73,MC,Wolverhampton Wanderers,Aston Villa,1,1,2023-10-08,21974,2023,616982,0.0,0,0,0,0.0182074699550867,0.0182074699550867,0.0
46,0,0,0.0,70,MC,Wolverhampton Wanderers,Manchester City,2,1,2023-09-30,21961,2023,614605,0.0,0,0,0,0.0,0.1260134875774383,0.1260134875774383
47,0,0,0.0,90,DMC,Luton,Wolverhampton Wanderers,1,1,2023-09-23,21945,2023,612197,0.0,0,0,0,0.0,0.0,0.0
48,0,1,0.0129381380975246,90,DMC,Wolverhampton Wanderers,Liverpool,1,3,2023-09-16,21935,2023,610058,0.0911508724093437,0,1,0,0.0129381380975246,0.2315704524517059,0.218632310628891
49,0,1,0.0417337529361248,84,MC,Crystal Palace,Wolverhampton Wanderers,3,2,2023-09-03,21932,2023,609356,0.0,0,0,0,0.0417337529361248,0.0617461539804935,0.0200124029070138
50,0,1,0.0671058893203735,90,MC,Everton,Wolverhampton Wanderers,0,1,2023-08-26,22299,2023,606882,0.0,0,0,0,0.0671058893203735,0.0912065207958221,0.0241006352007389
51,0,1,0.0278027094900608,57,MC,Wolverhampton Wanderers,Brighton,1,4,2023-08-19,22286,2023,605060,0.0,0,0,0,0.0278027094900608,0.3948630392551422,0.3670603334903717
52,0,1,0.017458826303482,90,MC,Manchester United,Wolverhampton Wanderers,1,0,2023-08-14,22284,2023,604640,0.1284839659929275,0,2,0,0.017458826303482,0.2440685778856277,0.1155846118927002
53,0,0,0.0,87,MC,Arsenal,Wolverhampton Wanderers,5,0,2023-05-28,18572,2022,601048,0.0,0,0,0,0.0,0.0651585608720779,0.0651585608720779
54,0,1,0.0630712285637855,90,MC,Wolverhampton Wanderers,Everton,1,1,2023-05-20,18571,2022,598177,0.0,0,0,0,0.0630712285637855,0.162855252623558,0.0997840240597724
55,0,0,0.0,51,MR,Brighton,Wolverhampton Wanderers,6,0,2023-04-29,18535,2022,592375,0.0194846224039793,0,1,0,0.0,0.1125343516469001,0.1125343516469001
56,0,0,0.0,19,Sub,Wolverhampton Wanderers,Crystal Palace,2,0,2023-04-25,18527,2022,591421,0.0,0,0,0,0.0,0.0,0.0
57,0,0,0.0,90,MC,Leicester,Wolverhampton Wanderers,2,1,2023-04-22,18518,2022,590160,0.0088846180588006,0,1,0,0.0,0.0346145629882812,0.0257299449294805
58,0,0,0.0,75,MC,Wolverhampton Wanderers,Brentford,2,0,2023-04-15,18511,2022,588395,0.0,0,0,0,0.0,0.0608122982084751,0.0608122982084751
59,0,0,0.0,90,MC,Wolverhampton Wanderers,Chelsea,1,0,2023-04-08,18501,2022,586693,0.0101576000452041,0,1,0,0.0,0.0,0.0
60,0,1,0.0128130996599793,90,MC,Wolverhampton Wanderers,Leeds,2,4,2023-03-18,18481,2022,583109,0.0840213000774383,0,2,0,0.0128130996599793,0.9775149822235109,0.8934940099716187
61,0,0,0.0,22,Sub,Liverpool,Wolverhampton Wanderers,2,0,2023-03-01,18264,2022,578992,0.0,0,0,0,0.0,0.0,0.0
62,0,0,0.0,19,Sub,Wolverhampton Wanderers,Bournemouth,0,1,2023-02-18,18441,2022,576361,0.0,0,0,0,0.0,0.0,0.0
63,1,2,0.129392996430397,17,Sub,Southampton,Wolverhampton Wanderers,1,2,2023-02-11,18430,2022,574837,0.0,0,0,1,0.129392996430397,0.2213699966669082,0.0919769033789634
