goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,0,48,GK,Newcastle United,Leicester,4,0,2024-12-14,26760,2024,693645,0,0,0,0,0,0.0,0.0
1,0,0,0,90,GK,Leicester,Brighton,2,2,2024-12-08,26751,2024,692772,0,0,0,0,0,0.0,0.0
2,0,0,0,90,GK,Leicester,West Ham,3,1,2024-12-03,26738,2024,691353,0,0,0,0,0,0.3004772961139679,0.3004772961139679
3,0,0,0,90,GK,Brentford,Leicester,4,1,2024-11-30,26722,2024,690066,0,0,0,0,0,0.0421386919915676,0.0421386919915676
4,0,0,0,90,GK,Leicester,Chelsea,1,2,2024-11-23,26719,2024,688074,0,0,0,0,0,0.0,0.0
5,0,0,0,90,GK,Manchester United,Leicester,3,0,2024-11-10,26708,2024,687355,0,0,0,0,0,0.0,0.0
6,0,0,0,90,GK,Ipswich,Leicester,1,1,2024-11-02,26695,2024,685006,0,0,0,0,0,0.0843799635767936,0.0843799635767936
7,0,0,0,90,GK,Leicester,Nottingham Forest,1,3,2024-10-25,26682,2024,682621,0,0,0,0,0,0.0,0.0
8,0,0,0,90,GK,Southampton,Leicester,2,3,2024-10-19,26678,2024,681397,0,0,0,0,0,0.7814935445785522,0.7814935445785522
9,0,0,0,90,GK,Leicester,Bournemouth,1,0,2024-10-05,26663,2024,679420,0,0,0,0,0,0.3606627881526947,0.3606627881526947
10,0,0,0,90,GK,Arsenal,Leicester,4,2,2024-09-28,26655,2024,677847,0,0,0,0,0,0.135110318660736,0.135110318660736
11,0,0,0,90,GK,Leicester,Everton,1,1,2024-09-21,26644,2024,675656,0,0,0,0,0,0.0,0.0
12,0,0,0,90,GK,Crystal Palace,Leicester,2,2,2024-09-14,26636,2024,673718,0,0,0,0,0,0.0,0.0
13,0,0,0,90,GK,Leicester,Aston Villa,1,2,2024-08-31,26626,2024,671811,0,0,0,0,0,0.0292144641280174,0.0292144641280174
14,0,0,0,90,GK,Fulham,Leicester,2,1,2024-08-24,26614,2024,667960,0,0,0,0,0,0.0462030470371246,0.0462030470371246
15,0,0,0,90,GK,Leicester,Tottenham,1,1,2024-08-19,26611,2024,667441,0,0,0,0,0,0.3427987992763519,0.3427987992763519
