assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,fpl_name,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,position
0,0,0,2,0,3.2,217,0.01,0.15,0.14,1.13,3,2,0,1.1,2.4,2024-08-17,62,0,0,0,0,0,0,0,False,5,0,0,0,0,1,0,46194,1,3,0,5.0,2,0,0,0,55,True,0,217,,,Abdoulaye Doucouré,0,1,0.1128760799765586,67,AMC,Everton,Brighton,0,3,26605,2024,666333,0.0,0,0,0,0.1128760799765586,0.1128760799765586,0.0,26605,Everton,Abdoulaye Doucouré,Abdoulaye Doucouré,MID
1,0,0,3,0,1.4,217,0.0,0.07,0.07,1.66,19,2,0,1.0,1.6,2024-08-24,56,0,0,0,0,0,0,0,False,18,0,0,0,0,2,0,43259,1,0,4,7.0,1,-6563,1812,8375,55,False,0,217,,,Abdoulaye Doucouré,0,1,0.1236345618963241,60,AMC,Tottenham,Everton,4,0,26617,2024,667999,0.0,0,0,0,0.1236345618963241,0.0,0.0,26617,Everton,Abdoulaye Doucouré,Abdoulaye Doucouré,MID
2,0,0,4,0,1.9,217,0.01,0.01,0.0,1.54,24,3,0,0.5,1.2,2024-08-31,7,0,0,0,0,0,0,0,False,3,0,0,0,0,3,0,37931,0,3,2,2.0,1,-6423,2669,9092,54,True,0,217,,,Abdoulaye Doucouré,0,0,0.0,6,Sub,Everton,Bournemouth,2,3,26624,2024,671762,0.0,0,0,0,0.0,0.0,0.0,26624,Everton,Abdoulaye Doucouré,Abdoulaye Doucouré,MID
3,0,0,14,0,2.8,217,0.01,0.03,0.02,0.66,45,1,0,1.8,12.6,2024-09-21,90,0,0,0,0,0,0,0,False,11,0,0,0,0,5,0,27682,1,1,1,3.0,2,-3364,677,4041,53,False,0,217,,,Abdoulaye Doucouré,0,1,0.0166818387806415,90,DMC,Leicester,Everton,1,1,26644,2024,675676,0.0,0,0,0,0.0166818387806415,0.3757322430610657,0.3590503931045532,26644,Everton,Abdoulaye Doucouré,Abdoulaye Doucouré,MID
4,0,0,7,0,13.0,217,0.02,0.02,0.0,0.95,55,1,0,2.3,10.4,2024-09-28,90,0,0,0,0,0,0,0,False,7,0,0,0,0,6,0,25555,1,1,2,0.0,2,-2326,806,3132,52,True,0,217,,,Abdoulaye Doucouré,0,0,0.0,90,DMC,Everton,Crystal Palace,2,1,26654,2024,677811,0.0069263824261724,0,1,0,0.0,0.3314339816570282,0.3245075941085815,26654,Everton,Abdoulaye Doucouré,Abdoulaye Doucouré,MID
5,0,0,11,1,32.2,217,0.02,0.02,0.0,2.05,67,0,0,4.4,11.6,2024-10-05,90,0,0,0,0,0,0,0,False,15,0,0,0,0,7,0,23863,1,0,0,0.0,3,-1820,729,2549,52,True,0,217,,,Abdoulaye Doucouré,0,0,0.0,90,DMC,Everton,Newcastle United,0,0,26669,2024,679734,0.0594127923250198,0,3,0,0.0,0.0594127923250198,0.0,26669,Everton,Abdoulaye Doucouré,Abdoulaye Doucouré,MID
6,0,0,11,1,23.5,217,0.07,0.07,0.0,1.25,73,0,0,3.9,13.8,2024-10-19,90,0,0,0,0,0,0,0,False,10,0,0,0,0,8,0,25536,1,2,0,2.0,3,1315,2939,1624,52,False,0,217,,,Abdoulaye Doucouré,0,0,0.0,90,DMC,Ipswich,Everton,0,2,26674,2024,681433,0.1327342391014099,0,2,0,0.0,0.1859391182661056,0.0532048679888248,26674,Everton,Abdoulaye Doucouré,Abdoulaye Doucouré,MID
7,0,0,13,0,13.6,217,0.02,0.08,0.06,1.24,87,1,0,4.5,12.8,2024-10-26,79,0,0,0,0,0,0,0,False,9,0,0,0,0,9,0,25309,1,1,1,19.0,2,-273,1379,1652,52,True,0,217,,,Abdoulaye Doucouré,0,1,0.0465826727449893,81,DMC,Everton,Fulham,1,1,26687,2024,683148,0.0231321956962347,0,1,0,0.0465826727449893,0.0735350400209426,0.0504028461873531,26687,Everton,Abdoulaye Doucouré,Abdoulaye Doucouré,MID
8,0,0,16,1,25.9,217,0.04,0.21,0.17,0.47,109,0,0,4.1,5.8,2024-11-09,85,0,0,0,0,0,0,0,False,19,0,0,0,0,11,0,21138,1,0,0,9.0,3,-3091,157,3248,52,False,0,217,,,Abdoulaye Doucouré,0,1,0.1270059794187545,87,AMC,West Ham,Everton,0,0,26710,2024,686656,0.0521467663347721,0,2,0,0.1270059794187545,0.3057154715061188,0.1265627294778823,26710,Everton,Abdoulaye Doucouré,Abdoulaye Doucouré,MID
9,0,0,7,1,2.8,217,0.03,0.03,0.0,1.1,114,0,0,0.9,4.0,2024-11-23,71,0,0,0,0,0,0,0,False,4,0,0,0,0,12,0,21177,1,0,0,2.0,3,-187,938,1125,51,True,0,217,,,Abdoulaye Doucouré,0,0,0.0,75,DMC,Everton,Brentford,0,0,26715,2024,688458,0.0,0,0,0,0.0,0.1537239402532577,0.1537239402532577,26715,Everton,Abdoulaye Doucouré,Abdoulaye Doucouré,MID
10,0,0,13,0,24.1,217,0.19,0.19,0.0,0.73,126,4,0,3.3,7.2,2024-12-01,90,0,0,0,0,0,0,0,False,14,0,0,0,0,13,0,20901,1,0,4,2.0,2,-347,569,916,51,False,0,217,,,Abdoulaye Doucouré,0,0,0.0,90,DMC,Manchester United,Everton,4,0,26727,2024,690663,0.149633377790451,0,2,0,0.0,0.0579604692757129,0.0,26727,Everton,Abdoulaye Doucouré,Abdoulaye Doucouré,MID
