assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team
0,0,0,8,0,4.2,263,0.01,0.12,0.11,1.74,73,2,0,3.3,18.6,2024-10-19,90,0,0,0,0,0,0,0,False,8,0,0,0,0,8,0,110416,1,2,0,10.0,1,50359,58264,7905,39,True,0,0,2,0.0905825719237327,90,DC,Ipswich,Everton,0,2,26674,2024,681414,0.0,0,0,0,0.0905825719237327,0.5103933811187744,0.5103933811187744,Ipswich
1,0,0,7,0,11.3,263,0.03,0.05,0.02,4.11,83,4,0,7.3,36.2,2024-10-26,90,0,0,0,0,0,0,0,False,4,0,0,0,0,9,0,129985,1,3,4,25.0,0,21194,27554,6360,39,False,0,0,1,0.0290296170860528,90,DC,Brentford,Ipswich,4,3,26685,2024,683007,0.0449348613619804,0,1,0,0.0290296170860528,0.4539861977100372,0.4090513288974762,Ipswich
2,0,0,9,0,0.8,263,0.0,0.0,0.0,1.55,93,1,0,1.9,17.8,2024-11-02,90,0,0,0,0,0,0,0,False,11,0,0,0,0,10,0,146037,1,1,1,0.0,2,16143,23588,7445,39,True,0,0,0,0.0,90,DC,Ipswich,Leicester,1,1,26695,2024,684993,0.0,0,0,0,0.0,0.0321267545223236,0.0321267545223236,Ipswich
3,0,0,4,0,0.4,263,0.02,0.08,0.06,1.82,108,1,0,2.0,12.6,2024-11-10,90,0,0,0,0,0,0,0,False,18,0,0,0,0,11,0,162929,1,2,1,7.0,2,14857,25301,10444,39,False,0,0,1,0.0283257979899644,90,DC,Tottenham,Ipswich,1,2,26709,2024,687298,0.0,0,0,0,0.0283257979899644,0.0,0.0,Ipswich
4,0,0,10,0,1.8,263,0.01,0.01,0.0,0.8,116,1,0,1.6,14.2,2024-11-24,90,0,0,0,0,0,0,0,False,14,0,0,0,0,12,0,211012,1,1,1,0.0,2,43884,54826,10942,39,True,0,0,0,0.0,90,DC,Ipswich,Manchester United,1,1,26718,2024,689245,0.0,0,0,0,0.0,0.547687828540802,0.547687828540802,Ipswich
5,0,0,7,0,0.9,263,0.02,0.35,0.33,1.68,127,1,0,3.1,10.8,2024-11-30,90,0,0,0,0,0,0,0,False,16,0,0,0,0,13,0,239961,1,0,1,19.0,2,29920,37931,8011,39,False,0,0,3,0.1993584781885147,90,DC,Nottingham Forest,Ipswich,1,0,26728,2024,690007,0.0,0,0,0,0.1993584781885147,0.1050358414649963,0.1050358414649963,Ipswich
6,1,0,16,0,20.9,263,0.13,0.16,0.03,3.28,146,2,0,7.3,44.4,2024-12-08,90,0,0,0,0,0,0,0,False,3,0,0,0,0,15,0,256865,1,2,1,8.0,4,-4495,5975,10470,40,True,0,0,1,0.0891363695263862,90,DC,Ipswich,Bournemouth,1,2,26750,2024,692743,0.1296076476573944,1,2,0,0.0891363695263862,0.1945043951272964,0.0648967549204826,Ipswich
7,0,0,17,0,0.4,263,0.0,0.0,0.0,1.27,160,1,0,4.2,39.8,2024-12-14,90,0,0,0,0,0,0,0,False,20,0,0,0,0,16,0,272678,1,2,1,2.0,2,13717,20315,6598,40,False,0,0,0,0.0,90,DC,Wolverhampton Wanderers,Ipswich,1,2,26758,2024,693616,0.0,0,0,0,0.0,0.5991424918174744,0.5991424918174744,Ipswich
8,0,0,-2,0,0.8,263,0.0,0.0,0.0,2.33,166,4,0,1.6,13.2,2024-12-21,90,0,0,0,0,0,0,0,False,15,0,0,0,0,17,0,279392,1,4,0,2.0,0,6625,15530,8905,40,True,0,0,0,0.0,90,DC,Ipswich,Newcastle United,0,4,26771,2024,695324,0.0,0,0,0,0.0,0.235129103064537,0.235129103064537,Ipswich
9,0,0,-7,0,0.8,263,0.01,0.18,0.17,3.03,215,6,0,3.5,29.6,2025-01-19,90,0,0,0,0,0,0,0,False,13,0,0,0,0,22,0,220838,1,6,0,5.0,-1,-9068,584,9652,39,True,0,0,1,0.1283558905124664,90,DC,Ipswich,Manchester City,0,6,26816,2024,700753,0.0,0,0,0,0.1283558905124664,0.1009349599480629,0.1009349599480629,Ipswich
10,0,0,6,0,0.8,263,0.01,0.01,0.0,0.67,286,1,0,1.2,11.2,2025-03-15,45,0,0,0,0,0,0,0,False,16,0,0,0,0,29,0,274644,0,4,2,0.0,1,3241,18648,15407,38,True,0,0,0,0.0,42,Sub,Ipswich,Nottingham Forest,2,4,26887,2024,712988,0.0,0,0,0,0.0,0.0514781102538108,0.0514781102538108,Ipswich
11,0,0,10,0,10.3,263,0.05,0.05,0.0,1.87,292,1,0,3.7,24.4,2025-04-02,90,0,0,0,0,0,0,0,False,3,0,0,0,0,30,0,228732,1,2,1,2.0,2,7633,30785,23152,38,False,0,0,0,0.0,90,DC,Bournemouth,Ipswich,1,2,26896,2024,716097,0.0656172558665275,0,1,0,0.0,0.5158438086509705,0.4502265453338623,Ipswich
