assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event
0,0,4,0,3.8,623,0.01,0.01,0.0,0.19,18,0,0,0.9,1.4,2024-08-24,14,0,0,0,0,0,0,0,False,16,0,0,0,0,2,0,199,0,1,0,4.0,1,90,93,3,50,True,0,0,0,0.0,13,Sub,Southampton,Nottingham Forest,0,1,26616,2024,668049,0.0,0,0,0,0.0,0.0,0.0,Southampton,4,1,2
0,0,9,0,6.5,623,0.06,0.24,0.18,1.81,22,2,0,5.6,8.4,2024-08-31,45,0,0,0,0,0,0,0,False,4,0,0,0,0,3,0,736,0,1,3,41.0,1,256,342,86,50,False,0,0,2,0.3649300634860992,41,Sub,Brentford,Southampton,3,1,26623,2024,671747,0.0,0,0,0,0.3649300634860992,0.4555194675922394,0.0905893892049789,Southampton,1,3,3
0,0,7,0,3.5,623,0.03,0.03,0.0,1.9,38,2,0,1.2,4.2,2024-09-14,80,0,0,0,0,0,0,0,False,14,0,0,0,0,4,0,1031,1,3,0,4.0,2,73,229,156,50,True,0,0,0,0.0,85,AMC,Southampton,Manchester United,0,3,26632,2024,673364,0.0,0,0,0,0.0,0.0,0.0,Southampton,2,1,4
0,0,17,1,43.0,623,0.23,0.33,0.1,1.14,48,0,0,6.4,12.8,2024-09-21,90,0,0,0,0,0,0,0,False,10,0,0,0,0,5,0,1295,1,1,1,8.0,3,120,232,112,50,True,0,0,1,0.1315326541662216,90,AMC,Southampton,Ipswich,1,1,26643,2024,675632,0.885139524936676,0,3,0,0.1315326541662216,1.4956210851669312,0.4789488911628723,Southampton,2,1,5
0,0,6,0,12.8,623,0.0,0.0,0.0,1.29,52,3,0,2.5,10.4,2024-09-30,69,0,0,0,0,0,0,0,False,3,0,0,0,0,6,0,1395,1,1,3,2.0,1,-17,128,145,50,False,1,0,0,0.0,73,AMC,Bournemouth,Southampton,3,1,26661,2024,678945,0.0373921692371368,0,1,0,0.0,0.1676461100578308,0.1302539408206939,Southampton,1,3,6
1,0,19,0,11.8,623,0.0,0.17,0.17,2.13,61,2,0,4.2,26.6,2024-10-05,73,0,0,0,0,0,0,0,False,1,0,0,0,0,7,0,1425,1,1,3,4.0,5,-58,118,176,50,False,0,0,1,0.4313855469226837,77,ML,Arsenal,Southampton,3,1,26666,2024,679539,0.1151286140084266,1,1,0,0.4313855469226837,0.6919888854026794,0.1454747468233108,Southampton,1,5,7
0,0,8,0,4.7,623,0.02,0.02,0.0,1.95,78,1,0,1.9,12.4,2024-10-19,67,0,0,0,0,0,0,0,False,11,0,0,0,0,8,0,2003,1,3,2,2.0,1,372,542,170,50,True,1,0,0,0.0,70,MC,Southampton,Leicester,2,3,26678,2024,681388,0.0,0,0,0,0.0,0.5896167755126953,0.5896167755126953,Southampton,1,1,8
0,0,13,0,18.4,623,0.05,0.05,0.0,2.95,89,1,0,3.9,18.2,2024-10-26,90,0,0,0,0,0,0,0,False,13,0,0,0,0,9,0,1919,1,0,1,2.0,2,-124,138,262,50,False,0,0,0,0.0,90,ML,Manchester City,Southampton,1,0,26683,2024,682952,0.0608166456222534,0,1,0,0.0,0.3150709867477417,0.3150709867477417,Southampton,1,4,9
0,0,12,1,4.2,623,0.03,0.03,0.0,1.56,98,0,0,2.2,13.8,2024-11-02,90,0,0,0,0,0,0,0,False,8,0,0,0,0,10,0,2195,1,0,1,4.0,2,167,401,234,50,True,1,0,0,0.0,90,ML,Southampton,Everton,1,0,26699,2024,685121,0.0,0,0,0,0.0,0.1675975620746612,0.1675975620746612,Southampton,3,1,10
0,0,15,0,36.8,623,0.17,0.39,0.22,1.26,110,2,0,5.7,12.2,2024-11-09,90,0,0,0,0,0,0,0,False,20,0,0,0,0,11,0,3136,1,0,2,8.0,2,793,1051,258,50,False,0,0,3,0.1910357475280761,90,ML,Wolverhampton Wanderers,Southampton,2,0,26711,2024,686685,0.4635378122329712,0,2,0,0.1910357475280761,0.2025081366300583,0.0,Southampton,1,3,11
0,0,28,0,21.9,623,0.07,0.29,0.22,3.15,120,3,1,9.2,45.6,2024-11-24,90,0,0,0,0,0,0,0,False,12,0,0,0,0,12,0,2625,1,3,2,24.0,7,-587,173,760,50,True,0,1,2,0.473122239112854,90,MC,Southampton,Liverpool,2,3,26721,2024,689133,0.0705176666378974,0,1,1,0.473122239112854,0.473122239112854,0.0,Southampton,5,1,12
0,0,13,0,17.3,623,0.28,0.36,0.08,1.68,122,1,0,3.2,7.8,2024-11-29,90,0,0,0,0,0,0,0,False,5,0,0,0,0,13,0,4011,1,1,1,7.0,2,1000,1338,338,50,False,0,0,2,0.0689581856131553,90,MC,Brighton,Southampton,1,1,26723,2024,689636,0.0,0,0,0,0.0689581856131553,0.1886304020881652,0.1576921194791793,Southampton,1,3,13
0,0,17,0,2.6,623,0.04,0.57,0.53,5.11,140,4,0,6.8,15.6,2024-12-04,78,0,0,0,0,0,0,0,False,6,0,0,0,0,14,0,4383,1,5,1,50.0,2,360,1177,817,50,True,0,0,2,0.724107027053833,84,MC,Southampton,Chelsea,1,5,26741,2024,691453,0.0,0,0,0,0.724107027053833,1.0508568286895752,0.6804705262184143,Southampton,3,1,14
0,0,11,0,11.3,623,0.07,0.14,0.07,2.29,141,1,0,2.3,4.2,2024-12-07,90,0,0,0,0,0,0,0,False,2,0,0,0,0,15,0,4506,1,0,1,7.0,2,11,904,893,50,False,0,0,1,0.1001076474785804,90,MC,Aston Villa,Southampton,1,0,26742,2024,692182,0.0,0,0,0,0.1001076474785804,0.1431475281715393,0.0430398844182491,Southampton,1,4,15
0,0,5,0,15.6,623,0.03,0.03,0.0,2.44,159,5,0,2.4,4.4,2024-12-15,90,0,0,0,0,0,0,0,False,18,0,0,0,0,16,0,3719,1,5,0,4.0,1,-864,228,1092,50,True,1,0,0,0.0,90,MC,Southampton,Tottenham,0,5,26759,2024,694623,0.011917664669454,0,1,0,0.0,0.0796052888035774,0.0676876232028007,Southampton,2,1,16
0,0,15,1,24.1,623,0.31,0.36,0.05,1.04,165,0,0,3.8,10.0,2024-12-22,90,0,0,0,0,0,0,0,False,9,0,0,0,0,17,0,3571,1,0,0,4.0,3,-219,157,376,50,False,0,0,1,0.0511266849935054,90,AMC,Fulham,Southampton,0,0,26763,2024,695653,0.0432842671871185,0,1,0,0.0511266849935054,0.0789125859737396,0.0789125859737396,Southampton,1,3,17
0,0,8,0,52.1,623,0.33,0.54,0.21,1.66,179,1,0,9.7,20.0,2024-12-26,72,0,0,0,0,0,0,0,False,19,0,0,0,0,18,0,4051,1,1,0,25.0,2,381,698,317,50,True,0,0,2,0.4447695016860962,83,AMC,Southampton,West Ham,0,1,26780,2024,696277,0.148026555776596,0,4,0,0.4447695016860962,1.166661262512207,0.966387152671814,Southampton,2,1,18
0,0,9,0,15.8,623,0.1,0.23,0.13,2.03,183,2,0,3.4,1.0,2024-12-29,90,0,0,0,0,0,0,0,False,7,0,0,0,0,19,0,4990,1,1,2,17.0,1,863,1269,406,50,False,1,0,1,0.1239357367157936,90,MC,Crystal Palace,Southampton,2,1,26784,2024,696661,0.0,0,0,0,0.1239357367157936,0.1239357367157936,0.0,Southampton,1,3,19
0,0,17,1,20.2,623,0.05,0.95,0.9,1.57,209,0,0,7.8,21.4,2025-01-16,72,0,0,0,0,0,0,0,False,14,0,0,0,0,21,0,3256,1,1,3,36.0,2,-310,111,421,50,False,1,0,3,0.7004184126853943,74,AMC,Manchester United,Southampton,3,1,26811,2024,699589,0.0312714353203773,0,1,0,0.7004184126853943,0.87867271900177,0.2124398797750473,Southampton,1,3,21
1,2,34,0,63.4,623,0.38,0.53,0.15,2.05,219,3,0,10.4,36.0,2025-01-19,90,0,0,0,0,0,0,0,False,16,0,0,0,0,22,0,3235,1,2,3,5.0,7,-58,134,192,50,False,0,0,1,0.1232156082987785,90,AMC,Nottingham Forest,Southampton,3,2,26820,2024,700522,0.9140997529029846,1,3,0,0.1232156082987785,0.1728848367929458,0.0496692322194576,Southampton,1,4,22
0,0,15,0,22.1,623,0.11,0.25,0.14,2.93,228,3,0,6.3,16.4,2025-01-25,90,0,0,0,0,0,0,0,False,15,0,0,0,0,23,0,4564,1,3,1,24.0,1,1183,1566,383,50,True,1,0,3,0.1365440785884857,90,AMC,Southampton,Newcastle United,1,3,26829,2024,701472,0.0449280552566051,0,1,0,0.1365440785884857,0.3070415556430816,0.1255694329738617,Southampton,4,1,23
0,0,11,0,26.1,623,0.1,0.1,0.0,1.84,236,1,0,4.6,17.6,2025-02-01,90,0,0,0,0,0,0,0,False,10,0,0,0,0,24,0,8048,1,2,1,2.0,2,3174,4186,1012,50,False,0,0,0,0.0,90,AMC,Ipswich,Southampton,1,2,26837,2024,703377,0.1229542270302772,0,2,0,0.0,0.0753543153405189,0.0753543153405189,Southampton,1,2,24
0,0,13,0,18.8,623,0.09,0.09,0.0,1.2,248,3,0,3.3,14.2,2025-02-15,90,0,0,0,0,0,0,0,False,3,0,0,0,0,25,0,5239,1,3,1,0.0,2,-2740,161,2901,50,True,0,0,0,0.0,90,AMC,Southampton,Bournemouth,1,3,26849,2024,706252,0.0280548781156539,0,1,0,0.0,0.0959822982549667,0.0679274201393127,Southampton,3,1,25
0,0,14,0,15.6,623,0.02,0.05,0.03,3.29,260,4,0,2.6,6.0,2025-02-22,87,0,0,0,0,0,0,0,False,5,0,0,0,0,26,0,4767,1,4,0,4.0,2,-563,113,676,50,True,0,0,2,0.0443361215293407,90,MC,Southampton,Brighton,0,4,26861,2024,707859,0.0153765650466084,0,1,0,0.0443361215293407,0.0607119835913181,0.0607119835913181,Southampton,3,1,26
0,0,13,0,4.4,623,0.02,0.04,0.02,2.56,268,4,0,0.8,1.4,2025-02-25,90,0,0,0,0,0,0,0,False,6,0,0,0,0,27,0,4787,1,0,4,2.0,2,-9,409,418,50,False,0,0,1,0.0128134302794933,90,MR,Chelsea,Southampton,4,0,26869,2024,709016,0.0,0,0,0,0.0128134302794933,0.5062543153762817,0.4934408962726593,Southampton,1,4,27
0,0,13,0,1.0,623,0.0,0.02,0.02,4.12,275,3,0,2.5,15.2,2025-03-08,90,0,0,0,0,0,0,0,False,12,0,0,0,0,28,0,4663,1,1,3,9.0,2,-200,345,545,50,False,0,0,1,0.0312254857271909,90,AMC,Liverpool,Southampton,3,1,26876,2024,711405,0.0,0,0,0,0.0312254857271909,0.376681923866272,0.376681923866272,Southampton,1,5,28
0,0,5,0,13.3,623,0.04,0.04,0.0,0.16,290,1,0,1.8,4.6,2025-03-15,45,0,0,0,0,0,0,0,False,20,0,0,0,0,29,0,6940,1,2,1,0.0,1,1924,2354,430,50,True,0,0,0,0.0,47,FW,Southampton,Wolverhampton Wanderers,1,2,26891,2024,713048,0.0771258696913719,0,1,0,0.0,0.0771258696913719,0.0771258696913719,Southampton,3,1,29
1,3,30,0,18.0,623,0.09,0.27,0.18,0.74,300,1,0,5.3,27.0,2025-04-02,90,0,0,0,0,0,0,0,False,7,0,0,0,0,30,0,4963,1,1,1,8.0,8,-1797,69,1866,50,True,0,0,2,0.1336491256952285,90,AMC,Southampton,Crystal Palace,1,1,26900,2024,716212,0.1581640094518661,1,1,0,0.1336491256952285,0.2918131351470947,0.1581640094518661,Southampton,3,1,30
0,2,38,0,15.3,623,0.03,0.43,0.4,2.12,309,3,1,10.3,55.6,2025-04-06,90,0,0,0,0,0,0,0,False,18,0,0,0,0,31,0,4783,1,1,3,32.0,9,-234,166,400,50,False,0,1,5,0.3782406747341156,90,AMC,Tottenham,Southampton,3,1,26910,2024,717501,0.1027492880821228,0,1,1,0.3782406747341156,0.4597519636154175,0.1109889969229698,Southampton,1,3,31
