assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,position,team_h_difficulty,team_a_difficulty,event
1,1,23,0,0.5,88,0.0,0.22,0.22,1.17,8,1,0,5.7,39.4,2024-08-18,90,0,0,0,0,0,0,0,False,7,0,0,0,0,1,0,31553,1,1,2,17.0,6,0,0,0,45,True,0,88,,,0,1,0.0910479202866554,90,DC,Brentford,Crystal Palace,2,1,26609,2024,666795,0.0,0,0,0,0.0910479202866554,0.2227251529693603,0.1316772401332855,9733,Brentford,Nathan Collins,Nathan Collins,DEF,3,3,1
0,0,10,0,0.6,88,0.0,0.15,0.15,2.65,16,2,0,8.3,42.6,2024-08-25,90,0,0,0,0,0,0,0,False,12,0,0,0,0,2,0,56031,1,0,2,40.0,1,8897,12902,4005,45,False,0,88,,,0,2,0.0984806269407272,90,DC,Liverpool,Brentford,2,0,26621,2024,668965,0.0,0,0,0,0.0984806269407272,0.0649927929043769,0.0649927929043769,9733,Brentford,Nathan Collins,Nathan Collins,DEF,3,5,2
1,0,21,0,0.5,88,0.0,0.02,0.02,1.57,22,1,0,4.0,31.2,2024-08-31,90,0,0,0,0,0,0,0,False,17,0,0,0,0,3,0,97670,1,1,3,8.0,5,29816,42081,12265,45,True,0,88,,,0,1,0.0160678476095199,90,DC,Brentford,Southampton,3,1,26623,2024,671723,0.0,0,0,0,0.0160678476095199,1.2750091552734375,1.2750091552734375,9733,Brentford,Nathan Collins,Nathan Collins,DEF,1,3,3
0,0,3,0,0.7,88,0.01,0.15,0.14,2.17,37,2,0,4.3,23.0,2024-09-14,90,0,0,0,0,0,0,0,False,13,0,0,0,0,4,0,117158,1,1,2,19.0,0,16629,45398,28769,45,False,1,88,,,0,1,0.1246048957109451,90,DC,Manchester City,Brentford,2,1,26637,2024,673690,0.0,0,0,0,0.1246048957109451,0.0,0.0,9733,Brentford,Nathan Collins,Nathan Collins,DEF,3,4,4
0,0,0,0,1.1,88,0.01,0.01,0.0,3.52,49,3,0,2.5,22.2,2024-09-21,90,0,0,0,0,0,0,0,False,18,0,0,0,0,5,0,115348,1,1,3,2.0,1,-2273,8065,10338,45,False,0,88,,,0,0,0.0,90,DC,Tottenham,Brentford,3,1,26648,2024,675794,0.0,0,0,0,0.0,0.0153518551960587,0.0153518551960587,9733,Brentford,Nathan Collins,Nathan Collins,DEF,3,3,5
0,0,10,0,1.7,88,0.05,0.05,0.0,0.99,53,1,0,1.7,13.2,2024-09-28,90,0,0,0,0,0,0,0,False,19,0,0,0,0,6,0,137444,1,1,1,2.0,2,19756,46286,26530,45,True,0,88,,,0,0,0.0,90,DC,Brentford,West Ham,1,1,26656,2024,677865,0.0,0,0,0,0.0,0.0,0.0,9733,Brentford,Nathan Collins,Nathan Collins,DEF,2,3,6
1,0,26,0,5.6,88,0.23,0.94,0.71,1.05,63,3,1,11.7,62.8,2024-10-05,90,0,0,0,0,0,0,0,False,20,0,0,0,0,7,0,149172,1,3,5,49.0,10,9281,19433,10152,45,True,0,88,,,1,2,0.7051092386245728,90,DC,Brentford,Wolverhampton Wanderers,5,3,26667,2024,679547,0.0,0,0,1,0.7051092386245728,0.5739205479621887,0.5739205479621887,9733,Brentford,Nathan Collins,Nathan Collins,DEF,3,3,7
0,0,11,0,22.0,88,0.03,0.03,0.0,1.33,75,2,0,6.2,36.2,2024-10-19,90,0,0,0,0,0,0,0,False,14,0,0,0,0,8,0,212324,1,1,2,4.0,1,56931,69395,12464,45,False,0,88,,,0,0,0.0,90,DC,Manchester United,Brentford,2,1,26675,2024,681305,0.0334881208837032,0,1,0,0.0,0.0558748617768287,0.0558748617768287,9733,Brentford,Nathan Collins,Nathan Collins,DEF,3,3,8
0,0,1,0,1.3,88,0.01,0.5,0.49,1.3,83,3,0,2.9,12.4,2024-10-26,90,0,0,0,0,0,0,0,False,10,0,0,0,0,9,0,267443,1,3,4,15.0,1,50066,59315,9249,45,True,0,88,,,0,2,0.6109899282455444,90,DC,Brentford,Ipswich,4,3,26685,2024,682993,0.0,0,0,0,0.6109899282455444,1.3020929098129272,1.1630463600158691,9733,Brentford,Nathan Collins,Nathan Collins,DEF,2,3,9
0,0,7,0,1.1,88,0.0,0.0,0.0,1.37,92,2,0,3.0,24.8,2024-11-04,90,0,0,0,0,0,0,0,False,9,0,0,0,0,10,0,252669,1,1,2,4.0,1,-10138,15920,26058,45,False,0,88,,,0,0,0.0,90,DC,Fulham,Brentford,2,1,26693,2024,686123,0.0,0,0,0,0.0,0.0,0.0,9733,Brentford,Nathan Collins,Nathan Collins,DEF,3,3,10
