assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,pts_bps,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,pts_bps_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,pts_bps_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,pts_bps_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers,whh,whd,wha
0,0,4,0,2.6,576,0.0,0.04,0.04,0.68,50,0,0,1.8,8.4,2024-09-21,18,0,0,0,0,0,0,0,False,6,0,0,0,0,5,0,2670,0,3,0,7.0,1,-56,92,148,4.9,True,0,576,,,0,1,0.0210413821041584,16,Sub,West Ham United,Chelsea,0,3,26642,2024,675290,0.0,0,0,0,0.0210413821041584,0.0841361433267593,0.0630947649478912,26642,West Ham United,Andy Irving,Andy Irving,3,2,5,0.2,MID,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.2333333333333333,0.265,0.245,0.49
0,0,0,0,0.0,576,0.0,0.0,0.0,0.0,53,0,0,0.0,0.0,2024-09-28,1,0,0,0,0,0,0,0,False,4,0,0,0,0,6,0,2664,0,1,1,0.0,0,-72,128,200,4.9,False,1,576,,,0,0,0.0,1,Sub,Brentford,West Ham United,1,1,26656,2024,677891,0.0,0,0,0,0.0,0.0,0.0,26656,West Ham United,Andy Irving,Andy Irving,2,3,6,0.3,MID,0,0.0,0.0,0.04,0.04,0.68,0.0,0.0,1.8,8.4,2.6,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.06,0.2,0.0,0.0,0.01,0.01,0.23,0.0,0.0,0.6,2.8,0.87,2.33,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.33,0.0,0.33,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.02,0.07,0.0,0.0,0.01,0.01,0.14,0.0,0.0,0.36,1.68,0.52,1.4,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.04,-6.0,-0.2195121951219512,0.432,0.271,0.297
0,0,6,0,0.3,576,0.0,0.0,0.0,0.51,97,0,0,0.5,4.2,2024-11-02,11,0,0,0,0,0,0,0,False,16,0,0,0,0,10,0,2603,0,0,3,0.0,1,-34,49,83,4.8,False,0,576,,,0,0,0.0,7,Sub,Nottingham Forest,West Ham United,3,0,26698,2024,685082,0.0,0,0,0,0.0,0.0,0.0,26698,West Ham United,Andy Irving,Andy Irving,2,4,10,0.3,MID,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.01,0.01,0.23,0.0,0.0,0.6,2.8,0.87,2.33,6.33,0.0,0.0,0.0,0.0,0.33,0.0,0.0,1.33,0.33,0.33,0.0,0.33,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.02,0.17,0.0,0.0,0.01,0.01,0.14,0.0,0.0,0.36,1.68,0.52,1.4,3.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.1,-61.0,-0.2575757575757575,0.445,0.273,0.281
0,0,3,0,0.7,576,0.0,0.0,0.0,0.07,119,0,0,0.3,2.6,2024-11-25,6,0,0,0,0,0,0,0,False,15,0,0,0,0,12,0,2635,0,2,0,0.0,1,-41,50,91,4.8,False,0,576,,,0,0,0.0,3,Sub,Newcastle United,West Ham United,0,2,26713,2024,689581,0.0,0,0,0,0.0,0.0,0.0,26713,West Ham United,Andy Irving,Andy Irving,2,4,12,0.7,MID,1,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.5,4.2,0.3,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.01,0.01,0.4,0.0,0.0,0.77,4.2,0.97,2.33,10.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,1.33,1.33,0.67,0.0,0.33,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.02,0.27,0.0,0.0,0.01,0.01,0.24,0.0,0.0,0.46,2.52,0.58,1.4,6.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.8,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.16,32.0,-0.2907801418439716,0.632,0.211,0.158
0,0,1,0,3.5,576,0.0,0.0,0.0,0.22,129,0,0,0.3,0.0,2024-11-30,12,0,0,0,0,0,0,0,False,1,0,0,0,0,13,0,2632,0,5,2,0.0,1,-32,30,62,4.8,True,0,576,,,0,0,0.0,5,Sub,West Ham United,Arsenal,2,5,26730,2024,690373,0.0,0,0,0,0.0,0.4062660038471222,0.4062660038471222,26730,West Ham United,Andy Irving,Andy Irving,5,2,13,-0.2,MID,1,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.3,2.6,0.7,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.27,2.27,0.33,0.0,6.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,1.0,1.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.01,0.01,0.25,0.0,0.0,0.52,3.04,0.72,1.4,7.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.2,0.8,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.3,-3.0,-0.3478260869565217,0.135,0.211,0.654
0,0,3,0,3.0,576,0.01,0.01,0.0,0.59,190,1,0,0.4,1.4,2024-12-29,17,0,0,0,0,0,0,0,False,12,0,0,0,0,19,0,2605,0,5,0,0.0,1,-20,33,53,4.8,True,0,576,,,0,0,0.0,14,Sub,West Ham United,Liverpool,0,5,26791,2024,696810,0.0,0,0,0,0.0,0.0928608477115631,0.0928608477115631,26791,West Ham United,Andy Irving,Andy Irving,5,2,19,-0.8,MID,1,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.3,0.0,3.5,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,-0.2,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.37,2.27,1.5,0.0,9.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,1.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.27,0.0,0.0,0.01,0.01,0.3,0.0,0.0,0.58,3.04,1.42,1.4,9.6,0.0,0.0,0.0,0.0,0.2,0.0,0.0,2.2,1.2,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.09,0.26,-27.0,-0.2325581395348837,0.135,0.189,0.676
0,0,2,0,0.6,576,0.0,0.0,0.0,0.93,207,1,0,0.5,4.2,2025-01-14,18,0,0,0,0,0,0,0,False,9,0,0,0,0,21,0,2639,0,2,3,0.0,1,-13,47,60,4.8,True,0,576,,,0,0,0.0,14,Sub,West Ham United,Fulham,3,2,26808,2024,699152,0.0,0,0,0,0.0,0.0638335272669792,0.0638335272669792,26808,West Ham United,Andy Irving,Andy Irving,3,2,21,0.4,MID,1,0.0,0.01,0.01,0.0,0.59,1.0,0.0,0.4,1.4,3.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,-0.8,0.0,0.0,0.0,0.0,0.29,0.33,0.0,0.33,1.33,2.4,0.0,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,-0.1,0.0,0.0,0.0,0.0,0.28,0.2,0.0,0.3,1.64,1.5,0.0,9.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,2.6,1.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.06,34.0,-0.1214953271028037,0.318,0.281,0.401
0,0,8,0,0.3,576,0.0,0.07,0.07,0.02,221,0,0,1.5,5.2,2025-01-26,1,0,0,0,0,0,0,0,False,2,0,0,0,0,23,0,2642,0,1,1,9.0,1,-12,38,50,4.8,False,0,576,,,0,2,0.0725440233945846,1,Sub,Aston Villa,West Ham United,1,1,26823,2024,702202,0.0,0,0,0,0.0725440233945846,0.0725440233945846,0.033815860748291,26823,West Ham United,Andy Irving,Andy Irving,2,4,23,0.5,MID,1,0.0,0.0,0.0,0.0,0.93,1.0,0.0,0.5,4.2,0.6,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.4,0.0,0.0,0.0,0.0,0.58,0.67,0.0,0.4,1.87,2.37,0.0,15.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,-0.2,0.0,0.0,0.0,0.0,0.46,0.4,0.0,0.4,2.48,1.62,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.08,3.0,-0.1363636363636363,0.617,0.218,0.164
0,0,8,0,15.1,576,0.11,0.13,0.02,1.46,234,2,0,2.7,11.0,2025-02-03,76,0,0,0,0,0,0,0,False,6,0,0,0,0,24,0,2672,1,1,2,1.0,1,3,38,35,4.8,False,1,576,,,0,1,0.0145901134237647,80,MC,Chelsea,West Ham United,2,1,26835,2024,704458,0.2821362912654876,0,1,0,0.0145901134237647,0.2821362912654876,0.2821362912654876,26835,West Ham United,Andy Irving,Andy Irving,2,4,24,0.3,MID,1,0.0,0.0,0.07,0.07,0.02,0.0,0.0,1.5,5.2,0.3,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.07,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.03,0.5,0.0,0.0,0.03,0.02,0.51,0.67,0.0,0.8,3.6,1.3,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,1.33,1.0,0.0,0.67,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.06,0.03,0.0,0.0,0.02,0.01,0.37,0.4,0.0,0.6,2.68,1.62,1.8,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.2,1.0,0.0,0.4,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.13,0.12,0.12,30.0,0.0410958904109589,0.687,0.197,0.117
0,0,3,0,0.4,576,0.0,0.0,0.0,0.0,266,0,0,0.1,0.6,2025-02-27,1,0,0,0,0,0,0,0,False,11,0,0,0,0,27,0,2734,0,0,2,0.0,1,-8,34,42,4.7,True,0,576,,,0,0,0.0,1,Sub,West Ham United,Leicester,2,0,26866,2024,709313,0.0,0,0,0,0.0,0.0,0.0,26866,West Ham United,Andy Irving,Andy Irving,1,2,27,0.5,MID,1,0.0,0.11,0.13,0.02,1.46,2.0,0.0,2.7,11.0,15.1,1.0,76.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.01,0.28,0.0,0.0,1.0,0.0,0.01,0.28,0.28,0.3,0.0,0.04,0.07,0.03,0.8,1.0,0.0,1.57,6.8,5.33,3.33,31.67,0.0,0.0,0.0,0.0,0.33,0.0,0.33,1.33,2.0,1.0,0.0,1.0,0.03,0.09,0.0,0.0,0.33,0.0,0.03,0.14,0.13,0.4,0.0,0.02,0.04,0.02,0.64,0.8,0.0,1.08,4.36,4.5,2.0,24.8,0.0,0.0,0.0,0.0,0.2,0.0,0.2,2.8,1.6,1.0,0.0,0.6,0.02,0.06,0.0,0.0,0.2,0.0,0.02,0.18,0.18,0.04,62.0,-0.1052631578947368,0.585,0.226,0.19
