assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_2,expected_assists_2,expected_goal_involvements_2,expected_goals_2,expected_goals_conceded_2,goals_conceded_2,goals_scored_2,ict_index_2,influence_2,creativity_2,threat_2,minutes_2,own_goals_2,penalties_missed_2,penalties_saved_2,red_cards_2,yellow_cards_2,saves_2,starts_2,team_a_score_2,team_h_score_2,total_points_2,goals_2,shots_2,xG_2,xA_2,assists_x_2,assists_y_2,key_passes_2,npg_2,npxG_2,xGChain_2,xGBuildup_2,xP_2,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_4,expected_assists_4,expected_goal_involvements_4,expected_goals_4,expected_goals_conceded_4,goals_conceded_4,goals_scored_4,ict_index_4,influence_4,creativity_4,threat_4,minutes_4,own_goals_4,penalties_missed_4,penalties_saved_4,red_cards_4,yellow_cards_4,saves_4,starts_4,team_a_score_4,team_h_score_4,total_points_4,goals_4,shots_4,xG_4,xA_4,assists_x_4,assists_y_4,key_passes_4,npg_4,npxG_4,xGChain_4,xGBuildup_4,xP_4,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers,pts_bps,whh,whd,wha
0,0,18,1,0.0,395,0.0,0.0,0.0,1.77,5,0,0,1.7,17.4,2024-08-17,90,0,0,0,0,0,0,0,False,17,0,0,0,0,1,0,1462975,1,0,1,0.0,5,0,0,0,4.5,True,1,0,0,0.0,90,Newcastle United,Southampton,1,0,26606,2024,666358,0.0,0,0,0,0.0,0.0,0.0,Newcastle United,1,4,1,2.9,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
0,0,3,0,1.3,395,0.01,0.29,0.28,2.23,12,1,0,5.3,24.2,2024-08-25,90,0,0,0,0,0,0,0,False,3,0,0,0,0,2,0,1627229,1,1,1,27.0,1,60132,110885,50753,4.5,False,1,0,2,0.4444933533668518,90,Bournemouth,Newcastle United,1,1,26620,2024,668719,0.0,0,0,0,0.4444933533668518,0.6228166222572327,0.6228166222572327,Newcastle United,4,3,2,3.5,DEF,1.0,0.0,0.0,0.0,1.77,0.0,0.0,1.7,17.4,0.0,0.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164254.0,0.372016481272968,,,,
0,0,0,0,0.5,395,0.06,0.06,0.0,1.26,28,1,0,2.0,19.0,2024-09-01,90,0,0,0,0,0,0,0,False,18,1,0,0,0,3,0,1543965,1,1,2,0.0,0,-94860,74843,169703,4.5,True,0,0,0,0.0,90,Newcastle United,Tottenham,2,1,26629,2024,672458,0.0,0,0,0,0.0,1.1783970594406128,1.1783970594406128,Newcastle United,2,4,3,2.5,DEF,0.0,0.01,0.29,0.28,2.23,1.0,0.0,5.3,24.2,1.3,27.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.44,0.0,0.0,0.0,0.0,0.0,0.44,0.62,0.62,3.5,0.5,0.0,0.14,0.14,2.0,0.5,0.0,3.5,20.8,0.65,13.5,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,1.0,3.0,0.0,1.0,0.22,0.0,0.0,0.0,0.0,0.0,0.22,0.31,0.31,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-83264.0,-0.3879024805149133,,,,
0,0,11,0,0.7,395,0.02,0.07,0.05,0.99,40,1,0,2.3,14.6,2024-09-15,90,0,0,0,0,0,0,0,False,20,0,0,0,0,4,0,1417167,1,2,1,8.0,1,-144666,60618,205284,4.5,False,1,0,1,0.0330638997256755,90,Wolverhampton Wanderers,Newcastle United,1,2,26641,2024,674629,0.0,0,0,0,0.0330638997256755,0.4884706735610962,0.4884706735610962,Newcastle United,4,3,4,2.3,DEF,0.0,0.06,0.06,0.0,1.26,1.0,0.0,2.0,19.0,0.5,0.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,1.18,2.5,0.0,0.03,0.18,0.14,1.74,1.0,0.0,3.65,21.6,0.9,13.5,90.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,1.0,1.5,0.5,0.0,1.0,0.22,0.0,0.0,0.0,0.0,0.0,0.22,0.9,0.9,3.0,0.33,0.02,0.12,0.09,1.75,0.67,0.0,3.0,20.2,0.6,9.0,90.0,0.33,0.0,0.0,0.0,0.67,0.0,1.0,0.67,1.33,2.0,0.0,0.67,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.6,0.6,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-126798.0,-0.544057585125347,,,,
0,0,6,0,0.8,395,0.0,0.01,0.01,2.29,44,3,0,4.2,20.6,2024-09-21,90,0,0,0,0,0,0,0,False,9,0,0,0,0,5,0,1349728,1,1,3,21.0,1,-72024,19143,91167,4.5,False,0,0,0,0.0,90,Fulham,Newcastle United,3,1,26646,2024,675732,0.0,0,0,0,0.0,0.1296966224908828,0.1296966224908828,Newcastle United,4,3,5,1.3,DEF,0.0,0.02,0.07,0.05,0.99,1.0,0.0,2.3,14.6,0.7,8.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.49,0.49,2.3,0.0,0.04,0.06,0.02,1.12,1.0,0.0,2.15,16.8,0.6,4.0,90.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,1.5,1.5,0.5,0.0,0.5,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.83,0.83,2.4,0.0,0.03,0.14,0.11,1.49,1.0,0.0,3.2,19.27,0.83,11.67,90.0,0.33,0.0,0.0,0.0,0.67,0.0,1.0,1.33,1.33,0.67,0.0,1.0,0.16,0.0,0.0,0.0,0.0,0.0,0.16,0.76,0.76,2.77,0.25,0.02,0.1,0.08,1.56,0.75,0.0,2.82,18.8,0.62,8.75,90.0,0.25,0.0,0.0,0.0,0.75,0.0,1.0,1.0,1.25,1.75,0.0,0.75,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.57,0.57,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67439.0,-0.6529235790046234,,,,
0,0,7,0,10.3,395,0.03,0.07,0.04,0.91,58,1,0,3.1,14.0,2024-09-28,90,0,0,0,0,0,0,0,False,13,0,0,0,0,6,0,1121117,1,1,1,7.0,2,-228427,8101,236528,4.5,True,0,0,1,0.0611958317458629,90,Newcastle United,Manchester City,1,1,26652,2024,677435,0.0766785368323326,0,1,0,0.0611958317458629,0.0375358536839485,0.0375358536839485,Newcastle United,4,4,6,0.5,DEF,0.0,0.0,0.01,0.01,2.29,3.0,0.0,4.2,20.6,0.8,21.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,1.3,0.0,0.01,0.04,0.03,1.64,2.0,0.0,3.25,17.6,0.75,14.5,90.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.5,2.0,1.0,0.0,0.5,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.31,0.31,1.8,0.0,0.03,0.05,0.02,1.51,1.67,0.0,2.83,18.07,0.67,9.67,90.0,0.33,0.0,0.0,0.0,0.33,0.0,1.0,1.33,2.0,0.67,0.0,0.33,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.6,0.6,2.03,0.0,0.02,0.11,0.08,1.69,1.5,0.0,3.45,19.6,0.82,14.0,90.0,0.25,0.0,0.0,0.0,0.5,0.0,1.0,1.25,1.75,0.75,0.0,0.75,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.6,0.6,2.4,0.2,0.02,0.09,0.07,1.71,1.2,0.0,3.1,19.16,0.66,11.2,90.0,0.2,0.0,0.0,0.0,0.6,0.0,1.0,1.0,1.6,1.6,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.48,0.48,2.5,-228611.0,-0.9337690952421832,,,,
0,2,28,1,0.0,395,0.0,0.03,0.03,0.67,67,0,0,2.3,16.6,2024-10-05,90,0,0,0,0,0,0,0,False,8,0,0,0,0,7,0,1074430,1,0,0,6.0,8,-53851,21475,75326,4.4,False,0,0,1,0.060645468533039,90,Everton,Newcastle United,0,0,26669,2024,679744,0.0,0,0,0,0.060645468533039,0.3957020938396454,0.3957020938396454,Newcastle United,4,3,7,3.5,DEF,0.0,0.03,0.07,0.04,0.91,1.0,0.0,3.1,14.0,10.3,7.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.06,0.08,0.0,0.0,1.0,0.0,0.06,0.04,0.04,0.5,0.0,0.02,0.04,0.02,1.6,2.0,0.0,3.65,17.3,5.55,14.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.5,0.0,0.5,0.03,0.04,0.0,0.0,0.5,0.0,0.03,0.08,0.08,0.9,0.0,0.02,0.05,0.03,1.4,1.67,0.0,3.2,16.4,3.93,12.0,90.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.33,1.67,1.33,0.0,0.67,0.03,0.03,0.0,0.0,0.33,0.0,0.03,0.22,0.22,1.37,0.0,0.03,0.05,0.02,1.36,1.5,0.0,2.9,17.05,3.08,9.0,90.0,0.25,0.0,0.0,0.0,0.25,0.0,1.0,1.25,1.75,1.0,0.0,0.5,0.02,0.02,0.0,0.0,0.25,0.0,0.02,0.46,0.46,1.65,0.0,0.02,0.1,0.08,1.54,1.4,0.0,3.38,18.48,2.72,12.6,90.0,0.2,0.0,0.0,0.0,0.4,0.0,1.0,1.2,1.6,1.0,0.0,0.8,0.11,0.02,0.0,0.0,0.2,0.0,0.11,0.49,0.49,2.02,-46687.0,-0.5563062365058212,,,,
0,0,5,0,0.8,395,0.0,0.0,0.0,1.12,76,1,0,2.0,17.0,2024-10-19,90,0,0,0,0,0,0,0,False,5,0,0,0,0,8,0,1060858,1,1,0,2.0,1,-17673,27037,44710,4.4,True,1,0,0,0.0,90,Newcastle United,Brighton,0,1,26676,2024,681352,0.0,0,0,0,0.0,0.8353791236877441,0.8353791236877441,Newcastle United,3,4,8,3.7,DEF,1.0,0.0,0.03,0.03,0.67,0.0,0.0,2.3,16.6,0.0,6.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,1.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.4,0.4,3.5,0.5,0.02,0.05,0.04,0.79,0.5,0.0,2.7,15.3,5.15,6.5,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,5.0,0.0,1.0,0.06,0.04,0.0,0.0,0.5,0.0,0.06,0.22,0.22,2.0,0.33,0.01,0.04,0.03,1.29,1.33,0.0,3.2,17.07,3.7,11.33,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,1.33,3.67,0.0,0.67,0.04,0.03,0.0,0.0,0.33,0.0,0.04,0.19,0.19,1.77,0.25,0.01,0.04,0.03,1.22,1.25,0.0,2.98,16.45,2.95,10.5,90.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,1.0,1.25,3.0,0.0,0.75,0.04,0.02,0.0,0.0,0.25,0.0,0.04,0.26,0.26,1.9,0.2,0.02,0.05,0.03,1.22,1.2,0.0,2.78,16.96,2.46,8.4,90.0,0.2,0.0,0.0,0.0,0.2,0.0,1.0,1.0,1.4,2.4,0.0,0.6,0.03,0.02,0.0,0.0,0.2,0.0,0.03,0.45,0.45,2.02,-13572.0,-0.2463238881068198,,,,
0,0,5,0,1.1,395,0.07,0.13,0.06,1.64,85,2,0,1.6,8.6,2024-10-27,90,0,0,0,0,0,0,0,False,6,0,0,0,0,9,0,1005190,1,1,2,6.0,1,-53772,7970,61742,4.4,False,0,0,1,0.0647834539413452,90,Chelsea,Newcastle United,2,1,26688,2024,683525,0.0,0,0,0,0.0647834539413452,0.0,0.0,Newcastle United,4,4,9,2.8,DEF,0.0,0.0,0.0,0.0,1.12,1.0,0.0,2.0,17.0,0.8,2.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.84,3.7,0.5,0.0,0.02,0.02,0.9,0.5,0.0,2.15,16.8,0.4,4.0,90.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,4.5,0.0,0.5,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.62,0.62,3.6,0.33,0.01,0.03,0.02,0.9,0.67,0.0,2.47,15.87,3.7,5.0,90.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.67,0.33,3.67,0.0,0.67,0.04,0.03,0.0,0.0,0.33,0.0,0.04,0.42,0.42,2.57,0.25,0.01,0.03,0.02,1.25,1.25,0.0,2.9,17.05,2.98,9.0,90.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.75,1.0,3.0,0.0,0.5,0.03,0.02,0.0,0.0,0.25,0.0,0.03,0.35,0.35,2.25,0.2,0.01,0.04,0.03,1.2,1.2,0.0,2.78,16.56,2.52,8.8,90.0,0.0,0.0,0.0,0.0,0.4,0.0,1.0,1.0,1.0,2.6,0.0,0.6,0.03,0.02,0.0,0.0,0.2,0.0,0.03,0.38,0.38,2.26,-55668.0,-0.7713449621299059,,,,
0,0,20,1,0.1,395,0.0,0.0,0.0,1.05,96,0,0,0.5,5.2,2024-11-02,90,0,0,0,0,0,0,0,False,1,0,0,0,0,10,0,953563,1,0,1,0.0,6,-53871,10684,64555,4.4,True,0,0,0,0.0,90,Newcastle United,Arsenal,1,0,26694,2024,684655,0.0,0,0,0,0.0,0.1082855612039566,0.1082855612039566,Newcastle United,5,4,10,1.7,DEF,0.0,0.07,0.13,0.06,1.64,2.0,0.0,1.6,8.6,1.1,6.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,2.8,0.0,0.04,0.06,0.03,1.38,1.5,0.0,1.8,12.8,0.95,4.0,90.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.42,0.42,3.25,0.33,0.02,0.05,0.03,1.14,1.0,0.0,1.97,14.07,0.63,4.67,90.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.67,0.67,3.33,0.0,0.67,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.41,0.41,3.33,0.25,0.02,0.06,0.03,1.08,1.0,0.0,2.25,14.05,3.05,5.25,90.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.75,0.75,3.0,0.0,0.75,0.05,0.02,0.0,0.0,0.25,0.0,0.05,0.32,0.32,2.62,0.2,0.02,0.05,0.03,1.33,1.4,0.0,2.64,15.36,2.6,8.4,90.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.8,1.2,2.6,0.0,0.6,0.04,0.02,0.0,0.0,0.2,0.0,0.04,0.28,0.28,2.36,-51627.0,-0.7159983519185529,,,,
