assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_2,expected_assists_2,expected_goal_involvements_2,expected_goals_2,expected_goals_conceded_2,goals_conceded_2,goals_scored_2,ict_index_2,influence_2,creativity_2,threat_2,minutes_2,own_goals_2,penalties_missed_2,penalties_saved_2,red_cards_2,yellow_cards_2,saves_2,starts_2,team_a_score_2,team_h_score_2,total_points_2,goals_2,shots_2,xG_2,xA_2,assists_x_2,assists_y_2,key_passes_2,npg_2,npxG_2,xGChain_2,xGBuildup_2,xP_2,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_4,expected_assists_4,expected_goal_involvements_4,expected_goals_4,expected_goals_conceded_4,goals_conceded_4,goals_scored_4,ict_index_4,influence_4,creativity_4,threat_4,minutes_4,own_goals_4,penalties_missed_4,penalties_saved_4,red_cards_4,yellow_cards_4,saves_4,starts_4,team_a_score_4,team_h_score_4,total_points_4,goals_4,shots_4,xG_4,xA_4,assists_x_4,assists_y_4,key_passes_4,npg_4,npxG_4,xGChain_4,xGBuildup_4,xP_4,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers,pts_bps,whh,whd,wha
0,0,7,0,0.0,304,0.0,0.0,0.0,1.91,175,3,0,4.1,40.8,2024-12-26,90,0,0,0,0,0,0,0,False,12,0,0,0,0,18,4,4238,1,1,3,0.0,2,-39,109,148,4.0,False,0,0,0,0,90,Liverpool,Leicester,3,1,26776,2024,696351,0,0,0,0,0,0.0,0.0,Leicester,1,5,18,-0.7,GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.1517509727626459,2.0,0.884,0.08,0.037
0,0,7,0,0.0,304,0.0,0.0,0.0,1.27,187,2,0,2.4,24.4,2024-12-29,90,0,0,0,0,0,0,0,False,13,0,0,0,0,19,3,10838,1,2,0,0.0,2,6010,6569,559,4.0,True,0,0,0,0,90,Leicester,Manchester City,0,2,26788,2024,696582,0,0,0,0,0,0.6422144174575806,0.6422144174575806,Leicester,4,1,19,0.2,GK,0.0,0.0,0.0,0.0,1.91,3.0,0.0,4.1,40.8,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6600.0,0.8431537598204265,,,,
0,0,5,0,0.0,304,0.0,0.0,0.0,1.56,191,2,0,1.9,18.8,2025-01-04,90,0,0,0,0,0,0,0,False,2,0,0,0,0,20,3,25679,1,1,2,0.0,2,13835,18329,4494,4.0,False,0,0,0,0,90,Aston Villa,Leicester,2,1,26793,2024,697260,0,0,0,0,0,0.0587538480758667,0.0587538480758667,Leicester,1,4,20,1.0,GK,0.0,0.0,0.0,0.0,1.27,2.0,0.0,2.4,24.4,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,0.2,0.0,0.0,0.0,0.0,1.59,2.5,0.0,3.25,32.6,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,1.5,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14841.0,0.6061867414450335,2.0,0.715,0.173,0.112
0,0,8,0,0.0,304,0.0,0.0,0.0,1.82,205,2,0,2.2,21.8,2025-01-15,90,0,0,0,0,0,0,0,False,7,0,0,0,0,21,2,36409,1,2,0,0.0,1,9797,14819,5022,4.0,True,0,0,0,0,90,Leicester,Crystal Palace,0,2,26806,2024,699284,0,0,0,0,0,0.0933710113167762,0.0933710113167762,Leicester,3,1,21,1.4,GK,0.0,0.0,0.0,0.0,1.56,2.0,0.0,1.9,18.8,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,1.0,0.0,0.0,0.0,0.0,1.42,2.0,0.0,2.15,21.6,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.6,0.0,0.0,0.0,0.0,1.58,2.33,0.0,2.8,28.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,3.33,1.0,1.33,1.67,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10730.0,0.4937755153470087,1.0,0.254,0.257,0.489
0,0,0,0,0.0,304,0.0,0.0,0.0,2.19,216,2,0,0.4,3.6,2025-01-18,90,0,0,0,0,0,0,0,False,9,0,0,0,0,22,0,42301,1,2,0,0.0,1,6160,8029,1869,4.0,True,0,0,0,0,90,Leicester,Fulham,0,2,26817,2024,700020,0,0,0,0,0,0.0,0.0,Leicester,3,1,22,0.0,GK,0.0,0.0,0.0,0.0,1.82,2.0,0.0,2.2,21.8,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,1.4,0.0,0.0,0.0,0.0,1.69,2.0,0.0,2.05,20.3,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,1.5,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,1.2,0.0,0.0,0.0,0.0,1.55,2.0,0.0,2.17,21.67,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,2.67,1.0,1.67,0.67,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.87,0.0,0.0,0.0,0.0,1.64,2.25,0.0,2.65,26.45,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.5,1.25,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5892.0,0.6223479490806223,1.0,0.241,0.251,0.508
0,0,17,0,0.0,304,0.0,0.0,0.0,1.04,229,1,0,3.1,31.4,2025-01-26,90,0,0,0,0,0,0,0,False,18,0,0,0,0,23,5,47460,1,2,1,0.0,2,4617,8926,4309,4.0,False,1,0,0,0,90,Tottenham,Leicester,1,2,26830,2024,702031,0,0,0,0,0,0.1172198429703712,0.1172198429703712,Leicester,1,3,23,1.5,GK,0.0,0.0,0.0,0.0,2.19,2.0,0.0,0.4,3.6,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.3,12.7,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.7,0.0,0.0,0.0,0.0,1.86,2.0,0.0,1.5,14.73,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,1.67,1.0,1.67,0.67,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.8,0.0,0.0,0.0,0.0,1.71,2.0,0.0,1.72,17.15,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.75,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.65,0.0,0.0,0.0,0.0,1.75,2.2,0.0,2.2,21.88,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,2.4,1.0,1.6,1.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.38,5159.0,0.3488477521722705,2.0,0.651,0.187,0.162
0,0,23,1,0.0,304,0.0,0.0,0.0,0.53,348,0,0,2.0,20.0,2025-05-03,90,0,0,0,0,0,0,0,False,17,0,0,0,0,35,2,46027,1,0,2,0.0,6,1055,2824,1769,4.0,True,0,0,0,0,90,Leicester,Southampton,2,0,26951,2024,724105,0,0,0,0,0,0.6091964244842529,0.6091964244842529,Leicester,1,1,35,1.5,GK,0.0,0.0,0.0,0.0,1.04,1.0,0.0,3.1,31.4,0.0,0.0,90.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,1.5,0.0,0.0,0.0,0.0,1.62,1.5,0.0,1.75,17.5,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.5,2.5,1.0,2.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.75,0.0,0.0,0.0,0.0,1.68,1.67,0.0,1.9,18.93,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.33,2.33,1.0,2.0,0.33,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.97,0.0,0.0,0.0,0.0,1.65,1.75,0.0,1.9,18.9,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.25,2.5,1.0,1.75,0.75,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.98,0.0,0.0,0.0,0.0,1.58,1.8,0.0,2.0,20.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.2,2.6,1.0,1.8,0.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.82,-1433.0,0.2296973655562812,6.0,,,
0,0,5,0,0.0,304,0.0,0.0,0.0,1.31,357,2,0,2.0,20.2,2025-05-11,90,0,0,0,0,0,0,0,False,16,0,0,0,0,36,2,48211,1,2,2,0.0,1,1724,4404,2680,4.0,False,0,0,0,0,90,Nottingham Forest,Leicester,2,2,26958,2024,726617,0,0,0,0,0,0.3331030011177063,0.3331030011177063,Leicester,1,4,36,0.8,GK,1.0,0.0,0.0,0.0,0.53,0.0,0.0,2.0,20.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.61,1.5,0.5,0.0,0.0,0.0,0.79,0.5,0.0,2.55,25.7,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.5,3.5,1.0,1.0,1.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.36,1.5,0.33,0.0,0.0,0.0,1.25,1.0,0.0,1.83,18.33,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.33,2.33,1.0,1.33,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,1.0,0.25,0.0,0.0,0.0,1.4,1.25,0.0,1.92,19.2,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.25,2.25,1.0,1.5,0.75,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.1,0.2,0.0,0.0,0.0,1.43,1.4,0.0,1.92,19.12,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.2,2.4,1.0,1.4,1.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,1.08,2184.0,0.243365330321852,,,,
0,0,22,1,0.0,304,0.0,0.0,0.0,1.41,368,0,0,1.6,16.0,2025-05-18,90,0,0,0,0,0,0,0,False,10,0,0,0,0,37,2,55692,1,0,2,0.0,6,6395,7598,1203,4.0,True,0,0,0,0,90,Leicester,Ipswich,2,0,26969,2024,728526,0,0,0,0,0,0.0,0.0,Leicester,2,1,37,3.2,GK,0.0,0.0,0.0,0.0,1.31,2.0,0.0,2.0,20.2,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.8,0.5,0.0,0.0,0.0,0.92,1.0,0.0,2.0,20.1,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.47,1.15,0.33,0.0,0.0,0.0,0.96,1.0,0.0,2.37,23.87,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.33,3.0,1.0,1.33,1.67,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,1.27,0.25,0.0,0.0,0.0,1.27,1.25,0.0,1.88,18.8,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.25,2.25,1.0,1.5,1.25,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.95,0.2,0.0,0.0,0.0,1.38,1.4,0.0,1.94,19.4,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.2,2.2,1.0,1.6,1.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,1.04,7481.0,0.7266219747755936,6.0,,,
0,0,10,0,0.0,304,0.0,0.0,0.0,1.79,371,2,0,3.1,31.4,2025-05-25,90,0,0,0,0,0,0,0,False,3,0,0,0,0,38,5,60809,1,0,2,0.0,2,4491,8061,3570,4.0,False,0,0,0,0,90,Bournemouth,Leicester,2,0,26979,2024,730047,0,0,0,0,0,0.0343493744730949,0.0343493744730949,Leicester,1,3,38,3.3,GK,1.0,0.0,0.0,0.0,1.41,0.0,0.0,1.6,16.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.5,0.0,0.0,0.0,1.36,1.0,0.0,1.8,18.1,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,2.0,0.67,0.0,0.0,0.0,1.08,0.67,0.0,1.87,18.73,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.67,2.0,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.31,1.83,0.5,0.0,0.0,0.0,1.07,0.75,0.0,2.17,21.9,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.25,2.75,1.0,1.0,1.75,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,1.75,0.4,0.0,0.0,0.0,1.3,1.0,0.0,1.82,18.24,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.2,2.2,1.0,1.2,1.4,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,1.4,5117.0,0.3861232912045396,2.0,,,
