assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_2,expected_assists_2,expected_goal_involvements_2,expected_goals_2,expected_goals_conceded_2,goals_conceded_2,goals_scored_2,ict_index_2,influence_2,creativity_2,threat_2,minutes_2,own_goals_2,penalties_missed_2,penalties_saved_2,red_cards_2,yellow_cards_2,saves_2,starts_2,team_a_score_2,team_h_score_2,total_points_2,goals_2,shots_2,xG_2,xA_2,assists_x_2,assists_y_2,key_passes_2,npg_2,npxG_2,xGChain_2,xGBuildup_2,xP_2,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_4,expected_assists_4,expected_goal_involvements_4,expected_goals_4,expected_goals_conceded_4,goals_conceded_4,goals_scored_4,ict_index_4,influence_4,creativity_4,threat_4,minutes_4,own_goals_4,penalties_missed_4,penalties_saved_4,red_cards_4,yellow_cards_4,saves_4,starts_4,team_a_score_4,team_h_score_4,total_points_4,goals_4,shots_4,xG_4,xA_4,assists_x_4,assists_y_4,key_passes_4,npg_4,npxG_4,xGChain_4,xGBuildup_4,xP_4,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5
0.0,0.0,6.0,0.0,1.6,417.0,0.0,0.0,0.0,0.27,28.0,0.0,0.0,0.5,3.6,2024-09-01,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,18.0,0.0,0.0,0.0,0.0,3.0,0.0,13419.0,0.0,1.0,2.0,0.0,1.0,6040.0,7313.0,1273.0,5.5,True,0.0,417.0,0.0,0.0,0.0,17.0,Newcastle United,Tottenham,2.0,1.0,26629.0,2024.0,672466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7958.0,Newcastle United,3.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,11.0,0.0,2.8,417.0,0.03,0.47,0.44,0.37,40.0,0.0,0.0,4.9,12.6,2024-09-15,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,20.0,0.0,0.0,0.0,0.0,4.0,0.0,28721.0,0.0,2.0,1.0,34.0,1.0,10846.0,14802.0,3956.0,5.5,False,0.0,417.0,0.0,2.0,0.235556349158287,42.0,Wolverhampton Wanderers,Newcastle United,1.0,2.0,26641.0,2024.0,674637.0,0.0,0.0,0.0,0.0,0.235556349158287,0.5946799516677856,0.445745438337326,7958.0,Newcastle United,3.0,2.0,4.0,,,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.5,3.6,1.6,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,8.0,0.0,14.6,417.0,0.09,0.13,0.04,0.6,44.0,1.0,0.0,2.8,6.4,2024-09-21,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,9.0,0.0,0.0,0.0,0.0,5.0,0.0,34114.0,0.0,1.0,3.0,7.0,1.0,3827.0,7671.0,3844.0,5.5,False,0.0,417.0,0.0,1.0,0.0408678390085697,15.0,Fulham,Newcastle United,3.0,1.0,26646.0,2024.0,675741.0,0.0150175029411911,0.0,1.0,0.0,0.0408678390085697,0.0,0.0,7958.0,Newcastle United,3.0,3.0,5.0,,,0.0,0.03,0.47,0.44,0.37,0.0,0.0,4.9,12.6,2.8,34.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.24,0.0,0.0,0.0,0.0,0.0,0.24,0.59,0.45,,0.0,0.02,0.24,0.22,0.32,0.0,0.0,2.7,8.1,2.2,17.0,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.0,0.0,1.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.3,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,10.0,0.0,11.2,417.0,0.02,0.02,0.0,0.67,58.0,1.0,0.0,2.5,9.4,2024-09-28,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,13.0,0.0,0.0,0.0,0.0,6.0,0.0,30700.0,1.0,1.0,1.0,4.0,1.0,-4389.0,3194.0,7583.0,5.5,True,1.0,417.0,0.0,0.0,0.0,78.0,Newcastle United,Manchester City,1.0,1.0,26652.0,2024.0,677439.0,0.065375842154026,0.0,1.0,0.0,0.0,0.1029116958379745,0.1029116958379745,7958.0,Newcastle United,4.0,4.0,6.0,,,0.0,0.09,0.13,0.04,0.6,1.0,0.0,2.8,6.4,14.6,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.04,0.02,0.0,0.0,1.0,0.0,0.04,0.0,0.0,,0.0,0.06,0.3,0.24,0.48,0.5,0.0,3.85,9.5,8.7,20.5,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,1.0,0.0,1.5,0.14,0.01,0.0,0.0,0.5,0.0,0.14,0.3,0.22,,0.0,0.04,0.2,0.16,0.41,0.33,0.0,2.73,7.53,6.33,13.67,27.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,2.0,1.0,0.0,1.0,0.09,0.01,0.0,0.0,0.33,0.0,0.09,0.2,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,12.0,1.0,4.6,417.0,0.04,0.27,0.23,0.63,67.0,0.0,0.0,2.8,4.6,2024-10-05,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,8.0,0.0,0.0,0.0,0.0,7.0,0.0,34685.0,1.0,0.0,0.0,19.0,3.0,2082.0,6630.0,4548.0,5.5,False,0.0,417.0,0.0,2.0,0.1943503022193908,77.0,Everton,Newcastle United,0.0,0.0,26669.0,2024.0,679748.0,0.0,0.0,0.0,0.0,0.1943503022193908,0.3260222673416137,0.2082828432321548,7958.0,Newcastle United,3.0,3.0,7.0,,,0.0,0.02,0.02,0.0,0.67,1.0,0.0,2.5,9.4,11.2,4.0,77.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.07,0.0,0.0,1.0,0.0,0.0,0.1,0.1,,0.0,0.06,0.08,0.02,0.64,1.0,0.0,2.65,7.9,12.9,5.5,46.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,2.0,1.0,0.0,0.5,0.02,0.04,0.0,0.0,1.0,0.0,0.02,0.05,0.05,,0.0,0.05,0.21,0.16,0.55,0.67,0.0,3.4,9.47,9.53,15.0,46.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,1.33,1.67,1.0,0.0,1.0,0.09,0.03,0.0,0.0,0.67,0.0,0.09,0.23,0.18,,0.0,0.03,0.16,0.12,0.48,0.5,0.0,2.68,8.0,7.55,11.25,40.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,1.25,1.75,1.0,0.0,0.75,0.07,0.02,0.0,0.0,0.5,0.0,0.07,0.17,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,11.0,0.0,15.6,417.0,0.01,0.01,0.0,0.57,76.0,1.0,0.0,2.8,10.4,2024-10-19,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,5.0,0.0,0.0,0.0,0.0,8.0,0.0,36309.0,1.0,1.0,0.0,2.0,2.0,285.0,3856.0,3571.0,5.5,True,0.0,417.0,0.0,0.0,0.0,66.0,Newcastle United,Brighton,0.0,1.0,26676.0,2024.0,681356.0,0.041459247469902,0.0,1.0,0.0,0.0,0.8938696384429932,0.8524103760719299,7958.0,Newcastle United,3.0,4.0,8.0,,,1.0,0.04,0.27,0.23,0.63,0.0,0.0,2.8,4.6,4.6,19.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.19,0.0,0.0,0.0,0.0,0.0,0.19,0.33,0.21,,0.5,0.03,0.15,0.12,0.65,0.5,0.0,2.65,7.0,7.9,11.5,73.5,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.5,2.0,0.0,1.0,0.1,0.03,0.0,0.0,0.5,0.0,0.1,0.21,0.16,,0.33,0.05,0.14,0.09,0.63,0.67,0.0,2.7,6.8,10.13,10.0,54.33,0.0,0.0,0.0,0.0,0.33,0.0,0.67,0.67,1.33,1.67,0.0,1.0,0.08,0.03,0.0,0.0,0.67,0.0,0.08,0.14,0.1,,0.25,0.04,0.22,0.18,0.57,0.5,0.0,3.25,8.25,8.3,16.0,52.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,1.0,1.25,1.5,0.0,1.25,0.12,0.02,0.0,0.0,0.5,0.0,0.12,0.26,0.19,,0.2,0.04,0.18,0.14,0.51,0.4,0.0,2.7,7.32,6.96,12.8,46.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,1.0,1.4,1.4,0.0,1.0,0.09,0.02,0.0,0.0,0.4,0.0,0.09,0.2,0.15,
0.0,0.0,3.0,0.0,0.6,417.0,0.0,0.05,0.05,1.24,85.0,2.0,0.0,1.4,8.4,2024-10-27,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,6.0,0.0,0.0,0.0,0.0,9.0,0.0,35122.0,1.0,1.0,2.0,5.0,1.0,-1703.0,1565.0,3268.0,5.5,False,1.0,417.0,0.0,1.0,0.0524055957794189,75.0,Chelsea,Newcastle United,2.0,1.0,26688.0,2024.0,683529.0,0.0,0.0,0.0,0.0,0.0524055957794189,0.0524055957794189,0.0,7958.0,Newcastle United,3.0,4.0,9.0,,,0.0,0.01,0.01,0.0,0.57,1.0,0.0,2.8,10.4,15.6,2.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.04,0.0,0.0,1.0,0.0,0.0,0.89,0.85,,0.5,0.02,0.14,0.12,0.6,0.5,0.0,2.8,7.5,10.1,10.5,67.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.5,0.0,1.0,0.1,0.02,0.0,0.0,0.5,0.0,0.1,0.61,0.53,,0.33,0.02,0.1,0.08,0.62,0.67,0.0,2.7,8.13,10.47,8.33,70.67,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.67,0.33,2.0,0.0,0.67,0.06,0.04,0.0,0.0,0.67,0.0,0.06,0.44,0.39,,0.25,0.04,0.11,0.07,0.62,0.75,0.0,2.72,7.7,11.5,8.0,57.0,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.75,1.0,1.75,0.0,0.75,0.06,0.03,0.0,0.0,0.75,0.0,0.06,0.33,0.29,,0.2,0.04,0.18,0.14,0.57,0.6,0.0,3.16,8.68,9.76,13.2,54.6,0.0,0.0,0.0,0.0,0.2,0.0,0.6,1.0,1.0,1.6,0.0,1.0,0.09,0.02,0.0,0.0,0.6,0.0,0.09,0.38,0.32,
0.0,0.0,1.0,0.0,1.3,417.0,0.0,0.0,0.0,0.38,96.0,0.0,0.0,0.2,0.4,2024-11-02,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0,0.0,10.0,0.0,34869.0,0.0,0.0,1.0,0.0,0.0,-1075.0,2775.0,3850.0,5.5,True,1.0,417.0,0.0,0.0,0.0,22.0,Newcastle United,Arsenal,1.0,0.0,26694.0,2024.0,684663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7958.0,Newcastle United,4.0,4.0,10.0,,,0.0,0.0,0.05,0.05,1.24,2.0,0.0,1.4,8.4,0.6,5.0,67.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,,0.0,0.0,0.03,0.02,0.9,1.5,0.0,2.1,9.4,8.1,3.5,66.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,1.0,1.5,0.0,0.5,0.03,0.02,0.0,0.0,0.5,0.0,0.03,0.47,0.43,,0.33,0.02,0.11,0.09,0.81,1.0,0.0,2.33,7.8,6.93,8.67,67.33,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.67,0.67,2.0,0.0,1.0,0.08,0.01,0.0,0.0,0.33,0.0,0.08,0.42,0.35,,0.25,0.02,0.09,0.07,0.78,1.0,0.0,2.37,8.2,8.0,7.5,69.75,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.75,0.75,1.75,0.0,0.75,0.06,0.03,0.0,0.0,0.5,0.0,0.06,0.34,0.29,,0.2,0.03,0.1,0.06,0.74,1.0,0.0,2.46,7.84,9.32,7.4,59.0,0.0,0.0,0.0,0.0,0.4,0.0,0.8,0.8,1.2,1.6,0.0,0.8,0.06,0.02,0.0,0.0,0.6,0.0,0.06,0.28,0.23,
1.0,0.0,15.0,0.0,10.7,417.0,0.01,0.01,0.0,0.16,107.0,0.0,0.0,3.9,27.8,2024-11-10,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,16.0,0.0,0.0,0.0,0.0,11.0,0.0,33345.0,0.0,3.0,1.0,0.0,4.0,-2044.0,1965.0,4009.0,5.5,False,0.0,417.0,0.0,0.0,0.0,18.0,Nottingham Forest,Newcastle United,1.0,3.0,26704.0,2024.0,687338.0,0.1193976700305938,1.0,1.0,0.0,0.0,0.1632765680551529,0.043878898024559,7958.0,Newcastle United,3.0,4.0,11.0,0.0,DEF,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.2,0.4,1.3,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.02,0.02,0.81,1.0,0.0,0.8,4.4,0.95,2.5,46.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,1.5,0.5,0.0,0.5,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,,0.0,0.0,0.02,0.02,0.73,1.0,0.0,1.47,6.4,5.83,2.33,52.33,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.67,1.0,1.0,0.0,0.33,0.02,0.01,0.0,0.0,0.33,0.0,0.02,0.32,0.28,,0.25,0.01,0.08,0.07,0.7,0.75,0.0,1.8,5.95,5.52,6.5,56.75,0.0,0.0,0.0,0.0,0.5,0.0,0.75,0.5,0.75,1.5,0.0,0.75,0.06,0.01,0.0,0.0,0.25,0.0,0.06,0.32,0.27,,0.2,0.01,0.07,0.06,0.7,0.8,0.0,1.94,6.64,6.66,6.0,60.8,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.8,1.4,0.0,0.6,0.05,0.02,0.0,0.0,0.4,0.0,0.05,0.28,0.23,
0.0,0.0,2.0,0.0,1.2,417.0,0.01,0.01,0.0,0.58,119.0,0.0,0.0,0.4,2.6,2024-11-25,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,19.0,0.0,0.0,0.0,0.0,12.0,0.0,35414.0,0.0,2.0,0.0,0.0,1.0,1013.0,3480.0,2467.0,5.5,True,0.0,417.0,0.0,0.0,0.0,30.0,Newcastle United,West Ham,0.0,2.0,26713.0,2024.0,689561.0,0.0,0.0,0.0,0.0,0.0,0.1255425214767456,0.1255425214767456,7958.0,Newcastle United,2.0,4.0,12.0,,,0.0,0.01,0.01,0.0,0.16,0.0,0.0,3.9,27.8,10.7,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.12,1.0,1.0,1.0,0.0,0.0,0.16,0.04,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,2.05,14.1,6.0,0.0,23.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.5,1.0,2.0,0.0,0.0,0.0,0.06,0.5,0.5,0.5,0.0,0.0,0.08,0.02,,0.0,0.0,0.02,0.02,0.59,0.67,0.0,1.83,12.2,4.2,1.67,37.67,0.0,0.0,0.0,0.0,0.67,0.0,0.33,1.33,1.33,1.67,0.0,0.33,0.02,0.04,0.33,0.33,0.33,0.0,0.02,0.07,0.01,,0.0,0.0,0.02,0.01,0.59,0.75,0.0,2.08,11.75,7.05,1.75,44.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.25,1.0,1.75,0.0,0.25,0.01,0.04,0.25,0.25,0.5,0.0,0.01,0.28,0.22,,0.2,0.01,0.07,0.06,0.6,0.6,0.0,2.22,10.32,6.56,5.2,49.6,0.0,0.0,0.0,0.0,0.4,0.0,0.6,1.0,0.8,2.0,0.0,0.6,0.05,0.03,0.2,0.2,0.4,0.0,0.05,0.29,0.22,
