assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_2,expected_assists_2,expected_goal_involvements_2,expected_goals_2,expected_goals_conceded_2,goals_conceded_2,goals_scored_2,ict_index_2,influence_2,creativity_2,threat_2,minutes_2,own_goals_2,penalties_missed_2,penalties_saved_2,red_cards_2,yellow_cards_2,saves_2,starts_2,team_a_score_2,team_h_score_2,total_points_2,goals_2,shots_2,xG_2,xA_2,assists_x_2,assists_y_2,key_passes_2,npg_2,npxG_2,xGChain_2,xGBuildup_2,xP_2,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_4,expected_assists_4,expected_goal_involvements_4,expected_goals_4,expected_goals_conceded_4,goals_conceded_4,goals_scored_4,ict_index_4,influence_4,creativity_4,threat_4,minutes_4,own_goals_4,penalties_missed_4,penalties_saved_4,red_cards_4,yellow_cards_4,saves_4,starts_4,team_a_score_4,team_h_score_4,total_points_4,goals_4,shots_4,xG_4,xA_4,assists_x_4,assists_y_4,key_passes_4,npg_4,npxG_4,xGChain_4,xGBuildup_4,xP_4,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5
0,0,-2,0,14.0,584,0.02,0.32,0.3,0.25,5,1,0,3.3,2.6,2024-08-17,70,0,0,0,0,0,0,0,False,15,0,0,0,0,1,0,66244,1,0,1,16.0,1,0,0,0,5.5,False,1,0,2,0.8108593821525574,75,Newcastle United,Southampton,1,0,26606,2024,666378,0.0767997950315475,0,1,0,0.8108593821525574,0.9333699941635132,0.0457108207046985,Southampton,1,4,1,1.0,MID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,12,0,30.4,584,0.06,0.06,0.0,2.45,18,1,0,4.1,7.0,2024-08-24,90,0,0,0,0,0,0,0,False,16,0,0,0,0,2,0,72863,1,1,0,4.0,2,984,8960,7976,5.5,True,0,0,0,0.0,90,Southampton,Nottingham Forest,0,1,26616,2024,668047,0.0788209661841392,0,2,0,0.0,0.0788209661841392,0.0302197560667991,Southampton,4,1,2,1.0,MID,0.0,0.02,0.32,0.3,0.25,1.0,0.0,3.3,2.6,14.0,16.0,70.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.81,0.08,0.0,0.0,1.0,0.0,0.81,0.93,0.05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,7,0,6.7,584,0.03,0.23,0.2,2.78,22,3,0,4.1,0.8,2024-08-31,90,0,0,0,0,0,0,0,False,4,0,0,0,0,3,0,60838,1,1,3,33.0,2,-12441,3403,15844,5.5,False,0,0,5,0.1670812219381332,90,Brentford,Southampton,3,1,26623,2024,671745,0.0,0,0,0,0.1670812219381332,0.6007177233695984,0.4336365163326263,Southampton,1,3,3,1.2,MID,0.0,0.06,0.06,0.0,2.45,1.0,0.0,4.1,7.0,30.4,4.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.08,0.0,0.0,2.0,0.0,0.0,0.08,0.03,1.0,0.0,0.04,0.19,0.15,1.35,1.0,0.0,3.7,4.8,22.2,10.0,80.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.5,1.5,0.0,1.0,0.41,0.08,0.0,0.0,1.5,0.0,0.41,0.51,0.04,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,7,0,6.7,584,0.01,0.01,0.0,1.85,38,2,0,1.5,6.2,2024-09-14,63,0,0,0,0,0,0,0,False,14,0,0,0,0,4,0,49799,1,3,0,2.0,2,-11774,3376,15150,5.4,True,0,0,0,0.0,68,Southampton,Manchester United,0,3,26632,2024,673365,0.0,0,0,0,0.0,0.0,0.0,Southampton,2,1,4,1.3,MID,0.0,0.03,0.23,0.2,2.78,3.0,0.0,4.1,0.8,6.7,33.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,5.0,0.17,0.0,0.0,0.0,0.0,0.0,0.17,0.6,0.43,1.2,0.0,0.04,0.15,0.1,2.62,2.0,0.0,4.1,3.9,18.55,18.5,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.5,2.0,0.0,2.5,0.08,0.04,0.0,0.0,1.0,0.0,0.08,0.34,0.23,1.1,0.0,0.04,0.2,0.17,1.83,1.67,0.0,3.83,3.47,17.03,17.67,83.33,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.67,1.33,1.67,0.0,2.33,0.33,0.05,0.0,0.0,1.0,0.0,0.33,0.54,0.17,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,4,0,0.9,584,0.01,0.26,0.25,0.61,48,1,0,1.1,0.6,2024-09-21,31,0,0,0,0,0,0,0,False,10,0,0,0,0,5,0,47893,0,1,1,9.0,1,-2522,4152,6674,5.4,True,0,0,2,0.2419942319393158,29,Southampton,Ipswich,1,1,26643,2024,675635,0.0,0,0,0,0.2419942319393158,0.2419942319393158,0.0,Southampton,2,1,5,1.8,MID,0.0,0.01,0.01,0.0,1.85,2.0,0.0,1.5,6.2,6.7,2.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.02,0.12,0.1,2.32,2.5,0.0,2.8,3.5,6.7,17.5,76.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.5,2.0,0.0,2.5,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.3,0.22,1.25,0.0,0.03,0.1,0.07,2.36,2.0,0.0,3.23,4.67,14.6,13.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.67,1.0,2.0,0.0,1.67,0.06,0.03,0.0,0.0,0.67,0.0,0.06,0.23,0.15,1.17,0.0,0.03,0.16,0.12,1.83,1.75,0.0,3.25,4.15,14.45,13.75,78.25,0.0,0.0,0.0,0.0,0.25,0.0,1.0,1.25,1.0,1.75,0.0,1.75,0.24,0.04,0.0,0.0,0.75,0.0,0.24,0.4,0.13,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,2,0,2.9,584,0.01,0.04,0.03,0.41,52,0,0,1.6,0.6,2024-09-30,45,0,0,0,0,0,0,0,False,3,0,0,0,0,6,0,35467,0,1,3,12.0,1,-12359,518,12877,5.3,False,0,0,1,0.0373921692371368,41,Bournemouth,Southampton,3,1,26661,2024,678948,0.0,0,0,0,0.0373921692371368,0.0925225019454956,0.055130336433649,Southampton,1,3,6,0.8,MID,0.0,0.01,0.26,0.25,0.61,1.0,0.0,1.1,0.6,0.9,9.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.24,0.0,0.0,0.0,0.0,0.0,0.24,0.24,0.0,1.8,0.0,0.01,0.14,0.12,1.23,1.5,0.0,1.3,3.4,3.8,5.5,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,0.5,1.5,0.0,1.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,1.55,0.0,0.02,0.17,0.15,1.75,2.0,0.0,2.23,2.53,4.77,14.67,61.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.67,1.33,1.67,0.0,2.33,0.14,0.0,0.0,0.0,0.0,0.0,0.14,0.28,0.14,1.43,0.0,0.03,0.14,0.11,1.92,1.75,0.0,2.7,3.65,11.18,12.0,68.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.5,1.0,1.75,0.0,1.75,0.1,0.02,0.0,0.0,0.5,0.0,0.1,0.23,0.12,1.32,0.0,0.03,0.18,0.15,1.59,1.6,0.0,2.82,3.44,11.74,12.8,68.8,0.0,0.0,0.0,0.0,0.2,0.0,0.8,1.2,1.0,1.6,0.0,1.8,0.24,0.03,0.0,0.0,0.6,0.0,0.24,0.37,0.1,1.26
0,0,2,0,0.3,584,0.0,0.12,0.12,0.03,110,0,0,0.7,2.0,2024-11-09,17,0,0,0,0,0,0,0,False,20,0,0,0,0,11,0,21171,0,0,2,5.0,1,-1316,254,1570,5.0,False,0,0,1,0.0539333224296569,11,Wolverhampton Wanderers,Southampton,2,0,26711,2024,686687,0.0,0,0,0,0.0539333224296569,0.0539333224296569,0.0,Southampton,1,3,11,-0.2,MID,0.0,0.01,0.04,0.03,0.41,0.0,0.0,1.6,0.6,2.9,12.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.09,0.06,0.8,0.0,0.01,0.15,0.14,0.51,0.5,0.0,1.35,0.6,1.9,10.5,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.5,0.14,0.0,0.0,0.0,0.0,0.0,0.14,0.17,0.03,1.3,0.0,0.01,0.1,0.09,0.96,1.0,0.0,1.4,2.47,3.5,7.67,46.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.67,1.33,1.33,0.0,1.0,0.09,0.0,0.0,0.0,0.0,0.0,0.09,0.11,0.02,1.3,0.0,0.02,0.13,0.12,1.41,1.5,0.0,2.08,2.05,4.3,14.0,57.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,1.75,1.5,0.0,2.0,0.11,0.0,0.0,0.0,0.0,0.0,0.11,0.23,0.12,1.27,0.0,0.02,0.12,0.1,1.62,1.4,0.0,2.48,3.04,9.52,12.0,63.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.4,1.4,1.6,0.0,1.6,0.09,0.02,0.0,0.0,0.4,0.0,0.09,0.2,0.1,1.22
0,0,3,0,0.1,584,0.0,0.0,0.0,0.08,122,0,0,0.0,0.2,2024-11-29,1,0,0,0,0,0,0,0,False,5,0,0,0,0,13,0,19613,0,1,1,0.0,1,-623,115,738,5.0,False,0,0,0,0.0,1,Brighton,Southampton,1,1,26723,2024,689640,0.0,0,0,0,0.0,0.0,0.0,Southampton,1,3,13,0.0,MID,0.0,0.0,0.12,0.12,0.03,0.0,0.0,0.7,2.0,0.3,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,-0.2,0.0,0.0,0.08,0.08,0.22,0.0,0.0,1.15,1.3,1.6,8.5,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.5,1.0,0.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.03,0.3,0.0,0.01,0.14,0.13,0.35,0.33,0.0,1.13,1.07,1.37,8.67,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,2.0,1.0,0.0,1.33,0.11,0.0,0.0,0.0,0.0,0.0,0.11,0.13,0.02,0.8,0.0,0.01,0.11,0.1,0.72,0.75,0.0,1.23,2.35,2.7,7.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.25,1.5,1.25,0.0,1.0,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.1,0.01,0.92,0.0,0.01,0.13,0.12,1.14,1.2,0.0,1.8,2.04,3.5,12.2,49.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.2,1.8,1.4,0.0,1.8,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.98
0,0,5,0,0.3,584,0.0,0.0,0.0,1.86,140,2,0,0.1,0.2,2024-12-04,28,0,0,0,0,0,0,0,False,6,0,0,0,0,14,0,19169,0,5,1,0.0,1,-500,152,652,5.0,True,0,0,0,0.0,23,Southampton,Chelsea,1,5,26741,2024,691457,0.0,0,0,0,0.0,0.0,0.0,Southampton,3,1,14,-0.2,MID,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.2,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.06,0.0,0.0,0.35,1.1,0.2,2.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,1.0,0.0,0.5,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,-0.1,0.0,0.0,0.05,0.05,0.17,0.0,0.0,0.77,0.93,1.1,5.67,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,2.0,1.0,0.0,0.67,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.02,0.2,0.0,0.0,0.11,0.1,0.28,0.25,0.0,0.85,0.85,1.05,6.5,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.75,1.0,0.0,1.0,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.1,0.01,0.6,0.0,0.01,0.09,0.08,0.6,0.6,0.0,0.98,1.92,2.18,5.6,31.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.2,1.4,1.2,0.0,0.8,0.07,0.0,0.0,0.0,0.0,0.0,0.07,0.08,0.01,0.74
0,0,3,0,1.3,584,0.01,0.01,0.0,1.11,141,0,0,0.3,1.6,2024-12-07,11,0,0,0,0,0,0,0,False,2,0,0,0,0,15,0,18671,0,0,1,0.0,1,-539,86,625,4.9,False,0,0,0,0.0,10,Aston Villa,Southampton,1,0,26742,2024,692187,0.0,0,0,0,0.0,0.0,0.0,Southampton,1,4,15,0.3,MID,0.0,0.0,0.0,0.0,1.86,2.0,0.0,0.1,0.2,0.3,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.97,1.0,0.0,0.05,0.2,0.2,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.04,0.04,0.66,0.67,0.0,0.27,0.8,0.23,1.67,15.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.33,1.0,0.0,0.33,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,-0.13,0.0,0.0,0.04,0.04,0.6,0.5,0.0,0.6,0.75,0.9,4.25,22.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.75,1.0,0.0,0.5,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.01,0.1,0.0,0.0,0.08,0.08,0.6,0.6,0.0,0.7,0.72,0.9,5.2,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,1.0,0.0,0.8,0.07,0.0,0.0,0.0,0.0,0.0,0.07,0.08,0.01,0.44
