assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,pts_bps,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,pts_bps_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,pts_bps_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,pts_bps_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5
0,0,27,1,4.1,136,0.04,1.01,0.97,0.45,3,0,1,13.2,48.2,2024-08-17,88,0,0,0,0,0,0,0,False,8,0,0,0,0,1,0,164023,1,3,0,80.0,8,0,0,0,6.5,False,0,136,,,1,4,1.2435791492462158,90,AML,Everton,Brighton,0,3,26605,2024,666348,0.0,0,0,1,1.2435791492462158,1.4126379489898682,0.962400496006012,26605,Brighton,Mitoma Kaoru,Kaoru Mitoma,3,3,1,2.3,MID,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,20,0,13.5,136,0.58,0.58,0.0,1.32,13,1,0,3.6,16.6,2024-08-24,89,0,0,0,0,0,0,0,False,14,0,0,0,0,2,0,442452,1,1,2,6.0,6,152869,182528,29659,6.5,True,0,136,,,0,0,0.0,90,AML,Brighton,Manchester United,2,1,26612,2024,667701,0.8727853298187256,1,1,0,0.0,0.9544745087623596,0.0816891565918922,26612,Brighton,Mitoma Kaoru,Kaoru Mitoma,2,3,2,7.0,MID,5,1.0,0.04,1.01,0.97,0.45,0.0,1.0,13.2,48.2,4.1,80.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,8.0,1.0,4.0,1.24,0.0,0.0,0.0,0.0,1.0,1.24,1.41,0.96,2.3,0.33,0.01,0.34,0.32,0.15,0.0,0.33,4.4,16.07,1.37,26.67,29.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,0.0,2.67,0.33,1.33,0.41,0.0,0.0,0.0,0.0,0.33,0.41,0.47,0.32,0.77,0.2,0.01,0.2,0.19,0.09,0.0,0.2,2.64,9.64,0.82,16.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.0,1.6,0.2,0.8,0.25,0.0,0.0,0.0,0.0,0.2,0.25,0.28,0.19,0.46
0,0,13,0,27.0,136,0.14,0.18,0.04,2.08,21,1,0,4.5,5.8,2024-08-31,84,0,0,0,0,0,0,0,False,1,0,0,0,0,3,0,672158,1,1,1,12.0,2,175332,291730,116398,6.6,False,0,136,,,0,1,0.0451700836420059,89,AML,Arsenal,Brighton,1,1,26622,2024,671531,0.180098220705986,0,2,0,0.0451700836420059,0.2545035183429718,0.1230395063757896,26622,Brighton,Mitoma Kaoru,Kaoru Mitoma,3,5,3,4.3,MID,2,0.0,0.58,0.58,0.0,1.32,1.0,0.0,3.6,16.6,13.5,6.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.87,1.0,1.0,1.0,0.0,0.0,0.95,0.08,7.0,0.33,0.21,0.53,0.32,0.59,0.33,0.33,5.6,21.6,5.87,28.67,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.33,0.67,4.33,0.33,1.33,0.41,0.29,0.33,0.33,0.33,0.33,0.41,0.79,0.35,3.1,0.2,0.12,0.32,0.19,0.35,0.2,0.2,3.36,12.96,3.52,17.2,35.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.4,2.6,0.2,0.8,0.25,0.17,0.2,0.2,0.2,0.2,0.25,0.47,0.21,1.86
0,0,3,1,6.6,136,0.02,0.67,0.65,0.35,33,0,0,7.8,11.4,2024-09-14,90,0,0,0,0,0,0,0,False,10,0,0,0,0,4,0,1080160,1,0,0,60.0,3,361940,499956,138016,6.7,True,0,136,,,0,3,1.0799366235733032,90,ML,Brighton,Ipswich,0,0,26633,2024,673649,0.0,0,0,0,1.0799366235733032,1.2169121503829956,0.13697549700737,26633,Brighton,Mitoma Kaoru,Kaoru Mitoma,2,3,4,5.3,MID,3,0.0,0.14,0.18,0.04,2.08,1.0,0.0,4.5,5.8,27.0,12.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.05,0.18,0.0,0.0,2.0,0.0,0.05,0.25,0.12,4.3,0.33,0.25,0.59,0.34,1.28,0.67,0.33,7.1,23.53,14.87,32.67,87.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.67,1.0,5.0,0.33,1.67,0.43,0.35,0.33,0.33,1.0,0.33,0.43,0.87,0.39,4.53,0.2,0.15,0.35,0.2,0.77,0.4,0.2,4.26,14.12,8.92,19.6,52.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.6,3.0,0.2,1.0,0.26,0.21,0.2,0.2,0.6,0.2,0.26,0.52,0.23,2.72
1,0,21,0,34.7,136,0.22,0.22,0.0,1.53,42,2,0,5.8,15.6,2024-09-22,90,0,0,0,0,0,0,0,False,16,0,0,0,0,5,0,1081542,1,2,2,8.0,5,2864,86267,83403,6.7,True,0,136,,,0,0,0.0,90,AML,Brighton,Nottingham Forest,2,2,26650,2024,676307,0.2399011105298996,0,2,0,0.0,0.3694436252117157,0.1295424997806549,26650,Brighton,Mitoma Kaoru,Kaoru Mitoma,4,3,5,3.3,MID,5,1.0,0.02,0.67,0.65,0.35,0.0,0.0,7.8,11.4,6.6,60.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,1.08,0.0,0.0,0.0,0.0,0.0,1.08,1.22,0.14,5.3,0.33,0.25,0.48,0.23,1.25,0.67,0.0,5.3,11.27,15.7,26.0,87.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,1.0,3.33,0.0,1.33,0.38,0.35,0.33,0.33,1.0,0.0,0.38,0.81,0.11,5.53,0.4,0.16,0.49,0.33,0.84,0.4,0.2,5.82,16.4,10.24,31.6,70.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,0.6,3.6,0.2,1.6,0.47,0.21,0.2,0.2,0.6,0.2,0.47,0.77,0.26,3.78
0,0,18,0,27.8,136,0.13,0.16,0.03,4.16,54,4,0,5.9,12.8,2024-09-28,90,0,0,0,0,0,0,0,False,6,0,0,0,0,6,0,890413,1,2,4,18.0,2,-189153,34407,223560,6.7,False,0,136,,,0,2,0.0369273461401462,90,FWL,Chelsea,Brighton,4,2,26657,2024,677918,0.1711363643407821,0,2,0,0.0369273461401462,0.2397359758615493,0.1390936374664306,26657,Brighton,Mitoma Kaoru,Kaoru Mitoma,3,4,6,3.3,MID,2,0.0,0.22,0.22,0.0,1.53,2.0,0.0,5.8,15.6,34.7,8.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,0.0,0.0,0.0,0.24,1.0,0.0,2.0,0.0,0.0,0.37,0.13,3.3,0.33,0.13,0.36,0.23,1.32,1.0,0.0,6.03,10.93,22.77,26.67,88.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.33,0.0,1.33,0.38,0.14,0.33,0.0,1.33,0.0,0.38,0.61,0.13,4.3,0.4,0.2,0.53,0.33,1.15,0.8,0.2,6.98,19.52,17.18,33.2,88.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,1.0,4.6,0.2,1.6,0.47,0.26,0.4,0.2,1.0,0.2,0.47,0.84,0.29,4.44
1,0,27,0,40.4,136,0.2,0.31,0.11,1.37,64,2,0,10.0,36.4,2024-10-06,90,0,0,0,0,0,0,0,False,18,0,0,0,0,7,0,735328,1,2,3,23.0,5,-162565,16183,178748,6.6,True,0,136,,,0,3,0.17799012362957,90,AML,Brighton,Tottenham,3,2,26671,2024,680427,0.8457046747207642,1,3,0,0.17799012362957,1.02369487285614,0.0632697418332099,26671,Brighton,Mitoma Kaoru,Kaoru Mitoma,2,3,7,3.8,MID,5,0.0,0.13,0.16,0.03,4.16,4.0,0.0,5.9,12.8,27.8,18.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,0.0,2.0,0.04,0.17,0.0,0.0,2.0,0.0,0.04,0.24,0.14,3.3,0.33,0.12,0.35,0.23,2.01,2.0,0.0,6.5,13.27,23.03,28.67,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,2.0,3.33,0.0,1.67,0.37,0.14,0.33,0.0,1.33,0.0,0.37,0.61,0.14,3.97,0.2,0.22,0.36,0.14,1.89,1.6,0.0,5.52,12.44,21.92,20.8,88.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,1.8,3.4,0.0,1.2,0.23,0.29,0.4,0.2,1.4,0.0,0.23,0.61,0.12,4.64
0,0,5,0,3.7,136,0.01,0.22,0.21,0.93,76,0,0,3.0,5.2,2024-10-19,30,0,0,0,0,0,0,0,False,15,0,0,0,0,8,0,706011,0,1,0,21.0,1,-40996,31177,72173,6.6,False,0,136,,,0,2,0.1458135694265365,29,Sub,Newcastle United,Brighton,0,1,26676,2024,681377,0.0,0,0,0,0.1458135694265365,0.1458135694265365,0.0,26676,Brighton,Mitoma Kaoru,Kaoru Mitoma,3,4,8,2.7,MID,1,0.0,0.2,0.31,0.11,1.37,2.0,0.0,10.0,36.4,40.4,23.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,0.0,3.0,0.18,0.85,1.0,1.0,3.0,0.0,0.18,1.02,0.06,3.8,0.0,0.18,0.23,0.05,2.35,2.67,0.0,7.23,21.6,34.3,16.33,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0,1.67,0.07,0.42,0.67,0.33,2.33,0.0,0.07,0.54,0.11,3.47,0.2,0.14,0.31,0.17,1.9,1.8,0.0,6.8,16.4,27.3,24.2,88.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,2.0,3.4,0.0,1.8,0.27,0.29,0.4,0.2,1.8,0.0,0.27,0.62,0.12,4.0
0,0,6,0,16.1,136,0.19,0.42,0.23,1.29,84,1,0,8.1,7.0,2024-10-26,88,0,0,0,0,0,0,0,False,20,0,0,0,0,9,0,707789,1,2,2,58.0,2,-5424,44166,49590,6.6,True,0,136,,,0,4,0.5176700353622437,90,ML,Brighton,Wolverhampton Wanderers,2,2,26686,2024,683029,0.0462225079536438,0,1,0,0.5176700353622437,0.5176700353622437,0.0,26686,Brighton,Mitoma Kaoru,Kaoru Mitoma,3,3,9,2.7,MID,2,0.0,0.01,0.22,0.21,0.93,0.0,0.0,3.0,5.2,3.7,21.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,2.7,0.0,0.11,0.23,0.12,2.15,2.0,0.0,6.3,18.13,23.97,20.67,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.67,2.33,2.67,0.0,2.33,0.12,0.34,0.33,0.33,1.67,0.0,0.12,0.47,0.07,3.27,0.2,0.12,0.32,0.2,1.67,1.6,0.0,6.5,16.28,22.64,26.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.4,1.8,3.2,0.0,2.0,0.29,0.25,0.4,0.2,1.4,0.0,0.29,0.6,0.09,3.68
0,0,9,0,31.5,136,0.2,0.31,0.11,1.65,94,2,0,5.8,7.8,2024-11-02,86,0,0,0,0,0,0,0,False,12,0,0,0,0,10,0,607504,1,1,2,19.0,2,-97434,15016,112450,6.5,False,0,136,,,0,2,0.1358382701873779,89,ML,Liverpool,Brighton,2,1,26696,2024,685045,0.1729546040296554,0,2,0,0.1358382701873779,0.359472393989563,0.190019354224205,26696,Brighton,Mitoma Kaoru,Kaoru Mitoma,3,5,10,0.7,MID,2,0.0,0.19,0.42,0.23,1.29,1.0,0.0,8.1,7.0,16.1,58.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,4.0,0.52,0.05,0.0,0.0,1.0,0.0,0.52,0.52,0.0,2.7,0.0,0.13,0.32,0.18,1.2,1.0,0.0,7.03,16.2,20.07,34.0,69.33,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.67,1.67,2.67,0.0,3.0,0.28,0.3,0.33,0.33,1.33,0.0,0.28,0.56,0.02,3.07,0.0,0.15,0.27,0.12,1.86,1.8,0.0,6.56,15.4,24.54,25.6,77.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.8,2.2,3.0,0.0,2.2,0.18,0.26,0.4,0.2,1.6,0.0,0.18,0.46,0.07,3.16
