assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,selected_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,selected_5,ownership_change,percenatge_net_transfers
0.0,0.0,11.0,1.0,1.3,410.0,0.01,0.01,0.0,1.77,5.0,0.0,0.0,1.5,9.4,2024-08-17,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,17.0,0.0,0.0,0.0,0.0,1.0,0.0,103817.0,1.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,5.0,True,0.0,410.0,0.0,0.0,0.0,90.0,Newcastle United,Southampton,1.0,0.0,26606.0,2024.0,666362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7078.0,Newcastle United,2.0,4.0,1.0,2.6,MID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,17.0,0.0,12.7,410.0,0.01,0.01,0.0,1.81,12.0,1.0,0.0,1.9,3.8,2024-08-25,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,3.0,0.0,0.0,0.0,0.0,2.0,0.0,105177.0,1.0,1.0,1.0,2.0,2.0,-3389.0,5548.0,8937.0,5.0,False,0.0,410.0,0.0,0.0,0.0,73.0,Bournemouth,Newcastle United,1.0,1.0,26620.0,2024.0,668723.0,0.0244401078671216,0.0,1.0,0.0,0.0,0.0,0.0,7078.0,Newcastle United,3.0,3.0,2.0,3.0,MID,1.0,0.01,0.01,0.0,1.77,0.0,0.0,1.5,9.4,1.3,4.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,103817.0,1.0,0.01,0.01,0.0,1.77,0.0,0.0,1.5,9.4,1.3,4.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,103817.0,1360.0,-0.23396617190196756
0.0,0.0,6.0,0.0,0.9,410.0,0.0,0.0,0.0,0.99,28.0,1.0,0.0,1.7,16.2,2024-09-01,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,18.0,0.0,0.0,0.0,0.0,3.0,0.0,90362.0,1.0,1.0,2.0,0.0,1.0,-15506.0,2839.0,18345.0,5.0,True,1.0,410.0,0.0,0.0,0.0,73.0,Newcastle United,Tottenham,2.0,1.0,26629.0,2024.0,672462.0,0.0,0.0,0.0,0.0,0.0,0.1008209735155105,0.1008209735155105,7078.0,Newcastle United,3.0,4.0,3.0,2.5,MID,1.0,0.02,0.02,0.0,3.58,1.0,0.0,3.4,13.2,14.0,6.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,5.0,0.0,0.0,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,5.6,208994.0,1.0,0.02,0.02,0.0,3.58,1.0,0.0,3.4,13.2,14.0,6.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,5.0,0.0,0.0,0.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0,5.6,208994.0,-14815.0,-0.7319675226586103
0.0,0.0,2.0,0.0,3.3,410.0,0.01,0.01,0.0,0.63,40.0,1.0,0.0,0.3,0.0,2024-09-15,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,20.0,0.0,0.0,0.0,0.0,4.0,0.0,86708.0,1.0,2.0,1.0,0.0,1.0,-5917.0,12296.0,18213.0,4.9,False,0.0,410.0,0.0,0.0,0.0,48.0,Wolverhampton Wanderers,Newcastle United,1.0,2.0,26641.0,2024.0,674633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7078.0,Newcastle United,3.0,2.0,4.0,2.3,MID,1.0,0.02,0.02,0.0,4.57,2.0,0.0,5.1,29.4,14.9,6.0,226.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,4.0,6.0,0.0,0.0,0.0,0.02,0.0,1.0,0.0,0.0,0.1,0.1,8.1,299356.0,1.0,0.02,0.02,0.0,4.57,2.0,0.0,5.1,29.4,14.9,6.0,226.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,4.0,6.0,0.0,0.0,0.0,0.02,0.0,1.0,0.0,0.0,0.1,0.1,8.1,299356.0,-3654.0,-0.1939427709856108
0.0,0.0,4.0,0.0,0.0,410.0,0.0,0.21,0.21,0.24,58.0,0.0,0.0,0.5,1.2,2024-09-28,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,13.0,0.0,0.0,0.0,0.0,6.0,0.0,67368.0,0.0,1.0,1.0,4.0,1.0,-13122.0,2019.0,15141.0,4.8,True,0.0,410.0,0.0,1.0,0.0970475748181343,12.0,Newcastle United,Manchester City,1.0,1.0,26652.0,2024.0,677444.0,0.0,0.0,0.0,0.0,0.0970475748181343,0.0970475748181343,0.0,7078.0,Newcastle United,4.0,4.0,6.0,0.3,MID,0.0,0.01,0.01,0.0,1.62,2.0,0.0,2.0,16.2,4.2,0.0,112.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,4.8,177070.0,1.0,0.03,0.03,0.0,5.2,3.0,0.0,5.4,29.4,18.2,6.0,271.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,5.0,7.0,0.0,0.0,0.0,0.02,0.0,1.0,0.0,0.0,0.1,0.1,10.4,386064.0,-19340.0,-0.7646853146853146
0.0,0.0,3.0,0.0,1.6,410.0,0.01,0.01,0.0,0.04,67.0,0.0,0.0,0.7,3.2,2024-10-05,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,8.0,0.0,0.0,0.0,0.0,7.0,0.0,62274.0,0.0,0.0,0.0,2.0,1.0,-5641.0,2683.0,8324.0,4.8,False,0.0,410.0,0.0,0.0,0.0,13.0,Everton,Newcastle United,0.0,0.0,26669.0,2024.0,679754.0,0.0,0.0,0.0,0.0,0.0,0.2560266852378845,0.2560266852378845,7078.0,Newcastle United,3.0,3.0,7.0,1.3,MID,0.0,0.01,0.22,0.21,0.87,1.0,0.0,0.8,1.2,3.3,4.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,2.6,154076.0,0.0,0.02,0.23,0.21,3.67,3.0,0.0,4.4,21.2,16.9,6.0,193.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,5.0,5.0,0.0,1.0,0.1,0.02,0.0,1.0,0.0,0.1,0.2,0.1,8.1,349615.0,-5094.0,-0.5124920505133097
0.0,0.0,3.0,0.0,0.5,410.0,0.0,0.0,0.0,0.22,76.0,0.0,0.0,0.1,0.8,2024-10-19,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,5.0,0.0,0.0,0.0,0.0,8.0,0.0,57856.0,0.0,1.0,0.0,0.0,1.0,-4668.0,1374.0,6042.0,4.7,True,0.0,410.0,0.0,0.0,0.0,4.0,Newcastle United,Brighton,0.0,1.0,26676.0,2024.0,681364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7078.0,Newcastle United,3.0,4.0,8.0,1.0,MID,0.0,0.01,0.22,0.21,0.28,0.0,0.0,1.2,4.4,1.6,6.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.1,0.35,0.26,1.6,129642.0,0.0,0.02,0.23,0.21,1.9,2.0,0.0,3.2,20.6,5.8,6.0,143.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,4.0,4.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.1,0.45,0.36,6.4,306712.0,-4418.0,-0.6294498381877023
0.0,0.0,1.0,0.0,0.6,410.0,0.0,0.0,0.0,0.41,85.0,0.0,0.0,0.9,6.0,2024-10-27,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,6.0,0.0,0.0,0.0,0.0,9.0,0.0,56702.0,0.0,1.0,2.0,2.0,0.0,-1543.0,2765.0,4308.0,4.7,False,1.0,410.0,0.0,0.0,0.0,15.0,Chelsea,Newcastle United,2.0,1.0,26688.0,2024.0,683537.0,0.0,0.0,0.0,0.0,0.0,0.3166383802890777,0.3166383802890777,7078.0,Newcastle United,3.0,4.0,9.0,0.2,MID,0.0,0.01,0.22,0.21,0.5,0.0,0.0,1.3,5.2,2.1,6.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.1,0.35,0.26,2.6,187498.0,0.0,0.02,0.23,0.21,1.13,1.0,0.0,1.6,5.2,5.4,6.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,4.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.1,0.35,0.26,4.9,274206.0,-1154.0,-0.21815354163721193
0.0,0.0,6.0,1.0,1.8,410.0,0.01,0.03,0.02,1.05,96.0,0.0,0.0,2.5,12.4,2024-11-02,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0,0.0,10.0,0.0,54397.0,1.0,0.0,1.0,11.0,3.0,-2519.0,2924.0,5443.0,4.7,True,0.0,410.0,0.0,1.0,0.0643293783068656,90.0,Newcastle United,Arsenal,1.0,0.0,26694.0,2024.0,684659.0,0.0,0.0,0.0,0.0,0.0643293783068656,0.5802618861198425,0.5159325003623962,7078.0,Newcastle United,4.0,4.0,10.0,0.3,MID,0.0,0.01,0.01,0.0,0.67,0.0,0.0,1.7,10.0,2.7,4.0,46.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.57,2.5,176832.0,0.0,0.01,0.22,0.21,0.91,0.0,0.0,2.2,11.2,2.7,8.0,58.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.1,0.67,0.57,2.8,244200.0,-2305.0,-0.30106370264132903
1.0,0.0,20.0,0.0,20.8,410.0,0.13,0.35,0.22,0.63,107.0,1.0,0.0,4.5,14.2,2024-11-10,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,16.0,0.0,0.0,0.0,0.0,11.0,0.0,56267.0,1.0,3.0,1.0,10.0,5.0,1430.0,5233.0,3803.0,4.7,False,0.0,410.0,0.0,1.0,0.0862769559025764,90.0,Nottingham Forest,Newcastle United,1.0,3.0,26704.0,2024.0,687333.0,0.0681161284446716,0.0,1.0,0.0,0.0862769559025764,0.0827258005738258,0.0827258005738258,7078.0,Newcastle United,3.0,4.0,11.0,2.7,MID,1.0,0.01,0.03,0.02,1.68,0.0,0.0,3.5,19.2,2.9,13.0,117.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,0.0,1.0,0.06,0.0,0.0,0.0,0.0,0.06,0.9,0.83,1.5,168955.0,1.0,0.02,0.25,0.23,1.96,0.0,0.0,4.7,23.6,4.5,19.0,148.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,6.0,0.0,2.0,0.16,0.0,0.0,0.0,0.0,0.16,1.25,1.09,3.1,298597.0,1870.0,0.15825586542718018
