assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,team_h_difficulty,team_a_difficulty,event,xP,position,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,total_points_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_2,expected_assists_2,expected_goal_involvements_2,expected_goals_2,expected_goals_conceded_2,goals_conceded_2,goals_scored_2,ict_index_2,influence_2,creativity_2,threat_2,minutes_2,own_goals_2,penalties_missed_2,penalties_saved_2,red_cards_2,yellow_cards_2,saves_2,starts_2,team_a_score_2,team_h_score_2,total_points_2,goals_2,shots_2,xG_2,xA_2,assists_x_2,assists_y_2,key_passes_2,npg_2,npxG_2,xGChain_2,xGBuildup_2,xP_2,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,total_points_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_4,expected_assists_4,expected_goal_involvements_4,expected_goals_4,expected_goals_conceded_4,goals_conceded_4,goals_scored_4,ict_index_4,influence_4,creativity_4,threat_4,minutes_4,own_goals_4,penalties_missed_4,penalties_saved_4,red_cards_4,yellow_cards_4,saves_4,starts_4,team_a_score_4,team_h_score_4,total_points_4,goals_4,shots_4,xG_4,xA_4,assists_x_4,assists_y_4,key_passes_4,npg_4,npxG_4,xGChain_4,xGBuildup_4,xP_4,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,total_points_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers
0.0,0.0,8.0,0.0,4.2,263.0,0.01,0.12,0.11,1.74,73.0,2.0,0.0,3.3,18.6,2024-10-19,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,8.0,0.0,0.0,0.0,0.0,8.0,0.0,110416.0,1.0,2.0,0.0,10.0,1.0,50359.0,58264.0,7905.0,3.9,True,0.0,263.0,0.0,2.0,0.0905825719237327,90.0,Ipswich,Everton,0.0,2.0,26674.0,2024.0,681414.0,0.0,0.0,0.0,0.0,0.0905825719237327,0.5103933811187744,0.5103933811187744,12755.0,Ipswich,2.0,2.0,8.0,0.3,DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.7610663603802384
0.0,0.0,7.0,0.0,11.3,263.0,0.03,0.05,0.02,4.11,83.0,4.0,0.0,7.3,36.2,2024-10-26,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,4.0,0.0,0.0,0.0,0.0,9.0,0.0,129985.0,1.0,3.0,4.0,25.0,0.0,21194.0,27554.0,6360.0,3.9,False,0.0,263.0,0.0,1.0,0.0290296170860528,90.0,Brentford,Ipswich,4.0,3.0,26685.0,2024.0,683007.0,0.0449348613619804,0.0,1.0,0.0,0.0290296170860528,0.4539861977100372,0.4090513288974762,12755.0,Ipswich,2.0,3.0,9.0,0.2,DEF,0.0,0.01,0.12,0.11,1.74,2.0,0.0,3.3,18.6,4.2,10.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.09,0.0,0.0,0.0,0.0,0.0,0.09,0.51,0.51,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19569.0,0.6249336557174029
0.0,0.0,9.0,0.0,0.8,263.0,0.0,0.0,0.0,1.55,93.0,1.0,0.0,1.9,17.8,2024-11-02,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,11.0,0.0,0.0,0.0,0.0,10.0,0.0,146037.0,1.0,1.0,1.0,0.0,2.0,16143.0,23588.0,7445.0,3.9,True,0.0,263.0,0.0,0.0,0.0,90.0,Ipswich,Leicester,1.0,1.0,26695.0,2024.0,684993.0,0.0,0.0,0.0,0.0,0.0,0.0321267545223236,0.0321267545223236,12755.0,Ipswich,2.0,2.0,10.0,1.0,DEF,0.0,0.03,0.05,0.02,4.11,4.0,0.0,7.3,36.2,11.3,25.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,1.0,0.03,0.04,0.0,0.0,1.0,0.0,0.03,0.45,0.41,0.2,0.0,0.02,0.08,0.06,2.92,3.0,0.0,5.3,27.4,7.75,17.5,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,2.0,0.5,0.0,1.5,0.06,0.02,0.0,0.0,0.5,0.0,0.06,0.48,0.46,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16052.0,0.5201881867689234
0.0,0.0,4.0,0.0,0.4,263.0,0.02,0.08,0.06,1.82,108.0,1.0,0.0,2.0,12.6,2024-11-10,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,18.0,0.0,0.0,0.0,0.0,11.0,0.0,162929.0,1.0,2.0,1.0,7.0,2.0,14857.0,25301.0,10444.0,3.9,False,0.0,263.0,0.0,1.0,0.0283257979899644,90.0,Tottenham,Ipswich,1.0,2.0,26709.0,2024.0,687298.0,0.0,0.0,0.0,0.0,0.0283257979899644,0.0,0.0,12755.0,Ipswich,2.0,3.0,11.0,0.8,DEF,0.0,0.0,0.0,0.0,1.55,1.0,0.0,1.9,17.8,0.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,1.0,0.0,0.02,0.02,0.01,2.83,2.5,0.0,4.6,27.0,6.05,12.5,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.5,1.0,0.0,0.5,0.01,0.02,0.0,0.0,0.5,0.0,0.01,0.24,0.22,0.6,0.0,0.01,0.06,0.04,2.47,2.33,0.0,4.17,24.2,5.43,11.67,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.67,1.0,0.0,1.0,0.04,0.01,0.0,0.0,0.33,0.0,0.04,0.33,0.32,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16892.0,0.4156385508462722
0.0,0.0,10.0,0.0,1.8,263.0,0.01,0.01,0.0,0.8,116.0,1.0,0.0,1.6,14.2,2024-11-24,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,14.0,0.0,0.0,0.0,0.0,12.0,0.0,211012.0,1.0,1.0,1.0,0.0,2.0,43884.0,54826.0,10942.0,3.9,True,0.0,263.0,0.0,0.0,0.0,90.0,Ipswich,Manchester United,1.0,1.0,26718.0,2024.0,689245.0,0.0,0.0,0.0,0.0,0.0,0.547687828540802,0.547687828540802,12755.0,Ipswich,3.0,2.0,12.0,2.0,DEF,0.0,0.02,0.08,0.06,1.82,1.0,0.0,2.0,12.6,0.4,7.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.8,0.0,0.01,0.04,0.03,1.68,1.0,0.0,1.95,15.2,0.6,3.5,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0,2.0,0.0,0.5,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.9,0.0,0.02,0.04,0.03,2.49,2.0,0.0,3.73,22.2,4.17,10.67,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.33,0.0,0.67,0.02,0.01,0.0,0.0,0.33,0.0,0.02,0.16,0.15,0.67,0.0,0.02,0.06,0.05,2.31,2.0,0.0,3.62,21.3,4.18,10.5,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.5,1.25,0.0,1.0,0.04,0.01,0.0,0.0,0.25,0.0,0.04,0.25,0.24,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48083.0,0.6672545918987958
0.0,0.0,7.0,0.0,0.9,263.0,0.02,0.35,0.33,1.68,127.0,1.0,0.0,3.1,10.8,2024-11-30,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,16.0,0.0,0.0,0.0,0.0,13.0,0.0,239961.0,1.0,0.0,1.0,19.0,2.0,29920.0,37931.0,8011.0,3.9,False,0.0,263.0,0.0,3.0,0.1993584781885147,90.0,Nottingham Forest,Ipswich,1.0,0.0,26728.0,2024.0,690007.0,0.0,0.0,0.0,0.0,0.1993584781885147,0.1050358414649963,0.1050358414649963,12755.0,Ipswich,2.0,4.0,13.0,2.0,DEF,0.0,0.01,0.01,0.0,0.8,1.0,0.0,1.6,14.2,1.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,2.0,0.0,0.02,0.04,0.03,1.31,1.0,0.0,1.8,13.4,1.1,3.5,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0,2.0,0.0,0.5,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.27,0.27,1.4,0.0,0.01,0.03,0.02,1.39,1.0,0.0,1.83,14.87,1.0,2.33,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,1.0,2.0,0.0,0.33,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.19,0.19,1.27,0.0,0.02,0.04,0.02,2.07,1.75,0.0,3.2,20.2,3.58,8.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.75,1.75,1.5,0.0,0.5,0.01,0.01,0.0,0.0,0.25,0.0,0.01,0.26,0.25,1.0,0.0,0.01,0.05,0.04,2.0,1.8,0.0,3.22,19.88,3.7,8.4,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8,1.4,1.4,0.0,0.8,0.03,0.01,0.0,0.0,0.2,0.0,0.03,0.31,0.3,0.86,28949.0,0.6512559313917549
1.0,0.0,16.0,0.0,20.9,263.0,0.13,0.16,0.03,3.28,146.0,2.0,0.0,7.3,44.4,2024-12-08,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,3.0,0.0,0.0,0.0,0.0,15.0,0.0,256865.0,1.0,2.0,1.0,8.0,4.0,-4495.0,5975.0,10470.0,4.0,True,0.0,263.0,0.0,1.0,0.0891363695263862,90.0,Ipswich,Bournemouth,1.0,2.0,26750.0,2024.0,692743.0,0.1296076476573944,1.0,2.0,0.0,0.0891363695263862,0.1945043951272964,0.0648967549204826,12755.0,Ipswich,3.0,2.0,15.0,2.0,DEF,0.0,0.02,0.35,0.33,1.68,1.0,0.0,3.1,10.8,0.9,19.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.11,0.11,2.0,0.0,0.02,0.18,0.16,1.24,1.0,0.0,2.35,12.5,1.35,9.5,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,0.0,1.5,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.33,0.33,2.0,0.0,0.02,0.15,0.13,1.43,1.0,0.0,2.23,12.53,1.03,8.67,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.33,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.22,0.22,1.6,0.0,0.01,0.11,0.1,1.46,1.0,0.0,2.15,13.85,0.98,6.5,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.17,0.17,1.45,0.0,0.02,0.1,0.08,1.99,1.6,0.0,3.18,18.32,3.04,10.2,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,1.6,1.6,0.0,1.0,0.05,0.01,0.0,0.0,0.2,0.0,0.05,0.23,0.22,1.2,16904.0,-0.27333536029188205
0.0,0.0,17.0,0.0,0.4,263.0,0.0,0.0,0.0,1.27,160.0,1.0,0.0,4.2,39.8,2024-12-14,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,20.0,0.0,0.0,0.0,0.0,16.0,0.0,272678.0,1.0,2.0,1.0,2.0,2.0,13717.0,20315.0,6598.0,4.0,False,0.0,263.0,0.0,0.0,0.0,90.0,Wolverhampton Wanderers,Ipswich,1.0,2.0,26758.0,2024.0,693616.0,0.0,0.0,0.0,0.0,0.0,0.5991424918174744,0.5991424918174744,12755.0,Ipswich,2.0,2.0,16.0,2.0,DEF,0.0,0.13,0.16,0.03,3.28,2.0,0.0,7.3,44.4,20.9,8.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,1.0,0.09,0.13,1.0,1.0,2.0,0.0,0.09,0.19,0.06,2.0,0.0,0.08,0.26,0.18,2.48,1.5,0.0,5.2,27.6,10.9,13.5,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,2.0,0.14,0.06,0.5,0.5,1.0,0.0,0.14,0.15,0.08,2.0,0.0,0.05,0.17,0.12,1.92,1.33,0.0,4.0,23.13,7.87,9.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.67,0.0,1.33,0.1,0.04,0.33,0.33,0.67,0.0,0.1,0.28,0.24,2.0,0.0,0.04,0.15,0.11,1.9,1.25,0.0,3.5,20.5,6.0,8.5,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.25,1.0,2.5,0.0,1.25,0.08,0.03,0.25,0.25,0.5,0.0,0.08,0.21,0.18,1.7,0.0,0.04,0.12,0.08,1.83,1.2,0.0,3.18,19.96,4.96,6.8,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,1.0,2.4,0.0,1.0,0.06,0.03,0.2,0.2,0.4,0.0,0.06,0.18,0.15,1.56,15813.0,0.5096793371233233
0.0,0.0,-2.0,0.0,0.8,263.0,0.0,0.0,0.0,2.33,166.0,4.0,0.0,1.6,13.2,2024-12-21,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,15.0,0.0,0.0,0.0,0.0,17.0,0.0,279392.0,1.0,4.0,0.0,2.0,0.0,6625.0,15530.0,8905.0,4.0,True,0.0,263.0,0.0,0.0,0.0,90.0,Ipswich,Newcastle United,0.0,4.0,26771.0,2024.0,695324.0,0.0,0.0,0.0,0.0,0.0,0.235129103064537,0.235129103064537,12755.0,Ipswich,3.0,2.0,17.0,1.7,DEF,0.0,0.0,0.0,0.0,1.27,1.0,0.0,4.2,39.8,0.4,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,2.0,0.0,0.06,0.08,0.02,2.28,1.5,0.0,5.75,42.1,10.65,5.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.5,0.04,0.06,0.5,0.5,1.0,0.0,0.04,0.4,0.33,2.0,0.0,0.05,0.17,0.12,2.08,1.33,0.0,4.87,31.67,7.4,9.67,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.33,1.0,2.67,0.0,1.33,0.1,0.04,0.33,0.33,0.67,0.0,0.1,0.3,0.26,2.0,0.0,0.04,0.13,0.09,1.76,1.25,0.0,4.05,27.3,6.0,7.25,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.25,1.0,2.5,0.0,1.0,0.07,0.03,0.25,0.25,0.5,0.0,0.07,0.36,0.33,2.0,0.0,0.04,0.12,0.08,1.77,1.2,0.0,3.64,24.36,4.88,7.2,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,1.0,2.4,0.0,1.0,0.06,0.03,0.2,0.2,0.4,0.0,0.06,0.29,0.26,1.76,6714.0,0.27112748107223245
0.0,0.0,-7.0,0.0,0.8,263.0,0.01,0.18,0.17,3.03,215.0,6.0,0.0,3.5,29.6,2025-01-19,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,13.0,0.0,0.0,0.0,0.0,22.0,0.0,220838.0,1.0,6.0,0.0,5.0,-1.0,-9068.0,584.0,9652.0,3.9,True,0.0,263.0,0.0,1.0,0.1283558905124664,90.0,Ipswich,Manchester City,0.0,6.0,26816.0,2024.0,700753.0,0.0,0.0,0.0,0.0,0.1283558905124664,0.1009349599480629,0.1009349599480629,12755.0,Ipswich,4.0,2.0,22.0,0.0,DEF,0.0,0.0,0.0,0.0,2.33,4.0,0.0,1.6,13.2,0.8,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,1.7,0.0,0.0,0.0,0.0,1.8,2.5,0.0,2.9,26.5,0.6,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,1.85,0.0,0.04,0.05,0.01,2.29,2.33,0.0,4.37,32.47,7.37,4.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.67,0.67,2.0,0.0,0.33,0.03,0.04,0.33,0.33,0.67,0.0,0.03,0.34,0.3,1.9,0.0,0.04,0.13,0.09,2.14,2.0,0.0,4.05,27.05,5.75,7.75,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.75,2.0,0.0,1.0,0.07,0.03,0.25,0.25,0.5,0.0,0.07,0.28,0.25,1.92,0.0,0.03,0.1,0.07,1.87,1.8,0.0,3.56,24.48,4.96,6.2,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8,0.8,2.0,0.0,0.8,0.06,0.03,0.2,0.2,0.4,0.0,0.06,0.34,0.31,1.94,-58554.0,-0.8858929269245799
