assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,fpl_name,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,pts_bps,clean_sheets_1,expected_assists_1,expected_goal_involvements_1,expected_goals_1,expected_goals_conceded_1,goals_conceded_1,goals_scored_1,ict_index_1,influence_1,creativity_1,threat_1,minutes_1,own_goals_1,penalties_missed_1,penalties_saved_1,red_cards_1,yellow_cards_1,saves_1,starts_1,team_a_score_1,team_h_score_1,pts_bps_1,goals_1,shots_1,xG_1,xA_1,assists_x_1,assists_y_1,key_passes_1,npg_1,npxG_1,xGChain_1,xGBuildup_1,xP_1,clean_sheets_3,expected_assists_3,expected_goal_involvements_3,expected_goals_3,expected_goals_conceded_3,goals_conceded_3,goals_scored_3,ict_index_3,influence_3,creativity_3,threat_3,minutes_3,own_goals_3,penalties_missed_3,penalties_saved_3,red_cards_3,yellow_cards_3,saves_3,starts_3,team_a_score_3,team_h_score_3,pts_bps_3,goals_3,shots_3,xG_3,xA_3,assists_x_3,assists_y_3,key_passes_3,npg_3,npxG_3,xGChain_3,xGBuildup_3,xP_3,clean_sheets_5,expected_assists_5,expected_goal_involvements_5,expected_goals_5,expected_goals_conceded_5,goals_conceded_5,goals_scored_5,ict_index_5,influence_5,creativity_5,threat_5,minutes_5,own_goals_5,penalties_missed_5,penalties_saved_5,red_cards_5,yellow_cards_5,saves_5,starts_5,team_a_score_5,team_h_score_5,pts_bps_5,goals_5,shots_5,xG_5,xA_5,assists_x_5,assists_y_5,key_passes_5,npg_5,npxG_5,xGChain_5,xGBuildup_5,xP_5,ownership_change,percenatge_net_transfers
0,0,14,1,1.8,394,0.04,0.04,0.0,1.77,5,0,0,2.3,21.2,2024-08-17,90,0,0,0,0,0,0,0,False,17,0,0,0,0,1,0,297465,1,0,1,0.0,3,0,0,0,6.5,True,0,394,,,Bruno Guimarães Rodriguez Moura,0,0,0.0,90,MC,Newcastle United,Southampton,1,0,26606,2024,666361,0.0,0,0,0,0.0,0.0,0.0,26606,Newcastle United,Bruno Guimarães Rodriguez Moura,Bruno Guimarães,1,4,1,3.3,MID,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
0,0,17,0,26.9,394,0.23,0.33,0.1,2.23,12,1,0,6.1,22.6,2024-08-25,90,0,0,0,0,0,0,0,False,3,0,0,0,0,2,0,311788,1,1,1,11.0,2,-18005,15376,33381,6.5,False,0,394,,,Bruno Guimarães Rodriguez Moura,0,2,0.1161871701478958,90,MC,Bournemouth,Newcastle United,1,1,26620,2024,668722,0.1425879597663879,0,2,0,0.1161871701478958,0.2576726675033569,0.2176228612661361,26620,Newcastle United,Bruno Guimarães Rodriguez Moura,Bruno Guimarães,4,3,2,3.0,MID,2,1.0,0.04,0.04,0.0,1.77,0.0,0.0,2.3,21.2,1.8,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.33,0.01,0.01,0.0,0.59,0.0,0.0,0.77,7.07,0.6,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.2,0.01,0.01,0.0,0.35,0.0,0.0,0.46,4.24,0.36,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,14323.0,-0.3692803084685276
0,0,6,0,1.1,394,0.02,0.02,0.0,1.26,28,1,0,0.8,6.8,2024-09-01,90,0,0,0,0,0,0,0,False,18,0,0,0,0,3,0,267780,1,1,2,0.0,1,-50622,7959,58581,6.4,True,1,394,,,Bruno Guimarães Rodriguez Moura,0,0,0.0,90,MC,Newcastle United,Tottenham,2,1,26629,2024,672461,0.0,0,0,0,0.0,0.1141514033079147,0.1141514033079147,26629,Newcastle United,Bruno Guimarães Rodriguez Moura,Bruno Guimarães,2,4,3,2.5,MID,1,0.0,0.23,0.33,0.1,2.23,1.0,0.0,6.1,22.6,26.9,11.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.12,0.14,0.0,0.0,2.0,0.0,0.12,0.26,0.22,3.0,0.33,0.09,0.12,0.03,1.33,0.33,0.0,2.8,14.6,9.57,3.67,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.33,0.67,1.67,0.0,0.67,0.04,0.05,0.0,0.0,0.67,0.0,0.04,0.09,0.07,2.1,0.2,0.05,0.07,0.02,0.8,0.2,0.0,1.68,8.76,5.74,2.2,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.4,1.0,0.0,0.4,0.02,0.03,0.0,0.0,0.4,0.0,0.02,0.05,0.04,1.26,-44008.0,-0.760775473399459
1,2,25,0,12.8,394,0.04,0.07,0.03,0.87,40,1,0,5.0,30.0,2024-09-15,86,0,0,0,0,0,0,0,False,20,0,0,0,0,4,0,240268,1,2,1,7.0,7,-35121,9629,44750,6.4,False,0,394,,,Bruno Guimarães Rodriguez Moura,0,1,0.0154399182647466,89,MC,Wolverhampton Wanderers,Newcastle United,1,2,26641,2024,674632,0.0182267557829618,1,1,0,0.0154399182647466,0.5217830538749695,0.5063431262969971,26641,Newcastle United,Bruno Guimarães Rodriguez Moura,Bruno Guimarães,4,3,4,3.7,MID,5,0.0,0.02,0.02,0.0,1.26,1.0,0.0,0.8,6.8,1.1,0.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,2.5,0.33,0.1,0.13,0.03,1.75,0.67,0.0,3.07,16.87,9.93,3.67,90.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.67,1.33,2.0,0.0,0.67,0.04,0.05,0.0,0.0,0.67,0.0,0.04,0.12,0.11,2.93,0.2,0.06,0.08,0.02,1.05,0.4,0.0,1.84,10.12,5.96,2.2,54.0,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.4,0.8,1.2,0.0,0.4,0.02,0.03,0.0,0.0,0.4,0.0,0.02,0.07,0.07,1.76,-27512.0,-0.645855937034517
0,0,8,0,6.6,394,0.05,0.1,0.05,2.29,44,3,0,1.5,7.2,2024-09-21,90,0,0,0,0,0,0,0,False,9,0,0,0,0,5,0,241013,1,1,3,1.0,2,-4336,9890,14226,6.4,False,0,394,,,Bruno Guimarães Rodriguez Moura,0,1,0.047750923782587,90,MC,Fulham,Newcastle United,3,1,26646,2024,675735,0.0,0,0,0,0.047750923782587,0.2409802973270416,0.1932293772697448,26646,Newcastle United,Bruno Guimarães Rodriguez Moura,Bruno Guimarães,4,3,5,3.5,MID,2,0.0,0.04,0.07,0.03,0.87,1.0,0.0,5.0,30.0,12.8,7.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,0.0,1.0,0.02,0.02,1.0,1.0,1.0,0.0,0.02,0.52,0.51,3.7,0.0,0.1,0.14,0.04,1.45,1.0,0.0,3.97,19.8,13.6,6.0,88.67,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.33,1.33,2.67,0.0,1.0,0.04,0.05,0.33,0.33,1.0,0.0,0.04,0.3,0.28,3.07,0.2,0.07,0.09,0.03,1.23,0.6,0.0,2.84,16.12,8.52,3.6,71.2,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.8,1.0,2.2,0.0,0.6,0.03,0.03,0.2,0.2,0.6,0.0,0.03,0.18,0.17,2.5,745.0,-0.1797976447172002
0,0,13,0,24.0,394,0.26,0.26,0.0,0.91,58,1,0,4.5,21.2,2024-09-28,90,0,0,0,0,0,0,0,False,13,0,0,0,0,6,0,214764,1,1,1,0.0,1,-27593,4296,31889,6.3,True,1,394,,,Bruno Guimarães Rodriguez Moura,0,0,0.0,90,MC,Newcastle United,Manchester City,1,1,26652,2024,677438,0.0694485679268837,0,1,0,0.0,0.2367627769708633,0.167314201593399,26652,Newcastle United,Bruno Guimarães Rodriguez Moura,Bruno Guimarães,4,4,6,2.3,MID,1,0.0,0.05,0.1,0.05,2.29,3.0,0.0,1.5,7.2,6.6,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.24,0.19,3.5,0.0,0.04,0.06,0.03,1.47,1.67,0.0,2.43,14.67,6.83,2.67,88.67,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.33,2.0,2.67,0.0,0.67,0.02,0.01,0.33,0.33,0.33,0.0,0.02,0.29,0.27,3.23,0.2,0.08,0.11,0.04,1.68,1.2,0.0,3.14,17.56,9.84,3.8,89.2,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.0,1.6,2.6,0.0,0.8,0.04,0.03,0.2,0.2,0.6,0.0,0.04,0.23,0.21,3.2,-26249.0,-0.7625535442863065
0,0,18,1,8.1,394,0.03,0.29,0.26,0.67,67,0,0,3.0,12.6,2024-10-05,90,0,0,0,0,0,0,0,False,8,0,0,0,0,7,0,202565,1,0,0,9.0,3,-14760,5370,20130,6.3,False,0,394,,,Bruno Guimarães Rodriguez Moura,0,2,0.1739800423383712,90,MC,Everton,Newcastle United,0,0,26669,2024,679747,0.0,0,0,0,0.1739800423383712,0.532493531703949,0.4430815577507019,26669,Newcastle United,Bruno Guimarães Rodriguez Moura,Bruno Guimarães,4,3,7,3.7,MID,3,0.0,0.26,0.26,0.0,0.91,1.0,0.0,4.5,21.2,24.0,0.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.07,0.0,0.0,1.0,0.0,0.0,0.24,0.17,2.3,0.0,0.12,0.14,0.03,1.36,1.67,0.0,3.67,19.47,14.47,2.67,88.67,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.33,1.67,2.67,0.0,0.67,0.02,0.03,0.33,0.33,0.67,0.0,0.02,0.33,0.29,3.17,0.0,0.12,0.16,0.04,1.51,1.4,0.0,3.58,17.56,14.28,3.8,89.2,0.0,0.0,0.0,0.0,0.4,0.0,1.0,1.2,1.6,2.2,0.0,0.8,0.04,0.05,0.2,0.2,0.8,0.0,0.04,0.27,0.24,3.0,-12199.0,-0.5788235294117647
0,0,18,0,32.7,394,0.26,0.31,0.05,0.9,76,1,0,5.5,16.0,2024-10-19,84,0,0,0,0,0,0,0,False,5,0,0,0,0,8,0,197418,1,1,0,6.0,2,-7717,4898,12615,6.3,True,0,394,,,Bruno Guimarães Rodriguez Moura,0,2,0.0470345579087734,86,MC,Newcastle United,Brighton,0,1,26676,2024,681355,0.4369034171104431,0,2,0,0.0470345579087734,0.5944247841835022,0.1104867830872535,26676,Newcastle United,Bruno Guimarães Rodriguez Moura,Bruno Guimarães,3,4,8,2.0,MID,2,1.0,0.03,0.29,0.26,0.67,0.0,0.0,3.0,12.6,8.1,9.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.17,0.0,0.0,0.0,0.0,0.0,0.17,0.53,0.44,3.7,0.33,0.11,0.22,0.1,1.29,1.33,0.0,3.0,13.67,12.9,3.33,90.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.67,1.33,2.0,0.0,1.0,0.07,0.02,0.0,0.0,0.33,0.0,0.07,0.34,0.27,3.17,0.2,0.08,0.15,0.07,1.2,1.2,0.0,2.96,15.56,10.52,3.4,89.2,0.0,0.0,0.0,0.0,0.4,0.0,1.0,1.0,1.4,2.4,0.0,0.8,0.05,0.02,0.2,0.2,0.4,0.0,0.05,0.33,0.28,3.14,-5147.0,-0.4406440929595158
0,0,18,0,17.6,394,0.03,0.07,0.04,1.64,85,2,0,3.9,15.0,2024-10-27,90,0,0,0,0,0,0,0,False,6,0,0,0,0,9,0,190547,1,1,2,6.0,2,-7662,2102,9764,6.2,False,0,394,,,Bruno Guimarães Rodriguez Moura,0,1,0.0210578739643096,90,MC,Chelsea,Newcastle United,2,1,26688,2024,683528,0.0601799488067626,0,1,0,0.0210578739643096,0.3978762030601501,0.3768183290958404,26688,Newcastle United,Bruno Guimarães Rodriguez Moura,Bruno Guimarães,4,4,9,1.8,MID,2,0.0,0.26,0.31,0.05,0.9,1.0,0.0,5.5,16.0,32.7,6.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.05,0.44,0.0,0.0,2.0,0.0,0.05,0.59,0.11,2.0,0.33,0.18,0.29,0.1,0.83,0.67,0.0,4.33,16.6,21.6,5.0,88.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,0.67,0.33,2.0,0.0,1.33,0.07,0.17,0.0,0.0,1.0,0.0,0.07,0.45,0.24,2.67,0.2,0.13,0.21,0.08,1.13,1.2,0.0,3.9,17.4,16.84,4.6,88.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.0,1.0,2.6,0.0,1.2,0.06,0.1,0.2,0.2,0.8,0.0,0.06,0.43,0.28,3.04,-6871.0,-0.6457104331704029
0,0,9,1,4.9,394,0.02,0.06,0.04,1.05,96,0,0,1.3,2.4,2024-11-02,90,0,0,0,0,0,0,0,False,1,0,0,0,0,10,0,184412,1,0,1,6.0,3,-7315,3970,11285,6.2,True,0,394,,,Bruno Guimarães Rodriguez Moura,0,2,0.1082855612039566,90,MC,Newcastle United,Arsenal,1,0,26694,2024,684657,0.0,0,0,0,0.1082855612039566,0.2497080117464065,0.1938313841819763,26694,Newcastle United,Bruno Guimarães Rodriguez Moura,Bruno Guimarães,5,4,10,1.3,MID,3,0.0,0.03,0.07,0.04,1.64,2.0,0.0,3.9,15.0,17.6,6.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.02,0.06,0.0,0.0,1.0,0.0,0.02,0.4,0.38,1.8,0.33,0.11,0.22,0.12,1.07,1.0,0.0,4.13,14.53,19.47,7.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,0.67,2.33,0.0,1.67,0.08,0.17,0.0,0.0,1.0,0.0,0.08,0.51,0.31,2.5,0.2,0.13,0.21,0.08,1.28,1.4,0.0,3.68,14.4,17.8,4.4,88.8,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.8,1.2,2.0,0.0,1.2,0.06,0.11,0.0,0.0,0.8,0.0,0.06,0.4,0.26,2.66,-6135.0,-0.47951491314323175
