assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,team_h_difficulty,team_a_difficulty,event,xP,position
0.0,0.0,17.0,0.0,0.8,219.0,0.0,0.0,0.0,0.95,55.0,1.0,0.0,2.0,19.2,2024-09-28,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,7.0,0.0,0.0,0.0,0.0,6.0,0.0,77959.0,1.0,1.0,2.0,0.0,2.0,-4887.0,1649.0,6536.0,48.0,True,0.0,219.0,0.0,0.0,0.0,90.0,Everton,Crystal Palace,2.0,1.0,26654.0,2024.0,677808.0,0.0,0.0,0.0,0.0,0.0,0.3245075941085815,0.3245075941085815,8476.0,Everton,3.0,3.0,6.0,0.5,DEF
0.0,0.0,4.0,0.0,0.0,219.0,0.0,0.0,0.0,0.01,87.0,0.0,0.0,0.3,3.2,2024-10-26,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,9.0,0.0,0.0,0.0,0.0,9.0,0.0,76635.0,0.0,1.0,1.0,0.0,1.0,-438.0,2530.0,2968.0,48.0,True,0.0,219.0,0.0,0.0,0.0,3.0,Everton,Fulham,1.0,1.0,26687.0,2024.0,683157.0,0.0,0.0,0.0,0.0,0.0,0.0198609419167041,0.0198609419167041,8476.0,Everton,3.0,3.0,9.0,0.3,DEF
0.0,0.0,3.0,0.0,0.3,219.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.1,1.0,2024-11-02,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,17.0,0.0,0.0,0.0,0.0,10.0,0.0,85233.0,0.0,0.0,1.0,0.0,1.0,7083.0,9381.0,2298.0,48.0,False,0.0,219.0,0.0,0.0,0.0,1.0,Southampton,Everton,1.0,0.0,26699.0,2024.0,685140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8476.0,Everton,2.0,2.0,10.0,1.2,DEF
0.0,0.0,21.0,1.0,1.8,219.0,0.02,0.02,0.0,0.83,109.0,0.0,0.0,2.2,19.8,2024-11-09,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,19.0,0.0,0.0,0.0,0.0,11.0,0.0,84066.0,1.0,0.0,0.0,0.0,6.0,-1105.0,3044.0,4149.0,48.0,False,0.0,219.0,0.0,0.0,0.0,90.0,West Ham,Everton,0.0,0.0,26710.0,2024.0,686651.0,0.0,0.0,0.0,0.0,0.0,0.0616927295923233,0.0616927295923233,8476.0,Everton,2.0,2.0,11.0,2.7,DEF
0.0,0.0,29.0,1.0,2.4,219.0,0.02,0.05,0.03,1.1,114.0,0.0,0.0,2.5,16.8,2024-11-23,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,4.0,0.0,0.0,0.0,0.0,12.0,0.0,84350.0,1.0,0.0,0.0,6.0,6.0,-499.0,3982.0,4481.0,48.0,True,0.0,219.0,0.0,1.0,0.0395980738103389,90.0,Everton,Brentford,0.0,0.0,26715.0,2024.0,688456.0,0.0,0.0,0.0,0.0,0.0395980738103389,0.2724289298057556,0.2724289298057556,8476.0,Everton,2.0,3.0,12.0,3.2,DEF
0.0,0.0,-5.0,0.0,0.8,219.0,0.01,0.01,0.0,0.73,126.0,4.0,0.0,0.7,6.4,2024-12-01,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,14.0,0.0,0.0,0.0,0.0,13.0,0.0,90335.0,1.0,0.0,4.0,0.0,0.0,4703.0,6498.0,1795.0,48.0,False,0.0,219.0,0.0,0.0,0.0,90.0,Manchester United,Everton,4.0,0.0,26727.0,2024.0,690660.0,0.0,0.0,0.0,0.0,0.0,0.1459706723690033,0.1459706723690033,8476.0,Everton,2.0,3.0,13.0,3.2,DEF
0.0,1.0,33.0,1.0,0.5,219.0,0.0,0.0,0.0,0.78,134.0,0.0,0.0,2.1,20.2,2024-12-04,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,20.0,0.0,0.0,0.0,0.0,14.0,0.0,93814.0,1.0,0.0,4.0,0.0,7.0,2696.0,6143.0,3447.0,48.0,True,0.0,219.0,0.0,0.0,0.0,90.0,Everton,Wolverhampton Wanderers,4.0,0.0,26735.0,2024.0,691572.0,0.0,0.0,0.0,0.0,0.0,0.0178183503448963,0.0178183503448963,8476.0,Everton,2.0,3.0,14.0,4.8,DEF
0.0,0.0,23.0,1.0,0.1,219.0,0.0,0.0,0.0,1.22,151.0,0.0,0.0,1.9,18.8,2024-12-14,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,0.0,0.0,0.0,0.0,16.0,0.0,96955.0,1.0,0.0,0.0,0.0,6.0,1558.0,6061.0,4503.0,48.0,False,0.0,219.0,0.0,0.0,0.0,90.0,Arsenal,Everton,0.0,0.0,26755.0,2024.0,693742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8476.0,Everton,2.0,4.0,16.0,4.3,DEF
0.0,0.0,21.0,1.0,0.4,219.0,0.01,0.01,0.0,0.86,164.0,0.0,0.0,1.6,15.8,2024-12-22,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,6.0,0.0,0.0,0.0,0.0,17.0,0.0,106648.0,1.0,0.0,0.0,0.0,6.0,7944.0,11084.0,3140.0,48.0,True,0.0,219.0,0.0,0.0,0.0,90.0,Everton,Chelsea,0.0,0.0,26764.0,2024.0,695757.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8476.0,Everton,4.0,3.0,17.0,4.5,DEF
0.0,0.0,9.0,0.0,0.3,219.0,0.0,0.01,0.01,2.09,176.0,1.0,0.0,3.9,21.4,2024-12-26,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,13.0,0.0,0.0,0.0,0.0,18.0,0.0,117455.0,1.0,1.0,1.0,17.0,1.0,9489.0,13444.0,3955.0,48.0,False,1.0,219.0,0.0,1.0,0.010218758136034,90.0,Manchester City,Everton,1.0,1.0,26777.0,2024.0,696138.0,0.0,0.0,0.0,0.0,0.010218758136034,0.0295382048934698,0.0295382048934698,8476.0,Everton,2.0,4.0,18.0,3.5,DEF
0.0,0.0,6.0,0.0,12.1,219.0,0.1,0.23,0.13,1.48,184.0,2.0,0.0,3.7,15.8,2024-12-29,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,16.0,0.0,0.0,0.0,0.0,19.0,0.0,124501.0,1.0,2.0,0.0,9.0,0.0,6278.0,11016.0,4738.0,48.0,True,1.0,219.0,0.0,1.0,0.0665445029735565,90.0,Everton,Nottingham Forest,0.0,2.0,26785.0,2024.0,696673.0,0.0289231855422258,0.0,1.0,0.0,0.0665445029735565,0.1228198111057281,0.0938966199755668,8476.0,Everton,3.0,3.0,19.0,4.0,DEF
0.0,0.0,4.0,0.0,0.9,219.0,0.01,0.01,0.0,1.84,192.0,1.0,0.0,2.9,23.8,2025-01-04,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,3.0,0.0,0.0,0.0,0.0,20.0,0.0,122780.0,1.0,0.0,1.0,4.0,1.0,-2362.0,7484.0,9846.0,48.0,False,1.0,219.0,0.0,0.0,0.0,90.0,Bournemouth,Everton,1.0,0.0,26792.0,2024.0,697149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8476.0,Everton,2.0,3.0,20.0,2.8,DEF
0.0,0.0,8.0,0.0,1.1,219.0,0.0,0.14,0.14,1.21,203.0,1.0,0.0,2.1,10.4,2025-01-15,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.0,0.0,0.0,0.0,0.0,21.0,0.0,118616.0,1.0,1.0,0.0,9.0,2.0,-5116.0,3223.0,8339.0,48.0,True,0.0,219.0,0.0,1.0,0.087311752140522,90.0,Everton,Aston Villa,0.0,1.0,26804.0,2024.0,699261.0,0.0,0.0,0.0,0.0,0.087311752140522,0.087311752140522,0.0,8476.0,Everton,3.0,3.0,21.0,2.0,DEF
0.0,0.0,10.0,0.0,0.7,219.0,0.01,0.01,0.0,1.12,214.0,2.0,0.0,2.1,20.0,2025-01-19,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,18.0,0.0,0.0,0.0,0.0,22.0,0.0,115578.0,1.0,2.0,3.0,0.0,1.0,-3446.0,1575.0,5021.0,48.0,True,0.0,219.0,0.0,0.0,0.0,90.0,Everton,Tottenham,3.0,2.0,26815.0,2024.0,700443.0,0.0,0.0,0.0,0.0,0.0,0.4007259607315063,0.4007259607315063,8476.0,Everton,3.0,3.0,22.0,0.0,DEF
0.0,2.0,31.0,1.0,1.1,219.0,0.02,0.02,0.0,0.73,223.0,0.0,0.0,3.8,35.2,2025-01-25,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,5.0,0.0,0.0,0.0,0.0,23.0,0.0,117991.0,1.0,1.0,0.0,2.0,8.0,1526.0,6582.0,5056.0,48.0,False,0.0,219.0,0.0,0.0,0.0,90.0,Brighton,Everton,0.0,1.0,26824.0,2024.0,701422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8476.0,Everton,2.0,3.0,23.0,3.0,DEF
0.0,0.0,22.0,1.0,1.0,219.0,0.01,0.24,0.23,0.33,235.0,0.0,0.0,3.8,25.8,2025-02-01,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,11.0,0.0,0.0,0.0,0.0,24.0,0.0,189179.0,1.0,0.0,4.0,11.0,6.0,55939.0,59975.0,4036.0,48.0,True,0.0,219.0,0.0,1.0,0.5169581770896912,90.0,Everton,Leicester,4.0,0.0,26836.0,2024.0,703326.0,0.0,0.0,0.0,0.0,0.5169581770896912,1.5262174606323242,1.5262174606323242,8476.0,Everton,2.0,3.0,24.0,7.4,DEF
1.0,0.0,25.0,0.0,13.4,219.0,0.02,0.02,0.0,0.65,144.0,2.0,0.0,7.6,60.2,2025-02-12,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,12.0,0.0,0.0,0.0,0.0,24.0,0.0,189179.0,1.0,2.0,2.0,2.0,4.0,55939.0,59975.0,4036.0,48.0,True,0.0,219.0,0.0,0.0,0.0,90.0,Everton,Liverpool,2.0,2.0,26748.0,2024.0,705750.0,0.3557285666465759,1.0,1.0,0.0,0.0,0.0,0.0,8476.0,Everton,5.0,3.0,24.0,7.4,DEF
0.0,0.0,14.0,0.0,0.5,219.0,0.0,0.0,0.0,1.72,243.0,1.0,0.0,4.0,39.4,2025-02-15,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,7.0,0.0,0.0,0.0,0.0,25.0,0.0,174557.0,1.0,2.0,1.0,0.0,2.0,-2388.0,10418.0,12806.0,48.0,False,0.0,219.0,0.0,0.0,0.0,90.0,Crystal Palace,Everton,1.0,2.0,26844.0,2024.0,706411.0,0.0,0.0,0.0,0.0,0.0,0.2139421999454498,0.2139421999454498,8476.0,Everton,2.0,3.0,25.0,5.0,DEF
0.0,0.0,14.0,0.0,0.5,219.0,0.0,0.0,0.0,1.72,243.0,1.0,0.0,4.0,39.4,2025-02-15,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,7.0,0.0,0.0,0.0,0.0,25.0,0.0,174557.0,1.0,2.0,1.0,0.0,2.0,-2388.0,10418.0,12806.0,48.0,False,0.0,219.0,0.0,0.0,0.0,90.0,Crystal Palace,Everton,1.0,2.0,26844.0,2024.0,706411.0,0.0,0.0,0.0,0.0,0.0,0.2139421999454498,0.2139421999454498,8476.0,Everton,2.0,3.0,25.0,5.0,DEF
0.0,0.0,12.0,0.0,0.2,219.0,0.0,0.07,0.07,0.41,254.0,2.0,0.0,4.8,31.2,2025-02-22,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,14.0,0.0,0.0,0.0,0.0,26.0,0.0,184928.0,1.0,2.0,2.0,17.0,1.0,8997.0,14538.0,5541.0,48.0,True,0.0,219.0,0.0,1.0,0.0628075897693634,90.0,Everton,Manchester United,2.0,2.0,26855.0,2024.0,707518.0,0.0,0.0,0.0,0.0,0.0628075897693634,0.0,0.0,8476.0,Everton,3.0,3.0,26.0,,
0.0,0.0,13.0,0.0,1.4,219.0,0.01,0.01,0.0,1.48,261.0,1.0,0.0,1.6,14.8,2025-02-26,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,4.0,0.0,0.0,0.0,0.0,27.0,0.0,184209.0,1.0,1.0,1.0,0.0,2.0,-1041.0,8403.0,9444.0,48.0,False,0.0,219.0,0.0,0.0,0.0,90.0,Brentford,Everton,1.0,1.0,26862.0,2024.0,709132.0,0.0,0.0,0.0,0.0,0.0,0.2715067565441131,0.2715067565441131,8476.0,Everton,2.0,3.0,27.0,3.0,DEF
0.0,0.0,8.0,0.0,0.1,219.0,0.0,0.14,0.14,0.77,280.0,1.0,0.0,3.4,23.8,2025-03-08,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,20.0,0.0,0.0,0.0,0.0,28.0,0.0,184598.0,1.0,1.0,1.0,10.0,2.0,-227.0,6558.0,6785.0,48.0,False,0.0,219.0,0.0,1.0,0.1087443307042121,90.0,Wolverhampton Wanderers,Everton,1.0,1.0,26881.0,2024.0,711713.0,0.0,0.0,0.0,0.0,0.1087443307042121,0.0143042635172605,0.0143042635172605,8476.0,Everton,2.0,2.0,28.0,2.2,DEF
0.0,0.0,12.0,0.0,1.7,219.0,0.01,0.01,0.0,0.83,284.0,1.0,0.0,2.4,22.6,2025-03-15,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,19.0,0.0,0.0,0.0,0.0,29.0,0.0,203037.0,1.0,1.0,1.0,0.0,2.0,6218.0,10662.0,4444.0,48.0,True,0.0,219.0,0.0,0.0,0.0,90.0,Everton,West Ham,1.0,1.0,26885.0,2024.0,712951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8476.0,Everton,2.0,3.0,29.0,1.8,DEF
