assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position
0,0,15,0,1.9,588,0.03,0.05,0.02,1.96,7,2,0,0.9,5.6,2024-08-17,84,0,0,0,0,0,0,0,False,2,0,0,0,0,1,0,5566,1,2,1,1.0,2,0,0,0,50,True,0,588,,,0,1,0.0215934216976165,88,DMC,West Ham,Aston Villa,1,2,26608,2024,666453,0.0,0,0,0,0.0215934216976165,0.0481658987700939,0.0481658987700939,8267,West Ham,Guido Rodríguez,Guido Rodríguez,3,2,1,1.6,MID
0,0,11,1,0.5,588,0.0,0.02,0.02,1.35,14,0,0,1.4,9.6,2024-08-24,90,0,0,0,0,0,0,0,False,7,0,0,0,0,2,0,7203,1,2,0,4.0,3,-84,675,759,50,False,0,588,,,0,2,0.0365185588598251,90,DMC,Crystal Palace,West Ham,0,2,26613,2024,667934,0.0,0,0,0,0.0365185588598251,0.0277204439043998,0.0,8267,West Ham,Guido Rodríguez,Guido Rodríguez,2,3,2,2.5,MID
0,0,9,0,3.1,588,0.0,0.01,0.01,3.0,30,3,0,1.2,8.2,2024-08-31,90,0,0,0,0,0,0,0,False,13,0,0,0,0,3,0,8277,1,3,1,1.0,1,-38,1374,1412,50,True,1,588,,,0,1,0.0133457770571112,90,DMC,West Ham,Manchester City,1,3,26628,2024,672006,0.0,0,0,0,0.0133457770571112,0.0585259944200515,0.0585259944200515,8267,West Ham,Guido Rodríguez,Guido Rodríguez,4,2,3,1.0,MID
0,0,7,0,2.9,588,0.01,0.01,0.0,0.86,35,1,0,1.0,5.0,2024-09-14,69,0,0,0,0,0,0,0,False,9,0,0,0,0,4,0,8542,1,1,1,2.0,1,-306,880,1186,50,False,1,588,,,0,0,0.0,71,DMC,Fulham,West Ham,1,1,26634,2024,673753,0.0,0,0,0,0.0,0.0422718450427055,0.0422718450427055,8267,West Ham,Guido Rodríguez,Guido Rodríguez,2,3,4,1.8,MID
0,0,3,0,1.4,588,0.01,0.01,0.0,0.93,50,2,0,0.6,5.0,2024-09-21,37,0,0,0,0,0,0,0,False,6,0,0,0,0,5,0,8404,1,3,0,0.0,1,-380,288,668,50,True,0,588,,,0,0,0.0,37,MC,West Ham,Chelsea,0,3,26642,2024,675281,0.0,0,0,0,0.0,0.0,0.0,8267,West Ham,Guido Rodríguez,Guido Rodríguez,3,2,5,1.5,MID
0,0,11,0,13.3,588,0.02,0.03,0.01,0.37,53,1,0,3.7,22.4,2024-09-28,90,0,0,0,0,0,0,0,False,4,0,0,0,0,6,0,8095,1,1,1,1.0,2,-509,351,860,50,False,0,588,,,0,1,0.0106301810592412,90,DMC,Brentford,West Ham,1,1,26656,2024,677881,0.0327210910618305,0,1,0,0.0106301810592412,0.0957126319408416,0.0850824564695358,8267,West Ham,Guido Rodríguez,Guido Rodríguez,2,3,6,1.3,MID
0,0,12,0,2.1,588,0.01,0.01,0.0,0.52,70,1,0,1.5,12.4,2024-10-05,69,0,0,0,0,0,0,0,False,10,0,0,0,0,7,0,8252,1,1,4,0.0,2,-111,518,629,49,True,0,588,,,0,0,0.0,73,DMC,West Ham,Ipswich,4,1,26665,2024,679487,0.0,0,0,0,0.0,0.8718626499176025,0.8718626499176025,8267,West Ham,Guido Rodríguez,Guido Rodríguez,2,2,7,2.0,MID
0,0,15,0,2.8,588,0.0,0.0,0.0,1.82,79,4,0,2.6,23.6,2024-10-19,69,0,0,0,0,0,0,0,False,18,0,0,0,0,8,0,8260,1,1,4,0.0,2,-213,342,555,49,False,0,588,,,0,0,0.0,71,DMC,Tottenham,West Ham,4,1,26672,2024,680961,0.0,0,0,0,0.0,0.0840998664498329,0.0840998664498329,8267,West Ham,Guido Rodríguez,Guido Rodríguez,2,3,8,1.5,MID
0,0,21,0,1.8,588,0.01,0.01,0.0,2.02,90,1,0,1.4,11.8,2024-10-27,90,0,0,0,0,0,0,0,False,14,0,0,0,0,9,0,8232,1,1,2,0.0,2,-127,231,358,49,True,0,588,,,0,0,0.0,90,DMC,West Ham,Manchester United,2,1,26690,2024,683453,0.0,0,0,0,0.0,0.8076287508010864,0.8076287508010864,8267,West Ham,Guido Rodríguez,Guido Rodríguez,2,2,9,2.0,MID
0,0,-1,0,1.0,588,0.01,0.01,0.0,1.43,97,1,0,0.7,6.0,2024-11-02,45,0,0,0,0,0,0,0,False,16,0,0,0,0,10,0,8419,1,0,3,0.0,0,21,415,394,49,False,1,588,,,0,0,0.0,50,MC,Nottingham Forest,West Ham,3,0,26698,2024,685075,0.0,0,0,0,0.0,0.0,0.0,8267,West Ham,Guido Rodríguez,Guido Rodríguez,2,4,10,1.3,MID
