goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,understat_id
0,0,1,0.0608524419367313,1,Sub,Crystal Palace,Brighton,2,1,2025-04-05,26904,2024,716853,0.0868463292717933,0,1,0,0.0608524419367313,0.147698774933815,0.0,12758
1,0,0,0.0,17,Sub,Brighton,Aston Villa,0,3,2025-04-02,26893,2024,716185,0.0103836124762892,0,1,0,0.0,0.0103836124762892,0.0,12758
2,0,0,0.0,1,Sub,Manchester City,Brighton,2,2,2025-03-15,26889,2024,713035,0.0,0,0,0,0.0,0.0,0.0,12758
3,0,0,0.0,2,Sub,Brighton,Fulham,2,1,2025-03-08,26873,2024,711329,0.0,0,0,0,0.0,0.0,0.0,12758
4,0,0,0.0,1,Sub,Brighton,Bournemouth,2,1,2025-02-25,26863,2024,709067,0.0,0,0,0,0.0,0.0,0.0,12758
5,0,0,0.0,5,Sub,Southampton,Brighton,0,4,2025-02-22,26861,2024,707881,0.0493044070899486,0,2,0,0.0,0.5460106730461121,0.4967062473297119,12758
6,1,1,0.1860945373773574,60,DMC,West Ham,Brighton,1,1,2024-12-21,26767,2024,695312,0.0,0,0,1,0.1860945373773574,0.0892371758818626,0.0892371758818626,12758
7,0,0,0.0,1,Sub,Brighton,Crystal Palace,1,3,2024-12-15,26756,2024,694200,0.0,0,0,0,0.0,0.155562624335289,0.155562624335289,12758
8,0,0,0.0,42,Sub,Leicester,Brighton,2,2,2024-12-08,26751,2024,692801,0.0,0,0,0,0.0,0.2700523734092712,0.2700523734092712,12758
9,0,1,0.1054310053586959,88,MC,Fulham,Brighton,3,1,2024-12-05,26736,2024,691622,0.0,0,0,0,0.1054310053586959,0.0279458928853273,0.0279458928853273,12758
10,0,1,0.0401929169893264,14,Sub,Brighton,Southampton,1,1,2024-11-29,26723,2024,689626,0.0,0,0,0,0.0401929169893264,0.0965175405144691,0.0965175405144691,12758
11,0,0,0.0,21,Sub,Bournemouth,Brighton,1,2,2024-11-23,26712,2024,688388,0.0,0,0,0,0.0,0.0513505712151527,0.0513505712151527,12758
12,0,1,0.0224685128778219,12,Sub,Liverpool,Brighton,2,1,2024-11-02,26696,2024,685050,0.0738180056214332,0,1,0,0.0224685128778219,0.1358888745307922,0.1134203672409057,12758
13,0,0,0.0,6,Sub,Brighton,Wolverhampton Wanderers,2,2,2024-10-26,26686,2024,683035,0.0,0,0,0,0.0,0.1136952266097068,0.1136952266097068,12758
14,0,1,0.3365251421928406,18,Sub,Newcastle United,Brighton,0,1,2024-10-19,26676,2024,681378,0.0,0,0,0,0.3365251421928406,0.3365251421928406,0.0,12758
15,0,0,0.0,14,Sub,Brighton,Tottenham,3,2,2024-10-06,26671,2024,680431,0.0,0,0,0,0.0,0.0,0.0,12758
16,0,0,0.0,65,MC,Chelsea,Brighton,4,2,2024-09-28,26657,2024,677914,0.0247654933482408,0,1,0,0.0,0.1885515749454498,0.1637860834598541,12758
17,0,0,0.0,24,Sub,Brighton,Nottingham Forest,2,2,2024-09-22,26650,2024,676312,0.0268027447164058,0,1,0,0.0,0.0268027447164058,0.0,12758
18,0,0,0.0,90,DMC,Everton,Brighton,0,3,2024-08-17,26605,2024,666344,0.1089806854724884,1,1,0,0.0,1.0955357551574707,0.98655503988266,12758
