goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,1,0.0246620755642652,90,DC,Sunderland,Aston Villa,1,1,2025-09-21,28826,2025,739248,0.1570467352867126,0,3,0,0.0246620755642652,0.1546307653188705,0.0684534758329391
1,0,0,0.0,90,DC,Crystal Palace,Sunderland,0,0,2025-09-13,28811,2025,736950,0.1211454048752784,0,1,0,0.0,0.155924305319786,0.0347789041697979
2,0,1,0.0828646048903465,90,DC,Sunderland,Brentford,2,1,2025-08-30,28801,2025,735070,0.0,0,0,0,0.0828646048903465,0.0,0.0
3,0,1,0.0260708034038543,90,DC,Bayer Leverkusen,Bochum,3,1,2025-03-28,27976,2024,714463,0.008172801695764,0,1,0,0.0260708034038543,0.1584895551204681,0.1242459490895271
4,0,0,0.0,90,DR,VfB Stuttgart,Bayer Leverkusen,3,4,2025-03-16,27967,2024,714257,0.4756265580654144,0,3,0,0.0,0.8995810747146606,0.8995810747146606
5,0,1,0.019472163170576,41,Sub,Bayer Leverkusen,Werder Bremen,0,2,2025-03-08,27958,2024,711204,0.0250970888882875,0,1,0,0.019472163170576,0.1239389106631279,0.1044667437672615
6,1,2,0.7461342215538025,90,DC,Eintracht Frankfurt,Bayer Leverkusen,1,4,2025-03-01,27951,2024,709965,0.0,0,0,1,0.7461342215538025,0.605105459690094,0.605105459690094
7,0,0,0.0,5,Sub,Holstein Kiel,Bayer Leverkusen,0,2,2025-02-22,27948,2024,707665,0.0,0,0,0,0.0,0.0,0.0
8,0,0,0.0,90,DR,Bayer Leverkusen,Bayern Munich,0,0,2025-02-15,27931,2024,706454,0.0,0,0,0,0.0,0.0,0.0
9,0,1,0.598128080368042,90,DC,Wolfsburg,Bayer Leverkusen,0,0,2025-02-08,27927,2024,704794,0.0,0,0,0,0.598128080368042,0.4242945909500122,0.4242945909500122
