goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,0.0,1,Sub,Nottingham Forest,Wolverhampton Wanderers,2,2,2024-04-13,22223,2023,653332,0.0,0,0,0,0.0,0.0,0.0
1,0,2,0.0335277542471885,90,DL,Nottingham Forest,West Ham,2,0,2024-02-17,22142,2023,641796,0.1233695447444915,0,1,0,0.0335277542471885,0.1874511986970901,0.0485354363918304
2,0,2,0.090056799352169,90,DL,Nottingham Forest,Newcastle United,2,3,2024-02-10,22131,2023,640400,0.1259743869304657,0,1,0,0.090056799352169,0.257936418056488,0.1147491931915283
3,0,1,0.0154559882357716,90,DL,Bournemouth,Nottingham Forest,1,1,2024-02-04,22115,2023,639027,0.0,0,0,0,0.0154559882357716,0.0,0.0
4,0,2,0.0341258719563484,90,DL,Brentford,Nottingham Forest,3,2,2024-01-20,22104,2023,635959,0.0,0,0,0,0.0341258719563484,0.1037324219942092,0.0696065500378608
5,0,0,0.0,38,DL,Manchester City,Nottingham Forest,2,0,2023-09-23,21946,2023,612166,0.0,0,0,0,0.0,0.0,0.0
6,0,0,0.0,35,Sub,Nottingham Forest,Burnley,1,1,2023-09-18,21944,2023,611595,0.0,0,0,0,0.0,0.121264100074768,0.121264100074768
7,0,0,0.0,13,Sub,Chelsea,Nottingham Forest,0,1,2023-09-02,21930,2023,608766,0.0,0,0,0,0.0,0.0,0.0
8,0,1,0.0107392016798257,25,Sub,Ajaccio,Marseille,1,0,2023-06-03,20018,2022,601885,0.0,0,0,0,0.0107392016798257,0.0107392016798257,0.0
9,0,2,0.1156759411096572,44,Sub,Marseille,Brest,1,2,2023-05-27,20013,2022,600369,0.0,0,0,0,0.1156759411096572,0.1156759411096572,0.0185116063803434
10,0,0,0.0,25,Sub,Marseille,Angers,3,1,2023-05-14,19991,2022,597482,0.0,0,0,0,0.0,0.0,0.0
11,0,1,0.0188518427312374,90,DML,Lens,Marseille,2,1,2023-05-06,19985,2022,595087,0.0522244945168495,0,1,0,0.0188518427312374,0.0920650139451026,0.020988680422306
12,0,3,0.163471907377243,43,Sub,Marseille,Auxerre,2,1,2023-04-30,19971,2022,593456,0.0,0,0,0,0.163471907377243,0.3042948842048645,0.1408229768276214
13,0,4,0.2071229964494705,90,DML,Lorient,Marseille,0,0,2023-04-09,19940,2022,587807,0.0,0,0,0,0.2071229964494705,0.2903139889240265,0.0831917971372604
14,0,3,0.13400599360466,90,DML,Marseille,Montpellier,1,1,2023-03-31,19934,2022,584218,0.1166800037026405,0,1,0,0.13400599360466,0.2165639996528625,0.0367388017475605
15,0,1,0.1061040014028549,90,DML,Reims,Marseille,1,2,2023-03-19,19925,2022,584174,0.0,0,0,0,0.1061040014028549,0.6275619864463806,0.6275619864463806
16,0,0,0.0,90,DML,Marseille,Strasbourg,2,2,2023-03-12,19916,2022,582365,0.0,0,0,0,0.0,0.022393999621272,0.022393999621272
17,0,0,0.0,90,DMR,Rennes,Marseille,0,1,2023-03-05,19904,2022,580567,0.0507052987813949,0,2,0,0.0,0.3338919878005981,0.2831870019435882
18,0,5,0.3414520025253296,90,DMR,Marseille,Paris Saint Germain,0,3,2023-02-26,19896,2022,578723,0.6132230162620544,0,3,0,0.3414520025253296,1.5479300022125244,1.1756399869918823
