goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,1,0.0271433051675558,90,MC,Arsenal,Manchester City,1,1,2025-09-21,28827,2025,739594,0.0468084216117858,0,1,0,0.0271433051675558,0.1627601534128189,0.1356168538331985
1,2,3,0.17464679479599,90,MC,Arsenal,Nottingham Forest,3,0,2025-09-13,28808,2025,736531,0.049907986074686,0,1,2,0.17464679479599,0.3200065493583679,0.221690371632576
2,0,1,0.0278949197381734,90,MC,Liverpool,Arsenal,1,0,2025-08-31,28806,2025,735953,0.0,0,0,0,0.0278949197381734,0.0278949197381734,0.0
3,0,1,0.0306021925061941,90,MC,Arsenal,Leeds,5,0,2025-08-23,28793,2025,733391,0.0,0,0,0,0.0306021925061941,0.5149329900741577,0.4843307733535766
4,0,0,0.0,90,MC,Manchester United,Arsenal,0,1,2025-08-17,28786,2025,732474,0.0,0,0,0,0.0,0.1124008744955062,0.1124008744955062
5,0,0,0.0,19,Sub,Real Madrid,Real Sociedad,2,0,2025-05-24,27355,2024,729651,0.0,0,0,0,0.0,0.0250406078994274,0.0250406078994274
6,0,1,0.0744562745094299,90,DMC,Real Sociedad,Girona,3,2,2025-05-18,27347,2024,728753,0.0797947496175766,0,2,0,0.0744562745094299,0.1578679829835891,0.0780732408165931
7,0,3,1.452852725982666,90,DMC,Real Sociedad,Celta Vigo,0,1,2025-05-13,27337,2024,727194,0.0,0,0,0,1.452852725982666,1.1247421503067017,0.126404270529747
8,0,2,0.1535849571228027,75,DMC,Atletico Madrid,Real Sociedad,4,0,2025-05-10,27323,2024,726103,0.0,0,0,0,0.1535849571228027,0.0575547590851783,0.0
9,0,0,0.0,90,DMC,Real Sociedad,Athletic Club,0,0,2025-05-04,27315,2024,725185,0.0511954240500927,0,1,0,0.0,0.1520477384328842,0.1008523106575012
10,0,1,0.1260279566049575,90,DMC,Alaves,Real Sociedad,1,0,2025-04-23,27310,2024,722074,0.0,0,0,0,0.1260279566049575,0.0,0.0
11,0,1,0.0708139836788177,90,DMC,Real Sociedad,Mallorca,0,2,2025-04-12,27290,2024,718385,0.0,0,0,0,0.0708139836788177,0.0476926602423191,0.0476926602423191
12,0,0,0.0,90,DMC,Las Palmas,Real Sociedad,1,3,2025-04-06,27274,2024,717376,0.0,0,0,0,0.0,0.9050704836845398,0.9050704836845398
13,0,1,0.0359037555754184,90,DMC,Real Sociedad,Real Valladolid,2,1,2025-03-29,27265,2024,714556,0.3983301520347595,0,2,0,0.0359037555754184,0.8731682896614075,0.8372645378112793
14,1,1,0.1682566702365875,90,DMC,Rayo Vallecano,Real Sociedad,2,2,2025-03-16,27254,2024,714198,0.023382406681776,0,1,1,0.1682566702365875,0.056614339351654,0.056614339351654
15,0,0,0.0,29,Sub,Real Sociedad,Sevilla,0,1,2025-03-09,27247,2024,712376,0.0,0,0,0,0.0,0.0,0.0
16,0,0,0.0,48,DMC,Barcelona,Real Sociedad,4,0,2025-03-02,27232,2024,710400,0.0,0,0,0,0.0,0.0,0.0
17,0,0,0.0,90,DMC,Real Sociedad,Leganes,3,0,2025-02-23,27230,2024,708906,0.0,0,0,0,0.0,0.1979007720947265,0.1979007720947265
18,0,0,0.0,90,MC,Real Betis,Real Sociedad,3,0,2025-02-16,27218,2024,707254,0.0,0,0,0,0.0,0.0,0.0
19,0,0,0.0,90,MC,Real Sociedad,Espanyol,2,1,2025-02-09,27202,2024,705564,0.0982487425208091,0,1,0,0.0,1.1068817377090454,1.0086328983306885
20,0,1,0.077020563185215,90,DMC,Osasuna,Real Sociedad,2,1,2025-02-02,27195,2024,704303,0.0,0,0,0,0.077020563185215,0.5350609421730042,0.5350609421730042
21,0,1,0.0881072282791137,90,DMC,Real Sociedad,Getafe,0,3,2025-01-26,27188,2024,702083,0.0,0,0,0,0.0881072282791137,0.0881072282791137,0.0
22,0,0,0.0,90,MC,Valencia,Real Sociedad,1,0,2025-01-19,27179,2024,700960,0.0,0,0,0,0.0,0.1513478308916092,0.1513478308916092
23,0,0,0.0,90,DMC,Real Sociedad,Villarreal,1,0,2025-01-13,27164,2024,698906,0.0,0,0,0,0.0,0.6146196126937866,0.6146196126937866
24,0,1,0.0218699276447296,90,DMC,Real Sociedad,Las Palmas,0,0,2024-12-15,27151,2024,694563,0.1092783734202385,0,2,0,0.0218699276447296,0.1657918691635131,0.034643568098545
25,0,0,0.0,52,MC,Leganes,Real Sociedad,0,3,2024-12-08,27133,2024,692674,0.0179646518081426,0,1,0,0.0,0.1071235164999961,0.0891588628292083
26,0,0,0.0,90,MC,Real Sociedad,Real Betis,2,0,2024-12-01,27130,2024,691171,0.0,0,0,0,0.0,0.0,0.0
27,0,2,0.5522648096084595,90,DMC,Athletic Club,Real Sociedad,1,0,2024-11-24,27112,2024,689478,0.0,0,0,0,0.5522648096084595,0.5349413752555847,0.0
28,0,0,0.0,90,DMC,Real Sociedad,Barcelona,1,0,2024-11-10,27108,2024,687741,0.0,0,0,0,0.0,0.0273441020399332,0.0273441020399332
29,0,1,0.0576871968805789,90,DMC,Sevilla,Real Sociedad,0,2,2024-11-03,27100,2024,685904,0.1409293115139007,1,1,0,0.0576871968805789,0.2544371783733368,0.2544371783733368
30,0,1,0.338505744934082,90,DMC,Real Sociedad,Osasuna,0,2,2024-10-27,27088,2024,684100,0.064583919942379,0,1,0,0.338505744934082,1.1029144525527954,0.6998247504234314
31,0,0,0.0,90,DMC,Girona,Real Sociedad,0,1,2024-10-19,27076,2024,681613,0.0,0,0,0,0.0,0.3672043681144714,0.3672043681144714
32,0,1,0.0929447636008262,90,DMC,Real Sociedad,Atletico Madrid,1,1,2024-10-06,27067,2024,680698,0.0954437777400016,0,3,0,0.0929447636008262,0.5869840383529663,0.4915402829647064
33,0,0,0.0,90,DMC,Real Sociedad,Valencia,3,0,2024-09-28,27055,2024,678083,0.0178773645311594,0,1,0,0.0,1.5373754501342771,1.5194981098175049
34,0,1,0.1768944561481475,90,DMC,Real Valladolid,Real Sociedad,0,0,2024-09-21,27039,2024,675328,0.0085867904126644,0,1,0,0.1768944561481475,0.5753170251846313,0.389835774898529
35,0,1,0.0197108350694179,90,DMC,Mallorca,Real Sociedad,1,0,2024-09-17,27045,2024,675011,0.0285290870815515,0,1,0,0.0197108350694179,0.1957511454820633,0.176040306687355
36,0,0,0.0,90,MC,Real Sociedad,Real Madrid,0,2,2024-09-14,27031,2024,674124,0.0,0,0,0,0.0,0.0,0.0
37,0,0,0.0,90,MC,Getafe,Real Sociedad,0,0,2024-09-01,27020,2024,672939,0.0,0,0,0,0.0,0.0,0.0
38,0,2,0.0680105239152908,90,MC,Real Sociedad,Alaves,1,2,2024-08-28,27008,2024,669515,0.0789244472980499,0,1,0,0.0680105239152908,0.727660059928894,0.6487355828285217
39,0,0,0.0,90,DMC,Espanyol,Real Sociedad,0,1,2024-08-24,26997,2024,668626,0.0,0,0,0,0.0,0.5421196222305298,0.5421196222305298
40,1,2,0.3472921550273895,43,Sub,Real Sociedad,Rayo Vallecano,1,2,2024-08-18,26988,2024,667113,0.0,0,0,1,0.3472921550273895,0.3472921550273895,0.0
41,0,0,0.0,90,DMC,Real Sociedad,Real Madrid,0,1,2024-04-26,23014,2023,656682,0.0,0,0,0,0.0,0.1022177934646606,0.1022177934646606
42,0,1,0.1253234148025512,90,MC,Real Sociedad,Almeria,2,2,2024-04-14,22991,2023,654212,0.0,0,0,0,0.1253234148025512,0.8010181188583374,0.6756947040557861
43,0,0,0.0,90,MC,Alaves,Real Sociedad,0,1,2024-03-31,22980,2023,650685,0.0884323194622993,0,2,0,0.0,0.0884323194622993,0.0549458935856819
44,0,1,0.0356827788054943,78,MC,Real Sociedad,Cadiz,2,0,2024-03-15,22970,2023,647994,0.2017628699541092,0,1,0,0.0356827788054943,0.0989982932806015,0.0989982932806015
45,0,0,0.0,90,DMC,Granada,Real Sociedad,2,3,2024-03-09,22959,2023,646922,0.0638139545917511,0,1,0,0.0,0.7108930349349976,0.6470790505409241
46,0,0,0.0,78,DMC,Sevilla,Real Sociedad,3,2,2024-03-02,22952,2023,644589,0.0,0,0,0,0.0,0.0330890752375125,0.0330890752375125
47,0,2,0.1160548776388168,90,DMC,Real Sociedad,Villarreal,1,3,2024-02-23,22940,2023,642991,0.0420772321522235,0,1,0,0.1160548776388168,0.0704201906919479,0.0
48,0,2,0.1442292332649231,90,MC,Mallorca,Real Sociedad,1,2,2024-02-18,22927,2023,642647,0.0228593982756137,0,1,0,0.1442292332649231,0.2249577641487121,0.1141866147518158
49,0,1,0.0902593210339546,90,MC,Real Sociedad,Osasuna,0,1,2024-02-10,22924,2023,640278,0.023651273921132,0,1,0,0.0902593210339546,0.6683394312858582,0.5544288158416748
50,0,0,0.0,90,MC,Girona,Real Sociedad,0,0,2024-02-03,22907,2023,638906,0.0,0,0,0,0.0,0.0330298990011215,0.0330298990011215
51,0,1,0.0868302136659622,90,MC,Real Sociedad,Rayo Vallecano,0,0,2024-01-27,22903,2023,636682,0.0,0,0,0,0.0868302136659622,0.1353512704372406,0.1353512704372406
52,0,0,0.0,90,DMC,Athletic Club,Real Sociedad,2,1,2024-01-13,22876,2023,634936,0.0,0,0,0,0.0,0.0,0.0
53,1,2,0.0922945439815521,90,MC,Real Sociedad,Alaves,1,1,2024-01-02,22874,2023,633825,0.0,0,0,1,0.0922945439815521,0.185899019241333,0.0936044827103614
54,0,2,0.1003245338797569,90,DMC,Cadiz,Real Sociedad,0,0,2023-12-21,22858,2023,632199,0.0,0,0,0,0.1003245338797569,0.4640646278858185,0.3637400865554809
55,0,1,0.0571218691766262,90,MC,Real Sociedad,Real Betis,0,0,2023-12-17,22851,2023,631045,0.0,0,0,0,0.0571218691766262,0.5544899702072144,0.4973681271076202
56,1,1,0.5839020609855652,90,MC,Villarreal,Real Sociedad,0,3,2023-12-09,22844,2023,628980,0.0794749408960342,0,2,1,0.5839020609855652,0.1173855811357498,0.0379106365144252
57,0,0,0.0,90,DMC,Osasuna,Real Sociedad,1,1,2023-12-02,22828,2023,626921,0.0198341254144907,0,1,0,0.0,0.1843282878398895,0.1644941568374633
58,0,0,0.0,90,MC,Real Sociedad,Sevilla,2,1,2023-11-26,22818,2023,625704,0.0,0,0,0,0.0,0.0,0.0
59,1,1,0.334564208984375,90,DMC,Almeria,Real Sociedad,1,3,2023-11-11,22805,2023,623337,0.1108949556946754,0,2,1,0.334564208984375,0.1278736442327499,0.1006160750985145
60,0,1,0.1138585284352302,90,MC,Real Sociedad,Barcelona,0,1,2023-11-04,22800,2023,621891,0.0,0,0,0,0.1138585284352302,0.1130258813500404,0.1130258813500404
61,0,0,0.0,90,DMC,Rayo Vallecano,Real Sociedad,2,2,2023-10-29,22790,2023,620709,0.0,0,0,0,0.0,0.4997637867927551,0.4997637867927551
62,0,0,0.0,90,MC,Real Sociedad,Mallorca,1,0,2023-10-21,22781,2023,617787,0.0,0,0,0,0.0,0.5499228835105896,0.5499228835105896
63,0,1,0.0298484023660421,90,MC,Atletico Madrid,Real Sociedad,2,1,2023-10-08,22765,2023,617216,0.0,0,0,0,0.0298484023660421,0.345278650522232,0.3154302537441253
64,0,0,0.0,90,MC,Real Sociedad,Athletic Club,3,0,2023-09-30,22762,2023,615061,0.6397347450256348,1,1,0,0.0,0.6397347450256348,0.0
65,0,0,0.0,39,Sub,Valencia,Real Sociedad,0,1,2023-09-27,22752,2023,613887,0.0,0,0,0,0.0,0.0,0.0
66,0,0,0.0,22,Sub,Real Sociedad,Getafe,4,3,2023-09-24,22743,2023,612650,0.0,0,0,0,0.0,0.0190415438264608,0.0190415438264608
67,0,0,0.0,90,MC,Real Madrid,Real Sociedad,2,1,2023-09-17,22729,2023,611511,0.1088043898344039,0,2,0,0.0,0.4897418618202209,0.4241053760051727
68,1,1,0.0878359302878379,90,MC,Real Sociedad,Granada,5,3,2023-09-02,22724,2023,608398,0.0,0,0,1,0.0878359302878379,1.1846487522125244,1.096812725067139
69,0,2,0.4882900416851043,90,MC,Las Palmas,Real Sociedad,0,0,2023-08-25,22705,2023,606513,0.0,0,0,0,0.4882900416851043,0.5994035601615906,0.200919821858406
70,0,1,0.0819673687219619,90,MC,Real Sociedad,Celta Vigo,1,1,2023-08-19,22697,2023,605186,0.0,0,0,0,0.0819673687219619,0.0393848866224288,0.0393848866224288
71,0,1,0.0316473767161369,90,MC,Real Sociedad,Girona,1,1,2023-08-12,22687,2023,603879,0.038913570344448,0,1,0,0.0316473767161369,0.5521859526634216,0.5205385684967041
72,0,1,0.0508281514048576,62,DMC,Real Sociedad,Sevilla,2,1,2023-06-04,19341,2022,602583,0.401572048664093,0,1,0,0.0508281514048576,0.401572048664093,0.0
73,0,0,0.0,90,DMC,Atletico Madrid,Real Sociedad,2,1,2023-05-28,19323,2022,601258,0.3406349420547485,0,2,0,0.0,0.391318678855896,0.0506837330758571
74,0,0,0.0,90,DMC,Real Sociedad,Almeria,1,0,2023-05-23,19321,2022,599433,0.0,0,0,0,0.0,0.0,0.0
75,0,0,0.0,90,DMC,Barcelona,Real Sociedad,1,2,2023-05-20,19310,2022,598505,0.394823282957077,1,2,0,0.0,0.6022021174430847,0.5663132667541504
76,0,0,0.0,90,MC,Real Sociedad,Girona,2,2,2023-05-13,19292,2022,596094,0.1876080185174942,0,1,0,0.0,0.3561453223228454,0.3561453223228454
77,0,2,0.9934780597686768,90,DMC,Real Sociedad,Real Madrid,2,0,2023-05-02,19285,2022,593753,0.0293914806097745,0,1,0,0.9934780597686768,0.5629925727844238,0.5006229877471924
78,0,0,0.0,90,MC,Osasuna,Real Sociedad,0,2,2023-04-28,19276,2022,592102,0.1079772487282753,0,1,0,0.0,0.7459744811058044,0.7459744811058044
79,0,1,0.0178155582398176,90,DMC,Real Betis,Real Sociedad,0,0,2023-04-25,19264,2022,591516,0.0,0,0,0,0.0178155582398176,0.1062501296401023,0.0884345769882202
80,0,0,0.0,90,DMC,Real Sociedad,Rayo Vallecano,2,1,2023-04-22,19260,2022,590390,0.0559663586318492,0,1,0,0.0,0.4372907280921936,0.3813243508338928
81,0,1,0.0179715994745492,90,DMC,Athletic Club,Real Sociedad,2,0,2023-04-15,19242,2022,588561,0.0,0,0,0,0.0179715994745492,0.0383495986461639,0.0203779991716146
82,0,1,0.2271180003881454,90,DMC,Villarreal,Real Sociedad,2,0,2023-04-02,19229,2022,585748,0.0303600002080202,0,1,0,0.2271180003881454,0.2591350078582763,0.2287749946117401
83,0,0,0.0,90,DMC,Real Sociedad,Elche,2,0,2023-03-19,19220,2022,583915,0.0,0,0,0,0.0,0.9447559714317322,0.9447559714317322
84,0,0,0.0,90,DMC,Mallorca,Real Sociedad,1,1,2023-03-12,19205,2022,581735,0.0,0,0,0,0.0,0.027089100331068,0.027089100331068
85,0,0,0.0,90,DMC,Real Sociedad,Cadiz,0,0,2023-03-03,19200,2022,579120,0.0,0,0,0,0.0,0.1700180023908615,0.1700180023908615
86,0,0,0.0,90,DMC,Valencia,Real Sociedad,1,0,2023-02-25,19183,2022,578185,0.0,0,0,0,0.0,0.0384492017328739,0.0384492017328739
87,0,1,0.0339726991951465,90,DMC,Real Sociedad,Celta Vigo,1,1,2023-02-18,19180,2022,576265,0.0,0,0,0,0.0339726991951465,0.172324001789093,0.1383520066738128
88,0,1,0.0632216036319732,90,DMC,Espanyol,Real Sociedad,2,3,2023-02-13,19164,2022,575906,0.1313949972391128,0,1,0,0.0632216036319732,0.7605239748954773,0.7605239748954773
89,0,0,0.0,90,MC,Real Sociedad,Real Valladolid,0,1,2023-02-05,19159,2022,574140,0.0,0,0,0,0.0,0.6826639771461487,0.6826639771461487
