goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,1,0.0187282208353281,22,Sub,Everton,Aston Villa,0,0,2025-09-13,28812,2025,736974,0.08966526389122,0,1,0,0.0187282208353281,0.08966526389122,0.0
1,0,0,0.0,39,Sub,FC Cologne,Freiburg,4,1,2025-08-31,30241,2025,736178,0.0,0,0,0,0.0,0.4844063520431518,0.4844063520431518
2,0,0,0.0,13,Sub,Freiburg,Augsburg,1,3,2025-08-23,30229,2025,733117,0.0,0,0,0,0.0,0.0634420365095138,0.0634420365095138
3,0,0,0.0,3,Sub,Freiburg,Eintracht Frankfurt,1,3,2025-05-17,28043,2024,727860,0.0,0,0,0,0.0,0.0,0.0
4,0,0,0.0,21,Sub,Freiburg,Bayer Leverkusen,2,2,2025-05-04,28024,2024,724946,0.0,0,0,0,0.0,0.0,0.0
5,0,0,0.0,17,Sub,Freiburg,Hoffenheim,3,2,2025-04-19,28007,2024,720156,0.0931629613041877,0,1,0,0.0,0.0,0.0
6,0,1,0.0241868421435356,84,AMC,Augsburg,Freiburg,0,0,2025-03-02,27954,2024,710528,0.3447933197021484,0,2,0,0.0241868421435356,0.3689801692962646,0.0
7,0,0,0.0,74,AMC,Freiburg,Werder Bremen,5,0,2025-02-21,27944,2024,707365,0.0868971273303031,0,1,0,0.0,0.0868971273303031,0.0
8,0,1,0.0193980000913143,78,AMC,St. Pauli,Freiburg,0,1,2025-02-15,27939,2024,706051,0.0,0,0,0,0.0193980000913143,0.0193980000913143,0.0
9,0,0,0.0,25,Sub,Freiburg,FC Heidenheim,1,0,2025-02-08,27926,2024,704760,0.0963590368628501,0,1,0,0.0,0.0963590368628501,0.0963590368628501
10,0,2,0.4094565808773041,90,AMC,Bochum,Freiburg,0,1,2025-02-01,27914,2024,703161,0.6317933797836304,0,1,0,0.4094565808773041,1.0412499904632568,0.0
11,0,1,0.0260494127869606,90,AML,Freiburg,Bayern Munich,1,2,2025-01-25,27912,2024,701290,0.0,0,0,0,0.0260494127869606,0.0396514795720577,0.0136020686477422
12,0,1,0.017512934282422,81,AMC,VfB Stuttgart,Freiburg,4,0,2025-01-18,27896,2024,699983,0.0,0,0,0,0.017512934282422,0.017512934282422,0.0
13,0,0,0.0,81,MC,Eintracht Frankfurt,Freiburg,4,1,2025-01-14,27889,2024,699074,0.4023362696170807,1,1,0,0.0,0.4487387239933014,0.4487387239933014
14,0,3,0.1408964246511459,71,DMC,Freiburg,Holstein Kiel,3,2,2025-01-11,27881,2024,698140,0.0,0,0,0,0.1408964246511459,0.1424484252929687,0.0261994637548923
15,0,0,0.0,28,Sub,Bayer Leverkusen,Freiburg,5,1,2024-12-21,27868,2024,695478,0.0,0,0,0,0.0,0.0539717525243759,0.0539717525243759
