goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,7,Sub,Sunderland,Aston Villa,1,1,2025-09-21,28826,2025,739257,0,0,0,0,0,0,0
0,1,0.024085599929094315,90,DML,Chelsea,West Ham,1,0,2022-04-24,16711,2021,529369,0,0,0,0,0.024085599929094315,0.13105499744415283,0.13105499744415283
0,0,0,59,DML,Tottenham,West Ham,3,1,2022-03-20,16673,2021,522070,0,0,0,0,0,0.13680300116539001,0.13680300116539001
0,0,0,25,Sub,West Ham,Leeds,2,3,2022-01-16,16594,2021,508450,0,0,0,0,0,0,0
0,0,0,9,Sub,West Ham,Norwich,2,0,2022-01-12,16554,2021,507769,0.7402430176734924,1,1,0,0,0.830357015132904,0.830357015132904
0,0,0,39,Sub,Crystal Palace,West Ham,2,3,2022-01-01,16579,2021,505532,0,0,0,0,0,0,0
0,0,0,6,Sub,Watford,West Ham,1,4,2021-12-28,16569,2021,505310,0,0,0,0,0,0,0
0,1,0.014056500047445297,90,DL,West Ham,Southampton,2,3,2021-12-26,16564,2021,505122,0,0,0,0,0.014056500047445297,0.20549100637435913,0.20549100637435913
0,0,0,90,DL,Arsenal,West Ham,2,0,2021-12-15,16536,2021,503319,0.01819079928100109,0,1,0,0,0.01819079928100109,0.01819079928100109
0,1,0.0188446007668972,90,DL,Burnley,West Ham,0,0,2021-12-12,16529,2021,502236,0,0,0,0,0.0188446007668972,0.1156269982457161,0.09678280353546143
1,1,0.009969620034098625,44,Sub,West Ham,Chelsea,3,2,2021-12-04,16524,2021,499624,0,0,0,1,0.009969620034098625,0.009969620034098625,0
0,0,0,9,Sub,West Ham,Brighton,1,1,2021-12-01,16510,2021,499010,0,0,0,0,0,0.034828998148441315,0.034828998148441315
0,0,0,74,AML,Manchester City,West Ham,2,1,2021-11-28,16504,2021,498151,0,0,0,0,0,0,0
0,0,0,1,Sub,West Ham,Liverpool,3,2,2021-11-07,16485,2021,494950,0,0,0,0,0,0,0
0,0,0,90,AML,West Ham,Leicester,3,2,2021-04-11,14744,2020,461880,0,0,0,0,0,0.06245119869709015,0.06245119869709015
0,0,0,70,AML,Wolverhampton Wanderers,West Ham,2,3,2021-04-05,14734,2020,460692,0.21561099588871002,1,2,0,0,0.21561099588871002,0.06937699764966965
0,0,0,90,DML,West Ham,Manchester United,1,3,2020-12-05,14544,2020,431517,0.02452629990875721,0,1,0,0,0.04318640008568764,0.018660100176930428
0,0,0,47,DML,West Ham,Aston Villa,2,1,2020-11-30,14526,2020,430868,0.02226109988987446,0,1,0,0,0.02226109988987446,0
0,0,0,90,DML,Sheffield United,West Ham,0,1,2020-11-22,14522,2020,428541,0.6423310041427612,0,1,0,0,0.9541919827461243,0.3118610084056854
0,1,0.3107779920101166,90,DML,West Ham,Fulham,1,0,2020-11-07,14514,2020,426577,0,0,0,0,0.3107779920101166,0.4022600054740906,0.09148190170526505
0,0,0,90,DL,Liverpool,West Ham,2,1,2020-10-31,14499,2020,424660,0,0,0,0,0,0,0
0,1,0.01044050045311451,90,DL,West Ham,Manchester City,1,1,2020-10-24,14493,2020,422614,0,0,0,0,0.01044050045311451,0.09071149677038193,0.08027090132236481
0,2,0.07667460292577744,90,DL,Tottenham,West Ham,3,3,2020-10-18,14483,2020,422064,0.10819099843502045,0,1,0,0.07667460292577744,0.23594799637794495,0.21054300665855408
0,1,0.019801000133156776,90,DL,Leicester,West Ham,0,3,2020-10-04,14470,2020,419945,0,0,0,0,0.019801000133156776,0.4250580072402954,0.405256986618042
0,0,0,90,DL,West Ham,Wolverhampton Wanderers,4,0,2020-09-27,14113,2020,418458,1.0439200401306152,1,4,0,0,1.2023500204086304,0.4717540144920349
0,1,0.011331300251185894,90,DL,Arsenal,West Ham,2,1,2020-09-19,14099,2020,416069,0.5390490293502808,0,1,0,0.011331300251185894,0.6198639869689941,0.0694836974143982
0,0,0,13,Sub,Manchester United,West Ham,1,1,2020-07-22,12007,2019,410800,0,0,0,0,0,0,0
0,0,0,4,Sub,Norwich,West Ham,0,4,2020-07-11,11988,2019,407350,0,0,0,0,0,0,0
0,0,0,90,DL,Manchester City,West Ham,2,0,2020-02-19,11898,2019,387117,0,0,0,0,0,0.009760930202901363,0.009760930202901363
0,0,0,15,Sub,West Ham,Brighton,3,3,2020-02-01,11892,2019,386645,0,0,0,0,0,0,0
0,0,0,90,DL,West Ham,Liverpool,0,2,2020-01-29,11822,2019,386557,0,0,0,0,0,0.07893390208482742,0.07893390208482742
0,0,0,51,DL,Leicester,West Ham,4,1,2020-01-22,11876,2019,386464,0,0,0,0,0,0,0
0,0,0,29,Sub,West Ham,Everton,1,1,2020-01-18,11872,2019,386074,0,0,0,0,0,0,0
0,1,0.020645899698138237,71,DML,Sheffield United,West Ham,1,0,2020-01-10,11855,2019,385759,0,0,0,0,0.020645899698138237,0.020645899698138237,0
0,1,0.038835201412439346,4,Sub,West Ham,Bournemouth,4,0,2020-01-01,11843,2019,385615,0,0,0,0,0.038835201412439346,0.2564460039138794,0.2564460039138794
0,1,0.008211500011384487,90,DL,West Ham,Leicester,1,2,2019-12-28,11842,2019,372812,0.08868619799613953,0,1,0,0.008211500011384487,0.07101459801197052,0.07101459801197052
0,0,0,34,Sub,West Ham,Arsenal,1,3,2019-12-09,11802,2019,369420,0.05193309858441353,0,1,0,0,0.05193309858441353,0.05193309858441353
0,0,0,5,Sub,Chelsea,West Ham,0,1,2019-11-30,11774,2019,366203,0,0,0,0,0,0,0
0,0,0,90,DL,Everton,West Ham,2,0,2019-10-19,11727,2019,357546,0.018687700852751732,0,1,0,0,0.018687700852751732,0
0,1,0.013315699994564056,69,DL,Aston Villa,West Ham,0,0,2019-09-16,11692,2019,350195,0.03886359930038452,0,1,0,0.013315699994564056,0.12566199898719788,0.08679819852113724
0,0,0,90,DL,West Ham,Norwich,2,0,2019-08-31,11674,2019,347402,0.9547349810600281,1,2,0,0,0.9725769758224487,0.9725769758224487
0,1,0.018212800845503807,90,DL,Watford,West Ham,1,3,2019-08-24,11667,2019,344082,0.09994590282440186,0,1,0,0.018212800845503807,1.088170051574707,0.970009982585907
0,0,0,90,DL,Brighton,West Ham,1,1,2019-08-17,11655,2019,341857,0,0,0,0,0,0.3768109977245331,0.3768109977245331
0,0,0,90,DL,Watford,West Ham,1,4,2019-05-12,9567,2018,332192,0,0,0,0,0,0.31305500864982605,0.31305500864982605
0,1,0.025070499628782272,90,DL,West Ham,Southampton,3,0,2019-05-04,9558,2018,330235,0.14462099969387054,0,2,0,0.025070499628782272,0.3316589891910553,0.19187100231647491
0,0,0,90,DL,Tottenham,West Ham,0,1,2019-04-27,9548,2018,328093,0.1448349952697754,0,2,0,0,0.21193799376487732,0.06710270047187805
0,0,0,90,DL,West Ham,Leicester,2,2,2019-04-20,9538,2018,326008,0.07369299978017807,0,2,0,0,0.1360429972410202,0.06235000118613243
0,1,0.01669990085065365,90,DL,Manchester United,West Ham,2,1,2019-04-13,9530,2018,324413,0,0,0,0,0.01669990085065365,0.4909299910068512,0.47422999143600464
0,0,0,57,Sub,West Ham,Newcastle United,2,0,2019-03-02,9478,2018,305387,0.27796700596809387,0,2,0,0,0.3244589865207672,0.3244589865207672
0,0,0,1,Sub,West Ham,Liverpool,1,1,2019-02-04,9437,2018,304392,0,0,0,0,0,0,0
0,0,0,90,DL,Wolverhampton Wanderers,West Ham,3,0,2019-01-29,9427,2018,303962,0,0,0,0,0,0,0
0,0,0,1,Sub,Southampton,West Ham,1,2,2018-12-27,9379,2018,279300,0,0,0,0,0,0.06798730045557022,0.06798730045557022
0,1,0.01866300031542778,90,DL,West Ham,Watford,0,2,2018-12-22,9368,2018,278785,0.026634100824594498,0,1,0,0.01866300031542778,0.21762600541114807,0.17232799530029297
0,0,0,90,DL,Fulham,West Ham,0,2,2018-12-15,9364,2018,278632,0,0,0,0,0,0.2181520015001297,0.2181520015001297
0,0,0,90,DL,West Ham,Crystal Palace,3,2,2018-12-08,9347,2018,278200,0.1376419961452484,0,1,0,0,0.1376419961452484,0.1376419961452484
0,0,0,90,DL,West Ham,Cardiff,3,1,2018-12-04,9340,2018,277949,0.0973777025938034,1,1,0,0,0.3747119903564453,0.2773340046405792
0,0,0,32,Sub,Newcastle United,West Ham,0,3,2018-12-01,9328,2018,277692,0,0,0,0,0,0,0
0,0,0,48,DL,West Ham,Manchester City,0,4,2018-11-24,9317,2018,277370,0,0,0,0,0,0,0
0,0,0,90,DL,Leicester,West Ham,1,1,2018-10-27,9293,2018,276688,0,0,0,0,0,0,0
0,1,0.013615099713206291,90,DL,Brighton,West Ham,1,0,2018-10-05,9267,2018,275998,0,0,0,0,0.013615099713206291,0.21399499475955963,0.20037999749183655
0,0,0,90,DL,West Ham,Manchester United,3,1,2018-09-29,9257,2018,260542,0,0,0,0,0,0.016500700265169144,0.016500700265169144
0,0,0,90,DL,West Ham,Chelsea,0,0,2018-09-23,9255,2018,260295,0,0,0,0,0,0.2994070053100586,0.2994070053100586
0,0,0,90,DL,Everton,West Ham,1,3,2018-09-16,9245,2018,259842,0.09632010012865067,0,2,0,0,0.032100699841976166,0.032100699841976166
0,0,0,90,DL,Arsenal,West Ham,3,1,2018-08-25,9222,2018,259230,0.02078169956803322,0,1,0,0,0.055779099464416504,0.034997399896383286
0,0,0,90,DL,West Ham,Bournemouth,1,2,2018-08-18,9208,2018,259189,0,0,0,0,0,0.07829409837722778,0.07829409837722778
0,0,0,90,DL,Liverpool,West Ham,4,0,2018-08-12,9205,2018,258783,0,0,0,0,0,0,0
0,0,0,20,DML,West Ham,Everton,3,1,2018-05-13,7489,2017,240123,0,0,0,0,0,0,0
0,0,0,67,DML,West Ham,Manchester United,0,0,2018-05-10,7428,2017,238818,0,0,0,0,0,0.07962380349636078,0.07962380349636078
0,0,0,90,DML,Leicester,West Ham,0,2,2018-05-05,7479,2017,237530,0.010882100090384483,0,1,0,0,0.719635009765625,0.719635009765625
0,0,0,20,Sub,West Ham,Manchester City,1,4,2018-04-29,7478,2017,236501,0,0,0,0,0,0,0
0,0,0,90,DML,Arsenal,West Ham,4,1,2018-04-22,7459,2017,234809,0,0,0,0,0,0.010062499903142452,0.010062499903142452
0,1,0.012841500341892242,82,DML,West Ham,Stoke,1,1,2018-04-16,7458,2017,233183,0.10354399681091309,0,2,0,0.012841500341892242,0.10220199823379517,0.02064399980008602
0,0,0,90,DML,Chelsea,West Ham,1,1,2018-04-08,7442,2017,230337,0.10049200057983398,0,1,0,0,0.10049200057983398,0.10049200057983398
0,0,0,90,DML,West Ham,Southampton,3,0,2018-03-31,7434,2017,226838,0.18886500597000122,1,2,0,0,0.21264499425888062,0.02377990074455738
0,0,0,90,DML,West Ham,Bournemouth,1,1,2018-01-20,7358,2017,209229,0.017393900081515312,0,1,0,0,0.03445050120353699,0.017056599259376526
0,0,0,90,DML,Huddersfield,West Ham,1,4,2018-01-13,7342,2017,207698,0,0,0,0,0,0,0
0,0,0,90,DML,Tottenham,West Ham,1,1,2018-01-04,7326,2017,206702,0.30333900451660156,0,1,0,0,0.31473299860954285,0.011393699795007706
0,1,0.02465759962797165,75,DML,West Ham,West Bromwich Albion,2,1,2018-01-02,7329,2017,206523,0,0,0,0,0.02465759962797165,0.3238320052623749,0.2991740107536316
0,1,0.03231620043516159,90,DML,Bournemouth,West Ham,3,3,2017-12-26,7309,2017,205598,0.4914650022983551,0,2,0,0.03231620043516159,0.6877750158309937,0.16399399936199188
0,1,0.016728699207305908,90,DML,West Ham,Newcastle United,2,3,2017-12-23,7300,2017,205365,0,0,0,0,0.016728699207305908,0.05811439827084541,0.05811439827084541
0,1,0.022230099886655807,90,ML,Stoke,West Ham,0,3,2017-12-16,7297,2017,202717,0.2756730020046234,0,2,0,0.022230099886655807,0.46337100863456726,0.44113999605178833
0,0,0,90,DL,West Ham,Arsenal,0,0,2017-12-13,7286,2017,202757,0,0,0,0,0,0.14480699598789215,0.14480699598789215
0,1,0.04123200103640556,90,DML,West Ham,Chelsea,1,0,2017-12-09,7269,2017,199019,0,0,0,0,0.04123200103640556,0.04123200103640556,0
0,1,0.00955228041857481,90,DML,Manchester City,West Ham,2,1,2017-12-03,7262,2017,178618,0,0,0,0,0.00955228041857481,0.00955228041857481,0
0,0,0,90,ML,Everton,West Ham,4,0,2017-11-29,7256,2017,179224,0,0,0,0,0,0,0
