assists_x,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,13,0,32.3,288,19,1,0,5.6,21.2,2021-08-22,90,16,0,0,0,0,2,0,707386,1,1,2.0,2,-47625,17513,65138,55,False,0,0,0,0.0,90,DR,Southampton,Manchester United,1,1,16392,2021,477545,0.11939387768507,0,2,0,0.0,0.2241334319114685,0.2241334319114685
1,0,2,31,1,3.1,288,30,0,0,2.0,17.0,2021-08-29,90,20,0,0,0,0,3,0,654005,1,0,0.0,8,-66740,11302,78042,55,False,0,0,0,0.0,90,DR,Wolverhampton Wanderers,Manchester United,0,1,16405,2021,479697,0.0,0,0,0,0.0,0.0928456261754036,0.0928456261754036
2,0,0,17,0,15.3,288,38,1,0,3.9,20.0,2021-09-11,90,14,0,0,0,0,4,0,618617,1,4,4.0,2,-55262,37244,92506,55,True,0,0,0,0.0,90,DR,Manchester United,Newcastle United,4,1,16410,2021,480346,0.0146748833358287,0,1,0,0.0,0.3992218375205993,0.3992218375205993
3,0,0,20,0,5.6,288,49,1,0,4.9,22.2,2021-09-19,90,19,0,0,0,0,5,0,542701,2,1,21.0,2,-79631,8006,87637,54,False,0,0,1,0.035289105027914,90,DR,West Ham,Manchester United,1,2,16424,2021,482621,0.0,0,0,0,0.035289105027914,0.2353209257125854,0.2000318169593811
4,0,0,20,0,23.1,288,58,1,0,4.4,21.2,2021-09-25,90,2,0,0,0,0,6,0,512424,1,0,0.0,2,-37566,11315,48881,54,True,0,0,0,0.0,90,DR,Manchester United,Aston Villa,0,1,16431,2021,484366,0.1143969893455505,0,2,0,0.0,0.3180475533008575,0.2036505788564682
5,0,0,16,0,34.6,288,67,1,0,6.2,23.0,2021-10-02,90,8,0,0,0,0,7,0,509455,1,1,4.0,2,-9948,26270,36218,54,True,0,0,0,0.0,90,DR,Manchester United,Everton,1,1,16442,2021,486191,0.3565622866153717,0,2,0,0.0,0.4555568993091583,0.0989946350455284
6,0,0,13,0,2.8,288,75,4,0,2.0,14.8,2021-10-16,90,9,0,0,0,0,8,0,483180,2,4,2.0,-1,-28779,10392,39171,54,False,1,0,0,0.0,90,DR,Leicester,Manchester United,4,2,16450,2021,488114,0.0,0,0,0,0.0,0.5254160165786743,0.5254160165786743
7,0,0,8,0,1.8,288,88,5,0,1.8,16.6,2021-10-24,90,11,0,0,0,0,9,0,436086,5,0,0.0,-1,-48117,3445,51562,53,True,1,0,0,0.0,90,DR,Manchester United,Liverpool,0,5,16463,2021,490838,0.0,0,0,0,0.0,0.0542648658156394,0.0542648658156394
8,0,1,26,1,16.9,288,98,0,0,5.5,12.4,2021-10-30,90,17,0,0,0,0,10,0,394597,3,0,26.0,7,-44241,3340,47581,53,False,0,0,1,0.0276188794523477,90,MR,Tottenham,Manchester United,0,3,16473,2021,492550,0.11403389275074,0,1,0,0.0276188794523477,0.2438015192747116,0.1297676265239715
9,0,0,15,0,1.7,288,108,2,0,1.1,9.6,2021-11-06,90,12,0,0,0,0,11,0,392136,2,0,0.0,1,-6671,8355,15026,53,True,0,0,0,0.0,90,DMR,Manchester United,Manchester City,0,2,16483,2021,493697,0.0,0,0,0,0.0,0.093027576804161,0.093027576804161
