assists_x,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,14,0,3.1,290,26,2,0,1.7,14.0,2021-08-28,90,9,0,0,0,0,3,0,184362,2,1,0.0,1,20771,30162,9391,40,True,0,0,0,0.0,90,DL,Norwich,Leicester,1,2,16398,2021,478862,0.0,0,0,0,0.0,0.1505811810493469,0.1505811810493469
1,0,0,15,0,11.8,290,31,1,0,4.1,25.2,2021-09-11,90,1,0,0,0,0,4,0,492960,0,1,4.0,2,263252,370968,107716,40,False,0,0,0,0.0,90,DL,Arsenal,Norwich,1,0,16407,2021,480283,0.0127444854006171,0,1,0,0.0,0.0255711507052183,0.0128266643732786
2,0,0,6,0,2.3,290,47,3,0,1.9,4.6,2021-09-18,90,18,0,0,0,0,5,0,581362,3,1,12.0,0,90238,139279,49041,40,True,1,0,0,0.0,90,DL,Norwich,Watford,1,3,16418,2021,482146,0.0,0,0,0,0.0,0.1110885813832283,0.1110885813832283
3,0,0,5,0,3.9,290,55,2,0,1.1,0.8,2021-09-25,85,8,0,0,0,0,6,0,573614,0,2,6.0,0,-6917,29814,36731,40,False,1,0,0,0.0,88,DL,Everton,Norwich,2,0,16428,2021,484718,0.0,0,0,0,0.0,0.0604649297893047,0.0604649297893047
4,0,0,5,0,11.6,290,84,4,0,2.0,6.2,2021-10-23,45,6,0,0,0,0,9,0,496808,0,7,2.0,-1,-28155,2736,30891,40,False,0,0,0,0.0,43,Sub,Chelsea,Norwich,7,0,16459,2021,489687,0.0090400595217943,0,1,0,0.0,0.0090400595217943,0.0090400595217943
5,0,0,16,0,22.1,290,102,1,0,4.8,19.8,2021-11-06,90,3,0,0,0,0,11,0,444718,2,1,6.0,2,-21496,1346,22842,40,False,0,0,0,0.0,90,DL,Brentford,Norwich,1,2,16477,2021,494011,0.1411396414041519,0,2,0,0.0,0.1770894676446914,0.1770894676446914
6,0,0,14,0,13.8,290,117,1,0,2.8,12.6,2021-11-20,90,16,0,0,0,0,12,0,429865,1,2,2.0,1,-15909,2482,18391,40,True,1,0,0,0.0,90,DL,Norwich,Southampton,2,1,16492,2021,495788,0.0775124430656433,0,1,0,0.0,0.0979056060314178,0.0203931648284196
7,0,1,28,1,4.3,290,130,0,0,1.8,14.0,2021-11-27,90,20,0,0,0,0,13,0,421479,0,0,0.0,7,-11144,9829,20973,39,True,0,0,0,0.0,90,DL,Norwich,Wolverhampton Wanderers,0,0,16505,2021,497377,0.0,0,0,0,0.0,0.9952218532562256,0.9952218532562256
8,0,1,20,0,30.2,290,138,1,0,4.8,17.4,2021-11-30,72,14,0,0,0,0,14,0,442875,1,1,0.0,3,18637,26609,7972,39,False,0,0,0,0.0,75,DL,Newcastle United,Norwich,1,1,16513,2021,498658,0.2132176756858825,0,2,0,0.0,0.5997157692909241,0.5061646103858948
9,0,0,16,0,38.3,290,147,3,0,7.1,18.6,2021-12-05,90,17,0,0,0,0,15,0,466306,0,3,14.0,1,21391,33045,11654,39,False,0,0,1,0.0585550479590892,90,DL,Tottenham,Norwich,3,0,16522,2021,500553,0.1055119335651397,0,3,0,0.0585550479590892,0.3034688830375671,0.2322346866130828
