,assists_x,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,13,0,3.0,676,230,2,0,1.0,3.0,2022-01-21,83,15,0,0,0,0,23,0,12921,3,0,4.0,1,10395,11146,751,45,True,0,0,0,0.0,86,DL,Watford,Norwich,0,3,16605,2021,509433,0.0,0,0,0,0.0,0.0438417643308639,0.0438417643308639
1,0,3,33,1,23.6,676,164,0,0,4.9,25.8,2022-02-05,90,5,0,0,0,0,23,0,12921,0,0,0.0,9,10395,11146,751,45,False,0,0,0,0.0,90,DL,Burnley,Watford,0,0,16539,2021,511318,0.140248641371727,0,2,0,0.0,0.1555244326591491,0.1294187903404235
2,0,0,26,0,14.9,676,235,1,0,5.4,35.6,2022-02-08,90,19,0,0,0,0,24,0,10609,0,1,3.0,2,-1854,1140,2994,45,False,0,0,1,0.0094841998070478,90,DL,West Ham,Watford,1,0,16610,2021,512106,0.1090782061219215,0,1,0,0.0094841998070478,0.1439770013093948,0.0254146009683609
3,0,0,2,0,0.8,676,250,2,0,0.9,8.2,2022-02-12,90,4,0,0,0,0,25,0,11736,2,0,0.0,0,836,2442,1606,45,True,1,0,0,0.0,90,DL,Watford,Brighton,0,2,16625,2021,512676,0.0,0,0,0,0.0,0.0181647073477506,0.0181647073477506
4,0,0,22,1,1.4,676,252,0,0,2.0,16.8,2022-02-19,90,2,0,0,0,0,26,0,11926,1,0,2.0,5,-837,1502,2339,45,False,1,0,0,0.0,90,DL,Aston Villa,Watford,0,1,16627,2021,514306,0.0,0,0,0,0.0,0.5449462532997131,0.5449462532997131
5,0,0,17,0,22.1,676,178,4,0,3.9,16.4,2022-02-23,90,7,0,0,0,0,26,0,11926,4,1,0.0,0,-837,1502,2339,45,True,0,0,0,0.0,90,DL,Watford,Crystal Palace,1,4,16553,2021,515373,0.2851337194442749,0,2,0,0.0,0.0182365160435438,0.0182365160435438
6,0,0,26,1,0.8,676,268,0,0,2.1,17.6,2022-02-26,90,13,0,0,0,0,27,0,9094,0,0,3.0,6,-1255,568,1823,45,False,0,0,1,0.0166297201067209,90,DL,Manchester United,Watford,0,0,16643,2021,516065,0.0,0,0,0,0.0166297201067209,0.0545384399592876,0.0379087217152118
7,0,0,19,0,16.1,676,279,3,0,5.0,28.0,2022-03-06,90,1,0,0,0,0,28,0,10767,3,2,6.0,1,193,1825,1632,45,True,0,0,1,0.0652836412191391,90,DL,Watford,Arsenal,2,3,16654,2021,518299,0.0148384729400277,0,1,0,0.0652836412191391,0.5230023860931396,0.442880243062973
8,0,0,16,0,1.4,676,190,4,0,2.0,18.4,2022-03-10,90,20,0,0,0,0,28,0,10767,0,4,0.0,0,193,1825,1632,45,False,0,0,0,0.0,90,DL,Wolverhampton Wanderers,Watford,4,0,16565,2021,518901,0.0,0,0,0,0.0,0.2321272194385528,0.2321272194385528
9,0,0,15,0,11.1,676,289,1,0,2.7,15.4,2022-03-13,90,16,0,0,0,0,29,0,8352,2,1,0.0,2,-1519,440,1959,45,False,0,0,0,0.0,90,DL,Southampton,Watford,1,2,16664,2021,520142,0.0381415635347366,0,1,0,0.0,0.0381415635347366,0.0
