,assists_x,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,28,1,57.7,122,18,0,0,8.5,21.0,2021-08-22,90,1,0,0,0,0,2,0,506094,2,0,6.0,6,208836,232325,23489,56,False,0,0,0,0.0,90,DML,Arsenal,Chelsea,0,2,16394,2021,477846,0.3031741678714752,0,5,0,0.0,1.3284170627593994,1.025242805480957
1,0,0,9,0,11.9,122,23,1,0,3.9,22.6,2021-08-28,90,11,0,0,0,0,3,0,697605,1,1,4.0,2,139496,192118,52622,56,False,0,0,0,0.0,90,DML,Liverpool,Chelsea,1,1,16402,2021,479074,0.121657870709896,0,1,0,0.0,0.3851314783096313,0.3851314783096313
2,0,0,20,1,6.4,122,33,0,0,2.3,4.2,2021-09-11,90,2,0,0,0,0,4,0,1158320,0,3,12.0,5,347047,484721,137674,57,True,1,0,2,0.0797071084380149,90,DML,Chelsea,Aston Villa,3,0,16413,2021,480526,0.0,0,0,0,0.0797071084380149,0.0812401473522186,0.0204574987292289
3,1,1,33,1,62.2,122,48,0,0,17.3,37.4,2021-09-19,90,17,0,0,0,0,5,0,1267321,3,0,73.0,10,100339,189530,89191,57,False,0,0,4,0.6673293709754944,90,DML,Tottenham,Chelsea,0,3,16425,2021,482934,0.2729766368865967,1,4,0,0.6673293709754944,2.170405149459839,1.8555948734283447
4,0,0,7,0,3.7,122,53,1,0,2.0,4.0,2021-09-25,90,12,0,0,0,0,6,0,1566955,1,0,12.0,1,264713,307756,43043,58,True,1,0,2,0.054641094058752,90,DML,Chelsea,Manchester City,0,1,16426,2021,484397,0.0,0,0,0,0.054641094058752,0.0537802428007125,0.0471308529376983
5,0,0,17,0,39.0,122,125,1,0,5.6,12.8,2021-11-28,77,13,0,0,0,0,13,0,769347,1,1,4.0,2,90496,143112,52616,56,True,0,0,0,0.0,78,DML,Chelsea,Manchester United,1,1,16500,2021,498282,0.1085592284798622,0,2,0,0.0,0.1827969998121261,0.1296947300434112
6,0,0,9,0,5.4,122,135,1,0,3.0,20.2,2021-12-01,90,18,0,0,0,0,14,0,924809,2,1,4.0,1,151473,166646,15173,56,False,1,0,0,0.0,90,DML,Watford,Chelsea,1,2,16509,2021,499311,0.0,0,0,0,0.0,0.6726458668708801,0.6726458668708801
7,0,0,10,0,13.8,122,149,2,0,3.7,5.6,2021-12-04,71,19,0,0,0,0,15,0,942177,2,3,18.0,1,17220,54112,36892,57,False,0,0,1,0.0655591785907745,76,DML,West Ham,Chelsea,3,2,16524,2021,499631,0.0299366563558578,0,1,0,0.0655591785907745,0.19962839782238,0.19962839782238
8,1,0,20,0,16.8,122,155,2,0,4.7,23.2,2021-12-11,86,10,0,0,0,0,16,0,895897,2,3,7.0,4,-47890,26325,74215,57,True,0,0,2,0.0850557163357734,89,DML,Chelsea,Leeds,3,2,16530,2021,501673,0.3276479542255401,1,1,0,0.0850557163357734,0.5246788263320923,0.5060296654701233
9,0,0,24,1,37.1,122,168,0,0,5.6,7.2,2021-12-16,64,8,0,0,0,0,17,0,924512,1,1,12.0,6,22934,41832,18898,57,True,0,0,1,0.0598262548446655,66,DML,Chelsea,Everton,1,1,16543,2021,503333,0.6284363269805908,0,3,0,0.0598262548446655,0.141077920794487,0.0
