assists_x,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
0,1,3,57,1,54.5,142,18,0,1,19.4,74.6,2021-08-22,90,1,0,0,0,0,2,0,430073,2,0,65.0,18,-65552,8042,73594,55,False,0,1,4,0.4820567965507507,90,DMR,Arsenal,Chelsea,0,2,16394,2021,477845,0.9835794568061828,1,4,1,0.4820567965507507,2.5173826217651367,1.931379556655884
1,1,0,-2,0,15.0,142,23,1,0,2.4,8.6,2021-08-28,47,11,0,0,0,1,3,0,833445,1,1,0.0,1,308746,357269,48523,56,False,0,0,0,0.0,47,DMR,Liverpool,Chelsea,1,1,16402,2021,479073,0.0210835617035627,1,1,0,0.0,0.0,0.0
2,0,0,3,0,0.1,142,53,0,0,0.0,0.0,2021-09-25,28,12,0,0,0,0,6,0,612367,1,0,0.0,1,-21771,41565,63336,56,True,0,0,0,0.0,28,DMR,Chelsea,Manchester City,0,1,16426,2021,484396,0.0,0,0,0,0.0,0.0339093320071697,0.0339093320071697
3,0,0,3,0,0.1,142,73,0,0,0.0,0.2,2021-10-16,1,3,0,0,0,0,8,0,424380,1,0,0.0,1,-26287,38504,64791,55,False,0,0,0,0.0,1,Sub,Brentford,Chelsea,0,1,16448,2021,488361,0.0,0,0,0,0.0,0.0,0.0
4,0,1,41,1,26.4,142,84,0,1,9.2,44.2,2021-10-23,90,15,0,0,0,0,9,0,445924,0,7,21.0,13,16070,32885,16815,55,True,0,1,1,0.3036442399024963,90,DMR,Chelsea,Norwich,7,0,16459,2021,489666,0.0446451045572757,0,2,1,0.3036442399024963,0.7742952704429626,0.4449587166309356
5,0,3,63,1,43.9,142,96,0,2,18.1,84.4,2021-10-30,90,14,0,0,0,0,10,0,632772,3,0,53.0,21,170178,186296,16118,56,False,0,2,4,0.1722130924463272,90,DMR,Newcastle United,Chelsea,0,3,16471,2021,492228,0.5231755971908569,0,3,2,0.1722130924463272,0.7182379961013794,0.0228493232280015
6,1,3,28,0,71.8,142,104,1,0,15.2,36.4,2021-11-06,90,5,0,0,0,0,11,0,1613162,1,1,44.0,7,935082,941215,6133,58,True,1,0,2,0.1577964574098587,90,MR,Chelsea,Burnley,1,1,16479,2021,493969,0.5557605028152466,1,5,0,0.1577964574098587,1.5431026220321655,1.0441614389419556
7,1,3,42,1,25.8,142,113,0,0,7.4,32.4,2021-11-20,90,9,0,0,0,0,12,0,2091478,3,0,16.0,12,463701,482827,19126,60,False,0,0,1,0.1049984619021415,90,DMR,Leicester,Chelsea,0,3,16488,2021,495387,0.1971745640039444,1,2,0,0.1049984619021415,0.4518259763717651,0.3248745203018188
8,0,0,7,0,19.2,142,125,1,0,3.7,4.6,2021-11-28,90,13,0,0,0,0,13,0,2905652,1,1,13.0,1,793757,812116,18359,62,True,1,0,3,0.1337784528732299,90,DMR,Chelsea,Manchester United,1,1,16500,2021,498281,0.0330720618367195,0,1,0,0.1337784528732299,0.2601966857910156,0.0933461636304855
9,0,0,11,0,31.7,142,149,3,0,5.6,14.8,2021-12-04,90,19,0,0,0,0,15,0,2986283,2,3,9.0,0,-111076,90640,201716,62,False,1,0,1,0.025922043249011,90,DMR,West Ham,Chelsea,3,2,16524,2021,499630,0.1380985230207443,0,2,0,0.025922043249011,0.3520256876945495,0.2033853977918625
10,0,0,12,0,38.2,142,155,2,0,5.5,13.8,2021-12-11,90,10,0,0,0,0,16,0,3162777,2,3,3.0,0,138353,183974,45621,62,True,1,0,1,0.0354313142597675,90,DMR,Chelsea,Leeds,3,2,16530,2021,501672,0.1380853354930877,0,3,0,0.0354313142597675,0.5699414014816284,0.4446108341217041
11,1,3,28,0,79.3,142,168,1,0,12.6,32.6,2021-12-16,90,8,0,0,0,0,17,0,3126030,1,1,14.0,8,-25708,102226,127934,63,True,0,0,3,0.4155801236629486,90,DMR,Chelsea,Everton,1,1,16543,2021,503332,0.972531795501709,1,6,0,0.4155801236629486,1.4428483247756958,1.0862092971801758
12,0,0,23,1,20.0,142,180,0,0,3.1,8.6,2021-12-19,90,20,0,0,0,0,18,0,3278831,0,0,2.0,6,83707,113532,29825,63,False,0,0,0,0.0,90,DMR,Wolverhampton Wanderers,Chelsea,0,0,16555,2021,504013,0.0240662824362516,0,1,0,0.0,0.3858387768268585,0.3617724776268005
13,0,0,9,0,13.1,142,181,1,0,2.8,9.6,2021-12-26,90,2,1,0,0,0,19,0,3337655,3,1,5.0,0,58465,106674,48209,63,False,0,0,1,0.050480056554079,90,DMR,Aston Villa,Chelsea,1,3,16556,2021,505164,0.0,0,0,0,0.050480056554079,0.4145944118499756,0.4145944118499756
14,0,0,4,0,14.5,142,193,0,0,2.0,5.0,2021-12-29,26,4,0,0,0,0,20,0,3213978,1,1,0.0,1,-47171,30241,77412,64,True,0,0,0,0.0,26,DML,Chelsea,Brighton,1,1,16568,2021,505346,0.0810397565364837,0,1,0,0.0,0.0,0.0
15,1,3,53,1,15.6,142,272,0,1,11.8,61.2,2022-03-05,69,5,0,0,0,0,28,0,1224297,4,0,41.0,18,286431,323835,37404,62,False,0,1,2,0.1375573128461837,71,DMR,Burnley,Chelsea,0,4,16647,2021,517538,0.9058122038841248,1,1,1,0.1375573128461837,0.6382685899734497,0.5643376111984253
16,0,0,8,0,7.6,142,303,2,0,1.9,11.0,2022-04-02,35,3,0,0,0,0,31,0,1222150,4,1,0.0,0,128755,161986,33231,62,True,0,0,0,0.0,33,Sub,Chelsea,Brentford,1,4,16683,2021,522788,0.0,0,0,0,0.0,0.3022219836711883,0.3022219836711883
17,0,0,12,0,3.4,142,319,0,0,1.0,5.8,2022-04-09,27,16,0,0,0,0,32,0,1305054,6,0,1.0,1,79609,99655,20046,63,False,0,0,1,0.0246791969984769,25,Sub,Southampton,Chelsea,0,6,16687,2021,524630,0.0,0,0,0,0.0246791969984769,0.1543165296316146,0.1543165296316146
18,0,0,19,0,5.5,142,243,4,0,1.7,9.8,2022-04-20,90,1,0,0,0,0,33,0,1271277,4,2,2.0,0,-6847,41675,48522,63,True,0,0,0,0.0,90,DC,Chelsea,Arsenal,2,4,16618,2021,527916,0.0,0,0,0,0.0,0.0432508885860443,0.0432508885860443
19,0,0,21,0,50.0,142,364,1,0,14.3,31.8,2022-04-28,90,13,0,0,0,0,34,0,1619877,1,1,61.0,2,308120,339765,31645,64,False,0,0,4,0.213094562292099,90,MR,Manchester United,Chelsea,1,1,16742,2021,530005,0.886486291885376,0,3,0,0.213094562292099,1.8439699411392207,1.6355931758880615
20,0,0,14,0,19.5,142,342,1,0,5.5,10.8,2022-05-01,90,8,0,0,0,0,35,0,1601870,0,1,25.0,2,-7730,59193,66923,64,False,0,0,3,0.065426230430603,90,MR,Everton,Chelsea,1,0,16724,2021,531061,0.0108586549758911,0,1,0,0.065426230430603,0.2400157302618026,0.1854354441165924
21,0,0,10,0,20.2,142,355,2,0,3.3,4.2,2022-05-07,90,20,0,0,0,0,36,0,1629242,2,2,9.0,1,24127,71207,47080,64,True,0,0,2,0.0537686794996261,90,MR,Chelsea,Wolverhampton Wanderers,2,2,16731,2021,534259,0.0355559289455413,0,1,0,0.0537686794996261,0.2606206834316253,0.2337430417537689
22,1,3,47,1,67.8,142,323,0,0,11.4,42.6,2022-05-11,77,10,0,0,0,0,36,0,1629242,3,0,4.0,12,24127,71207,47080,64,False,0,0,0,0.0,83,DMR,Leeds,Chelsea,0,3,16703,2021,534760,0.4361776411533355,1,5,0,0.0,0.6545796394348145,0.5367628335952759
23,1,2,30,0,50.8,142,264,1,0,13.0,32.8,2022-05-19,90,9,0,0,0,0,37,0,1556950,1,1,46.0,7,2315,48243,45928,64,True,0,0,4,0.1670610606670379,90,DMR,Chelsea,Leicester,1,1,16639,2021,536834,0.374705046415329,1,3,0,0.1670610606670379,1.0989145040512085,0.7066399455070496
