assists_x,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty
0,0,4,0,23.3,336,25,1,0,3.2,8.2,2021-08-28,32,14,0,0,0,0,3,0,7685,2,2,0.0,1,-1164,403,1567,59,False,0,0,0,0.0,31,Sub,Newcastle United,Southampton,2,2,16397,2021,478990,0.5337453484535217,0,1,0,0.0,0.5961766242980957,0.0624312423169612,2,3
0,0,9,1,12.8,336,39,0,0,4.4,6.8,2021-09-11,90,19,0,0,0,0,4,0,7325,0,0,24.0,3,-892,403,1295,59,True,0,0,2,0.1744458824396133,90,FW,Southampton,West Ham,0,0,16411,2021,480329,0.0285987667739391,0,1,0,0.1744458824396133,0.4190297722816467,0.2445839047431945,3,3
0,0,18,1,23.9,336,45,0,0,5.5,14.8,2021-09-18,90,12,0,0,0,0,5,0,7400,0,0,16.0,3,-338,347,685,59,False,0,0,1,0.0132651487365365,90,ML,Manchester City,Southampton,0,0,16421,2021,482137,0.0932778045535087,0,2,0,0.0132651487365365,0.2460917085409164,0.1528139114379882,2,5
0,0,7,0,23.0,336,59,1,0,4.1,6.4,2021-09-26,63,20,0,0,0,0,6,0,7945,1,0,12.0,2,139,802,663,59,True,0,0,2,0.1189718395471572,65,ML,Southampton,Wolverhampton Wanderers,0,1,16433,2021,485467,0.0955243036150932,0,2,0,0.1189718395471572,0.3006137013435364,0.0861175507307052,3,3
0,0,9,0,3.7,336,63,2,0,1.6,6.4,2021-10-02,86,6,0,0,0,0,7,0,7987,1,3,6.0,2,-138,567,705,59,False,0,0,0,0.0,90,FW,Chelsea,Southampton,3,1,16438,2021,486485,0.0,0,0,0,0.0,0.6397992372512817,0.6397992372512817,2,4
1,3,30,1,85.4,336,79,0,0,15.1,37.0,2021-10-16,90,10,0,0,0,0,8,0,9676,0,1,29.0,9,1263,2097,834,59,True,0,0,5,0.1845967918634414,90,FW,Southampton,Leeds,1,0,16454,2021,488192,0.8604592084884644,1,6,0,0.1845967918634414,0.8107154965400696,0.0284101404249668,2,3
1,0,22,0,48.3,336,89,2,0,12.3,28.2,2021-10-23,88,5,0,0,0,0,9,0,22299,2,2,46.0,5,10899,12771,1872,59,True,0,0,4,0.7742233276367188,90,FW,Southampton,Burnley,2,2,16464,2021,489918,0.2206196635961532,1,3,0,0.7742233276367188,0.8752172589302063,0.0489825308322906,2,3
0,0,11,1,30.3,336,99,0,0,6.1,12.8,2021-10-30,90,18,0,0,0,0,10,0,29183,1,0,18.0,3,6779,10572,3793,59,False,0,0,1,0.0272379182279109,90,ML,Watford,Southampton,0,1,16474,2021,492204,0.264732152223587,0,2,0,0.0272379182279109,0.9201603531837464,0.6919712424278259,2,2
0,0,3,0,0.8,336,128,1,0,0.6,3.6,2021-11-27,45,11,0,0,0,0,13,0,20022,0,4,2.0,1,-4877,622,5499,59,False,0,0,0,0.0,42,Sub,Liverpool,Southampton,4,0,16503,2021,497426,0.0,0,0,0,0.0,0.0,0.0,2,5
1,0,21,0,33.5,336,139,2,0,7.8,24.2,2021-12-01,90,9,0,0,0,0,14,0,19084,2,2,20.0,5,-1148,1283,2431,59,True,0,0,1,0.0435036681592464,90,MR,Southampton,Leicester,2,2,16514,2021,499093,0.4178182482719421,1,2,0,0.0435036681592464,0.0848314762115478,0.0848314762115478,2,3
