assists_x,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty
0,0,19,0,2.1,255,16,0,1,7.0,31.4,2021-08-21,29,15,0,0,0,0,2,0,214674,0,5,36.0,6,-21440,14750,36190,110,True,0,1,2,0.7355042099952698,28,Sub,Manchester City,Norwich,5,0,16387,2021,476914,0.0,0,0,1,0.7355042099952698,1.197511911392212,0.4956791996955871,2,5
0,0,-1,0,13.9,255,24,0,0,10.7,9.8,2021-08-28,32,1,0,0,0,0,3,0,212435,0,5,83.0,1,-12967,19461,32428,110,True,0,0,4,0.945890724658966,29,Sub,Manchester City,Arsenal,5,0,16396,2021,478693,0.1106583029031753,0,1,0,0.945890724658966,1.1030858755111694,0.081395223736763,4,5
0,0,0,0,10.3,255,37,0,0,2.3,1.2,2021-09-11,26,9,0,0,0,0,4,0,159153,1,0,11.0,1,-57749,8549,66298,109,False,0,0,1,0.1271114349365234,24,Sub,Leicester,Manchester City,0,1,16409,2021,480399,0.1012421995401382,0,1,0,0.1271114349365234,0.2283536344766616,0.0,5,3
0,0,4,1,15.2,255,45,0,0,6.6,3.4,2021-09-18,90,16,0,0,0,0,5,0,138612,0,0,47.0,3,-25383,4089,29472,108,True,0,0,4,0.1944787800312042,90,FW,Manchester City,Southampton,0,0,16421,2021,482123,0.0649676248431205,0,1,0,0.1944787800312042,0.5731816291809082,0.3906127512454986,2,5
0,0,2,0,0.0,255,53,0,0,0.0,0.2,2021-09-25,3,6,0,0,0,0,6,0,125236,1,0,0.0,1,-15847,1978,17825,108,False,0,0,0,0.0,1,Sub,Chelsea,Manchester City,0,1,16426,2021,484419,0.0,0,0,0,0.0,0.0,0.0,5,4
0,0,5,0,10.8,255,66,1,0,2.1,4.0,2021-10-03,24,11,0,0,0,0,7,0,117366,2,2,6.0,1,-9453,1127,10580,107,False,0,0,0,0.0,23,Sub,Liverpool,Manchester City,2,2,16441,2021,487431,0.1093677133321762,0,1,0,0.0,0.1711396276950836,0.0617719180881977,5,5
0,0,10,1,15.7,255,76,0,0,5.4,6.2,2021-10-16,90,5,0,0,0,0,8,0,115584,0,2,32.0,3,-3904,4211,8115,107,True,0,0,1,0.1106616258621215,90,FW,Manchester City,Burnley,2,0,16451,2021,488136,0.05112224817276,0,1,0,0.1106616258621215,0.3264097869396209,0.1646259129047393,2,5
0,0,4,0,14.8,255,95,1,0,2.2,3.0,2021-10-30,12,7,0,0,0,0,10,0,102668,2,0,4.0,1,-10200,1112,11312,106,True,0,0,0,0.0,7,Sub,Manchester City,Crystal Palace,0,2,16470,2021,492250,0.0585894882678985,0,1,0,0.0,0.0585894882678985,0.0,2,5
0,0,28,1,31.4,255,115,0,1,12.0,43.8,2021-11-21,90,8,0,0,0,0,12,0,100043,0,3,45.0,8,-1892,1749,3641,106,True,0,1,3,0.9018025398254396,90,FWR,Manchester City,Everton,3,0,16490,2021,496363,0.2233891189098358,0,2,1,0.9018025398254396,1.2502665519714355,0.1250748485326767,2,5
0,0,12,1,26.3,255,129,0,0,3.8,0.0,2021-11-28,86,19,0,0,0,0,13,0,109195,1,2,12.0,3,7638,9490,1852,106,True,0,0,2,0.0467204228043556,87,FWL,Manchester City,West Ham,2,1,16504,2021,498140,0.7901816964149475,0,2,0,0.0467204228043556,1.014218807220459,0.2024029195308685,3,5
