goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,3,0.1045192703604698,90,ML,Brentford,Leeds,1,2,2022-05-22,16747,2021,537710,0.0,0,0,1,0.1045192703604698,0.1686233431100845,0.1068328693509101
1,0,4,0.2205545455217361,90,MC,Leeds,Brighton,1,1,2022-05-15,16743,2021,536087,0.0433900840580463,0,1,0,0.2205545455217361,0.3000849783420563,0.1772933900356292
2,0,0,0.0,36,AML,Leeds,Chelsea,0,3,2022-05-11,16703,2021,534751,0.0,0,0,0,0.0,0.0,0.0
3,0,0,0.0,90,AML,Arsenal,Leeds,2,1,2022-05-08,16735,2021,533475,0.0,0,0,0,0.0,0.0,0.0
4,0,0,0.0,90,ML,Leeds,Manchester City,0,4,2022-04-30,16723,2021,530716,0.0,0,0,0,0.0,0.0,0.0
5,0,2,0.0879767760634422,90,AML,Crystal Palace,Leeds,0,0,2022-04-25,16710,2021,529888,0.0877276286482811,0,2,0,0.0879767760634422,0.0879767760634422,0.0
6,1,1,0.0563800074160099,90,AML,Watford,Leeds,0,3,2022-04-09,16686,2021,524654,0.0,0,0,1,0.0563800074160099,0.0912068411707878,0.0348268337547779
7,1,2,0.6224615573883057,90,AML,Leeds,Southampton,1,1,2022-04-02,16681,2021,522812,0.4182054996490478,0,2,1,0.6224615573883057,0.815856397151947,0.0996139124035835
8,1,2,0.554040789604187,90,AML,Wolverhampton Wanderers,Leeds,2,3,2022-03-18,16675,2021,520952,0.6615028977394104,0,2,1,0.554040789604187,1.7829900979995728,1.249647617340088
9,0,2,0.1216989532113075,42,Sub,Leeds,Norwich,2,1,2022-03-13,16662,2021,520050,0.0,0,0,0,0.1216989532113075,0.1216989532113075,0.0
10,0,0,0.0,59,AML,Leeds,Aston Villa,0,3,2022-03-10,16572,2021,518948,0.016859708353877,0,1,0,0.0,0.016859708353877,0.0
11,0,2,0.1482756435871124,77,AML,Leicester,Leeds,1,0,2022-03-05,16648,2021,517274,0.2927542924880981,0,5,0,0.1482756435871124,0.9477145671844482,0.6516369581222534
12,0,1,0.0404244661331176,47,ML,Leeds,Tottenham,0,4,2022-02-26,16642,2021,515727,0.0,0,0,0,0.0404244661331176,0.0221563931554555,0.0221563931554555
