goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,2,0.1518810540437698,90,DL,Arsenal,Everton,5,1,2022-05-22,16746,2021,537830,0.0150414761155843,0,1,0,0.1518810540437698,0.4496062397956848,0.2977252006530761
1,0,0,0.0,63,DL,Newcastle United,Arsenal,2,0,2022-05-16,16741,2021,536735,0.0,0,0,0,0.0,0.1239369884133338,0.1239369884133338
2,0,0,0.0,12,Sub,Tottenham,Arsenal,3,0,2022-05-12,16593,2021,535034,0.0935951620340347,0,1,0,0.0,0.0935951620340347,0.0
3,0,0,0.0,90,DL,West Ham,Arsenal,1,2,2022-05-01,16717,2021,531338,0.0,0,0,0,0.0,0.0605838894844055,0.0605838894844055
4,1,3,0.949871301651001,90,DL,Arsenal,Manchester United,3,1,2022-04-23,16715,2021,528373,0.0893962308764457,0,1,1,0.949871301651001,1.4986464977264404,0.5487751364707947
5,0,2,0.0791967660188674,90,DL,Chelsea,Arsenal,2,4,2022-04-20,16618,2021,527931,0.0175913274288177,0,1,0,0.0791967660188674,0.1907594949007034,0.1115627363324165
6,0,2,0.0390902869403362,72,DL,Southampton,Arsenal,1,0,2022-04-16,16700,2021,526414,0.0216659568250179,0,1,0,0.0390902869403362,0.1675615310668945,0.129467561841011
7,0,0,0.0,47,DL,Crystal Palace,Arsenal,3,0,2022-04-04,16682,2021,523962,0.0,0,0,0,0.0,0.0,0.0
8,0,0,0.0,1,Sub,Arsenal,Wolverhampton Wanderers,2,1,2022-02-24,16566,2021,515407,0.0401795022189617,0,1,0,0.0,0.0401795022189617,0.0401795022189617
9,0,0,0.0,2,Sub,Leeds,Arsenal,1,4,2021-12-18,16548,2021,503869,0.0,0,0,0,0.0,0.0,0.0
10,0,0,0.0,2,Sub,Arsenal,West Ham,2,0,2021-12-15,16536,2021,503312,0.0,0,0,0,0.0,0.0,0.0
11,0,0,0.0,22,Sub,Everton,Arsenal,2,1,2021-12-06,16517,2021,501163,0.0,0,0,0,0.0,0.7516936659812927,0.7516936659812927
12,0,1,0.0402356162667274,90,DL,Manchester United,Arsenal,3,2,2021-12-02,16512,2021,499481,0.0268190782517194,0,1,0,0.0402356162667274,0.303397536277771,0.2363428473472595
13,0,6,0.2213489562273025,90,DL,Arsenal,Newcastle United,2,0,2021-11-27,16496,2021,497074,0.2009145468473434,1,1,0,0.2213489562273025,1.1135990619659424,0.992567539215088
14,0,0,0.0,90,DL,Liverpool,Arsenal,4,0,2021-11-20,16489,2021,495946,0.0087006548419594,0,1,0,0.0,0.1093063279986381,0.1093063279986381
15,0,1,0.0811827331781387,90,DL,Arsenal,Watford,1,0,2021-11-07,16476,2021,494501,0.0,0,0,0,0.0811827331781387,0.1219763830304145,0.0407936498522758
16,0,1,0.0332117415964603,90,DL,Leicester,Arsenal,0,2,2021-10-30,16468,2021,491926,0.0,0,0,0,0.0332117415964603,0.1120402216911315,0.0788284763693809
17,0,3,0.1242959797382354,90,DL,Arsenal,Aston Villa,3,1,2021-10-22,16456,2021,489547,0.5506260991096497,0,1,0,0.1242959797382354,0.8506358861923218,0.1984825730323791
18,0,0,0.0,1,Sub,Arsenal,Tottenham,3,1,2021-09-26,16434,2021,485625,0.0,0,0,0,0.0,0.0,0.0
19,0,1,0.0217879209667444,10,Sub,Burnley,Arsenal,0,1,2021-09-18,16419,2021,482084,0.0,0,0,0,0.0217879209667444,0.0217879209667444,0.0
20,0,0,0.0,22,Sub,Arsenal,Chelsea,0,2,2021-08-22,16394,2021,477839,0.0,0,0,0,0.0,0.0,0.0
21,0,1,0.0141945825889706,8,Sub,Brentford,Arsenal,2,0,2021-08-13,16376,2021,475197,0.0,0,0,0,0.0141945825889706,0.0516281612217426,0.0374335795640945
