goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,0.0,65,DL,Brentford,Leeds,1,2,2022-05-22,16747,2021,537692,0.0,0,0,0,0.0,0.1630691736936569,0.1630691736936569
1,1,3,0.3713796138763428,90,DL,Everton,Brentford,2,3,2022-05-15,16744,2021,536242,0.0,0,0,1,0.3713796138763428,1.2230297327041626,0.851650059223175
2,0,0,0.0,90,DL,Brentford,Southampton,3,0,2022-05-07,16734,2021,534204,0.6257163286209106,0,2,0,0.0,0.8170197010040283,0.7892276048660278
3,0,1,0.0146119259297847,90,DL,Manchester United,Brentford,3,0,2022-05-02,16722,2021,531708,0.0,0,0,0,0.0146119259297847,0.3039698898792267,0.3039698898792267
4,0,0,0.0,90,DL,Brentford,Tottenham,0,0,2022-04-23,16714,2021,528879,0.1604576259851455,0,2,0,0.0,0.1604576259851455,0.0824747234582901
5,0,0,0.0,90,DL,Watford,Brentford,1,2,2022-04-16,16698,2021,526441,0.0870510786771774,0,1,0,0.0,0.1003034710884094,0.0132523933425545
6,0,0,0.0,90,DL,Brentford,West Ham,2,0,2022-04-10,16693,2021,525124,0.0713179782032966,0,2,0,0.0,0.8669213056564331,0.8504448533058167
7,0,0,0.0,90,DL,Chelsea,Brentford,1,4,2022-04-02,16683,2021,522794,0.3560426831245422,0,1,0,0.0,0.5203795433044434,0.1643368601799011
8,0,0,0.0,75,DL,Leicester,Brentford,2,1,2022-03-20,16668,2021,521736,0.0471874065697193,0,1,0,0.0,0.1923986077308654,0.1923986077308654
9,0,1,0.0132431210950016,90,DL,Brentford,Burnley,2,0,2022-03-12,16657,2021,519330,0.0,0,0,0,0.0132431210950016,0.8073108196258545,0.8073108196258545
10,0,0,0.0,90,DL,Norwich,Brentford,1,3,2022-03-05,16652,2021,517594,0.0,0,0,0,0.0,0.0,0.0
11,0,0,0.0,90,DL,Brentford,Newcastle United,0,2,2022-02-26,16637,2021,515996,0.0,0,0,0,0.0,0.0,0.0
12,0,0,0.0,90,DML,Arsenal,Brentford,2,1,2022-02-19,16626,2021,514167,0.0,0,0,0,0.0,0.0,0.0
13,0,1,0.0531194880604743,90,DML,Brentford,Crystal Palace,0,0,2022-02-12,16616,2021,512649,0.0550189204514026,0,1,0,0.0531194880604743,0.6706328988075256,0.5624945163726807
14,0,1,0.2643854916095733,90,DML,Manchester City,Brentford,2,0,2022-02-09,16615,2021,512217,0.0,0,0,0,0.2643854916095733,0.2643854916095733,0.0
15,0,0,0.0,25,DML,Brentford,Wolverhampton Wanderers,1,2,2022-01-22,16597,2021,509788,0.0,0,0,0,0.0,0.1052837967872619,0.1052837967872619
16,0,0,0.0,24,Sub,Brentford,Manchester United,1,3,2022-01-19,16537,2021,509198,0.0,0,0,0,0.0,0.0,0.0
17,0,0,0.0,50,DML,Liverpool,Brentford,3,0,2022-01-16,16589,2021,508486,0.0,0,0,0,0.0,0.0,0.0
18,0,2,0.0727380365133285,78,DML,Brentford,Watford,2,1,2021-12-10,16527,2021,501318,0.0,0,0,0,0.0727380365133285,0.0727380365133285,0.0
19,0,0,0.0,90,DML,Leeds,Brentford,2,2,2021-12-05,16518,2021,500497,0.0,0,0,0,0.0,0.1115218251943588,0.1115218251943588
20,0,0,0.0,90,DML,Tottenham,Brentford,2,0,2021-12-02,16515,2021,499424,0.0,0,0,0,0.0,0.1313654482364654,0.1313654482364654
21,0,0,0.0,79,DML,Brentford,Everton,1,0,2021-11-28,16497,2021,497931,0.0,0,0,0,0.0,0.0,0.0
22,1,1,0.4994467496871948,90,DML,Newcastle United,Brentford,3,3,2021-11-20,16491,2021,495748,0.0442984141409397,0,1,1,0.4994467496871948,0.5596181154251099,0.0158729404211044
23,1,1,0.4926053285598755,72,DML,Brentford,Norwich,1,2,2021-11-06,16477,2021,493998,0.0,0,0,1,0.4926053285598755,0.6001562476158142,0.1075509414076805
24,0,0,0.0,90,DML,Burnley,Brentford,3,1,2021-10-30,16467,2021,492311,0.0,0,0,0,0.0,0.0284789018332958,0.0284789018332958
25,0,1,0.0270921029150486,90,DML,Brentford,Leicester,1,2,2021-10-24,16457,2021,490449,0.0,0,0,0,0.0270921029150486,0.0,0.0
26,0,0,0.0,90,DML,Brentford,Chelsea,0,1,2021-10-16,16448,2021,488340,0.0568762309849262,0,1,0,0.0,0.6032509207725525,0.5463746786117554
27,0,0,0.0,90,DML,West Ham,Brentford,1,2,2021-10-03,16444,2021,487062,0.0690839141607284,0,2,0,0.0,0.0690839141607284,0.0690839141607284
28,0,1,0.0145672541111707,90,DML,Brentford,Liverpool,3,3,2021-09-25,16432,2021,484973,0.0,0,0,0,0.0145672541111707,0.0667105913162231,0.0667105913162231
29,0,0,0.0,78,DML,Wolverhampton Wanderers,Brentford,0,2,2021-09-18,16417,2021,481833,0.0,0,0,0,0.0,0.0,0.0
30,0,0,0.0,90,DML,Brentford,Brighton,0,1,2021-09-11,16408,2021,480405,0.0250575002282857,0,1,0,0.0,0.2973324656486511,0.2973324656486511
31,0,1,0.076746754348278,90,ML,Aston Villa,Brentford,1,1,2021-08-28,16399,2021,478959,0.1040677949786186,0,1,0,0.076746754348278,0.2018599212169647,0.0210453681647777
32,0,0,0.0,90,DML,Crystal Palace,Brentford,0,0,2021-08-21,16389,2021,476975,0.1702673435211181,0,2,0,0.0,0.1908807009458542,0.020613370463252
33,0,0,0.0,90,DML,Brentford,Arsenal,2,0,2021-08-13,16376,2021,475177,0.0,0,0,0,0.0,0.0,0.0
