goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,0.0,48,DMC,Brighton,Liverpool,0,2,2022-03-12,16658,2021,519090,0.0,0,0,0,0.0,0.0,0.0
1,0,0,0.0,82,MC,Newcastle United,Brighton,2,1,2022-03-05,16651,2021,517567,0.0,0,0,0,0.0,0.0,0.0
2,0,0,0.0,30,Sub,Manchester United,Brighton,2,0,2022-02-15,16549,2021,513781,0.0,0,0,0,0.0,0.3693178594112396,0.3693178594112396
3,0,0,0.0,64,DMC,Leicester,Brighton,1,1,2022-01-23,16602,2021,510221,0.0,0,0,0,0.0,0.1221652552485466,0.1221652552485466
4,0,0,0.0,90,DMC,Brighton,Chelsea,1,1,2022-01-18,16607,2021,508918,0.0,0,0,0,0.0,0.1996687799692154,0.1996687799692154
5,0,0,0.0,1,Sub,Chelsea,Brighton,1,1,2021-12-29,16568,2021,505366,0.0,0,0,0,0.0,0.0,0.0
6,0,1,0.0812435895204544,1,Sub,Brighton,Brentford,2,0,2021-12-26,16557,2021,505185,0.0,0,0,0,0.0812435895204544,0.0812435895204544,0.0812435895204544
7,0,0,0.0,19,Sub,Crystal Palace,Brighton,1,1,2021-09-27,16435,2021,486002,0.0,0,0,0,0.0,0.0,0.0
8,0,0,0.0,75,DMC,Burnley,Brighton,1,2,2021-08-14,16378,2021,475462,0.1467899084091186,0,2,0,0.0,0.1467899084091186,0.1467899084091186
9,0,0,0.0,24,Sub,Arsenal,Brighton,2,0,2021-05-23,14805,2020,473528,0.0,0,0,0,0.0,0.0,0.0
10,0,0,0.0,70,MC,Brighton,Manchester City,3,2,2021-05-18,14795,2020,472353,0.0,0,0,0,0.0,0.0971946492791175,0.0971946492791175
11,0,2,0.059360098093748,68,MC,Brighton,West Ham,1,1,2021-05-15,14785,2020,471067,0.0267035719007253,0,1,0,0.059360098093748,0.1825193613767624,0.123159259557724
12,0,0,0.0,22,Sub,Brighton,Leicester,1,2,2021-03-06,14696,2020,454911,0.0,0,0,0,0.0,0.0,0.0
13,0,1,0.0561548806726932,47,DML,Brighton,Crystal Palace,1,2,2021-02-22,14677,2020,451692,0.0,0,0,0,0.0561548806726932,0.1470426023006439,0.0908877179026603
14,0,0,0.0,63,ML,Brighton,Aston Villa,0,0,2021-02-13,14666,2020,449286,0.0573904477059841,0,1,0,0.0,0.2554028928279876,0.1980124413967132
15,1,1,0.5558169484138489,90,MC,Liverpool,Brighton,0,1,2021-02-03,14654,2020,447205,0.031795036047697,0,1,1,0.5558169484138489,0.6190311908721924,0.0632142648100853
16,0,0,0.0,43,Sub,West Ham,Brighton,2,2,2020-12-27,14583,2020,438263,0.0,0,0,0,0.0,0.0513799302279949,0.0513799302279949
17,0,0,0.0,90,MC,Fulham,Brighton,0,0,2020-12-16,14557,2020,435412,0.0,0,0,0,0.0,0.0,0.0
18,0,0,0.0,31,Sub,Leicester,Brighton,3,0,2020-12-13,14553,2020,434107,0.0100366044789552,0,1,0,0.0,0.0100366044789552,0.0
19,0,0,0.0,10,Sub,Brighton,West Bromwich Albion,1,1,2020-10-26,14487,2020,423970,0.0,0,0,0,0.0,0.0,0.0
20,0,0,0.0,84,MC,Everton,Brighton,4,2,2020-10-03,14468,2020,419536,0.0112031400203704,0,1,0,0.0,0.0865947231650352,0.0865947231650352
21,0,1,0.0833433344960212,90,MC,Brighton,Manchester United,2,3,2020-09-26,14106,2020,417134,0.6207606792449951,0,3,0,0.0833433344960212,1.0546040534973145,0.8902791738510132
22,0,0,0.0,90,MC,Newcastle United,Brighton,0,3,2020-09-20,14101,2020,416339,0.0761035531759262,0,1,0,0.0,0.1997217535972595,0.1236182004213333
23,0,2,0.0793599784374237,83,MC,Brighton,Chelsea,1,3,2020-09-14,14095,2020,415363,0.0888085216283798,0,2,0,0.0793599784374237,0.8160308003425598,0.6623514890670776
24,0,0,0.0,6,Sub,Brighton,Crystal Palace,0,1,2020-02-29,11915,2019,387439,0.0,0,0,0,0.0,0.0,0.0
25,0,0,0.0,28,Sub,Brighton,Watford,1,1,2020-02-08,11895,2019,386889,0.0,0,0,0,0.0,0.3907365798950195,0.3907365798950195
26,0,0,0.0,90,DR,Bournemouth,Brighton,3,1,2020-01-21,11878,2019,386349,0.0847535133361816,0,2,0,0.0,0.1599394679069519,0.1092549338936805
27,0,0,0.0,90,DR,Brighton,Aston Villa,1,1,2020-01-18,11867,2019,386171,0.0,0,0,0,0.0,0.3298763036727905,0.3298763036727905
28,0,0,0.0,26,Sub,Everton,Brighton,1,0,2020-01-11,11860,2019,385901,0.0,0,0,0,0.0,0.0789355859160423,0.0789355859160423
29,0,3,0.1624287664890289,90,MC,Brighton,Chelsea,1,1,2020-01-01,11845,2019,385472,0.0,0,0,0,0.1624287664890289,0.1396246403455734,0.0
30,0,0,0.0,5,Sub,Brighton,Bournemouth,2,0,2019-12-28,11834,2019,372682,0.1773205995559692,0,2,0,0.0,0.1358716487884521,0.0
31,0,2,0.1008747071027755,90,MC,Tottenham,Brighton,2,1,2019-12-26,11831,2019,372414,0.0,0,0,0,0.1008747071027755,0.1291650384664535,0.0282903350889682
32,0,0,0.0,5,Sub,Crystal Palace,Brighton,1,1,2019-12-16,11806,2019,370789,0.0,0,0,0,0.0,0.0,0.0
33,0,1,0.1086113899946212,90,DR,Brighton,Wolverhampton Wanderers,2,2,2019-12-08,11795,2019,369215,0.108829878270626,0,2,0,0.1086113899946212,0.2174412608146667,0.108829878270626
34,0,0,0.0,89,DR,Arsenal,Brighton,1,2,2019-12-05,11783,2019,367845,0.1441339403390884,0,1,0,0.0,0.2271817028522491,0.0830477625131607
35,0,0,0.0,20,Sub,Liverpool,Brighton,2,1,2019-11-30,11776,2019,366232,0.0429972484707832,0,1,0,0.0,0.2992441952228546,0.256246954202652
36,0,0,0.0,90,MR,Manchester United,Brighton,3,1,2019-11-10,11761,2019,363812,0.0899315848946571,0,2,0,0.0,0.0899315848946571,0.0
37,0,3,0.4461545646190643,90,ML,Brighton,Norwich,2,0,2019-11-02,11746,2019,361504,0.0825566351413726,0,2,0,0.4461545646190643,0.5312374830245972,0.0311767160892486
38,0,3,0.1868754178285598,90,MC,Brighton,Everton,3,2,2019-10-26,11734,2019,359453,0.0,0,0,0,0.1868754178285598,0.2066911309957504,0.0198157150298357
39,0,0,0.0,6,Sub,Aston Villa,Brighton,2,1,2019-10-19,11723,2019,357778,0.0,0,0,0,0.0,0.0,0.0
40,0,0,0.0,90,MC,Brighton,Tottenham,3,0,2019-10-05,11713,2019,355975,0.0,0,0,0,0.0,0.2930451929569244,0.2930451929569244
41,0,1,0.0527385734021663,90,DML,Chelsea,Brighton,2,0,2019-09-28,11708,2019,354628,0.0,0,0,0,0.0527385734021663,0.11898884922266,0.0662502720952034
42,0,0,0.0,90,DML,Newcastle United,Brighton,0,0,2019-09-21,11699,2019,352455,0.0847372114658355,0,2,0,0.0,0.1418056935071945,0.0725126564502716
