,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,1,0.0184746533632278,50,MC,Everton,Crystal Palace,3,2,2022-05-19,16704,2021,536781,0.0,0,0,0,0.0184746533632278,0.0184746533632278,0.0
1,0,1,0.0141677223145961,76,MC,Everton,Brentford,2,3,2022-05-15,16744,2021,536231,0.0,0,0,0,0.0141677223145961,0.0141677223145961,0.0
2,0,0,0.0,1,Sub,Everton,Newcastle United,1,0,2022-03-17,16571,2021,520790,0.0,0,0,0,0.0,0.0,0.0
3,0,1,0.0243047680705785,43,Sub,Southampton,Everton,2,0,2022-02-19,16633,2021,514285,0.0,0,0,0,0.0243047680705785,0.0643850937485694,0.040080327540636
4,0,0,0.0,63,MC,Newcastle United,Everton,3,1,2022-02-08,16612,2021,512083,0.0,0,0,0,0.0,0.0409196503460407,0.0409196503460407
5,0,0,0.0,55,MC,Everton,Aston Villa,0,1,2022-01-22,16600,2021,509464,0.0,0,0,0,0.0,0.0,0.0
6,0,1,0.0506734512746334,90,MC,Norwich,Everton,2,1,2022-01-15,16592,2021,508130,0.0,0,0,0,0.0506734512746334,0.1711965054273605,0.1711965054273605
7,0,0,0.0,1,Sub,Everton,Brighton,2,3,2022-01-02,16580,2021,505577,0.0376161001622676,0,1,0,0.0,0.0721947848796844,0.0721947848796844
8,0,1,0.0145552223548293,72,MC,Chelsea,Everton,1,1,2021-12-16,16543,2021,503350,0.0,0,0,0,0.0145552223548293,0.0268557574599981,0.0123005341738462
9,0,3,0.1048274412751197,90,MC,Crystal Palace,Everton,3,1,2021-12-12,16531,2021,502629,0.0131496330723166,0,1,0,0.1048274412751197,0.117977075278759,0.0227469224482774
10,0,1,0.0459466762840747,21,Sub,Everton,Arsenal,2,1,2021-12-06,16517,2021,501149,0.0240917317569255,1,1,0,0.0459466762840747,0.0700384080410003,0.0
11,0,1,0.0483526848256588,25,Sub,Aston Villa,Everton,3,0,2021-09-18,16422,2021,482383,0.0,0,0,0,0.0483526848256588,0.0483526848256588,0.0
12,0,2,0.5934218168258667,28,Sub,Everton,Burnley,3,1,2021-09-13,16415,2021,481584,0.081578716635704,0,1,0,0.5934218168258667,0.7403393387794495,0.0653387829661369
13,0,2,0.0752448365092277,6,Sub,Brighton,Everton,0,2,2021-08-28,16400,2021,478937,0.0,0,0,0,0.0752448365092277,0.1349915117025375,0.0734055936336517
