,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
1,0,0,0,90,GK,Newcastle United,Arsenal,2,0,2022-05-16,16741,2021,536716,0.0134569834917783,0,1,0,0,0.1429553478956222,0.1294983625411987
2,0,0,0,90,GK,Manchester City,Newcastle United,5,0,2022-05-08,16727,2021,533737,0.0,0,0,0,0,0.289886862039566,0.289886862039566
3,0,0,0,90,GK,Newcastle United,Liverpool,0,1,2022-04-30,16721,2021,530107,0.0,0,0,0,0,0.0,0.0
4,0,0,0,90,GK,Norwich,Newcastle United,0,3,2022-04-23,16706,2021,528710,0.0,0,0,0,0,0.0587233826518058,0.0587233826518058
5,0,0,0,90,GK,Newcastle United,Crystal Palace,1,0,2022-04-20,16671,2021,527885,0.0,0,0,0,0,0.1093401536345481,0.1093401536345481
6,0,0,0,90,GK,Newcastle United,Leicester,2,1,2022-04-17,16701,2021,526999,0.0,0,0,0,0,0.0,0.0
7,0,0,0,90,GK,Newcastle United,Wolverhampton Wanderers,1,0,2022-04-08,16689,2021,524185,0.0,0,0,0,0,0.0684501901268959,0.0684501901268959
8,0,0,0,90,GK,Tottenham,Newcastle United,5,1,2022-04-03,16678,2021,523653,0.0,0,0,0,0,0.0,0.0
9,0,0,0,90,GK,Everton,Newcastle United,1,0,2022-03-17,16571,2021,520793,0.0,0,0,0,0,0.0986153930425643,0.0986153930425643
10,0,0,0,90,GK,Chelsea,Newcastle United,1,0,2022-03-13,16659,2021,519907,0.0,0,0,0,0,0.0,0.0
11,0,0,0,90,GK,Southampton,Newcastle United,1,2,2022-03-10,16584,2021,518925,0.0,0,0,0,0,0.2949599921703338,0.2949599921703338
12,0,0,0,90,GK,Newcastle United,Brighton,2,1,2022-03-05,16651,2021,517548,0.0,0,0,0,0,0.0,0.0
13,0,0,0,90,GK,Brentford,Newcastle United,0,2,2022-02-26,16637,2021,516006,0.0,0,0,0,0,0.1258862763643264,0.1258862763643264
14,0,0,0,90,GK,West Ham,Newcastle United,1,1,2022-02-19,16634,2021,513949,0.0,0,0,0,0,0.0,0.0
15,0,0,0,90,GK,Newcastle United,Aston Villa,1,0,2022-02-13,16622,2021,513329,0.0,0,0,0,0,0.0,0.0
16,0,0,0,90,GK,Newcastle United,Everton,3,1,2022-02-08,16612,2021,512062,0.0,0,0,0,0,0.0,0.0
17,0,0,0,90,GK,Leeds,Newcastle United,0,1,2022-01-22,16601,2021,509713,0.0,0,0,0,0,0.0648689568042755,0.0648689568042755
18,0,0,0,90,GK,Newcastle United,Watford,1,1,2022-01-15,16591,2021,508082,0.0,0,0,0,0,0.0812229886651039,0.0812229886651039
19,0,0,0,90,GK,Newcastle United,Manchester United,1,1,2021-12-27,16561,2021,505202,0.0,0,0,0,0,0.0,0.0
20,0,0,0,90,GK,Newcastle United,Manchester City,0,4,2021-12-19,16550,2021,504050,0.0,0,0,0,0,0.0,0.0
21,0,0,0,90,GK,Liverpool,Newcastle United,3,1,2021-12-16,16544,2021,503370,0.0,0,0,0,0,0.0214687548577785,0.0214687548577785
22,0,0,0,90,GK,Leicester,Newcastle United,4,0,2021-12-12,16532,2021,502259,0.0,0,0,0,0,0.1386032104492187,0.1386032104492187
23,0,0,0,90,GK,Newcastle United,Burnley,1,0,2021-12-04,16520,2021,499942,0.0,0,0,0,0,0.1270794719457626,0.1270794719457626
24,0,0,0,90,GK,Newcastle United,Norwich,1,1,2021-11-30,16513,2021,498640,0.0,0,0,0,0,0.0,0.0
25,0,0,0,90,GK,Arsenal,Newcastle United,2,0,2021-11-27,16496,2021,497084,0.0,0,0,0,0,0.0296503715217113,0.0296503715217113
