,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
1,0,2,0.1008865535259246,90,AMC,Leeds,Brighton,1,1,2022-05-15,16743,2021,536103,0.0,0,0,0,0.1008865535259246,0.1915481388568878,0.1445049494504928
2,1,3,0.6263943314552307,90,AMC,Brighton,Manchester United,4,0,2022-05-07,16733,2021,534181,1.0794025659561155,0,4,1,0.6263943314552307,1.812067031860352,0.160292312502861
3,0,1,0.0400452427566051,1,Sub,Wolverhampton Wanderers,Brighton,0,3,2022-04-30,16716,2021,530497,0.0803949907422065,0,1,0,0.0400452427566051,0.0400452427566051,0.0
4,0,0,0.0,23,Sub,Brighton,Southampton,2,2,2022-04-24,16713,2021,529277,0.0,0,0,0,0.0,0.0,0.0
5,0,0,0.0,90,FW,Manchester City,Brighton,3,0,2022-04-20,16670,2021,528116,0.0591474026441574,0,1,0,0.0,0.0,0.0
6,0,0,0.0,90,MC,Tottenham,Brighton,0,1,2022-04-16,16699,2021,526112,0.1526970714330673,0,5,0,0.0,0.0540003702044487,0.0307074580341577
7,0,0,0.0,90,DMR,Arsenal,Brighton,1,2,2022-04-09,16695,2021,524593,0.0200812350958585,0,1,0,0.0,0.3528503477573395,0.3528503477573395
8,0,0,0.0,90,DMC,Brighton,Norwich,0,0,2022-04-02,16685,2021,522724,0.1049035117030143,0,3,0,0.0,0.4247682988643646,0.4091695845127105
9,0,0,0.0,80,DMC,Brighton,Tottenham,0,2,2022-03-16,16528,2021,520728,0.0798091813921928,0,2,0,0.0,0.1229014471173286,0.1229014471173286
10,0,0,0.0,35,Sub,Brighton,Liverpool,0,2,2022-03-12,16658,2021,519096,0.0,0,0,0,0.0,0.018303046002984,0.018303046002984
11,0,1,0.1387033015489578,90,MC,Newcastle United,Brighton,2,1,2022-03-05,16651,2021,517568,0.8121729493141174,1,5,0,0.1387033015489578,0.2356040179729461,0.0969007164239883
12,0,1,0.0393740348517894,60,MC,Manchester United,Brighton,2,0,2022-02-15,16549,2021,513777,0.1922276020050048,0,2,0,0.0393740348517894,0.8090624809265137,0.5774608850479126
13,0,1,0.2935312986373901,65,MC,Watford,Brighton,0,2,2022-02-12,16625,2021,512692,0.163277730345726,0,2,0,0.2935312986373901,0.4385505318641662,0.0691986382007598
14,0,1,0.0944532230496406,64,MC,Leicester,Brighton,1,1,2022-01-23,16602,2021,510223,0.0,0,0,0,0.0944532230496406,0.1687718033790588,0.0743185803294181
15,0,0,0.0,63,MC,Brighton,Chelsea,1,1,2022-01-18,16607,2021,508921,0.2729357182979584,0,1,0,0.0,0.2729357182979584,0.2729357182979584
16,0,2,0.7790698409080505,76,MC,Brighton,Crystal Palace,1,1,2022-01-14,16587,2021,507824,0.2832051217556,0,4,0,0.0179010163992643,0.1470924615859985,0.0256148092448711
17,0,1,0.0198297910392284,1,Sub,Brighton,Brentford,2,0,2021-12-26,16557,2021,505186,0.0,0,0,0,0.0198297910392284,0.0198297910392284,0.0
18,0,0,0.0,56,MC,Southampton,Brighton,1,1,2021-12-04,16521,2021,499906,0.0914104506373405,0,1,0,0.0,0.0914104506373405,0.0
19,0,1,0.1329559534788131,90,MC,Brighton,Leeds,0,0,2021-11-27,16498,2021,497580,0.7710919380187988,0,4,0,0.1329559534788131,1.4118831157684326,0.59827721118927
20,0,1,0.0293242111802101,90,MC,Aston Villa,Brighton,2,0,2021-11-20,16486,2021,495695,0.1194289773702621,0,2,0,0.0293242111802101,0.1487531960010528,0.1024118289351463
21,0,0,0.0,11,Sub,Liverpool,Brighton,2,2,2021-10-30,16469,2021,492292,0.0554226636886596,0,1,0,0.0,0.0,0.0
22,0,1,0.0817169621586799,74,MC,Brighton,Manchester City,1,4,2021-10-23,16458,2021,490211,0.0778571665287017,0,1,0,0.0817169621586799,0.1846435815095901,0.1029266193509101
23,0,2,0.1341931223869323,90,MC,Norwich,Brighton,0,0,2021-10-16,16453,2021,488175,0.058288101106882,0,2,0,0.1341931223869323,0.3585149645805359,0.2243218272924423
24,0,1,0.0634460300207138,85,MC,Brighton,Arsenal,0,0,2021-10-02,16436,2021,486696,0.1880809366703033,0,3,0,0.0634460300207138,0.2872657775878906,0.1043264642357826
25,0,0,0.0,90,MC,Crystal Palace,Brighton,1,1,2021-09-27,16435,2021,485997,0.1296977996826172,0,2,0,0.0,0.0891196206212043,0.0
26,0,1,0.1392446011304855,90,DMR,Brighton,Everton,0,2,2021-08-28,16400,2021,478915,0.1899019479751587,0,3,0,0.1392446011304855,0.1460444033145904,0.1460444033145904
27,0,0,0.0,90,DMR,Brighton,Watford,2,0,2021-08-21,16391,2021,477233,0.1624324023723602,1,4,0,0.0,0.6158493757247925,0.5871602296829224
