,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
1,0,3,0.5559406280517578,90,FWR,Leeds,Brighton,1,1,2022-05-15,16743,2021,536088,0.3302954137325287,0,4,0,0.5559406280517578,0.8492009043693542,0.0672427713871002
2,0,1,0.0571389682590961,83,AMR,Leeds,Chelsea,0,3,2022-05-11,16703,2021,534749,0.0,0,0,0,0.0571389682590961,0.0571389682590961,0.0
3,0,0,0.0,64,AMR,Arsenal,Leeds,2,1,2022-05-08,16735,2021,533473,0.0,0,0,0,0.0,0.0,0.0
4,0,1,0.1015730872750282,90,MR,Leeds,Manchester City,0,4,2022-04-30,16723,2021,530713,0.0633345395326614,0,1,0,0.1015730872750282,0.9630951285362244,0.8997605443000793
5,0,2,0.1032261028885841,90,AMR,Crystal Palace,Leeds,0,0,2022-04-25,16710,2021,529886,0.0,0,0,0,0.1032261028885841,0.259788304567337,0.1855318397283554
6,1,2,0.0850595608353614,85,AMR,Watford,Leeds,0,3,2022-04-09,16686,2021,524652,0.0,0,0,1,0.0850595608353614,0.0850595608353614,0.0
7,0,2,0.16385018825531,90,AMR,Leeds,Southampton,1,1,2022-04-02,16681,2021,522810,0.1097583398222923,0,2,0,0.16385018825531,0.8733320236206055,0.6867437362670898
8,0,3,0.9321682453155518,90,AML,Leeds,Norwich,2,1,2022-03-13,16662,2021,520046,1.2437901496887207,1,4,0,0.9321682453155518,2.19901442527771,0.4121298193931579
9,0,0,0.0,90,AMR,Leeds,Aston Villa,0,3,2022-03-10,16572,2021,518946,0.0,0,0,0,0.0,0.0640249699354171,0.0640249699354171
10,0,4,0.9000962972640991,90,AMR,Leicester,Leeds,1,0,2022-03-05,16648,2021,517272,0.2231870889663696,0,3,0,0.9000962972640991,1.2381823062896729,0.1583735048770904
11,0,3,0.219658613204956,90,MR,Leeds,Tottenham,0,4,2022-02-26,16642,2021,515724,0.2954948246479034,0,6,0,0.219658613204956,0.497274786233902,0.1358574628829956
12,0,1,0.0360356606543064,90,MR,Liverpool,Leeds,6,0,2022-02-23,16559,2021,515361,0.0,0,0,0,0.0360356606543064,0.0360356606543064,0.0
13,1,1,0.6598788499832153,38,Sub,Leeds,Manchester United,2,4,2022-02-20,16630,2021,514690,0.0151618365198373,0,1,1,0.6598788499832153,0.7094526290893555,0.0344119481742382
14,0,0,0.0,48,MR,Everton,Leeds,3,0,2022-02-12,16619,2021,512720,0.0223399978131055,0,1,0,0.0,0.0223399978131055,0.0
15,0,1,0.055355429649353,90,AMR,Aston Villa,Leeds,3,3,2022-02-09,16606,2021,512247,0.0887611210346221,0,2,0,0.055355429649353,0.1463551819324493,0.0486218221485614
16,0,3,0.0816564410924911,90,AMR,Leeds,Newcastle United,0,1,2022-01-22,16601,2021,509707,0.4550797343254089,0,2,0,0.0816564410924911,0.5422338247299194,0.0511039085686206
17,0,3,0.1128547713160514,90,AMR,West Ham,Leeds,2,3,2022-01-16,16594,2021,508460,0.9282002449035645,1,7,0,0.1128547713160514,0.8566514253616333,0.0
18,0,5,0.4718363881111145,90,FWR,Leeds,Burnley,3,1,2022-01-02,16581,2021,505628,0.0721954032778739,0,2,0,0.4718363881111145,0.8821030259132385,0.4102666676044464
19,1,4,0.9113263487815856,90,AMR,Leeds,Arsenal,1,4,2021-12-18,16548,2021,503851,0.0,0,0,0,0.1501575112342834,0.4770908057689667,0.3553583323955536
20,0,0,0.0,90,AMR,Manchester City,Leeds,7,0,2021-12-14,16545,2021,503084,0.0,0,0,0,0.0,0.0,0.0
21,1,5,0.9446538090705872,84,FW,Chelsea,Leeds,3,2,2021-12-11,16530,2021,501691,0.0675184205174446,0,1,0,0.1834849566221237,0.0622025877237319,0.0310152471065521
22,0,1,0.0190977081656456,90,FWR,Leeds,Brentford,2,2,2021-12-05,16518,2021,500486,0.6295973062515259,1,4,0,0.0190977081656456,0.4534496963024139,0.0211815740913152
23,1,2,0.7772500514984131,90,MR,Leeds,Crystal Palace,1,0,2021-11-30,16508,2021,498735,0.0343071743845939,0,1,0,0.0160811971873044,0.840057909488678,0.8239767551422119
24,0,1,0.0385425612330436,90,AMR,Brighton,Leeds,0,0,2021-11-27,16498,2021,497595,0.0,0,0,0,0.0385425612330436,0.0126041248440742,0.0126041248440742
25,1,3,0.1344979852437973,90,MR,Leeds,Leicester,1,1,2021-11-07,16482,2021,494619,0.4776575267314911,0,4,1,0.1344979852437973,0.3827837705612182,0.2710282206535339
26,1,5,0.4007765352725982,90,AMR,Norwich,Leeds,1,2,2021-10-31,16472,2021,492833,0.0854157581925392,0,2,1,0.4007765352725982,0.4153734147548675,0.0145968692377209
27,0,3,0.0596444234251976,55,MR,Leeds,Wolverhampton Wanderers,1,1,2021-10-23,16462,2021,489997,0.0822725817561149,0,1,0,0.0596444234251976,0.0787326171994209,0.0190881956368684
28,0,5,0.3270180225372314,90,MR,Leeds,Watford,1,0,2021-10-02,16440,2021,486441,0.0940560027956962,0,1,0,0.3270180225372314,0.4353568255901336,0.1688050478696823
29,1,3,0.1234398558735847,73,MR,Leeds,West Ham,1,2,2021-09-25,16429,2021,484733,0.5321087837219238,0,3,1,0.1234398558735847,0.9180031418800354,0.6693285703659058
30,1,4,0.2949138879776001,70,MR,Newcastle United,Leeds,1,1,2021-09-17,16416,2021,481715,0.2112007886171341,0,3,1,0.2949138879776001,0.6755920052528381,0.1694772988557815
31,0,0,0.0,90,MR,Leeds,Liverpool,0,3,2021-09-12,16414,2021,481180,0.2567606270313263,0,3,0,0.0,0.2437323778867721,0.0
