assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,4,0,0.0,341,0.0,0.0,0.0,0.0,27,0,0,0.3,3.0,2022-08-22,4,12,0,0,0,0,3,0,28886,0,1,2,0.0,1,-6303,1497,7800,44,True,0,0,0,0.0,3,Sub,Manchester United,Liverpool,2,1,18231,2022,543831,0.0,0,0,0,0.0,0.0,0.0
1,0,0,25,1,28.0,341,0.11,0.11,0.0,0.72,169,0,0,5.4,14.4,2022-12-27,90,16,0,0,0,0,17,0,30262,1,0,3,12.0,6,12014,17865,5851,43,True,0,0,0,0.0,90,DR,Manchester United,Nottingham Forest,3,0,18370,2022,565684,0.132421001791954,0,2,0,0.0,0.1552550047636032,0.1552550047636032
2,0,3,29,1,12.3,341,0.05,0.05,0.0,0.67,180,0,0,3.4,19.2,2022-12-31,90,20,0,0,0,0,18,0,38776,1,1,0,2.0,9,8002,9330,1328,43,False,0,0,0,0.0,90,DR,Wolverhampton Wanderers,Manchester United,0,1,18381,2022,566335,0.4593259990215301,0,1,0,0.0,0.6866719722747803,0.6866719722747803
3,0,0,22,1,12.0,341,0.02,0.02,0.0,0.37,189,0,0,2.5,8.6,2023-01-03,68,3,0,0,0,0,19,0,62527,1,0,3,4.0,6,22061,24321,2260,43,True,0,0,0,0.0,71,DR,Manchester United,Bournemouth,3,0,18390,2022,567076,0.0282466001808643,0,1,0,0.0,0.562021017074585,0.5337740182876587
4,0,0,15,0,0.9,341,0.01,0.05,0.04,0.65,196,1,0,2.0,14.6,2023-01-14,90,13,0,0,0,0,20,0,96201,1,1,2,4.0,2,30720,41093,10373,43,True,0,0,1,0.0196307990700006,90,DR,Manchester United,Manchester City,2,1,18397,2022,568654,0.0,0,0,0,0.0196307990700006,0.3709439933300018,0.3513129949569702
5,0,0,17,0,22.6,341,0.1,0.1,0.0,0.55,63,1,0,4.7,22.6,2023-01-18,90,7,0,0,0,0,20,0,96201,1,1,1,2.0,2,30720,41093,10373,43,False,0,0,0,0.0,90,DR,Crystal Palace,Manchester United,1,1,18270,2022,569801,0.0219819992780685,0,1,0,0.0,0.085256703197956,0.0632746964693069
6,0,0,9,0,13.0,341,0.0,0.0,0.0,2.93,201,3,0,3.8,21.2,2023-01-22,90,1,0,0,0,0,21,0,112949,1,2,3,4.0,1,17292,25389,8097,43,False,0,0,0,0.0,90,DR,Arsenal,Manchester United,3,2,18402,2022,570735,0.0312548987567424,0,1,0,0.0,0.0930998027324676,0.0618449002504348
7,0,0,17,0,4.4,341,0.03,0.03,0.0,1.17,216,1,0,1.8,11.2,2023-02-04,86,7,0,0,0,0,22,0,172521,1,1,2,2.0,2,57701,71536,13835,43,True,0,0,0,0.0,89,DR,Manchester United,Crystal Palace,2,1,18417,2022,573278,0.0,0,0,0,0.0,0.0691526979207992,0.0691526979207992
8,0,0,4,0,0.3,341,0.0,0.0,0.0,0.39,225,0,0,0.4,4.0,2023-02-12,17,11,0,0,0,0,23,0,135682,0,2,0,0.0,1,-36114,2452,38566,43,False,0,0,0,0.0,14,Sub,Leeds,Manchester United,0,2,18426,2022,575423,0.0,0,0,0,0.0,0.3110310137271881,0.3110310137271881
9,0,0,7,0,12.0,341,0.18,0.18,0.0,0.25,236,0,0,1.8,6.4,2023-02-19,21,10,0,0,0,0,24,0,116518,0,0,3,0.0,1,-20034,1662,21696,43,True,0,0,0,0.0,18,Sub,Manchester United,Leicester,3,0,18437,2022,576947,0.1434379965066909,0,1,0,0.0,0.6405100226402283,0.6405100226402283
10,0,0,23,1,0.9,341,0.01,0.04,0.03,1.14,267,0,0,2.7,20.2,2023-03-12,90,17,0,0,0,0,27,0,75946,1,0,0,6.0,6,-7189,1819,9008,43,True,0,0,1,0.0269565004855394,90,DR,Manchester United,Southampton,0,0,18468,2022,581777,0.0,0,0,0,0.0269565004855394,0.2402479946613311,0.2402479946613311
11,0,0,24,1,28.3,341,0.18,0.93,0.75,1.02,297,0,0,8.8,25.8,2023-04-08,90,8,0,0,0,0,30,0,68139,1,0,2,34.0,6,-3706,1144,4850,43,True,0,0,3,0.6722869873046875,90,DR,Manchester United,Everton,2,0,18498,2022,586376,0.1209240034222602,0,2,0,0.6722869873046875,0.6335610151290894,0.5208439826965332
12,0,0,26,1,19.2,341,0.06,0.12,0.06,0.68,306,0,0,5.7,22.4,2023-04-16,90,16,0,0,0,0,31,0,77803,1,2,0,15.0,6,8919,10711,1792,43,False,0,0,1,0.1056699976325035,90,DR,Nottingham Forest,Manchester United,0,2,18507,2022,589299,0.0438979007303714,0,1,0,0.1056699976325035,0.6674579977989197,0.5178899765014648
13,0,0,6,0,1.2,341,0.0,0.07,0.07,1.54,325,1,0,3.2,10.2,2023-04-27,70,18,0,0,0,0,33,0,92218,1,2,2,21.0,1,14373,18291,3918,43,False,1,0,1,0.0294000431895256,73,DR,Tottenham,Manchester United,2,2,18525,2022,591907,0.0,0,0,0,0.0294000431895256,0.1206905022263526,0.091290459036827
14,0,0,12,0,1.9,341,0.02,0.09,0.07,2.29,274,1,0,2.7,18.4,2023-05-04,90,5,0,0,0,0,34,0,164399,1,0,1,7.0,2,58174,62781,4607,43,False,0,0,1,0.0974944159388542,90,DR,Brighton,Manchester United,1,0,18475,2022,594348,0.0,0,0,0,0.0974944159388542,0.1815666705369949,0.0840722545981407
15,0,0,10,0,34.6,341,0.06,0.06,0.0,1.29,349,1,0,5.7,18.6,2023-05-07,86,19,0,0,0,0,35,0,148268,1,0,1,4.0,1,-3106,7514,10620,43,False,1,0,0,0.0,88,DR,West Ham,Manchester United,1,0,18550,2022,595581,0.0726794376969337,0,3,0,0.0,0.2160300314426422,0.1713999807834625
16,0,0,24,1,12.9,341,0.03,0.03,0.0,0.39,359,0,0,3.1,14.2,2023-05-13,90,20,0,0,0,0,36,0,150353,1,0,2,4.0,6,1706,8933,7227,43,True,0,0,0,0.0,90,DR,Manchester United,Wolverhampton Wanderers,2,0,18560,2022,596423,0.0249369796365499,0,1,0,0.0,1.2802468538284302,1.255309820175171
17,0,0,21,1,14.5,341,0.04,0.11,0.07,1.19,361,0,0,4.6,14.6,2023-05-20,90,3,0,0,0,0,37,0,185904,1,1,0,17.0,6,33769,39403,5634,43,False,0,0,1,0.0957996249198913,90,DR,Bournemouth,Manchester United,0,1,18562,2022,598100,0.074367843568325,0,1,0,0.0957996249198913,0.2252321690320968,0.0550647042691707
18,0,0,13,0,2.9,341,0.01,0.11,0.1,1.93,319,1,0,2.9,20.8,2023-05-25,90,6,0,0,0,0,37,0,185904,1,1,4,5.0,2,33769,39403,5634,43,True,0,0,1,0.1240784302353859,90,DR,Manchester United,Chelsea,4,1,18520,2022,599710,0.0,0,0,0,0.1240784302353859,1.216355800628662,1.0922774076461792
