,assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,13,0,0.4,249,0.0,0.0,0.0,2.96,11,4,0,1.5,14.4,2022-08-13,90,1,0,0,0,0,2,0,29893,1,2,4,0.0,0,-726,2019,2745,45,False,0,0,0,0.0,90,DC,Arsenal,Leicester,4,2,18217,2022,540662,0.0,0,0,0,0.0,0.063248798251152,0.063248798251152
1,0,0,14,0,1.3,249,0.02,0.02,0.0,0.92,26,2,0,1.9,18.0,2022-08-20,90,17,0,0,0,0,3,0,29845,1,2,1,0.0,1,-2081,1845,3926,45,True,0,0,0,0.0,90,DC,Leicester,Southampton,1,2,18226,2022,542371,0.0,0,0,0,0.0,0.0213753003627061,0.0213753003627061
2,0,0,17,0,1.0,249,0.01,0.01,0.0,1.75,35,2,0,1.6,12.8,2022-08-27,90,6,0,0,0,0,4,0,28748,1,1,2,2.0,1,-2483,1088,3571,45,False,0,0,0,0.0,90,DC,Chelsea,Leicester,2,1,18235,2022,544508,0.0,0,0,0,0.0,0.7697979807853699,0.7697979807853699
3,0,0,16,0,0.6,249,0.01,0.01,0.0,1.55,46,1,0,2.7,26.4,2022-09-01,90,14,0,0,0,0,5,0,28039,1,1,0,0.0,2,-1791,789,2580,44,True,0,0,0,0.0,90,DC,Leicester,Manchester United,0,1,18251,2022,546673,0.0,0,0,0,0.0,0.295197993516922,0.295197993516922
4,0,0,16,0,0.4,249,0.01,0.01,0.0,2.76,53,5,0,2.2,21.4,2022-09-04,90,5,0,0,0,0,6,0,28165,1,2,5,0.0,0,-750,1475,2225,44,False,0,0,0,0.0,90,DC,Brighton,Leicester,5,2,18259,2022,547892,0.0,0,0,0,0.0,0.0773214995861053,0.0773214995861053
5,0,0,16,0,3.1,249,0.02,0.02,0.0,2.19,79,6,0,2.7,24.0,2022-09-17,90,18,0,0,0,0,8,0,27598,1,2,6,0.0,-1,-591,531,1122,44,False,0,0,0,0.0,90,DC,Tottenham,Leicester,6,2,18278,2022,550905,0.0,0,0,0,0.0,0.2208590060472488,0.2208590060472488
6,0,0,22,1,10.7,249,0.02,0.02,0.0,1.16,86,0,0,2.9,18.2,2022-10-03,90,16,0,0,0,0,9,0,27618,1,0,4,0.0,6,-484,1482,1966,44,True,0,0,0,0.0,90,DC,Leicester,Nottingham Forest,4,0,18287,2022,553602,0.0927421972155571,0,1,0,0.0,0.5540840029716492,0.4613420069217682
7,0,0,15,0,1.5,249,0.01,0.18,0.17,1.14,92,2,0,6.3,28.4,2022-10-08,90,3,0,0,0,0,10,0,30791,1,1,2,33.0,1,2549,3862,1313,44,False,0,0,1,0.0843219012022018,90,DC,Bournemouth,Leicester,2,1,18293,2022,554074,0.0,0,0,0,0.0843219012022018,0.6437879800796509,0.6437879800796509
8,0,0,3,0,0.0,249,0.0,0.0,0.0,0.0,266,0,0,0.1,1.4,2023-03-11,1,6,0,0,0,0,27,0,17057,0,3,1,0.0,1,-101,22,123,44,True,0,0,0,0.0,1,Sub,Leicester,Chelsea,1,3,18467,2022,581301,0.0,0,0,0,0.0,0.0,0.0
9,0,0,7,0,0.3,249,0.0,0.0,0.0,2.04,358,3,0,1.5,15.0,2023-05-15,88,12,0,0,0,0,36,0,16931,1,3,0,0.0,1,27,60,33,44,True,0,0,0,0.0,90,DC,Leicester,Liverpool,0,3,18559,2022,597563,0.0,0,0,0,0.0,0.0,0.0
10,0,0,25,1,0.0,249,0.0,0.0,0.0,1.21,366,0,0,3.0,29.8,2023-05-22,62,15,0,0,0,0,37,0,17087,1,0,0,0.0,6,101,146,45,44,False,0,0,0,0.0,66,DC,Newcastle United,Leicester,0,0,18567,2022,599387,0.0,0,0,0,0.0,0.0,0.0
