assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,16,1,0.7,507,0.0,0.26,0.26,1.9,18,0,0,5.2,19.2,2022-08-14,78,19,0,0,0,0,2,0,13526,1,0,1,32.0,6,-1228,498,1726,45,True,0,0,3,0.4707889854907989,82,DC,Nottingham Forest,West Ham,1,0,18219,2022,541254,0.0,0,0,0,0.4707889854907989,0.1272210031747818,0.1272210031747818
1,0,0,5,0,0.3,507,0.01,0.01,0.0,2.42,278,2,0,0.2,1.2,2023-03-17,90,15,0,0,0,0,28,0,4736,1,2,1,0.0,1,41,57,16,43,True,0,0,0,0.0,90,DC,Nottingham Forest,Newcastle United,1,2,18479,2022,582672,0.0,0,0,0,0.0,0.0,0.0
2,0,0,8,0,10.3,507,0.01,0.01,0.0,0.47,289,1,0,2.2,9.4,2023-04-01,90,20,0,0,0,0,29,0,4857,1,1,1,2.0,2,80,125,45,43,True,0,0,0,0.0,90,DC,Nottingham Forest,Wolverhampton Wanderers,1,1,18490,2022,584676,0.0697230026125907,0,1,0,0.0,0.2354010045528412,0.2354010045528412
3,0,0,9,0,0.3,507,0.01,0.01,0.0,1.94,65,2,0,1.4,14.0,2023-04-04,90,11,0,0,0,0,29,0,4857,1,1,2,0.0,1,80,125,45,43,False,0,0,0,0.0,90,DC,Leeds,Nottingham Forest,2,1,18271,2022,586050,0.0,0,0,0,0.0,0.082006499171257,0.082006499171257
4,0,0,8,0,0.3,507,0.01,0.01,0.0,1.01,291,2,0,1.0,9.4,2023-04-08,90,2,0,0,0,0,30,0,5122,1,0,2,0.0,1,249,302,53,43,False,0,0,0,0.0,90,DC,Aston Villa,Nottingham Forest,2,0,18492,2022,586762,0.0,0,0,0,0.0,0.0545420013368129,0.0545420013368129
5,0,0,8,0,0.2,507,0.01,0.03,0.02,3.49,306,2,0,1.0,9.0,2023-04-16,90,14,0,0,0,0,31,0,4879,1,2,0,1.0,1,-244,11,255,43,True,0,0,1,0.0089461402967572,90,DC,Nottingham Forest,Manchester United,0,2,18507,2022,589285,0.0,0,0,0,0.0089461402967572,0.0,0.0
6,0,0,11,0,0.0,507,0.01,0.01,0.0,2.87,318,3,0,2.6,26.4,2023-04-22,90,12,0,0,0,0,32,0,4944,1,2,3,0.0,1,33,81,48,43,False,0,0,0,0.0,90,DC,Liverpool,Nottingham Forest,3,2,18519,2022,590125,0.0,0,0,0,0.0,0.0891202837228775,0.0891202837228775
7,0,0,3,0,0.0,507,0.0,0.0,0.0,0.02,324,0,0,0.1,0.6,2023-04-26,13,5,0,0,0,0,33,0,5288,1,1,3,0.0,1,335,384,49,43,True,0,0,0,0.0,13,DC,Nottingham Forest,Brighton,3,1,18524,2022,591591,0.0,0,0,0,0.0,0.0,0.0
8,0,0,14,0,0.5,507,0.03,0.08,0.05,1.63,333,2,0,5.0,32.8,2023-04-29,90,4,0,0,0,0,34,0,5072,1,1,2,17.0,1,-215,52,267,43,False,0,0,1,0.0770172774791717,90,DC,Brentford,Nottingham Forest,2,1,18534,2022,592404,0.0,0,0,0,0.0770172774791717,0.0,0.0
9,0,0,10,0,0.6,507,0.02,0.02,0.0,3.23,347,3,0,1.3,12.6,2023-05-08,90,17,0,0,0,0,35,0,5221,1,3,4,0.0,1,101,226,125,43,True,0,0,0,0.0,90,DC,Nottingham Forest,Southampton,4,3,18548,2022,595844,0.0,0,0,0,0.0,0.5501623749732971,0.5501623749732971
10,0,0,7,0,0.4,507,0.0,0.33,0.33,1.14,354,2,0,1.9,12.0,2023-05-13,90,6,0,0,0,0,36,0,5724,1,2,2,7.0,1,462,616,154,43,False,0,0,1,0.6968467235565186,90,DC,Chelsea,Nottingham Forest,2,2,18555,2022,596380,0.0,0,0,0,0.6968467235565186,0.0,0.0
11,0,0,18,1,0.9,507,0.04,0.04,0.0,0.64,367,0,0,1.3,10.0,2023-05-20,90,1,0,0,0,0,37,0,5398,1,0,1,2.0,5,-330,87,417,43,True,1,0,0,0.0,90,DC,Nottingham Forest,Arsenal,1,0,18568,2022,598328,0.0,0,0,0,0.0,0.0820205584168434,0.0820205584168434
