assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,2,0,0.9,582,0.01,0.07,0.06,0.84,38,1,0,0.4,0.0,2022-08-28,15,18,0,0,0,0,4,0,1085,0,2,0,4.0,1,-117,217,334,50,True,0,0,1,0.0477172993123531,14,Sub,Nottingham Forest,Tottenham,0,2,18241,2022,545400,0.0,0,0,0,0.0477172993123531,0.0,0.0
1,0,0,10,0,1.0,582,0.02,0.06,0.04,3.32,49,6,0,1.7,8.4,2022-08-31,90,13,0,0,0,0,5,0,1217,1,0,6,8.0,2,-94,136,230,50,False,0,0,1,0.0247524995356798,90,MC,Manchester City,Nottingham Forest,6,0,18246,2022,546332,0.0,0,0,0,0.0247524995356798,0.0686174035072326,0.0686174035072326
2,0,0,10,0,2.3,582,0.01,0.01,0.0,0.51,78,3,0,1.2,9.6,2022-09-16,69,9,0,0,0,0,8,0,1970,1,3,2,0.0,2,8,116,108,50,True,0,0,0,0.0,71,MC,Nottingham Forest,Fulham,2,3,18273,2022,550245,0.0,0,0,0,0.0,0.0,0.0
3,0,0,11,0,15.1,582,0.08,0.08,0.0,0.41,86,1,0,2.4,8.4,2022-10-03,45,10,0,0,0,0,9,0,1979,0,0,4,0.0,1,-76,122,198,50,False,0,0,0,0.0,43,Sub,Leicester,Nottingham Forest,4,0,18287,2022,553627,0.0565638989210128,0,1,0,0.0,0.3637419939041137,0.3637419939041137
4,0,0,10,0,2.6,582,0.01,0.01,0.0,0.69,99,1,0,2.1,18.2,2022-10-10,90,2,0,0,0,0,10,0,1982,1,1,1,0.0,2,-105,86,191,50,True,0,0,0,0.0,90,MC,Nottingham Forest,Aston Villa,1,1,18300,2022,555420,0.0,0,0,0,0.0,0.0519734993577003,0.0519734993577003
5,0,0,12,0,11.8,582,0.01,0.01,0.0,1.32,110,1,0,2.2,10.6,2022-10-15,83,20,0,0,0,0,11,0,2023,1,0,1,0.0,2,-46,69,115,50,False,0,0,0,0.0,85,MC,Wolverhampton Wanderers,Nottingham Forest,1,0,18311,2022,555951,0.0570128001272678,0,1,0,0.0,0.0654337033629417,0.0084209395572543
6,0,0,6,1,1.8,582,0.01,0.01,0.0,1.66,114,0,0,0.6,4.4,2022-10-18,90,5,0,0,0,0,12,0,2113,1,0,0,0.0,2,15,115,100,50,False,1,0,0,0.0,90,MC,Brighton,Nottingham Forest,0,0,18315,2022,557327,0.0,0,0,0,0.0,0.1068900004029274,0.1068900004029274
7,0,0,9,1,0.6,582,0.01,0.01,0.0,1.66,126,0,0,1.3,12.0,2022-10-22,90,12,0,0,0,0,13,0,2122,1,0,1,0.0,2,-38,91,129,50,True,1,0,0,0.0,90,MC,Nottingham Forest,Liverpool,1,0,18327,2022,557960,0.0,0,0,0,0.0,0.5581650137901306,0.5581650137901306
8,0,0,8,0,1.3,582,0.01,0.05,0.04,2.3,131,5,0,2.6,17.2,2022-10-30,90,1,0,0,0,0,14,0,2105,1,0,5,7.0,2,-72,81,153,49,False,0,0,1,0.0218601003289222,90,MC,Arsenal,Nottingham Forest,5,0,18332,2022,560768,0.0,0,0,0,0.0218601003289222,0.0218601003289222,0.0
9,0,0,11,0,12.7,582,0.05,0.05,0.0,1.38,146,2,0,2.3,8.6,2022-11-05,78,4,0,0,0,0,15,0,2142,1,2,2,2.0,2,4,111,107,49,True,0,0,0,0.0,84,MC,Nottingham Forest,Brentford,2,2,18347,2022,561916,0.0357180014252662,0,1,0,0.0,0.1246490031480789,0.1246490031480789
10,0,0,8,1,0.8,582,0.0,0.0,0.0,1.23,157,0,0,1.2,11.4,2022-11-12,90,7,0,0,0,0,16,0,2140,1,0,1,0.0,3,-27,98,125,49,True,0,0,0,0.0,90,MC,Nottingham Forest,Crystal Palace,1,0,18358,2022,564508,0.0,0,0,0,0.0,0.1489190012216568,0.1489190012216568
11,0,0,16,0,22.4,582,0.02,0.02,0.0,2.47,169,3,0,4.3,20.2,2022-12-27,90,14,0,0,0,0,17,0,2240,1,0,3,0.0,2,36,223,187,49,False,0,0,0,0.0,90,MC,Manchester United,Nottingham Forest,3,0,18370,2022,565705,0.038256499916315,0,2,0,0.0,0.1475660055875778,0.1378650069236755
12,0,0,9,0,11.0,582,0.03,0.03,0.0,0.94,177,1,0,2.5,13.6,2023-01-01,90,6,0,0,0,0,18,0,2245,1,1,1,0.0,2,-17,53,70,49,True,0,0,0,0.0,90,MC,Nottingham Forest,Chelsea,1,1,18378,2022,566783,0.0655329003930091,0,1,0,0.0,0.3221690058708191,0.2566359937191009
13,0,0,2,1,0.6,582,0.0,0.0,0.0,0.39,190,0,0,0.9,8.6,2023-01-04,90,17,0,0,0,0,19,0,2260,1,1,0,0.0,2,-1,83,84,49,False,1,0,0,0.0,90,MC,Southampton,Nottingham Forest,0,1,18391,2022,567373,0.0,0,0,0,0.0,0.0505315996706485,0.0505315996706485
14,0,0,13,1,25.8,582,0.07,0.15,0.08,1.02,198,0,0,4.6,15.8,2023-01-14,90,10,0,0,0,0,20,0,2238,1,0,2,4.0,3,-56,47,103,49,True,0,0,1,0.0547233000397682,90,MC,Nottingham Forest,Leicester,2,0,18399,2022,568781,0.1100080013275146,0,2,0,0.0547233000397682,0.5951099991798401,0.4520750045776367
15,0,0,20,0,8.1,582,0.12,0.2,0.08,1.36,202,1,0,2.5,11.0,2023-01-21,90,3,0,0,0,0,21,0,2401,1,1,1,6.0,2,133,206,73,49,False,0,0,2,0.0523951984941959,90,MC,Bournemouth,Nottingham Forest,1,1,18403,2022,570251,0.0,0,0,0,0.0523951984941959,0.0463565997779369,0.0463565997779369
16,0,0,9,1,12.3,582,0.02,0.02,0.0,0.79,218,0,0,2.9,16.2,2023-02-05,90,11,0,0,0,0,22,0,2397,1,0,1,0.0,3,-45,145,190,49,True,0,0,0,0.0,90,MC,Nottingham Forest,Leeds,1,0,18419,2022,573833,0.0268705002963542,0,1,0,0.0,0.0268705002963542,0.0
17,0,0,9,0,1.3,582,0.01,0.01,0.0,1.62,224,2,0,0.4,2.4,2023-02-11,90,9,0,0,0,0,23,0,2639,1,0,2,0.0,2,190,312,122,49,False,0,0,0,0.0,90,DMC,Fulham,Nottingham Forest,2,0,18425,2022,574892,0.0,0,0,0,0.0,0.1116430014371872,0.1116430014371872
18,0,0,7,0,0.5,582,0.0,0.0,0.0,2.54,238,1,0,0.5,4.0,2023-02-18,90,13,0,0,0,0,24,0,2475,1,1,1,0.0,2,-176,62,238,49,True,0,0,0,0.0,90,MC,Nottingham Forest,Manchester City,1,1,18439,2022,576512,0.0,0,0,0,0.0,0.914002001285553,0.914002001285553
19,0,0,13,0,3.7,582,0.02,0.02,0.0,2.73,250,4,0,1.7,11.0,2023-02-25,90,19,0,0,0,0,25,0,2630,1,0,4,2.0,2,61,171,110,49,False,0,0,0,0.0,90,MC,West Ham,Nottingham Forest,4,0,18451,2022,577907,0.0,0,0,0,0.0,0.1110559999942779,0.1110559999942779
20,0,0,18,0,12.8,582,0.02,0.02,0.0,1.7,258,2,0,2.6,13.6,2023-03-05,69,8,0,0,0,0,26,0,2553,1,2,2,0.0,2,-25,78,103,49,True,0,0,0,0.0,72,MC,Nottingham Forest,Everton,2,2,18459,2022,580099,0.0228144004940986,0,1,0,0.0,0.077268399298191,0.0544539988040924
21,0,0,9,0,2.8,582,0.01,0.01,0.0,1.71,269,3,0,0.6,1.6,2023-03-11,66,18,0,0,0,0,27,0,2481,1,1,3,2.0,2,-84,31,115,49,False,0,0,0,0.0,69,MC,Tottenham,Nottingham Forest,3,1,18470,2022,581247,0.0,0,0,0,0.0,0.0,0.0
22,0,0,3,0,0.3,582,0.0,0.0,0.0,1.34,278,1,0,0.2,1.2,2023-03-17,32,15,0,0,0,0,28,0,2992,0,2,1,0.0,1,419,495,76,49,True,0,0,0,0.0,29,Sub,Nottingham Forest,Newcastle United,1,2,18479,2022,582681,0.0,0,0,0,0.0,0.0,0.0
23,0,0,6,0,10.3,582,0.01,0.01,0.0,0.47,289,1,0,1.7,6.2,2023-04-01,90,20,0,0,0,0,29,0,2658,1,1,1,0.0,1,-282,71,353,49,True,1,0,0,0.0,90,MC,Nottingham Forest,Wolverhampton Wanderers,1,1,18490,2022,584679,0.0316888988018035,0,1,0,0.0,0.2447019964456558,0.2130129933357238
24,0,0,11,0,10.8,582,0.2,0.25,0.05,1.64,65,2,0,4.0,21.6,2023-04-04,63,11,0,0,0,0,29,0,2658,1,1,2,8.0,2,-282,71,353,49,False,0,0,1,0.0827080979943275,66,MC,Leeds,Nottingham Forest,2,1,18271,2022,586053,0.0422358997166156,0,1,0,0.0827080979943275,0.0469336993992328,0.0469336993992328
25,0,0,6,0,0.5,582,0.0,0.07,0.07,1.08,291,2,0,1.5,5.0,2023-04-08,58,2,0,0,0,0,30,0,2817,0,0,2,9.0,1,134,223,89,49,False,0,0,1,0.0545420013368129,59,Sub,Aston Villa,Nottingham Forest,2,0,18492,2022,586774,0.0,0,0,0,0.0545420013368129,0.0545420013368129,0.0
