,assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,10,1,27.4,107,0.2,0.49,0.29,0.22,14,0,0,8.9,14.2,2022-08-13,74,15,0,0,0,0,2,0,31122,1,0,0,47.0,2,15970,19432,3462,50,True,1,0,3,0.218082994222641,77,DMR,Brighton,Newcastle United,0,0,18213,2022,540677,0.4112820029258728,0,2,0,0.218082994222641,0.5559620261192322,0.0370297990739345
1,0,0,13,1,8.8,107,0.03,0.19,0.16,0.83,30,0,0,3.5,16.0,2022-08-21,84,19,0,0,0,0,3,0,40024,1,2,0,10.0,3,7409,16123,8714,50,False,0,0,2,0.4443770051002502,87,DMR,West Ham,Brighton,0,2,18229,2022,542935,0.0,0,0,0,0.4443770051002502,0.547065019607544,0.1026879996061325
2,0,0,1,1,14.8,107,0.02,0.83,0.81,1.25,34,0,0,7.1,9.6,2022-08-27,69,11,0,0,0,0,4,0,39492,1,0,1,47.0,3,-1436,6294,7730,50,True,0,0,4,0.680275022983551,73,DMR,Brighton,Leeds,1,0,18234,2022,544401,0.0325983017683029,0,1,0,0.680275022983551,0.7842130064964294,0.1039379984140396
3,0,0,10,0,8.6,107,0.11,0.2,0.09,0.68,44,2,0,2.7,8.8,2022-08-30,90,9,0,0,0,0,5,0,42933,1,1,2,10.0,2,2309,9272,6963,50,False,0,0,1,0.0504507012665271,90,DMR,Fulham,Brighton,2,1,18242,2022,545841,0.0,0,0,0,0.0504507012665271,0.0504507012665271,0.0504507012665271
4,1,0,16,0,17.2,107,0.1,0.54,0.44,1.45,53,2,0,9.9,13.0,2022-09-04,90,10,0,0,0,0,6,0,43897,1,2,5,69.0,5,89,6830,6741,50,True,0,0,6,0.628305971622467,90,DMR,Brighton,Leicester,5,2,18259,2022,547878,0.0293148998171091,0,1,0,0.628305971622467,0.7891740202903748,0.2107850015163421
5,1,1,24,0,26.2,107,0.15,0.15,0.0,1.47,87,3,0,6.2,32.2,2022-10-01,90,12,0,0,0,0,9,0,39689,1,3,3,4.0,6,-3112,2597,5709,50,False,0,0,0,0.0,90,DMR,Liverpool,Brighton,3,3,18288,2022,552350,0.7453089952468872,1,2,0,0.0,1.1383600234985352,0.8311449885368347
6,0,0,8,0,15.7,107,0.06,0.1,0.04,0.79,93,1,0,2.9,3.8,2022-10-08,90,18,0,0,0,0,10,0,53388,1,1,0,9.0,2,12117,16835,4718,50,True,0,0,1,0.029696699231863,90,DMR,Brighton,Tottenham,0,1,18294,2022,554373,0.0292313005775213,0,1,0,0.029696699231863,0.1109509989619255,0.0520230010151863
7,0,0,10,0,43.7,107,0.18,0.5,0.32,1.47,102,2,0,12.5,22.0,2022-10-14,90,4,0,0,0,0,11,0,56532,1,0,2,59.0,2,2981,7917,4936,50,False,0,0,3,0.5818319916725159,90,MR,Brentford,Brighton,2,0,18303,2022,555555,0.1038549989461898,0,3,0,0.5818319916725159,0.6801829934120178,0.0648271963000297
8,0,0,11,1,39.9,107,0.13,0.18,0.05,0.13,114,0,0,8.2,15.0,2022-10-18,90,16,0,0,0,0,12,0,59718,1,0,0,27.0,3,2652,6521,3869,50,True,0,0,1,0.0450670011341571,90,AMC,Brighton,Nottingham Forest,0,0,18315,2022,557316,0.0967821031808853,0,3,0,0.0450670011341571,1.0802099704742432,0.9925190210342408
9,1,0,21,0,13.5,107,0.03,0.06,0.03,1.63,125,3,0,5.8,24.6,2022-10-22,90,13,0,0,0,0,13,0,55304,1,1,3,20.0,5,-4239,2764,7003,50,False,0,0,1,0.0506649985909462,90,MR,Manchester City,Brighton,3,1,18326,2022,558250,0.0275017991662025,1,1,0,0.0506649985909462,0.1702360063791275,0.0920692980289459
