assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,6,0,1.6,564,0.02,0.02,0.0,0.0,36,0,0,0.5,3.8,2022-08-27,20,3,0,0,0,0,4,0,722,0,0,9,0.0,1,-65,84,149,45,True,0,0,0,0.0,18,Sub,Liverpool,Bournemouth,9,0,18236,2022,544472,0.0,0,0,0,0.0,0.5863479971885681,0.5863479971885681
1,0,0,25,0,0.4,564,0.0,0.58,0.58,0.14,162,0,1,8.2,38.4,2022-12-26,11,2,0,0,0,0,17,0,1434,0,3,1,43.0,6,106,245,139,44,False,0,1,2,0.8386340141296387,8,Sub,Aston Villa,Liverpool,1,3,18363,2022,565626,0.0,0,0,1,0.8386340141296387,0.8631709814071655,0.0245370008051395
2,0,0,3,0,0.3,564,0.0,0.0,0.0,0.0,174,0,0,0.0,0.0,2022-12-30,4,10,0,0,0,0,18,0,4248,0,1,2,0.0,1,2599,3027,428,44,True,0,0,0,0.0,1,Sub,Liverpool,Leicester,2,1,18375,2022,566271,0.0,0,0,0,0.0,0.0,0.0
3,0,0,6,1,25.8,564,0.23,0.23,0.0,1.59,207,0,0,3.6,8.2,2023-01-21,81,6,0,0,0,0,21,0,3562,1,0,0,2.0,2,-166,382,548,44,True,1,0,0,0.0,86,MC,Liverpool,Chelsea,0,0,18408,2022,569910,0.5776979923248291,0,2,0,0.0,0.1124280020594596,0.0888347029685974
4,0,0,8,0,2.8,564,0.04,0.04,0.0,1.52,220,3,0,1.0,7.0,2023-02-04,76,20,0,0,0,0,22,0,3838,1,0,3,0.0,2,178,794,616,44,False,0,0,0,0.0,81,MC,Wolverhampton Wanderers,Liverpool,3,0,18421,2022,573268,0.0,0,0,0,0.0,0.2949019968509674,0.2949019968509674
5,0,0,13,1,22.6,564,0.08,0.1,0.02,0.28,227,0,0,4.7,17.2,2023-02-13,89,8,0,0,0,0,23,0,4062,1,0,2,7.0,3,157,504,347,44,True,0,0,1,0.0114102000370621,90,MC,Liverpool,Everton,2,0,18428,2022,575862,0.172993004322052,0,2,0,0.0114102000370621,0.3833779990673065,0.2103859931230545
6,0,0,1,0,1.0,564,0.01,0.03,0.02,1.51,237,0,0,0.8,3.2,2023-02-18,58,15,0,0,0,0,24,0,9706,1,2,0,4.0,1,5430,5816,386,44,False,0,0,1,0.0114441998302936,63,MC,Newcastle United,Liverpool,0,2,18438,2022,576622,0.0,0,0,0,0.0114441998302936,0.5847669839859009,0.5733219981193542
7,0,0,5,0,0.3,564,0.0,0.0,0.0,0.0,242,0,0,0.4,4.0,2023-02-25,6,7,0,0,0,0,25,0,35147,0,0,0,0.0,1,22390,24959,2569,44,False,0,0,0,0.0,4,Sub,Crystal Palace,Liverpool,0,0,18443,2022,578132,0.0,0,0,0,0.0,0.0,0.0
8,0,0,6,1,1.9,564,0.04,0.18,0.14,0.93,67,0,0,2.4,3.4,2023-03-01,78,20,0,0,0,0,25,0,35147,1,0,2,19.0,2,22390,24959,2569,44,True,1,0,1,0.089442603290081,83,MC,Liverpool,Wolverhampton Wanderers,2,0,18264,2022,578972,0.0,0,0,0,0.089442603290081,0.1165629997849464,0.0271205995231866
9,0,0,5,0,0.8,564,0.0,0.0,0.0,0.0,256,0,0,0.6,4.8,2023-03-05,12,14,0,0,0,0,26,0,26865,0,0,7,0.0,1,-5317,1416,6733,44,True,0,0,0,0.0,11,Sub,Liverpool,Manchester United,7,0,18457,2022,580376,0.0,0,0,0,0.0,0.1406909972429275,0.1406909972429275
10,0,0,7,0,4.2,564,0.05,0.08,0.03,0.83,261,1,0,0.6,0.2,2023-03-11,87,3,0,0,0,0,27,0,18865,1,0,1,2.0,2,-7968,883,8851,44,False,0,0,1,0.0078678103163838,89,MC,Bournemouth,Liverpool,1,0,18462,2022,580937,0.0,0,0,0,0.0078678103163838,0.395920991897583,0.3880540132522583
