assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty
0,0,5,1,13.1,368,0.02,0.02,0.0,0.84,14,0,0,2.7,5.4,2022-08-13,74,5,0,0,0,0,2,0,656140,1,0,0,8.0,2,-19553,46678,66231,65,False,1,0,0,0.0,77,FWL,Brighton,Newcastle United,0,0,18213,2022,540697,0.0414848998188972,0,1,0,0.0,0.0414848998188972,0.0,3,3
3,2,43,0,50.6,368,0.68,0.91,0.23,2.11,28,3,0,13.5,49.6,2022-08-21,90,13,0,0,0,0,3,0,550959,1,3,3,35.0,13,-125887,33343,159230,64,True,0,0,3,0.2188100069761276,90,FWL,Newcastle United,Manchester City,3,3,18230,2022,543271,1.1276400089263916,2,4,0,0.2188100069761276,1.409209966659546,0.0627605020999908,5,4
0,2,22,0,14.3,368,0.07,0.32,0.25,0.71,40,1,1,11.2,44.8,2022-08-28,90,20,0,0,0,0,4,0,897280,1,1,1,53.0,9,252902,313410,60508,65,False,0,1,5,0.2091190069913864,90,FWL,Wolverhampton Wanderers,Newcastle United,1,1,18240,2022,545102,0.077469602227211,0,1,1,0.2091190069913864,0.5549079775810242,0.2683199942111969,3,2
0,0,5,0,0.1,368,0.0,0.0,0.0,0.02,98,0,0,0.2,1.4,2022-10-08,12,4,0,0,0,0,10,0,516207,0,1,5,0.0,1,-81173,11206,92379,64,True,0,0,0,0.0,10,Sub,Newcastle United,Brentford,5,1,18299,2022,554098,0.0,0,0,0,0.0,0.0,0.0,3,4
0,0,2,0,0.3,368,0.0,0.0,0.0,0.0,140,0,0,0.0,0.0,2022-10-29,4,2,0,0,0,0,14,0,367658,0,0,4,0.0,1,-43065,926,43991,62,True,0,0,0,0.0,1,Sub,Newcastle United,Aston Villa,4,0,18341,2022,560081,0.0,0,0,0,0.0,0.0,0.0,2,4
1,0,9,0,10.5,368,0.0,0.0,0.0,0.6,147,1,0,2.9,18.6,2022-11-06,17,17,0,0,0,0,15,0,380002,0,4,1,0.0,4,9380,21353,11973,62,False,0,0,0,0.0,12,Sub,Southampton,Newcastle United,1,4,18348,2022,562649,0.0191038995981216,1,1,0,0.0,0.0191038995981216,0.0,3,2
0,0,2,0,0.4,368,0.01,0.01,0.0,0.1,168,0,0,0.1,0.4,2022-12-26,7,10,0,0,0,0,17,0,394730,0,3,0,0.0,1,8048,43907,35859,62,False,0,0,0,0.0,4,Sub,Leicester,Newcastle United,0,3,18369,2022,565530,0.0,0,0,0,0.0,0.0,0.0,3,3
0,0,4,0,12.0,368,0.04,0.04,0.0,0.05,176,0,0,1.9,5.0,2022-12-31,26,11,0,0,0,0,18,0,382328,0,0,0,2.0,1,-13314,4580,17894,62,True,0,0,0,0.0,24,Sub,Newcastle United,Leeds,0,0,18377,2022,566393,0.0837031006813049,0,1,0,0.0,0.0837031006813049,0.0,2,4
0,0,5,0,0.0,368,0.0,0.0,0.0,0.13,181,0,0,0.2,2.0,2023-01-03,3,1,0,0,0,0,19,0,372044,0,0,0,0.0,1,-10818,1947,12765,62,False,0,0,0,0.0,1,Sub,Arsenal,Newcastle United,0,0,18382,2022,567040,0.0,0,0,0,0.0,0.0,0.0,3,4
0,0,0,0,1.5,368,0.04,0.09,0.05,0.91,197,0,0,0.6,1.0,2023-01-15,45,9,0,0,0,0,20,0,363299,0,0,1,3.0,1,-9717,4462,14179,62,True,0,0,1,0.0718746036291122,41,Sub,Newcastle United,Fulham,1,0,18398,2022,569299,0.0,0,0,0,0.0718746036291122,0.0718746036291122,0.0,2,4
0,0,4,0,0.8,368,0.01,0.09,0.08,0.1,203,0,0,0.6,0.6,2023-01-21,21,7,0,0,0,0,21,0,359310,0,0,0,5.0,1,-5077,4273,9350,62,False,0,0,1,0.11039499938488,19,Sub,Crystal Palace,Newcastle United,0,0,18404,2022,570346,0.0,0,0,0,0.11039499938488,0.11039499938488,0.0,3,2
0,0,5,0,1.5,368,0.03,0.13,0.1,0.94,217,1,0,1.7,8.0,2023-02-04,68,19,0,0,0,0,22,0,351554,1,1,1,7.0,2,-8808,3916,12724,61,True,0,0,1,0.0588675998151302,71,FWL,Newcastle United,West Ham,1,1,18418,2022,573473,0.0,0,0,0,0.0588675998151302,0.0588675998151302,0.0,2,4
0,0,9,0,27.2,368,0.03,0.09,0.06,1.47,222,1,0,6.4,10.8,2023-02-11,83,3,0,0,0,0,23,0,351607,1,1,1,26.0,2,-1036,4236,5272,61,False,0,0,2,0.058856401592493,86,FWL,Bournemouth,Newcastle United,1,1,18423,2022,575049,0.1026289984583854,0,2,0,0.058856401592493,0.1765370070934295,0.0830598026514053,3,2
0,0,18,0,35.8,368,0.11,0.24,0.13,2.37,237,2,0,8.0,13.6,2023-02-18,90,12,0,0,0,0,24,0,345041,1,2,0,31.0,2,-6801,1421,8222,61,True,0,0,3,0.1669719964265823,90,FWL,Newcastle United,Liverpool,0,2,18438,2022,576609,0.4218100011348724,0,2,0,0.1669719964265823,0.6068850159645081,0.0181025993078947,4,4
0,0,2,0,0.6,368,0.0,0.0,0.0,0.28,257,1,0,0.4,1.2,2023-03-04,28,13,0,0,0,0,26,0,351201,0,0,2,2.0,1,5563,9046,3483,61,False,0,0,0,0.0,26,Sub,Manchester City,Newcastle United,2,0,18458,2022,579200,0.0,0,0,0,0.0,0.0,0.0,3,5
0,0,13,1,53.8,368,0.23,0.3,0.07,0.33,268,0,0,9.1,13.0,2023-03-12,67,20,0,0,0,0,27,0,354312,1,1,2,24.0,3,2271,8022,5751,61,True,0,0,2,0.0781240016222,70,FWL,Newcastle United,Wolverhampton Wanderers,2,1,18469,2022,582154,0.3018639981746673,0,4,0,0.0781240016222,0.2966879904270172,0.0169626995921134,2,4
0,0,3,0,0.8,368,0.01,0.01,0.0,0.17,278,1,0,0.3,0.6,2023-03-17,45,16,0,0,0,0,28,0,408233,1,2,1,2.0,1,37783,42477,4694,61,False,0,0,0,0.0,49,FWL,Nottingham Forest,Newcastle United,1,2,18479,2022,582694,0.0,0,0,0,0.0,0.0,0.0,3,2
1,0,25,1,62.9,368,0.45,0.51,0.06,0.17,288,0,0,12.0,32.0,2023-04-02,67,14,0,0,0,0,29,0,390184,1,0,2,25.0,6,-3679,14479,18158,61,True,0,0,1,0.0323375985026359,69,FWL,Newcastle United,Manchester United,2,0,18489,2022,585612,1.1289299726486206,1,6,0,0.0323375985026359,1.2033400535583496,0.1074019968509674,3,4
1,0,26,0,26.1,368,0.32,0.41,0.09,0.78,70,1,0,7.9,29.2,2023-04-05,63,19,0,0,0,0,29,0,390184,1,5,1,24.0,5,-3679,14479,18158,61,False,0,0,2,0.1074530035257339,67,FWL,West Ham,Newcastle United,1,5,18268,2022,586117,0.7718769907951355,1,2,0,0.1074530035257339,1.0768699645996094,1.010409951210022,3,3
0,0,4,0,1.0,368,0.02,0.04,0.02,0.0,346,0,0,2.0,8.4,2023-05-07,12,1,0,0,0,0,35,0,343790,0,2,0,11.0,1,-4952,112,5064,61,True,0,0,1,0.0191107224673032,6,Sub,Newcastle United,Arsenal,0,2,18547,2022,595449,0.0,0,0,0,0.0191107224673032,0.0191107224673032,0.0,4,4
0,0,2,0,0.5,368,0.01,0.04,0.03,0.18,357,1,0,3.0,6.4,2023-05-13,17,11,0,0,0,0,36,0,350529,0,2,2,23.0,1,6054,7726,1672,61,False,0,0,1,0.0377877280116081,15,Sub,Leeds,Newcastle United,2,2,18558,2022,596084,0.0,0,0,0,0.0377877280116081,0.0377877280116081,0.0,3,2
0,0,4,0,0.3,368,0.02,0.02,0.0,0.09,248,0,0,0.6,1.2,2023-05-18,1,5,0,0,0,0,36,0,350529,0,1,4,4.0,1,6054,7726,1672,61,True,0,0,0,0.0,1,Sub,Newcastle United,Brighton,4,1,18449,2022,597633,0.0,0,0,0,0.0,0.0,0.0,3,4
0,0,6,0,12.3,368,0.07,0.07,0.0,0.07,366,0,0,2.3,6.4,2023-05-22,22,10,0,0,0,0,37,0,350329,0,0,0,4.0,1,-381,3527,3908,61,True,0,0,0,0.0,19,Sub,Newcastle United,Leicester,0,0,18567,2022,599380,0.0297893695533275,0,1,0,0.0,0.1065911129117012,0.0768017470836639,3,4
