assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty
0,0,6,1,25.4,346,0.03,0.03,0.0,0.89,20,0,0,3.2,4.8,2022-08-13,85,20,0,0,0,0,2,0,2252268,1,0,0,2.0,3,110393,161518,51125,45,False,0,0,0,0.0,88,AMC,Wolverhampton Wanderers,Fulham,0,0,18216,2022,540637,0.0430167987942695,0,2,0,0.0,0.0377388000488281,0.0235162004828453,2,2
1,3,26,0,61.7,346,0.18,0.33,0.15,1.8,24,2,0,13.1,35.2,2022-08-20,90,4,0,0,0,0,3,0,2117882,1,2,3,34.0,8,-137623,122958,260581,45,True,0,0,3,0.1808599978685379,90,AMC,Fulham,Brentford,3,2,18225,2022,542404,0.3493489921092987,1,4,0,0.1808599978685379,0.7909420132637024,0.6736819744110107,3,2
0,0,3,0,42.5,346,0.18,0.23,0.05,1.46,31,1,0,4.8,4.0,2022-08-27,78,1,0,0,0,0,4,0,2238724,1,1,2,1.0,2,77051,192531,115480,45,False,0,0,1,0.0271691996604204,80,AMC,Arsenal,Fulham,2,1,18238,2022,544665,0.1962929964065551,0,3,0,0.0271691996604204,0.2184869945049286,0.0905525982379913,2,4
1,1,20,0,19.6,346,0.03,0.06,0.03,1.04,44,1,0,3.1,6.8,2022-08-30,77,5,0,0,0,0,5,0,2288617,1,1,2,5.0,6,34143,150570,116427,45,True,0,0,1,0.0393078997731208,78,AMC,Fulham,Brighton,2,1,18242,2022,545832,0.0137411002069711,0,1,0,0.0393078997731208,0.0,0.0,3,2
0,0,4,0,2.7,346,0.02,0.04,0.02,1.55,59,1,0,0.5,1.6,2022-09-03,60,18,0,0,0,0,6,0,2578118,1,1,2,1.0,2,252368,318082,65714,46,False,0,0,1,0.011230600066483,67,AMC,Tottenham,Fulham,2,1,18255,2022,547175,0.0,0,0,0,0.011230600066483,0.0438588000833988,0.0326282009482383,2,4
0,0,7,0,37.3,346,0.06,0.23,0.17,1.41,78,2,0,6.3,10.4,2022-09-16,82,16,0,0,0,0,8,0,2777342,1,3,2,15.0,1,153678,209801,56123,46,False,1,0,2,0.1541250050067901,84,AMC,Nottingham Forest,Fulham,2,3,18273,2022,550264,0.0372149012982845,0,2,0,0.1541250050067901,0.3745880126953125,0.3564069867134094,2,2
0,0,5,0,16.1,346,0.07,0.22,0.15,3.55,84,4,0,4.6,9.6,2022-10-01,90,15,0,0,0,0,9,0,2732471,1,4,1,20.0,2,-10119,115062,125181,46,True,0,0,1,0.1161350011825561,90,AMC,Fulham,Newcastle United,1,4,18285,2022,552368,0.0717746019363403,0,2,0,0.1161350011825561,0.1517899930477142,0.0,3,2
0,0,20,0,16.2,346,0.02,0.21,0.19,2.61,100,2,1,8.0,33.8,2022-10-09,76,19,0,0,0,0,10,0,2610636,1,1,3,30.0,6,-124287,59079,183366,46,False,1,1,2,0.1433060020208358,80,AMC,West Ham,Fulham,3,1,18301,2022,554760,0.0308669991791248,0,1,1,0.1433060020208358,0.1241199970245361,0.0308669991791248,2,3
1,0,15,0,45.1,346,0.52,0.57,0.05,1.05,103,2,0,7.3,22.4,2022-10-15,86,3,0,0,0,0,11,0,2638355,1,2,2,5.0,5,17827,88058,70231,46,True,0,0,1,0.0200124997645616,89,AMC,Fulham,Bournemouth,2,2,18304,2022,555968,0.2710509896278381,1,3,0,0.0200124997645616,0.2667529881000519,0.133213996887207,2,2
0,0,13,1,63.1,346,0.1,0.19,0.09,1.03,116,0,0,10.7,12.4,2022-10-20,86,2,0,0,0,0,12,0,2605932,1,0,3,31.0,3,54776,93481,38705,46,True,0,0,3,0.0813945978879928,88,AMC,Fulham,Aston Villa,3,0,18316,2022,557741,0.3495129942893982,0,4,0,0.0813945978879928,0.4720709919929504,0.4177860021591186,2,2
2,2,33,0,63.4,346,0.23,0.71,0.48,1.71,124,2,0,13.1,46.2,2022-10-23,90,11,0,0,0,0,13,0,2707665,1,3,2,21.0,10,7773,77161,69388,46,False,0,0,1,0.5066760182380676,90,AMC,Leeds,Fulham,2,3,18325,2022,558834,0.6831070184707642,2,4,0,0.5066760182380676,1.0315200090408323,0.5248429775238037,2,2
0,0,10,1,93.1,346,0.35,0.38,0.03,0.94,136,0,0,11.2,15.8,2022-10-29,75,8,0,0,0,0,14,0,2776769,1,0,0,3.0,3,62296,114531,52235,46,True,0,0,1,0.0146484998986125,77,AMC,Fulham,Everton,0,0,18337,2022,560355,0.3241310119628906,0,7,0,0.0146484998986125,0.2447780072689056,0.0249135997146368,2,2
0,0,18,0,0.2,346,0.0,0.79,0.79,1.18,145,1,1,5.5,37.4,2022-11-05,87,13,0,0,0,0,15,0,2630117,1,1,2,17.0,6,-143347,50298,193645,46,False,1,1,1,0.7611690163612366,90,AMC,Manchester City,Fulham,2,1,18346,2022,561903,0.0,0,0,0,0.0,0.0519757010042667,0.0519757010042667,2,5
0,0,5,0,17.8,346,0.08,0.08,0.0,2.59,153,2,0,2.6,4.6,2022-11-13,90,14,0,0,0,0,16,0,2622877,1,2,1,4.0,2,-17225,71526,88751,46,True,0,0,0,0.0,90,AMC,Fulham,Manchester United,1,2,18354,2022,565337,0.0639040991663932,0,1,0,0.0,0.0158843006938695,0.0158843006938695,3,2
0,0,10,1,88.8,346,0.18,0.71,0.53,0.26,165,0,0,14.3,18.2,2022-12-26,84,7,0,0,0,0,17,0,2653131,1,3,0,36.0,3,20165,547936,527771,46,False,0,0,3,0.6636419892311096,87,AMC,Crystal Palace,Fulham,0,3,18366,2022,565589,0.2873609960079193,0,6,0,0.6636419892311096,0.743677020072937,0.1209020018577575,2,2
1,0,10,0,6.7,346,0.03,0.29,0.26,0.79,173,1,0,1.4,0.0,2022-12-31,90,17,0,0,0,0,18,0,2644030,1,1,2,10.0,5,-11735,51639,63374,46,True,0,0,2,0.1497080028057098,90,AMC,Fulham,Southampton,2,1,18374,2022,566420,0.0,0,0,0,0.1497080028057098,0.1334780007600784,0.0,2,2
0,0,6,0,16.0,346,0.06,0.22,0.16,1.32,188,0,0,3.2,10.0,2023-01-03,58,10,0,0,0,0,19,0,2801760,1,1,0,6.0,1,147290,192174,44884,46,False,0,0,1,0.132324993610382,63,AMC,Leicester,Fulham,0,1,18389,2022,567011,0.0180626008659601,0,1,0,0.132324993610382,0.2450889945030212,0.094702199101448,2,3
