goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,0.0,90,DL,Manchester United,Fulham,2,1,2023-05-28,18580,2022,601079,0.0,0,0,0,0.0,0.0762035325169563,0.0762035325169563
1,0,0,0.0,90,DL,Fulham,Crystal Palace,2,2,2023-05-20,18564,2022,598118,0.0804809853434562,0,1,0,0.0,0.1061551123857498,0.0256741289049386
2,0,0,0.0,90,DL,Southampton,Fulham,0,2,2023-05-13,18561,2022,596473,0.0,0,0,0,0.0,0.5115872621536255,0.5115872621536255
3,0,0,0.0,90,DL,Fulham,Leicester,5,3,2023-05-08,18544,2022,595658,0.0394413359463214,0,1,0,0.0,0.9919533729553224,0.9525120854377748
4,0,0,0.0,90,DL,Liverpool,Fulham,1,0,2023-05-03,18477,2022,593954,0.0,0,0,0,0.0,0.4486142992973327,0.4486142992973327
5,0,0,0.0,90,DL,Fulham,Manchester City,1,2,2023-04-30,18537,2022,593070,0.0,0,0,0,0.0,0.3614159822463989,0.3614159822463989
6,0,0,0.0,90,DL,Aston Villa,Fulham,1,0,2023-04-25,18528,2022,591459,0.0,0,0,0,0.0,0.0,0.0
7,0,0,0.0,90,DL,Fulham,Leeds,2,1,2023-04-22,18517,2022,589830,0.0,0,0,0,0.0,0.0317121185362339,0.0317121185362339
8,0,0,0.0,90,DL,Everton,Fulham,1,3,2023-04-15,18504,2022,588500,0.0,0,0,0,0.0,0.1540510058403015,0.1540510058403015
9,0,1,0.0207560993731021,90,DL,Fulham,West Ham,0,1,2023-04-08,18494,2022,586779,0.0242637004703283,0,1,0,0.0207560993731021,0.1592860072851181,0.114266000688076
10,0,1,0.0229480005800724,90,DL,Bournemouth,Fulham,2,1,2023-04-01,18483,2022,584661,0.0258300993591547,0,1,0,0.0229480005800724,0.422885000705719,0.3741059899330139
11,0,0,0.0,90,DL,Fulham,Arsenal,0,3,2023-03-12,18465,2022,582024,0.0331260003149509,0,1,0,0.0,0.0884205996990203,0.0552946999669075
12,0,0,0.0,90,DL,Brentford,Fulham,3,2,2023-03-06,18454,2022,580719,0.0645736977458,0,1,0,0.0,0.1586299985647201,0.1586299985647201
13,0,0,0.0,90,DL,Fulham,Wolverhampton Wanderers,1,1,2023-02-24,18445,2022,577557,0.0255816001445055,1,1,0,0.0,0.4948500096797943,0.4692690074443817
14,0,0,0.0,90,DL,Brighton,Fulham,0,1,2023-02-18,18434,2022,576341,0.0834688022732734,0,1,0,0.0,0.0834688022732734,0.0
15,0,0,0.0,90,DL,Fulham,Nottingham Forest,2,0,2023-02-11,18425,2022,574874,0.0813148990273475,0,2,0,0.0,0.6563119888305664,0.6563119888305664
16,0,0,0.0,90,DL,Chelsea,Fulham,0,0,2023-02-03,18415,2022,572952,0.0,0,0,0,0.0,0.1008350029587745,0.1008350029587745
17,0,0,0.0,90,DL,Fulham,Tottenham,0,1,2023-01-23,18405,2022,570966,0.0,0,0,0,0.0,0.1054560020565986,0.1054560020565986
18,0,0,0.0,90,DL,Fulham,Chelsea,2,1,2023-01-12,18262,2022,568531,0.0985874980688095,0,2,0,0.0,0.0985874980688095,0.052769299596548
19,0,0,0.0,90,DL,Leicester,Fulham,0,1,2023-01-03,18389,2022,567007,0.132324993610382,0,1,0,0.0,0.3377079963684082,0.2053830027580261
20,0,0,0.0,90,DL,Fulham,Southampton,2,1,2022-12-31,18374,2022,566416,0.0,0,0,0,0.0,0.028770999982953,0.028770999982953
21,0,0,0.0,90,DL,Crystal Palace,Fulham,0,3,2022-12-26,18366,2022,565585,0.0537323988974094,0,1,0,0.0,0.8952500224113464,0.8952500224113464
22,0,0,0.0,90,DL,Fulham,Manchester United,1,2,2022-11-13,18354,2022,565333,0.0158843006938695,0,1,0,0.0,0.0645350962877273,0.0645350962877273
