goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,0.0,90,DC,Everton,Bournemouth,1,0,2023-05-28,18577,2022,600973,0.0,0,0,0,0.0,0.0,0.0
1,0,0,0.0,32,Sub,Everton,Manchester City,0,3,2023-05-14,18557,2022,596936,0.0,0,0,0,0.0,0.0,0.0
2,0,0,0.0,90,DC,Everton,Aston Villa,0,2,2023-02-25,18444,2022,577801,0.0,0,0,0,0.0,0.1132159978151321,0.1132159978151321
3,0,1,0.4508770108222961,90,DC,Everton,Leeds,1,0,2023-02-18,18436,2022,576419,0.0,0,0,0,0.4508770108222961,0.1423899978399276,0.1423899978399276
4,0,0,0.0,90,DC,Liverpool,Everton,2,0,2023-02-13,18428,2022,575873,0.0,0,0,0,0.0,0.2758649885654449,0.2758649885654449
5,0,0,0.0,90,DC,Everton,Arsenal,1,0,2023-02-04,18416,2022,572967,0.0,0,0,0,0.0,0.3493170142173767,0.3493170142173767
6,0,0,0.0,90,DC,West Ham,Everton,2,0,2023-01-21,18411,2022,570163,0.0,0,0,0,0.0,0.0176219996064901,0.0176219996064901
7,0,0,0.0,90,DC,Everton,Southampton,1,2,2023-01-14,18396,2022,568864,0.0,0,0,0,0.0,0.0185020007193088,0.0185020007193088
8,0,0,0.0,90,DC,Everton,Brighton,1,4,2023-01-03,18387,2022,567046,0.0,0,0,0,0.0,0.0695336014032363,0.0695336014032363
9,0,0,0.0,90,DC,Manchester City,Everton,1,1,2022-12-31,18376,2022,566459,0.0,0,0,0,0.0,0.0,0.0
10,0,0,0.0,90,DC,Bournemouth,Everton,3,0,2022-11-12,18352,2022,564581,0.0358318984508514,0,1,0,0.0,0.462907999753952,0.4270760118961334
11,0,0,0.0,90,DC,Everton,Leicester,0,2,2022-11-05,18344,2022,562158,0.0,0,0,0,0.0,0.0564892999827861,0.0564892999827861
12,0,2,0.0486789010465145,90,DC,Fulham,Everton,0,0,2022-10-29,18337,2022,560363,0.0,0,0,0,0.0486789010465145,0.0,0.0
13,0,0,0.0,90,DC,Everton,Crystal Palace,3,0,2022-10-22,18324,2022,558265,0.0,0,0,0,0.0,0.0787167996168136,0.0787167996168136
14,0,0,0.0,90,DC,Newcastle United,Everton,1,0,2022-10-19,18319,2022,557566,0.0,0,0,0,0.0,0.0,0.0
15,0,0,0.0,90,DC,Tottenham,Everton,2,0,2022-10-15,18310,2022,556191,0.11302500218153,0,1,0,0.0,0.11302500218153,0.0
16,0,0,0.0,90,DC,Everton,Manchester United,1,2,2022-10-09,18297,2022,555234,0.0147222997620701,0,1,0,0.0,0.1102069988846778,0.1102069988846778
17,1,1,0.1152720004320144,90,DC,Southampton,Everton,1,2,2022-10-01,18290,2022,552318,0.0,0,0,1,0.1152720004320144,0.0,0.0
18,0,0,0.0,90,DC,Everton,West Ham,1,0,2022-09-18,18277,2022,551382,0.0,0,0,0,0.0,0.14410500228405,0.14410500228405
19,0,0,0.0,90,DC,Everton,Liverpool,0,0,2022-09-03,18252,2022,546848,0.0,0,0,0,0.0,0.0,0.0
