goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,0.0,90,DC,Chelsea,Newcastle United,1,1,2023-05-28,18575,2022,600926,0.0,0,0,0,0.0,0.7408638000488281,0.7408638000488281
1,0,3,0.0496357753872871,90,DC,Newcastle United,Leicester,0,0,2023-05-22,18567,2022,599372,0.0958938598632812,0,2,0,0.0496357753872871,0.3986102938652038,0.3630923330783844
2,0,3,0.4407201111316681,90,DC,Newcastle United,Brighton,4,1,2023-05-18,18449,2022,597625,0.0,0,0,0,0.4407201111316681,0.0,0.0
3,0,4,0.2246165424585342,90,DC,Leeds,Newcastle United,2,2,2023-05-13,18558,2022,596076,0.0,0,0,0,0.2246165424585342,0.1106119528412818,0.0893646478652954
4,0,2,0.4496340751647949,90,DC,Newcastle United,Arsenal,0,2,2023-05-07,18547,2022,595441,0.0,0,0,0,0.4496340751647949,0.5978930592536926,0.5978930592536926
5,0,0,0.0,90,DC,Newcastle United,Southampton,3,1,2023-04-30,18541,2022,592886,0.1282030791044235,0,1,0,0.0,0.7090424299240112,0.5808393955230713
6,0,1,0.0370485931634902,90,DC,Everton,Newcastle United,1,4,2023-04-27,18522,2022,591847,0.0,0,0,0,0.0370485931634902,0.3321455717086792,0.3321455717086792
7,0,1,0.0175137016922235,76,DC,Newcastle United,Tottenham,6,1,2023-04-23,18521,2022,590888,0.6225603222846985,2,2,0,0.0175137016922235,0.7715415358543396,0.1489812135696411
8,0,1,0.1063949987292289,90,DC,Aston Villa,Newcastle United,3,0,2023-04-15,18502,2022,588131,0.0,0,0,0,0.1063949987292289,0.0608767010271549,0.0608767010271549
9,0,1,0.0835620015859603,90,DC,Brentford,Newcastle United,1,2,2023-04-08,18493,2022,586674,0.0499133989214897,0,1,0,0.0835620015859603,0.183909997344017,0.183909997344017
10,0,0,0.0,90,DC,West Ham,Newcastle United,1,5,2023-04-05,18268,2022,586110,0.577580988407135,1,1,0,0.0,0.577580988407135,0.577580988407135
11,0,4,0.2520759999752044,90,DC,Newcastle United,Manchester United,2,0,2023-04-02,18489,2022,585605,0.0,0,0,0,0.2520759999752044,0.2806290090084076,0.128493994474411
12,0,0,0.0,90,DC,Nottingham Forest,Newcastle United,1,2,2023-03-17,18479,2022,582687,0.0,0,0,0,0.0,0.4747140109539032,0.4747140109539032
13,0,1,0.1041069999337196,90,DC,Newcastle United,Wolverhampton Wanderers,2,1,2023-03-12,18469,2022,582147,0.0,0,0,0,0.1041069999337196,0.3654260039329529,0.3654260039329529
14,0,3,0.4604429900646209,90,DC,Newcastle United,Liverpool,0,2,2023-02-18,18438,2022,576602,0.0,0,0,0,0.4604429900646209,0.0181025993078947,0.0181025993078947
15,0,3,0.0886275023221969,90,DC,Bournemouth,Newcastle United,1,1,2023-02-11,18423,2022,575042,0.0,0,0,0,0.0886275023221969,0.1887010037899017,0.1737529933452606
16,0,2,0.4706189930438995,90,DC,Newcastle United,West Ham,1,1,2023-02-04,18418,2022,573466,0.0,0,0,0,0.4706189930438995,0.4286159873008728,0.4286159873008728
17,0,3,0.1565079987049102,90,DC,Crystal Palace,Newcastle United,0,0,2023-01-21,18404,2022,570338,0.0565200001001358,0,1,0,0.1565079987049102,0.2464240044355392,0.1899040043354034
18,0,1,0.0505977012217044,90,DC,Newcastle United,Fulham,1,0,2023-01-15,18398,2022,569291,0.0507603995501995,0,1,0,0.0505977012217044,0.3727099895477295,0.3219499886035919
