goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,0.0,90,MR,Aston Villa,Brighton,2,1,2023-05-28,18573,2022,600868,0.0,0,0,0,0.0,0.0213182959705591,0.0213182959705591
1,0,2,0.1470105201005935,78,AMR,Brighton,Manchester City,1,1,2023-05-24,18515,2022,599592,0.0657587125897407,0,1,0,0.1470105201005935,0.2288486361503601,0.0818381160497665
2,0,3,0.131154328584671,39,Sub,Brighton,Southampton,3,1,2023-05-21,18563,2022,598796,0.0,0,0,0,0.131154328584671,0.4001775085926056,0.2690231800079345
3,0,0,0.0,61,AMR,Newcastle United,Brighton,4,1,2023-05-18,18449,2022,597645,0.0,0,0,0,0.0,0.0332237556576728,0.0332237556576728
4,0,0,0.0,8,Sub,Arsenal,Brighton,0,3,2023-05-14,18552,2022,597311,0.0,0,0,0,0.0,0.1196683570742607,0.1196683570742607
5,0,0,0.0,49,AMR,Brighton,Everton,1,5,2023-05-08,18543,2022,595789,0.0,0,0,0,0.0,0.0,0.0
6,0,2,0.0450993999838829,67,AMR,Brighton,Manchester United,1,0,2023-05-04,18475,2022,594340,0.0,0,0,0,0.0450993999838829,0.1432334929704666,0.1232732087373733
7,0,1,0.0892393887042999,29,Sub,Brighton,Wolverhampton Wanderers,6,0,2023-04-29,18535,2022,592365,0.0,0,0,0,0.0892393887042999,0.2935883104801178,0.2935883104801178
8,1,1,0.5243299007415771,90,AMC,Nottingham Forest,Brighton,3,1,2023-04-26,18524,2022,591612,0.4167653918266296,0,2,1,0.5243299007415771,0.9410952925682068,0.3879885673522949
9,0,0,0.0,4,Sub,Brighton,Brentford,3,3,2023-04-01,18484,2022,584743,0.0,0,0,0,0.0,0.0,0.0
10,0,1,0.1196390017867088,11,Sub,Brighton,West Ham,4,0,2023-03-04,18455,2022,579582,0.0589409992098808,1,2,0,0.1196390017867088,0.1785800009965896,0.1196390017867088
11,0,1,0.0324035994708538,15,Sub,Brighton,Fulham,0,1,2023-02-18,18434,2022,576336,0.0,0,0,0,0.0324035994708538,0.0324035994708538,0.0
12,0,0,0.0,12,Sub,Brighton,Bournemouth,1,0,2023-02-04,18414,2022,573322,0.042663600295782,0,1,0,0.0,0.1442490071058273,0.1015859991312027
