goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,3,0.5732889771461487,77,AMC,Bournemouth,Brighton,0,2,2023-04-04,18266,2022,586011,0.0680133998394012,0,1,0,0.5732889771461487,0.6989319920539856,0.1256430000066757
1,0,0,0.0,16,Sub,Bournemouth,Fulham,2,1,2023-04-01,18483,2022,584656,0.0,0,0,0,0.0,0.0461901985108852,0.0461901985108852
2,0,0,0.0,29,Sub,Aston Villa,Bournemouth,3,0,2023-03-18,18473,2022,583072,0.1885710060596466,0,3,0,0.0,0.1365589946508407,0.0
3,0,1,0.0616062991321086,77,ML,Bournemouth,Manchester City,1,4,2023-02-25,18442,2022,578084,0.1443810015916824,0,4,0,0.0616062991321086,0.0927416980266571,0.0311354007571935
4,0,1,0.0718969032168388,82,AMC,Wolverhampton Wanderers,Bournemouth,0,1,2023-02-18,18441,2022,576374,0.0359699018299579,0,1,0,0.0718969032168388,1.0007699728012085,0.9288740158081056
5,0,1,0.0286873001605272,90,AMC,Bournemouth,Newcastle United,1,1,2023-02-11,18423,2022,575033,0.3656980097293854,0,4,0,0.0286873001605272,0.677079975605011,0.4204150140285492
6,0,0,0.0,64,AMC,Brighton,Bournemouth,1,0,2023-02-04,18414,2022,573332,0.041346400976181,0,1,0,0.0,0.1212640032172203,0.1212640032172203
7,0,1,0.0199520997703075,90,AMC,AC Milan,Sassuolo,2,5,2023-01-29,18779,2022,571940,0.1705639958381652,1,3,0,0.0199520997703075,1.1027400493621826,0.976377010345459
8,0,0,0.0,61,AMC,Monza,Sassuolo,1,1,2023-01-22,18768,2022,570559,0.5045329928398132,1,1,0,0.0,0.0,0.0
9,0,0,0.0,71,AMC,Sassuolo,Lazio,0,2,2023-01-15,18759,2022,569180,0.0402653999626636,0,2,0,0.0,0.1188929975032806,0.1188929975032806
10,0,0,0.0,90,MC,Fiorentina,Sassuolo,2,1,2023-01-07,18743,2022,567654,0.1156629994511604,0,3,0,0.0,0.1360809952020645,0.083975501358509
