goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,1,0.404009997844696,56,Sub,Leicester,Brighton,2,2,2023-01-21,18407,2022,570187,0.0552754998207092,0,1,1,0.404009997844696,0.5635859966278076,0.1595759987831115
1,0,0,0.0,69,AMR,Nottingham Forest,Leicester,2,0,2023-01-14,18399,2022,568797,0.3849959969520569,0,2,0,0.0,0.6387529969215393,0.6387529969215393
2,0,0,0.0,83,Sub,Leicester,Fulham,0,1,2023-01-03,18389,2022,567002,0.1309179961681366,0,3,0,0.0,0.8900359869003296,0.8730149865150452
3,0,0,0.0,10,Sub,Everton,Leicester,0,2,2022-11-05,18344,2022,562185,0.0,0,0,0,0.0,0.0,0.0
4,0,1,0.0379947014153003,10,Sub,Wolverhampton Wanderers,Leicester,0,4,2022-10-23,18331,2022,558897,0.0,0,0,0,0.0379947014153003,0.0,0.0
5,0,0,0.0,4,Sub,Leicester,Nottingham Forest,4,0,2022-10-03,18287,2022,553613,0.0,0,0,0,0.0,0.0,0.0
6,0,0,0.0,40,Sub,Watford,Leicester,1,5,2022-05-15,16738,2021,536079,0.3227840065956116,1,1,0,0.0,0.3227840065956116,0.0
7,0,0,0.0,90,DMR,Tottenham,Leicester,3,1,2022-05-01,16719,2021,531033,0.0,0,0,0,0.0,0.1377329975366592,0.1377329975366592
8,0,1,0.0727981030941009,90,AMR,Arsenal,Leicester,2,0,2022-03-13,16656,2021,520352,0.09894859790802,0,1,0,0.0727981030941009,0.0727981030941009,0.0
9,0,0,0.0,90,FWR,Leicester,Leeds,1,0,2022-03-05,16648,2021,517259,0.115225002169609,0,2,0,0.0,0.1079180017113685,0.0866703987121582
10,0,0,0.0,90,FWR,Burnley,Leicester,0,2,2022-03-01,16588,2021,517088,0.0687069967389106,0,1,0,0.0,0.1285849958658218,0.0598774999380111
11,0,0,0.0,90,FWR,Wolverhampton Wanderers,Leicester,2,1,2022-02-20,16635,2021,514977,0.9245759844779968,1,2,0,0.0,0.9828760027885436,0.949759006500244
12,0,0,0.0,90,AMR,Liverpool,Leicester,2,0,2022-02-10,16614,2021,512301,0.0,0,0,0,0.0,0.0536000989377498,0.0536000989377498
13,0,0,0.0,24,Sub,Leicester,Brighton,1,1,2022-01-23,16602,2021,510215,0.0,0,0,0,0.0,0.0,0.0
14,0,0,0.0,90,DMR,Leicester,Tottenham,2,3,2022-01-19,16540,2021,509161,0.0,0,0,0,0.0,0.3843559920787811,0.3843559920787811
15,0,0,0.0,21,Sub,Leicester,Liverpool,1,0,2021-12-28,16573,2021,505325,0.0,0,0,0,0.0,0.0,0.0
16,0,2,0.3552190065383911,90,DR,Manchester City,Leicester,6,3,2021-12-26,16560,2021,505106,0.027658300474286,0,1,0,0.3552190065383911,0.4326049983501434,0.0773862972855568
17,0,0,0.0,17,Sub,Leicester,Newcastle United,4,0,2021-12-12,16532,2021,502257,0.0,0,0,0,0.0,0.1197889968752861,0.1197889968752861
18,0,0,0.0,13,Sub,Leicester,Watford,4,2,2021-11-28,16502,2021,498053,0.0,0,0,0,0.0,0.0,0.0
19,0,0,0.0,90,DMR,Leicester,Chelsea,0,3,2021-11-20,16488,2021,495373,0.0093456199392676,0,1,0,0.0,0.4755170047283172,0.466170996427536
20,0,0,0.0,8,Sub,Crystal Palace,Leicester,2,2,2021-10-03,16439,2021,487018,0.0,0,0,0,0.0,0.0,0.0
21,0,0,0.0,90,MR,Leicester,Manchester City,0,1,2021-09-11,16409,2021,480378,0.1274729967117309,0,2,0,0.0,0.6101639866828918,0.5214459896087646
22,1,1,0.0595482997596263,90,MR,Norwich,Leicester,1,2,2021-08-28,16398,2021,478877,0.0,0,0,1,0.0595482997596263,0.1729689985513687,0.1134210005402565
23,0,1,0.0247055999934673,82,MR,Leicester,Tottenham,2,4,2021-05-23,14809,2020,473340,0.066722497344017,0,1,0,0.0247055999934673,0.0914281010627746,0.066722497344017
24,0,0,0.0,69,DMR,Chelsea,Leicester,2,1,2021-05-18,14797,2020,472423,0.0,0,0,0,0.0,0.0,0.0
25,0,0,0.0,90,MR,Manchester United,Leicester,1,2,2021-05-11,14788,2020,469914,0.2978760004043579,1,3,0,0.0,0.1761209964752197,0.0814234986901283
26,1,1,0.0827895030379295,90,ML,Leicester,Newcastle United,2,4,2021-05-07,14779,2020,468272,0.1754190027713775,0,5,1,0.0827895030379295,0.2582089900970459,0.0526778995990753
27,0,1,0.0182780995965003,18,Sub,Southampton,Leicester,1,1,2021-04-30,14772,2020,466704,0.5259910225868225,0,1,0,0.0182780995965003,1.0258599519729614,1.0258599519729614
28,0,0,0.0,18,Sub,Leicester,Crystal Palace,2,1,2021-04-26,14759,2020,466539,0.0,0,0,0,0.0,0.052631601691246,0.052631601691246
29,0,0,0.0,26,Sub,Leicester,West Bromwich Albion,3,0,2021-04-22,14750,2020,464866,0.0297197997570037,0,1,0,0.0,0.0297197997570037,0.0
30,0,1,0.0490755997598171,29,Sub,West Ham,Leicester,3,2,2021-04-11,14744,2020,461896,0.1945769935846328,0,3,0,0.0490755997598171,0.2649810016155243,0.0802787989377975
31,0,0,0.0,72,MR,Leicester,Manchester City,0,2,2021-04-03,14730,2020,459858,0.0254615992307662,0,1,0,0.0,0.0254615992307662,0.0
32,0,0,0.0,43,Sub,Leicester,Sheffield United,5,0,2021-03-14,14710,2020,456872,0.072867602109909,1,1,0,0.0,0.6926069855690002,0.6197389960289001
33,0,0,0.0,18,Sub,Brighton,Leicester,1,2,2021-03-06,14696,2020,454925,0.4201630055904388,1,1,0,0.0,0.0,0.0
34,0,2,0.0667625963687896,22,Sub,Burnley,Leicester,1,1,2021-03-03,14716,2020,453780,0.1491940021514892,0,2,0,0.0667625963687896,0.2988260090351105,0.2320629954338073
35,0,1,0.0581785999238491,40,Sub,Leicester,Arsenal,1,3,2021-02-28,14690,2020,452708,0.1123439967632293,0,2,0,0.0581785999238491,0.170523002743721,0.0
36,0,0,0.0,75,AMR,Leicester,Liverpool,3,1,2021-02-13,14670,2020,448828,0.0,0,0,0,0.0,0.3213140070438385,0.3213140070438385
