goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,0.0,16,Sub,Southampton,Fulham,0,2,2023-05-13,18561,2022,596466,0.0253273881971836,0,1,0,0.0,0.0,0.0
1,0,0,0.0,67,MR,Newcastle United,Southampton,3,1,2023-04-30,18541,2022,592903,0.0,0,0,0,0.0,0.0,0.0
2,0,0,0.0,27,Sub,Southampton,Crystal Palace,0,2,2023-04-15,18508,2022,588432,0.0421320013701915,0,1,0,0.0,0.0541982017457485,0.0541982017457485
3,0,0,0.0,19,Sub,Southampton,Manchester City,1,4,2023-04-08,18499,2022,586970,0.3241829872131347,1,1,0,0.0,0.3241829872131347,0.0
4,0,1,0.0421729013323783,3,Sub,Southampton,Aston Villa,0,1,2023-01-21,18410,2022,570216,0.0529481992125511,0,1,0,0.0421729013323783,0.0951211005449295,0.0
5,0,0,0.0,46,AMR,Southampton,Brighton,1,3,2022-12-26,18371,2022,565480,0.0148732997477054,0,1,0,0.0,0.0561369992792606,0.0412636995315551
6,0,0,0.0,14,Sub,Crystal Palace,Southampton,1,0,2022-10-29,18336,2022,560037,0.0,0,0,0,0.0,0.0556172989308834,0.0556172989308834
7,0,1,0.1157919988036155,1,Sub,Bournemouth,Southampton,0,1,2022-10-19,18313,2022,557517,0.0,0,0,0,0.1157919988036155,0.1157919988036155,0.0
8,0,0,0.0,22,Sub,Manchester City,Southampton,4,0,2022-10-08,18298,2022,554146,0.0,0,0,0,0.0,0.0,0.0
9,0,0,0.0,90,AMC,Aston Villa,Southampton,1,0,2022-09-16,18272,2022,550356,0.0,0,0,0,0.0,0.0,0.0
10,0,0,0.0,32,Sub,Wolverhampton Wanderers,Southampton,1,0,2022-09-03,18256,2022,547209,0.0,0,0,0,0.0,0.1484470069408416,0.1484470069408416
11,0,0,0.0,15,Sub,Southampton,Chelsea,2,1,2022-08-30,18244,2022,545959,0.0,0,0,0,0.0,0.0,0.0
12,0,0,0.0,89,DL,Southampton,Manchester United,0,1,2022-08-27,18232,2022,544157,0.0216255001723766,0,1,0,0.0,0.1853519976139068,0.1637260019779205
13,0,0,0.0,90,DL,Leicester,Southampton,1,2,2022-08-20,18226,2022,542386,0.0,0,0,0,0.0,0.0731808990240097,0.0731808990240097
14,0,0,0.0,90,DL,Southampton,Leeds,2,2,2022-08-13,18215,2022,540590,0.0361866988241672,0,2,0,0.0,0.7388749718666077,0.7191500067710876
15,0,1,0.08541289716959,74,DL,Tottenham,Southampton,4,1,2022-08-06,18207,2022,539503,0.0449635982513427,1,1,0,0.08541289716959,0.0449635982513427,0.0
16,0,1,0.0227208007127046,18,Sub,Leicester,Southampton,4,1,2022-05-22,16752,2021,537881,0.0,0,0,0,0.0227208007127046,0.0227208007127046,0.0
17,0,0,0.0,2,Sub,Southampton,Newcastle United,1,2,2022-03-10,16584,2021,518923,0.0,0,0,0,0.0,0.022749999538064,0.022749999538064
18,0,0,0.0,1,Sub,Southampton,Norwich,2,0,2022-02-25,16644,2021,515583,0.0,0,0,0,0.0,0.0,0.0
19,0,0,0.0,1,Sub,Southampton,Everton,2,0,2022-02-19,16633,2021,514272,0.0,0,0,0,0.0,0.0,0.0
20,0,1,0.0183185990899801,18,Sub,Crystal Palace,Southampton,2,2,2021-12-15,16542,2021,503271,0.0213537998497486,0,1,0,0.0183185990899801,0.0213537998497486,0.0
21,0,2,0.0879046991467475,59,ML,Southampton,Leeds,1,0,2021-10-16,16454,2021,488191,0.149397000670433,0,2,0,0.0879046991467475,0.7926279902458191,0.7057520151138306
