goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,0.0,90,MC,Leeds,Tottenham,1,4,2023-05-28,18578,2022,601018,0.019890833646059,0,1,0,0.0,0.4901771545410156,0.4702863097190857
1,0,0,0.0,90,MC,Tottenham,Brentford,1,3,2023-05-20,18569,2022,597815,0.0,0,0,0,0.0,0.7607772946357727,0.7607772946357727
2,0,0,0.0,63,MC,Aston Villa,Tottenham,2,1,2023-05-13,18553,2022,596356,0.0,0,0,0,0.0,0.0,0.0
3,0,0,0.0,90,MC,Tottenham,Crystal Palace,1,0,2023-05-06,18549,2022,594804,0.0,0,0,0,0.0,0.3734933733940124,0.3734933733940124
4,0,0,0.0,86,MC,Liverpool,Tottenham,4,3,2023-04-30,18539,2022,593275,0.0,0,0,0,0.0,0.4431210160255432,0.4431210160255432
5,0,0,0.0,90,MC,Tottenham,Manchester United,2,2,2023-04-27,18525,2022,591898,0.0,0,0,0,0.0,0.0403176881372928,0.0403176881372928
6,0,0,0.0,90,MC,Newcastle United,Tottenham,6,1,2023-04-23,18521,2022,590908,0.0846855416893959,0,1,0,0.0,0.2185770124197006,0.2185770124197006
7,0,1,0.0214987993240356,80,MC,Tottenham,Bournemouth,2,3,2023-04-15,18509,2022,588518,0.1999139934778213,0,1,0,0.0214987993240356,0.3480620086193084,0.1266500055789947
8,0,0,0.0,90,MC,Tottenham,Brighton,2,1,2023-04-08,18500,2022,586726,0.0,0,0,0,0.0,0.2766740024089813,0.2766740024089813
9,0,0,0.0,90,MC,Everton,Tottenham,1,1,2023-04-03,18487,2022,585937,0.0,0,0,0,0.0,0.4078429937362671,0.4078429937362671
10,0,0,0.0,90,MC,Southampton,Tottenham,3,3,2023-03-18,18480,2022,583096,0.0439934991300106,0,2,0,0.0,0.7480499744415283,0.7040560245513916
11,0,1,0.0133119998499751,90,MC,Tottenham,Nottingham Forest,3,1,2023-03-11,18470,2022,581234,0.0,0,0,0,0.0133119998499751,0.0707451030611991,0.0574330985546112
12,0,2,0.0366868004202842,90,MC,Wolverhampton Wanderers,Tottenham,1,0,2023-03-04,18461,2022,579534,0.0178683996200561,0,1,0,0.0366868004202842,0.151757001876831,0.1298830062150955
13,1,1,0.0227445997297763,90,MC,Tottenham,Chelsea,2,0,2023-02-26,18450,2022,578326,0.0,0,0,1,0.0227445997297763,0.1114209964871406,0.0886761993169784
14,0,1,0.0575885996222496,90,MC,Tottenham,West Ham,2,0,2023-02-19,18440,2022,577219,0.0364718995988369,0,1,0,0.0575885996222496,0.1929839998483657,0.0989229008555412
15,0,0,0.0,67,MC,Crystal Palace,Tottenham,0,4,2023-01-04,18386,2022,567498,0.0,0,0,0,0.0,0.0489009991288185,0.0489009991288185
16,0,0,0.0,1,Sub,Tottenham,Aston Villa,0,2,2023-01-01,18379,2022,566729,0.0,0,0,0,0.0,0.0,0.0
17,0,1,0.0560780987143516,48,MC,Bournemouth,Tottenham,2,3,2022-10-29,18333,2022,560154,0.0,0,0,0,0.0560780987143516,0.0560780987143516,0.0
18,0,0,0.0,69,MC,Tottenham,Newcastle United,1,2,2022-10-23,18329,2022,559159,0.139500007033348,0,3,0,0.0,0.4705069959163666,0.3310059905052185
19,0,0,0.0,1,Sub,Manchester United,Tottenham,2,0,2022-10-19,18321,2022,557669,0.0,0,0,0,0.0,0.0,0.0
20,0,0,0.0,1,Sub,Tottenham,Everton,2,0,2022-10-15,18310,2022,556187,0.0,0,0,0,0.0,0.0,0.0
21,0,0,0.0,1,Sub,Brighton,Tottenham,0,1,2022-10-08,18294,2022,554397,0.0,0,0,0,0.0,0.0,0.0
22,0,0,0.0,13,Sub,Arsenal,Tottenham,3,1,2022-10-01,18282,2022,552020,0.0,0,0,0,0.0,0.0,0.0
23,0,0,0.0,30,Sub,Chelsea,Tottenham,2,0,2022-01-23,16598,2021,510572,0.1333909928798675,0,2,0,0.0,0.1333909928798675,0.056275300681591
24,0,1,0.0230567008256912,90,MC,Leicester,Tottenham,2,3,2022-01-19,16540,2021,509179,0.0,0,0,0,0.0230567008256912,1.4238200187683103,1.4238200187683103
25,0,0,0.0,71,MC,Watford,Tottenham,0,1,2022-01-01,16585,2021,505500,0.0612565986812114,0,1,0,0.0,0.2128700017929077,0.1516129970550537
26,0,1,0.0443326011300087,90,MC,Tottenham,Crystal Palace,3,0,2021-12-26,16563,2021,505044,0.1437820047140121,0,1,0,0.0443326011300087,2.1409900188446045,1.9528700113296509
27,0,0,0.0,23,Sub,Tottenham,Liverpool,2,2,2021-12-19,16552,2021,504154,0.0,0,0,0,0.0,0.0,0.0
28,0,2,0.0789750963449478,90,MC,Tottenham,Norwich,3,0,2021-12-05,16522,2021,500541,0.0,0,0,0,0.0789750963449478,0.4635069966316223,0.3845320045948028
29,0,0,0.0,90,MC,Tottenham,Brentford,2,0,2021-12-02,16515,2021,499412,0.3856349885463714,0,2,0,0.0,0.8434320092201233,0.4577980041503906
30,0,0,0.0,90,MC,Everton,Tottenham,0,0,2021-11-07,16481,2021,494606,0.0388216003775596,0,2,0,0.0,0.0617926008999347,0.022970899939537
31,0,0,0.0,67,DMC,Tottenham,Manchester United,0,3,2021-10-30,16473,2021,492538,0.0,0,0,0,0.0,0.048887301236391,0.048887301236391
32,0,0,0.0,90,DMC,West Ham,Tottenham,1,0,2021-10-24,16465,2021,490523,0.0,0,0,0,0.0,0.0,0.0
33,0,0,0.0,90,DMC,Newcastle United,Tottenham,2,3,2021-10-17,16452,2021,489083,0.0,0,0,0,0.0,0.479090005159378,0.479090005159378
34,0,0,0.0,90,DMC,Tottenham,Aston Villa,2,1,2021-10-03,16443,2021,487025,0.0,0,0,0,0.0,0.2498520016670227,0.2498520016670227
35,0,0,0.0,42,Sub,Arsenal,Tottenham,3,1,2021-09-26,16434,2021,485640,0.0,0,0,0,0.0,0.0431834012269973,0.0431834012269973
36,0,0,0.0,27,Sub,Tottenham,Chelsea,0,3,2021-09-19,16425,2021,482928,0.0,0,0,0,0.0,0.0267321001738309,0.0267321001738309
37,0,0,0.0,90,MC,Crystal Palace,Tottenham,3,0,2021-09-11,16406,2021,480040,0.0,0,0,0,0.0,0.0,0.0
38,0,0,0.0,90,DMC,Tottenham,Watford,1,0,2021-08-29,16404,2021,479397,0.0,0,0,0,0.0,0.1320589929819107,0.1320589929819107
39,0,0,0.0,90,MC,Wolverhampton Wanderers,Tottenham,0,1,2021-08-22,16393,2021,477578,0.0,0,0,0,0.0,0.0,0.0
40,0,0,0.0,90,DMC,Tottenham,Manchester City,1,0,2021-08-15,16385,2021,476236,0.0,0,0,0,0.0,0.0191262997686862,0.0191262997686862
41,0,0,0.0,8,Sub,Crystal Palace,Tottenham,1,1,2020-07-26,12020,2019,411319,0.0,0,0,0,0.0,0.0,0.0
42,0,0,0.0,1,Sub,Tottenham,Leicester,3,0,2020-07-19,12010,2019,409797,0.0,0,0,0,0.0,0.0,0.0
43,0,0,0.0,4,Sub,Tottenham,Arsenal,2,1,2020-07-12,11990,2019,407999,0.0,0,0,0,0.0,0.0,0.0
44,0,0,0.0,48,MC,Burnley,Tottenham,1,1,2020-03-07,11924,2019,387800,0.0,0,0,0,0.0,0.0,0.0
45,0,0,0.0,7,Sub,Tottenham,Burnley,5,0,2019-12-07,11800,2019,368367,0.0,0,0,0,0.0,0.0,0.0
46,0,0,0.0,1,Sub,Manchester City,Tottenham,2,2,2019-08-17,11659,2019,342144,0.0,0,0,0,0.0,0.0,0.0
47,0,0,0.0,1,Sub,Tottenham,Aston Villa,3,1,2019-08-10,11649,2019,341356,0.0,0,0,0,0.0,0.0,0.0
48,0,0,0.0,12,Sub,Tottenham,Everton,2,2,2019-05-12,9568,2018,332437,0.0,0,0,0,0.0,0.0,0.0
49,0,0,0.0,15,Sub,Tottenham,Huddersfield,4,0,2019-04-13,9528,2018,324021,0.0,0,0,0,0.0,0.0,0.0
50,0,1,0.0331725999712944,73,MC,Tottenham,Leicester,3,1,2019-02-10,9452,2018,304635,0.0,0,0,0,0.0331725999712944,0.1202450022101402,0.1202450022101402
51,0,0,0.0,13,Sub,Cardiff,Tottenham,0,3,2019-01-01,9404,2018,303125,0.0,0,0,0,0.0,0.1205480024218559,0.1205480024218559
52,0,0,0.0,7,Sub,Tottenham,Bournemouth,5,0,2018-12-26,9378,2018,279041,0.0,0,0,0,0.0,0.0,0.0
53,0,0,0.0,9,Sub,Everton,Tottenham,2,6,2018-12-23,9372,2018,279000,0.0,0,0,0,0.0,0.1113310009241104,0.1113310009241104
54,0,1,0.0241468995809555,76,DMC,Tottenham,Burnley,1,0,2018-12-15,9359,2018,278536,0.0285570006817579,0,1,0,0.0241468995809555,0.1307850033044815,0.1307850033044815
55,0,0,0.0,2,Sub,Tottenham,Southampton,3,1,2018-12-05,9346,2018,278152,0.0,0,0,0,0.0,0.0,0.0
