goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,1,0.0436187051236629,21,Sub,Everton,Burnley,1,2,2021-03-13,14707,2020,456568,0.0,0,0,0,0.0436187051236629,0.1200387775897979,0.1200387775897979
1,0,0,0.0,21,Sub,Burnley,Arsenal,1,1,2021-03-06,14697,2020,454380,0.0,0,0,0,0.0,0.0,0.0
2,0,1,0.0493269115686416,28,Sub,Burnley,Fulham,1,1,2021-02-17,14602,2020,450175,0.0,0,0,0,0.0493269115686416,0.1490442156791687,0.0997172966599464
3,0,0,0.0,17,Sub,Crystal Palace,Burnley,0,3,2021-02-13,14668,2020,449051,0.0,0,0,0,0.0,0.0,0.0
4,0,0,0.0,77,MR,Chelsea,Burnley,2,0,2021-01-31,14637,2020,446017,0.0,0,0,0,0.0,0.0,0.0
5,0,2,0.1062125414609909,61,MR,Burnley,Aston Villa,3,2,2021-01-27,14626,2020,445095,0.0,0,0,0,0.1062125414609909,0.1062125414609909,0.0
6,0,1,0.0330551266670227,66,MR,Liverpool,Burnley,0,1,2021-01-21,14613,2020,443734,0.0,0,0,0,0.0330551266670227,0.0470769442617893,0.0470769442617893
7,0,2,0.1215266659855842,90,ML,West Ham,Burnley,1,0,2021-01-16,14623,2020,442293,0.0198091939091682,0,1,0,0.1215266659855842,0.0633791908621788,0.0
8,0,2,0.0520584471523761,69,ML,Burnley,Manchester United,0,1,2021-01-12,14088,2020,441824,0.0,0,0,0,0.0520584471523761,0.0520584471523761,0.0
9,0,1,0.0712429359555244,90,MR,Burnley,Sheffield United,1,0,2020-12-29,14587,2020,438408,0.4079849123954773,1,2,0,0.0712429359555244,0.7722294330596924,0.4422528445720672
10,0,0,0.0,71,MR,Burnley,Wolverhampton Wanderers,2,1,2020-12-21,14566,2020,437082,0.1345831602811813,0,1,0,0.0,0.7975948452949524,0.6630116701126099
11,0,2,0.0863924697041511,90,MR,Aston Villa,Burnley,0,0,2020-12-17,14556,2020,435578,0.0,0,0,0,0.0863924697041511,0.1017409116029739,0.077298067510128
12,0,0,0.0,90,MR,Arsenal,Burnley,0,1,2020-12-13,14554,2020,434073,0.314034640789032,0,2,0,0.0,0.314034640789032,0.0443246066570282
13,1,2,0.0465044453740119,89,MR,Burnley,Everton,1,1,2020-12-05,14537,2020,431048,0.0321704223752021,0,1,1,0.0465044453740119,0.0541031919419765,0.0
14,0,0,0.0,17,Sub,Burnley,Crystal Palace,1,0,2020-11-23,14516,2020,429092,0.0,0,0,0,0.0,0.0,0.0
15,0,1,0.1102763414382934,90,MR,Brighton,Burnley,0,0,2020-11-06,14506,2020,425854,0.0,0,0,0,0.1102763414382934,0.0371938087046146,0.0371938087046146
16,0,0,0.0,16,Sub,Burnley,Chelsea,0,3,2020-10-31,14496,2020,424503,0.0,0,0,0,0.0,0.0,0.0
17,0,0,0.0,19,Sub,West Bromwich Albion,Burnley,0,0,2020-10-19,14484,2020,422369,0.0,0,0,0,0.0,0.0,0.0
18,0,1,0.0628829300403595,39,MR,Leicester,Burnley,4,2,2020-09-20,14103,2020,416730,0.0,0,0,0,0.0628829300403595,0.0628829300403595,0.0
19,0,2,0.098424032330513,11,Sub,Burnley,Brighton,1,2,2020-07-26,12022,2019,411243,0.0,0,0,0,0.098424032330513,0.098424032330513,0.0
20,0,2,0.0591372586786747,25,Sub,Norwich,Burnley,0,2,2020-07-18,12008,2019,409690,0.0804909616708755,0,1,0,0.0591372586786747,0.5270316004753113,0.4894798099994659
21,0,0,0.0,3,Sub,Burnley,Wolverhampton Wanderers,1,1,2020-07-15,11994,2019,408637,0.0,0,0,0,0.0,0.0,0.0
22,0,0,0.0,1,Sub,Burnley,Bournemouth,3,0,2020-02-22,11907,2019,387217,0.0,0,0,0,0.0,0.0,0.0
23,0,0,0.0,48,MR,Burnley,Aston Villa,1,2,2020-01-01,11846,2019,385498,0.0,0,0,0,0.0,0.0,0.0
24,0,1,0.1280882358551025,1,Sub,Burnley,Manchester United,0,2,2019-12-28,11835,2019,372848,0.0,0,0,0,0.1280882358551025,0.0,0.0
25,0,2,0.0665325447916984,69,MR,Everton,Burnley,1,0,2019-12-26,11827,2019,372524,0.0,0,0,0,0.0665325447916984,0.033013992011547,0.0
26,0,0,0.0,5,Sub,Bournemouth,Burnley,0,1,2019-12-21,11814,2019,371449,0.0,0,0,0,0.0,0.0,0.0
27,0,2,0.14344023168087,74,ML,Tottenham,Burnley,5,0,2019-12-07,11800,2019,368378,0.011238532140851,0,1,0,0.14344023168087,0.3621670603752136,0.2731214165687561
28,1,1,0.3173390626907348,13,Sub,Burnley,Manchester City,1,4,2019-12-03,11784,2019,367480,0.0,0,0,1,0.3173390626907348,0.3173390626907348,0.0
29,0,0,0.0,80,MR,Burnley,Crystal Palace,0,2,2019-11-30,11773,2019,366155,0.0279370862990617,0,2,0,0.0,0.0,0.0
30,0,0,0.0,1,Sub,Burnley,West Ham,3,0,2019-11-09,11753,2019,363090,0.0,0,0,0,0.0,0.0,0.0
31,0,1,0.1207790151238441,28,Sub,Sheffield United,Burnley,3,0,2019-11-02,11750,2019,361662,0.0,0,0,0,0.1207790151238441,0.0493537038564682,0.0493537038564682
32,0,0,0.0,5,Sub,Burnley,Chelsea,2,4,2019-10-26,11735,2019,359598,0.0919869691133499,2,3,0,0.0,0.0613146759569644,0.0613146759569644
33,0,1,0.0627598166465759,66,ML,Leicester,Burnley,2,1,2019-10-19,11728,2019,357858,0.1058961898088455,0,2,0,0.0627598166465759,0.0471187457442283,0.0153962187469005
34,0,0,0.0,5,Sub,Aston Villa,Burnley,2,2,2019-09-28,11706,2019,354579,0.0,0,0,0,0.0,0.0,0.0
35,0,0,0.0,1,Sub,Burnley,Norwich,2,0,2019-09-21,11696,2019,352252,0.0,0,0,0,0.0,0.0,0.0
36,0,0,0.0,5,Sub,Burnley,Arsenal,1,3,2019-05-12,9575,2018,332242,0.0,0,0,0,0.0,0.0,0.0
37,0,1,0.2939258813858032,81,ML,Everton,Burnley,2,0,2019-05-03,9562,2018,329949,0.0807222127914428,0,2,0,0.2939258813858032,0.0807222127914428,0.0
38,0,0,0.0,9,Sub,Burnley,Leicester,1,2,2019-03-16,9504,2018,316432,0.0,0,0,0,0.0,0.0862650573253631,0.0862650573253631
39,0,0,0.0,17,Sub,Burnley,Crystal Palace,1,3,2019-03-02,9484,2018,305303,0.2645533382892608,0,1,0,0.0,0.0,0.0
40,0,1,0.0133309820666909,42,Sub,Newcastle United,Burnley,2,0,2019-02-26,9473,2018,305042,0.0694198459386825,0,2,0,0.0133309820666909,0.0133309820666909,0.0
41,0,0,0.0,10,Sub,Burnley,Tottenham,2,1,2019-02-23,9464,2018,304779,0.0,0,0,0,0.0,0.0,0.0
42,0,0,0.0,7,Sub,Burnley,Southampton,1,1,2019-02-02,9445,2018,304198,0.0,0,0,0,0.0,0.0172947272658348,0.0172947272658348
43,0,2,0.0818990841507911,24,Sub,Huddersfield,Burnley,1,2,2019-01-02,9401,2018,303232,0.1217281743884086,0,1,0,0.0818990841507911,0.2036272585391998,0.0
44,0,0,0.0,90,ML,Tottenham,Burnley,1,0,2018-12-15,9359,2018,278553,0.0600544959306716,0,1,0,0.0,0.0600544959306716,0.0
45,0,3,0.1378322094678878,90,ML,Burnley,Brighton,1,0,2018-12-08,9354,2018,278288,0.0751790255308151,0,1,0,0.1378322094678878,0.3391992151737213,0.1980054974555969
46,0,0,0.0,72,ML,Burnley,Liverpool,1,3,2018-12-05,9343,2018,278065,0.0,0,0,0,0.0,0.0,0.0
47,0,0,0.0,43,Sub,Crystal Palace,Burnley,2,0,2018-12-01,9333,2018,277804,0.0478782877326011,0,1,0,0.0,0.0730207860469818,0.0730207860469818
48,0,1,0.0338941067457199,85,ML,Burnley,Newcastle United,1,2,2018-11-26,9326,2018,277622,0.1247955337166786,0,1,0,0.0338941067457199,0.1720519065856933,0.1381577998399734
49,0,1,0.0490309968590736,25,Sub,Leicester,Burnley,0,0,2018-11-10,9310,2018,277195,0.0355284139513969,0,1,0,0.0490309968590736,0.0355284139513969,0.0
50,0,0,0.0,11,Sub,West Ham,Burnley,4,2,2018-11-03,9298,2018,276863,0.057675801217556,1,1,0,0.0,0.0,0.0
51,0,3,0.0688419267535209,90,ML,Burnley,Chelsea,0,4,2018-10-28,9295,2018,276734,0.0939253792166709,0,2,0,0.0688419267535209,0.1100368648767471,0.0
52,0,1,0.018903462216258,30,ML,Leicester,Burnley,1,0,2017-12-02,7261,2017,178541,0.2148482799530029,0,2,0,0.018903462216258,0.0503436401486396,0.0314401797950267
