goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,0,90,GK,Norwich,Tottenham,0,5,2022-05-22,16755,2021,537940,0.0,0,0,0,0,0.0545864664018154,0.0545864664018154
1,0,0,0,90,GK,Norwich,West Ham,0,4,2022-05-08,16726,2021,533364,0.0,0,0,0,0,0.0,0.0
2,0,0,0,90,GK,Aston Villa,Norwich,2,0,2022-04-30,16725,2021,530567,0.0,0,0,0,0,0.150287464261055,0.150287464261055
3,0,0,0,90,GK,Norwich,Newcastle United,0,3,2022-04-23,16706,2021,528696,0.0,0,0,0,0,0.0809026211500167,0.0809026211500167
4,0,0,0,90,GK,Manchester United,Norwich,3,2,2022-04-16,16702,2021,526382,0.0,0,0,0,0,0.8530214428901672,0.8530214428901672
5,0,0,0,90,GK,Norwich,Burnley,2,0,2022-04-10,16688,2021,525240,0.0,0,0,0,0,0.1358983963727951,0.1358983963727951
6,0,0,0,90,GK,Brighton,Norwich,0,0,2022-04-02,16685,2021,522734,0.0,0,0,0,0,0.0529835633933544,0.0529835633933544
7,0,0,0,90,GK,Leeds,Norwich,2,1,2022-03-13,16662,2021,520051,0.4792071878910064,0,1,0,0,0.0,0.0
8,0,0,0,90,GK,Norwich,Chelsea,1,3,2022-03-10,16672,2021,518967,0.0,0,0,0,0,0.0,0.0
9,0,0,0,90,GK,Norwich,Brentford,1,3,2022-03-05,16652,2021,517576,0.0,0,0,0,0,0.0,0.0
10,0,0,0,90,GK,Norwich,Everton,2,1,2022-01-15,16592,2021,508109,0.0,0,0,0,0,0.0,0.0
11,0,0,0,90,GK,West Ham,Norwich,2,0,2022-01-12,16554,2021,507771,0.0,0,0,0,0,0.0789688825607299,0.0789688825607299
12,0,0,0,90,GK,Norwich,Aston Villa,0,2,2021-12-14,16541,2021,503035,0.0,0,0,0,0,0.0,0.0
13,0,0,0,90,GK,Norwich,Manchester United,0,1,2021-12-11,16535,2021,501850,0.0,0,0,0,0,0.0284311696887016,0.0284311696887016
14,0,0,0,90,GK,Tottenham,Norwich,3,0,2021-12-05,16522,2021,500548,0.0,0,0,0,0,0.0,0.0
15,0,0,0,90,GK,Newcastle United,Norwich,1,1,2021-11-30,16513,2021,498654,0.0,0,0,0,0,0.0480040982365608,0.0480040982365608
16,0,0,0,90,GK,Norwich,Wolverhampton Wanderers,0,0,2021-11-27,16505,2021,497373,0.0,0,0,0,0,0.5362892150878906,0.5362892150878906
17,0,0,0,90,GK,Norwich,Southampton,2,1,2021-11-20,16492,2021,495784,0.0,0,0,0,0,0.0,0.0
18,0,0,0,90,GK,Brentford,Norwich,1,2,2021-11-06,16477,2021,494007,0.0,0,0,0,0,0.0,0.0
19,0,0,0,90,GK,Norwich,Leeds,1,2,2021-10-31,16472,2021,492812,0.0,0,0,0,0,0.0672876313328743,0.0672876313328743
20,0,0,0,90,GK,Chelsea,Norwich,7,0,2021-10-23,16459,2021,489676,0.0,0,0,0,0,0.0,0.0
21,0,0,0,90,GK,Norwich,Brighton,0,0,2021-10-16,16453,2021,488155,0.0,0,0,0,0,0.0,0.0
22,0,0,0,90,GK,Burnley,Norwich,0,0,2021-10-02,16437,2021,486504,0.0,0,0,0,0,0.0,0.0
23,0,0,0,90,GK,Everton,Norwich,2,0,2021-09-25,16428,2021,484713,0.0,0,0,0,0,0.011743520386517,0.011743520386517
24,0,0,0,90,GK,Norwich,Watford,1,3,2021-09-18,16418,2021,482142,0.0,0,0,0,0,0.1233661621809005,0.1233661621809005
25,0,0,0,90,GK,Arsenal,Norwich,1,0,2021-09-11,16407,2021,480279,0.0,0,0,0,0,0.0128266643732786,0.0128266643732786
26,0,0,0,90,GK,Norwich,Leicester,1,2,2021-08-28,16398,2021,478858,0.0,0,0,0,0,0.0207123514264822,0.0207123514264822
27,0,0,0,90,GK,Manchester City,Norwich,5,0,2021-08-21,16387,2021,476916,0.0,0,0,0,0,0.0,0.0
28,0,0,0,90,GK,Norwich,Liverpool,0,3,2021-08-14,16383,2021,475674,0.0,0,0,0,0,0.3090212047100067,0.3090212047100067
29,0,0,0,90,GK,Manchester City,Norwich,5,0,2020-07-26,12017,2019,411365,0.0,0,0,0,0,0.0,0.0
30,0,0,0,90,GK,Norwich,Burnley,0,2,2020-07-18,12008,2019,409663,0.0,0,0,0,0,0.030022645369172,0.030022645369172
31,0,0,0,90,GK,Chelsea,Norwich,1,0,2020-07-14,11995,2019,408485,0.0,0,0,0,0,0.0,0.0
32,0,0,0,90,GK,Norwich,West Ham,0,4,2020-07-11,11988,2019,407323,0.0,0,0,0,0,0.2116468548774719,0.2116468548774719
33,0,0,0,90,GK,Watford,Norwich,2,1,2020-07-07,11981,2019,406226,0.0,0,0,0,0,0.1683058738708496,0.1683058738708496
34,0,0,0,90,GK,Norwich,Brighton,0,1,2020-07-04,11969,2019,405059,0.0,0,0,0,0,0.0568886063992977,0.0568886063992977
35,0,0,0,90,GK,Arsenal,Norwich,4,0,2020-07-01,11953,2019,404421,0.0,0,0,0,0,0.0,0.0
36,0,0,0,90,GK,Norwich,Everton,0,1,2020-06-24,11948,2019,402333,0.0,0,0,0,0,0.0,0.0
37,0,0,0,90,GK,Norwich,Southampton,0,3,2020-06-19,11937,2019,400713,0.0,0,0,0,0,0.0,0.0
38,0,0,0,90,GK,Sheffield United,Norwich,1,0,2020-03-07,11929,2019,387684,0.0,0,0,0,0,0.0093419197946786,0.0093419197946786
39,0,0,0,90,GK,Norwich,Leicester,1,0,2020-02-28,11919,2019,387400,0.0,0,0,0,0,0.0220188461244106,0.0220188461244106
40,0,0,0,90,GK,Wolverhampton Wanderers,Norwich,3,0,2020-02-23,11912,2019,387331,0.0,0,0,0,0,0.1600036174058914,0.1600036174058914
41,0,0,0,90,GK,Norwich,Liverpool,0,1,2020-02-15,11899,2019,386986,0.0,0,0,0,0,0.0,0.0
42,0,0,0,90,GK,Newcastle United,Norwich,0,0,2020-02-01,11889,2019,386619,0.0,0,0,0,0,0.0823453813791275,0.0823453813791275
43,0,0,0,90,GK,Tottenham,Norwich,2,1,2020-01-22,11880,2019,386486,0.0,0,0,0,0,0.2722786664962768,0.2722786664962768
44,0,0,0,90,GK,Norwich,Bournemouth,1,0,2020-01-18,11869,2019,386116,0.0,0,0,0,0,0.058737639337778,0.058737639337778
45,0,0,0,90,GK,Manchester United,Norwich,4,0,2020-01-11,11862,2019,385834,0.0,0,0,0,0,0.0597577281296253,0.0597577281296253
46,0,0,0,90,GK,Norwich,Crystal Palace,1,1,2020-01-01,11850,2019,385630,0.0,0,0,0,0,0.0661559402942657,0.0661559402942657
47,0,0,0,90,GK,Norwich,Tottenham,2,2,2019-12-28,11839,2019,372780,0.0,0,0,0,0,0.046907503157854,0.046907503157854
48,0,0,0,90,GK,Aston Villa,Norwich,1,0,2019-12-26,11823,2019,372547,0.0,0,0,0,0,0.1665068566799163,0.1665068566799163
49,0,0,0,90,GK,Norwich,Wolverhampton Wanderers,1,2,2019-12-21,11819,2019,371506,0.0,0,0,0,0,0.0,0.0
50,0,0,0,90,GK,Leicester,Norwich,1,1,2019-12-14,11807,2019,369808,0.0,0,0,0,0,0.0,0.0
51,0,0,0,90,GK,Norwich,Sheffield United,1,2,2019-12-08,11799,2019,368994,0.0,0,0,0,0,0.2003112882375717,0.2003112882375717
52,0,0,0,90,GK,Southampton,Norwich,2,1,2019-12-04,11790,2019,367705,0.0,0,0,0,0,0.1231497526168823,0.1231497526168823
53,0,0,0,90,GK,Norwich,Arsenal,2,2,2019-12-01,11781,2019,366783,0.0,0,0,0,0,0.0156685914844274,0.0156685914844274
54,0,0,0,90,GK,Everton,Norwich,0,2,2019-11-23,11768,2019,364806,0.0,0,0,0,0,0.1182498037815094,0.1182498037815094
55,0,0,0,90,GK,Norwich,Watford,0,2,2019-11-08,11757,2019,362803,0.0,0,0,0,0,0.0,0.0
56,0,0,0,90,GK,Brighton,Norwich,2,0,2019-11-02,11746,2019,361510,0.0,0,0,0,0,0.0,0.0
57,0,0,0,90,GK,Norwich,Manchester United,1,3,2019-10-27,11739,2019,360332,0.0,0,0,0,0,0.0492821037769317,0.0492821037769317
58,0,0,0,90,GK,Bournemouth,Norwich,0,0,2019-10-19,11724,2019,357931,0.0,0,0,0,0,0.0201199781149625,0.0201199781149625
59,0,0,0,90,GK,Burnley,Norwich,2,0,2019-09-21,11696,2019,352255,0.0,0,0,0,0,0.1233543083071708,0.1233543083071708
60,0,0,0,90,GK,Norwich,Manchester City,3,2,2019-09-14,11689,2019,349260,0.0,0,0,0,0,0.7004085183143616,0.7004085183143616
61,0,0,0,90,GK,West Ham,Norwich,2,0,2019-08-31,11674,2019,347412,0.0,0,0,0,0,0.5172678828239441,0.5172678828239441
62,0,0,0,90,GK,Norwich,Chelsea,2,3,2019-08-24,11664,2019,343812,0.0,0,0,0,0,0.0,0.0
63,0,0,0,90,GK,Norwich,Newcastle United,3,1,2019-08-17,11657,2019,341895,0.0,0,0,0,0,0.1813205629587173,0.1813205629587173
64,0,0,0,90,GK,Liverpool,Norwich,4,1,2019-08-09,11643,2019,341166,0.0,0,0,0,0,0.0549972653388977,0.0549972653388977
65,0,0,0,90,GK,Manchester City,Newcastle United,6,1,2015-10-03,154,2015,64830,0.0,0,0,0,0,0.0,0.0
66,0,0,0,90,GK,Newcastle United,Chelsea,2,2,2015-09-26,148,2015,64456,0.0,0,0,0,0,0.0,0.0
67,0,0,0,90,GK,Newcastle United,Watford,1,2,2015-09-19,132,2015,64237,0.0,0,0,0,0,0.0752821192145347,0.0752821192145347
68,0,0,0,90,GK,West Ham,Newcastle United,2,0,2015-09-14,130,2015,64084,0.0,0,0,0,0,0.0,0.0
69,0,0,0,90,GK,Newcastle United,Arsenal,0,1,2015-08-29,111,2015,63655,0.0,0,0,0,0,0.0319694019854068,0.0319694019854068
70,0,0,0,90,GK,Manchester United,Newcastle United,0,0,2015-08-22,101,2015,62820,0.0,0,0,0,0,0.0,0.0
