goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,0,90,GK,Manchester City,Burnley,2,0,2021-10-16,16451,2021,488127,0.0,0,0,0,0,0.3352588415145874,0.3352588415145874
1,0,0,0,90,GK,Chelsea,Manchester City,1,3,2021-01-03,14603,2020,439711,0.0,0,0,0,0,0.349734753370285,0.349734753370285
2,0,0,0,90,GK,Fortuna Duesseldorf,Union Berlin,2,1,2019-12-22,12550,2019,372228,0.0,0,0,0,0,0.0634181573987007,0.0634181573987007
3,0,0,0,90,GK,Augsburg,Fortuna Duesseldorf,3,0,2019-12-17,12545,2019,370859,0.0,0,0,0,0,0.058946568518877,0.058946568518877
4,0,0,0,90,GK,Fortuna Duesseldorf,RasenBallsport Leipzig,0,3,2019-12-14,12532,2019,369985,0.0,0,0,0,0,0.0,0.0
5,0,0,0,90,GK,Borussia Dortmund,Fortuna Duesseldorf,5,0,2019-12-07,12520,2019,368232,0.0,0,0,0,0,0.0,0.0
6,0,0,0,90,GK,Hoffenheim,Fortuna Duesseldorf,1,1,2019-11-30,12518,2019,366136,0.0,0,0,0,0,0.0,0.0
7,0,0,0,90,GK,Fortuna Duesseldorf,Bayern Munich,0,4,2019-11-23,12505,2019,364600,0.0374155305325984,0,1,0,0,0.122609443962574,0.0851939171552658
8,0,0,0,90,GK,Schalke 04,Fortuna Duesseldorf,3,3,2019-11-09,12497,2019,363009,0.0,0,0,0,0,0.0,0.0
9,0,0,0,90,GK,Fortuna Duesseldorf,FC Cologne,2,0,2019-11-03,12490,2019,362249,0.0,0,0,0,0,0.0,0.0
10,0,0,0,90,GK,Paderborn,Fortuna Duesseldorf,2,0,2019-10-26,12477,2019,359349,0.0,0,0,0,0,0.0228323619812726,0.0228323619812726
11,0,0,0,90,GK,Fortuna Duesseldorf,Mainz 05,1,0,2019-10-19,12474,2019,357696,0.0,0,0,0,0,0.0966391712427139,0.0966391712427139
12,0,0,0,90,GK,Hertha Berlin,Fortuna Duesseldorf,3,1,2019-10-04,12459,2019,355815,0.0,0,0,0,0,0.0,0.0
13,0,0,0,90,GK,Fortuna Duesseldorf,Freiburg,1,2,2019-09-29,12455,2019,355389,0.0,0,0,0,0,0.0493637062609195,0.0493637062609195
14,0,0,0,90,GK,Borussia M.Gladbach,Fortuna Duesseldorf,2,1,2019-09-22,12445,2019,352982,0.0,0,0,0,0,0.0216857846826314,0.0216857846826314
15,0,0,0,90,GK,Fortuna Duesseldorf,Wolfsburg,1,1,2019-09-13,12430,2019,348621,0.0,0,0,0,0,0.0,0.0
16,0,0,0,90,GK,Eintracht Frankfurt,Fortuna Duesseldorf,2,1,2019-09-01,12429,2019,348162,0.0,0,0,0,0,0.0377654023468494,0.0377654023468494
17,0,0,0,90,GK,Fortuna Duesseldorf,Bayer Leverkusen,1,3,2019-08-24,12415,2019,343896,0.0,0,0,0,0,0.0,0.0
18,0,0,0,90,GK,Werder Bremen,Fortuna Duesseldorf,1,3,2019-08-17,12404,2019,341936,0.0,0,0,0,0,0.0,0.0
