assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
0,0,2,28,0,1.8,287,0.01,0.33,0.32,0.42,44,0,1,7.1,34.2,2023-09-16,28,12,0,0,0,0,5,0,199763,0,0,1,35.0,7,-29721,6578,36299,48,True,0,1,1,0.7391039133071899,27,Sub,Fulham,Luton,1,0,21939,2023,610409,0.0,0,0,1,0.7391039133071899,0.7716259360313416,0.0325219817459583
1,0,0,2,0,1.1,287,0.0,0.0,0.0,0.06,56,0,0,0.1,0.0,2023-09-23,11,8,0,0,0,0,6,0,202473,0,0,0,0.0,1,-231,14759,14990,48,False,0,0,0,0.0,7,Sub,Crystal Palace,Fulham,0,0,21948,2023,612144,0.0,0,0,0,0.0,0.0349813774228096,0.0349813774228096
2,0,0,0,0,11.3,287,0.01,0.25,0.24,0.56,64,0,0,3.8,0.0,2023-10-02,37,7,0,0,0,0,7,0,197108,0,2,0,27.0,1,-6356,12833,19189,48,True,0,0,3,0.1399879306554794,35,Sub,Fulham,Chelsea,0,2,21964,2023,615818,0.041505042463541,0,1,0,0.1399879306554794,0.0845809131860733,0.009241190738976
3,0,0,8,0,32.5,287,0.04,0.08,0.04,0.55,76,1,0,5.9,9.2,2023-10-07,77,17,0,0,0,0,8,0,196661,1,1,3,17.0,2,-2484,17082,19566,48,True,0,0,1,0.051728256046772,90,FW,Fulham,Sheffield United,3,1,21970,2023,616439,0.4540187120437622,0,3,0,0.051728256046772,1.1499398946762085,0.6441929340362549
4,0,0,1,0,0.0,287,0.0,0.07,0.07,0.83,90,1,0,0.4,0.2,2023-10-23,45,18,0,0,0,0,9,0,190760,1,0,2,4.0,1,-6364,8791,15155,48,False,0,0,1,0.0889220535755157,48,FW,Tottenham,Fulham,2,0,21984,2023,619301,0.0,0,0,0,0.0889220535755157,0.0889220535755157,0.0
5,0,0,5,0,0.2,287,0.0,0.0,0.0,0.36,104,1,0,0.3,3.0,2023-11-04,14,14,0,0,0,0,11,0,177552,0,1,0,0.0,1,-7766,5574,13340,48,True,0,0,0,0.0,9,Sub,Fulham,Manchester United,0,1,21998,2023,621196,0.0,0,0,0,0.0,0.0,0.0
6,0,0,-2,0,2.3,287,0.0,0.0,0.0,0.96,112,0,0,0.1,0.0,2023-11-12,16,2,0,0,0,0,12,0,171466,0,1,3,0.0,0,-6604,4207,10811,47,False,1,0,0,0.0,11,Sub,Aston Villa,Fulham,3,1,22007,2023,623919,0.0,0,0,0,0.0,0.0,0.0
7,0,0,-1,0,0.3,287,0.0,0.0,0.0,0.14,124,0,0,0.0,0.0,2023-11-27,14,20,0,0,0,0,13,0,165650,0,2,3,0.0,0,-6303,3991,10294,47,True,1,0,0,0.0,11,Sub,Fulham,Wolverhampton Wanderers,3,2,22018,2023,626112,0.0,0,0,0,0.0,0.0,0.0
8,0,0,2,0,0.0,287,0.0,0.0,0.0,0.0,136,0,0,0.0,0.0,2023-12-03,1,11,0,0,0,0,14,0,160950,0,3,4,0.0,1,-5463,2514,7977,47,False,0,0,0,0.0,1,Sub,Liverpool,Fulham,4,3,22030,2023,627355,0.0,0,0,0,0.0,0.0,0.0
9,0,0,3,0,0.0,287,0.0,0.0,0.0,0.07,145,0,0,0.0,0.0,2023-12-06,11,16,0,0,0,0,15,0,158503,0,0,5,0.0,1,-2827,2540,5367,47,True,0,0,0,0.0,7,Sub,Fulham,Nottingham Forest,5,0,22038,2023,627941,0.0,0,0,0,0.0,0.0,0.0
10,0,0,27,0,0.5,287,0.0,0.8,0.8,0.36,155,0,1,5.1,33.4,2023-12-10,18,19,0,0,0,0,16,0,154714,0,0,5,17.0,5,-3994,1905,5899,47,True,0,1,1,0.4756366610527038,14,Sub,Fulham,West Ham,5,0,22049,2023,629304,0.0,0,0,1,0.4756366610527038,0.4756366610527038,0.0
11,0,0,1,0,10.8,287,0.04,0.16,0.12,0.13,173,1,0,5.3,3.6,2023-12-23,26,6,0,0,0,0,18,0,168094,0,2,0,39.0,1,12197,18926,6729,47,True,0,0,2,0.1290092170238495,22,Sub,Fulham,Burnley,0,2,22067,2023,632707,0.0805829018354415,0,1,0,0.1290092170238495,0.5585612058639526,0.3489691019058227
12,0,0,3,0,0.5,287,0.01,0.01,0.0,0.06,182,1,0,0.1,0.0,2023-12-26,8,3,0,0,0,0,19,0,157847,0,0,3,0.0,1,-8221,2974,11195,47,False,0,0,0,0.0,4,Sub,Bournemouth,Fulham,3,0,22075,2023,632999,0.0,0,0,0,0.0,0.0,0.0
