assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,12,0,1.8,407,0.01,0.01,0.0,1.09,16,1,0,1.6,14.0,2023-08-19,90,13,0,0,0,0,2,0,289167,1,0,1,0.0,2,-11219,12033,23252,45,False,0,0,0,0.0,90,DL,Manchester City,Newcastle United,1,0,22291,2023,605569,0.0,0,0,0,0.0,0.1077780649065971,0.1077780649065971
1,0,0,15,0,12.2,407,0.01,0.01,0.0,0.95,29,2,0,3.7,23.2,2023-08-27,90,11,0,0,0,0,3,0,283304,1,2,1,2.0,1,-11656,9177,20833,45,True,0,0,0,0.0,90,DL,Newcastle United,Liverpool,1,2,22304,2023,607685,0.0723522156476974,0,1,0,0.0,0.5221989154815674,0.4498466849327087
2,0,0,4,0,0.3,407,0.0,0.0,0.0,1.42,33,3,0,0.5,0.2,2023-09-02,90,5,0,0,0,0,4,0,285799,1,1,3,4.0,0,-2094,17617,19711,45,False,1,0,0,0.0,90,DC,Brighton,Newcastle United,3,1,21931,2023,608884,0.0,0,0,0,0.0,0.4565551280975342,0.4565551280975342
3,0,0,25,1,12.6,407,0.02,0.02,0.0,0.54,46,0,0,3.4,19.8,2023-09-16,90,4,0,0,0,0,5,0,304755,1,0,1,2.0,6,13344,43255,29911,45,True,0,0,0,0.0,90,DL,Newcastle United,Brentford,1,0,21943,2023,610651,0.0683114752173423,0,1,0,0.0,0.0808090791106224,0.0808090791106224
4,0,0,42,1,5.7,407,0.05,0.4,0.35,0.94,60,0,1,9.9,50.6,2023-09-24,90,17,0,0,0,0,6,0,343621,1,8,0,43.0,12,35721,48374,12653,45,False,0,1,2,0.5791530609130859,90,DL,Sheffield United,Newcastle United,0,8,21954,2023,613094,0.0,0,0,1,0.5791530609130859,1.436908483505249,1.436908483505249
5,0,0,20,1,1.1,407,0.0,0.18,0.18,0.65,66,0,0,1.6,11.0,2023-09-30,90,6,0,0,0,0,7,0,429291,1,0,2,4.0,6,84965,127020,42055,45,True,0,0,1,0.3769519031047821,90,DL,Newcastle United,Burnley,2,0,21958,2023,614661,0.0,0,0,0,0.3769519031047821,0.8332847952842712,0.8332847952842712
6,0,0,15,0,18.8,407,0.19,0.34,0.15,1.22,79,2,0,6.0,14.8,2023-10-08,90,19,0,0,0,0,8,0,1002483,1,2,2,26.0,1,547502,616582,69080,46,False,0,0,3,0.1019997969269752,90,DL,West Ham,Newcastle United,2,2,21973,2023,616966,0.5990544557571411,0,1,0,0.1019997969269752,0.7250800728797913,0.073064349591732
7,0,0,26,1,1.9,407,0.02,0.02,0.0,1.21,87,0,0,1.7,15.0,2023-10-21,90,8,0,0,0,0,9,0,1208039,1,0,4,0.0,6,204838,243717,38879,47,True,0,0,0,0.0,90,DL,Newcastle United,Crystal Palace,4,0,21981,2023,618157,0.0,0,0,0,0.0,1.539151906967163,1.539151906967163
8,0,0,7,0,1.0,407,0.0,0.07,0.07,0.98,100,2,0,3.4,15.6,2023-10-28,90,20,0,0,0,0,10,0,1332171,1,2,2,17.0,0,122166,185594,63428,47,False,1,0,1,0.0159574728459119,90,DL,Wolverhampton Wanderers,Newcastle United,2,2,21994,2023,620129,0.0,0,0,0,0.0159574728459119,0.2758722007274627,0.2599147260189056
9,0,0,0,0,0.7,407,0.0,0.0,0.0,0.37,107,0,0,1.4,13.0,2023-11-04,45,1,0,0,0,0,11,0,1253318,1,0,1,0.0,1,-75244,46865,122109,47,True,0,0,0,0.0,50,DL,Newcastle United,Arsenal,1,0,22001,2023,621769,0.0,0,0,0,0.0,0.0243181176483631,0.0243181176483631
10,0,2,33,1,2.5,407,0.01,1.17,1.16,0.2,168,0,1,11.9,48.6,2023-12-16,83,10,0,0,0,0,17,0,288290,1,0,3,68.0,14,-10113,7777,17890,44,True,0,1,2,1.551488161087036,90,DL,Newcastle United,Fulham,3,0,22062,2023,630328,0.0,0,0,1,1.551488161087036,0.3945166766643524,0.3945166766643524
11,0,0,11,0,2.3,407,0.01,0.01,0.0,1.79,175,1,0,2.4,13.8,2023-12-23,84,12,0,0,0,0,18,0,443063,1,0,1,8.0,2,136054,139389,3335,44,False,0,0,0,0.0,88,DL,Luton,Newcastle United,1,0,22069,2023,632654,0.0,0,0,0,0.0,0.0754440799355506,0.0754440799355506
12,0,0,4,0,0.3,407,0.0,0.06,0.06,2.45,189,2,0,1.5,10.0,2023-12-26,54,16,0,0,0,0,19,0,493435,1,3,1,5.0,0,63110,71116,8006,44,True,0,0,1,0.0523241236805915,58,DL,Newcastle United,Nottingham Forest,1,3,22083,2023,632915,0.0,0,0,0,0.0523241236805915,0.0,0.0
13,0,0,9,0,0.7,407,0.0,0.0,0.0,6.05,194,3,0,2.5,24.4,2024-01-01,81,11,0,0,0,0,20,0,461682,1,2,4,0.0,1,-28887,13270,42157,44,False,0,0,0,0.0,87,DL,Liverpool,Newcastle United,4,2,22088,2023,633778,0.0,0,0,0,0.0,0.3190677165985107,0.3190677165985107
14,1,0,23,0,20.3,407,0.14,0.14,0.0,2.84,209,3,0,5.8,35.6,2024-01-13,90,13,0,0,0,0,21,0,449930,1,3,2,2.0,4,-13090,43387,56477,44,True,0,0,0,0.0,90,DL,Newcastle United,Manchester City,2,3,22100,2023,634951,0.4756621420383453,1,2,0,0.0,0.5776733756065369,0.1020112261176109
15,0,0,14,0,0.3,407,0.0,0.05,0.05,1.44,211,1,0,2.8,23.8,2024-01-30,90,2,0,0,0,0,22,0,477446,1,3,1,4.0,2,23650,40494,16844,44,False,0,0,1,0.0722207799553871,90,DL,Aston Villa,Newcastle United,1,3,22105,2023,637885,0.0,0,0,0,0.0722207799553871,0.4830777049064636,0.4830777049064636
16,0,0,1,0,0.2,407,0.0,0.0,0.0,2.09,229,4,0,0.9,6.6,2024-02-03,63,12,0,0,0,0,23,0,544276,1,4,4,2.0,-1,65859,75735,9876,44,True,1,0,0,0.0,68,DL,Newcastle United,Luton,4,4,22123,2023,638606,0.0,0,0,0,0.0,0.0753553360700607,0.0753553360700607
17,0,0,20,0,2.0,407,0.01,0.01,0.0,1.5,237,2,0,3.6,34.2,2024-02-10,90,16,0,0,0,0,24,0,538788,1,3,2,0.0,1,-5722,26271,31993,44,False,0,0,0,0.0,90,DL,Nottingham Forest,Newcastle United,2,3,22131,2023,640414,0.0,0,0,0,0.0,0.0190574396401643,0.0190574396401643
18,0,0,11,0,0.8,407,0.0,0.07,0.07,2.45,247,2,0,1.7,8.4,2024-02-17,70,3,0,0,0,0,25,0,529351,1,2,2,8.0,1,-4210,27789,31999,44,True,0,0,1,0.0457220077514648,75,DL,Newcastle United,Bournemouth,2,2,22141,2023,641825,0.0,0,0,0,0.0457220077514648,0.2041971981525421,0.158475175499916
19,1,0,12,0,14.3,407,0.05,0.05,0.0,0.29,251,0,0,3.8,24.0,2024-02-24,17,1,0,0,0,0,26,0,512958,0,1,4,0.0,4,-12400,17184,29584,44,False,0,0,0,0.0,14,Sub,Arsenal,Newcastle United,4,1,22146,2023,643545,0.083714336156845,1,1,0,0.0,0.083714336156845,0.0
20,0,2,30,1,21.7,407,0.45,0.81,0.36,0.8,267,0,0,5.8,19.0,2024-03-02,90,20,0,0,0,0,27,0,518327,1,0,3,17.0,8,-6275,12660,18935,44,True,0,0,2,0.1724733263254165,90,DL,Newcastle United,Wolverhampton Wanderers,3,0,22161,2023,644961,0.5308452248573303,0,1,0,0.1724733263254165,1.6884958744049072,1.5825371742248535
21,0,0,7,0,0.6,407,0.0,0.08,0.08,0.79,275,2,0,1.4,9.6,2024-03-11,68,7,0,0,0,0,28,0,520729,1,2,3,4.0,1,1744,17527,15783,44,False,0,0,1,0.0562976002693176,73,DL,Chelsea,Newcastle United,3,2,22169,2023,647850,0.0,0,0,0,0.0562976002693176,0.0463054999709129,0.0463054999709129
22,0,0,15,0,0.3,407,0.0,0.0,0.0,1.42,297,3,0,2.4,23.4,2024-03-30,90,19,0,0,0,0,30,0,526852,1,3,4,0.0,1,17763,39434,21671,44,True,0,0,0,0.0,90,DL,Newcastle United,West Ham,4,3,22191,2023,649403,0.0,0,0,0,0.0,0.3679148554801941,0.3679148554801941
23,0,0,14,0,0.4,407,0.0,0.1,0.1,1.42,310,1,0,3.2,21.2,2024-04-02,90,9,0,0,0,0,31,0,551714,1,1,1,10.0,2,24375,38425,14050,44,True,0,0,1,0.1021678298711776,90,DC,Newcastle United,Everton,1,1,22202,2023,651008,0.0,0,0,0,0.1021678298711776,0.0133180487900972,0.0133180487900972
24,0,0,22,1,0.1,407,0.0,0.0,0.0,1.27,315,0,0,2.0,20.2,2024-04-06,90,10,0,0,0,0,32,0,554456,1,1,0,0.0,6,2524,17080,14556,45,False,0,0,0,0.0,90,DC,Fulham,Newcastle United,0,1,22209,2023,651758,0.0,0,0,0,0.0,0.0726397410035133,0.0726397410035133
25,0,0,18,1,1.0,407,0.01,0.14,0.13,0.73,328,0,0,1.6,8.4,2024-04-13,90,18,0,0,0,0,33,0,574700,1,0,4,7.0,6,19356,34519,15163,45,True,0,0,1,0.0638761073350906,90,DL,Newcastle United,Tottenham,4,0,22222,2023,652917,0.0,0,0,0,0.0638761073350906,0.391651839017868,0.391651839017868
26,0,0,17,0,24.7,407,0.11,0.11,0.0,0.88,284,2,0,5.4,25.2,2024-04-24,90,8,0,0,0,0,34,0,592179,1,0,2,4.0,1,39031,56520,17489,45,False,0,0,0,0.0,90,DC,Crystal Palace,Newcastle United,2,0,22178,2023,656354,0.0668826699256897,0,2,0,0.0,0.0668826699256897,0.0
27,0,0,17,0,0.3,407,0.0,0.06,0.06,1.48,346,1,0,4.1,32.8,2024-04-27,90,17,0,0,0,0,35,0,780868,1,1,5,8.0,2,165385,202594,37209,45,True,0,0,1,0.0943245217204094,90,DC,Newcastle United,Sheffield United,5,1,22240,2023,657007,0.0,0,0,0,0.0943245217204094,0.3437023162841797,0.3437023162841797
28,0,0,11,0,0.8,407,0.0,0.05,0.05,1.08,354,1,0,1.8,12.8,2024-05-04,90,6,0,0,0,0,36,0,997282,1,4,1,4.0,2,213555,228489,14934,46,False,0,0,1,0.0258783660829067,90,DC,Burnley,Newcastle United,1,4,22248,2023,658883,0.0,0,0,0,0.0258783660829067,0.5746396780014038,0.5746396780014038
