assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,0,0,0.0,200,0.0,0.0,0.0,0.0,19,0,0,0.0,0.0,2023-08-20,0,19,0,0,0,0,2,0,499,0,1,3,0.0,0,-179,0,179,50,False,0,0,5,0.4518124759197235,71,FW,Union Berlin,Mainz 05,4,1,23072,2023,605810,0.0,0,0,0,0.4518124759197235,0.2077816426753997,0.074911892414093
1,0,0,0,0,0.0,200,0.0,0.0,0.0,0.0,73,0,0,0.0,0.0,2023-10-07,0,6,0,0,0,0,8,0,359,0,4,1,0.0,0,-8,0,8,50,False,0,0,1,0.0492458008229732,16,Sub,Borussia Dortmund,Union Berlin,4,2,23120,2023,616369,0.0155519498512148,0,1,0,0.0492458008229732,0.0647977516055107,0.0
2,0,0,0,0,0.0,200,0.0,0.0,0.0,0.0,84,0,0,0.0,0.0,2023-10-21,0,1,0,0,0,0,9,0,353,0,2,2,0.0,0,-6,0,6,50,True,0,0,2,0.3696646690368652,41,Sub,Union Berlin,VfB Stuttgart,0,3,23129,2023,618013,0.0,0,0,0,0.3696646690368652,0.3696646690368652,0.0279454104602336
3,0,0,0,0,0.0,200,0.0,0.0,0.0,0.0,115,0,0,0.0,0.0,2023-11-12,0,13,0,0,0,0,12,0,337,0,4,4,0.0,0,-4,0,4,50,True,0,0,0,0.0,80,FW,Bayer Leverkusen,Union Berlin,4,0,23157,2023,624043,0.0,0,0,0,0.0,0.014519159682095,0.014519159682095
4,0,0,0,0,0.0,200,0.0,0.0,0.0,0.0,127,0,0,0.0,0.0,2023-11-25,0,15,0,0,0,0,13,0,331,0,1,4,0.0,0,-5,0,5,50,False,0,0,1,0.4637581408023834,81,AMC,Union Berlin,Augsburg,1,1,23165,2023,624785,0.0234385281801223,0,1,0,0.4637581408023834,0.556942343711853,0.0697456821799278
5,1,0,13,0,13.5,200,0.0,0.0,0.0,0.37,220,0,0,3.3,17.2,2024-01-31,31,13,0,0,0,0,22,0,787,0,1,3,2.0,4,304,365,61,50,False,0,0,0,0.0,29,Sub,Manchester City,Burnley,3,1,22114,2023,637955,0.8729658722877502,1,1,0,0.0,0.0375828817486763,0.0375828817486763
6,0,3,48,0,10.0,200,0.0,1.05,1.05,0.44,225,0,2,12.1,71.0,2024-02-03,27,10,0,0,0,0,23,0,2121,0,2,2,40.0,11,1227,1389,162,50,True,1,2,2,0.551058292388916,23,Sub,Burnley,Fulham,2,2,22119,2023,638587,0.0360083952546119,0,1,2,0.551058292388916,0.5870667099952698,0.0
7,0,0,2,0,12.0,200,0.01,0.84,0.83,2.86,234,3,0,4.5,10.4,2024-02-10,90,11,0,0,0,0,24,0,6611,1,1,3,23.0,2,4133,5156,1023,50,False,0,0,2,0.6074432730674744,90,FW,Liverpool,Burnley,3,1,22128,2023,640112,0.302290141582489,0,1,0,0.6074432730674744,0.9097333550453186,0.0
8,0,0,-3,0,2.6,200,0.0,0.02,0.02,2.42,242,5,0,1.0,0.0,2024-02-17,90,1,0,0,0,0,25,0,14512,1,5,0,7.0,2,7463,9327,1864,50,True,0,0,1,0.0623149313032627,90,FW,Burnley,Arsenal,0,5,22136,2023,641740,0.0,0,0,0,0.0623149313032627,0.0623149313032627,0.0
9,0,0,4,0,1.3,200,0.01,0.06,0.05,2.39,256,3,0,0.7,0.0,2024-02-24,90,8,0,0,0,0,26,0,31159,1,0,3,8.0,2,13616,16730,3114,50,False,0,0,1,0.0380685739219188,90,FW,Crystal Palace,Burnley,3,0,22150,2023,643260,0.0,0,0,0,0.0380685739219188,0.0380685739219188,0.0380685739219188
