assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,30,1,14.4,43,0.1,0.89,0.79,0.64,11,0,1,7.7,44.0,2023-08-20,63,9,0,0,0,0,2,0,233546,1,0,4,19.0,7,-27868,4278,32146,55,True,1,1,1,0.7611688375473022,73,DMC,Aston Villa,Everton,4,0,22292,2023,605743,0.114247016608715,0,1,0,0.0,1.28993558883667,1.1756885051727295
1,0,0,12,0,33.9,43,0.13,0.13,0.0,0.39,25,1,0,4.5,11.4,2023-08-27,85,6,0,0,0,0,3,0,227643,1,3,1,0.0,2,-11185,11671,22856,55,False,0,0,0,0.0,89,MC,Burnley,Aston Villa,1,3,22302,2023,607459,0.1826227456331253,0,2,0,0.0,0.9418538212776184,0.9418538212776184
2,0,0,19,0,2.3,43,0.03,0.03,0.0,2.35,37,3,0,1.3,9.0,2023-09-03,71,11,0,0,0,0,4,0,201684,1,0,3,2.0,2,-26705,3602,30307,54,False,0,0,0,0.0,76,MC,Liverpool,Aston Villa,3,0,21933,2023,609387,0.0,0,0,0,0.0,0.1641972213983535,0.1641972213983535
3,0,3,41,0,20.5,43,0.1,0.89,0.79,1.17,41,1,1,10.1,57.2,2023-09-16,90,8,0,0,0,0,5,0,182436,1,1,3,23.0,10,-21190,3511,24701,54,True,0,1,1,0.7611688375473022,90,DMC,Aston Villa,Crystal Palace,3,1,21938,2023,610467,0.0373753122985363,0,1,0,0.0,0.1377180963754654,0.1003427878022193
4,0,0,9,1,4.3,43,0.08,0.13,0.05,1.35,55,0,0,2.3,14.4,2023-09-24,90,7,0,0,0,0,6,0,201982,1,1,0,4.0,2,16447,25484,9037,54,False,1,0,2,0.047382328659296,90,DMC,Chelsea,Aston Villa,0,1,21947,2023,612754,0.0,0,0,0,0.047382328659296,0.0365375913679599,0.0239686090499162
5,0,2,27,0,19.0,43,0.19,0.33,0.14,1.71,61,1,1,6.9,38.4,2023-09-30,90,5,0,0,0,0,7,0,207818,1,1,6,12.0,8,5517,21234,15717,54,True,1,1,2,0.0492951907217502,90,DMC,Aston Villa,Brighton,6,1,21955,2023,614293,0.0662653148174285,0,1,1,0.0492951907217502,0.7154256701469421,0.6186271905899048
6,0,0,13,0,16.7,43,0.11,0.44,0.33,1.19,80,1,0,4.6,8.6,2023-10-08,90,20,0,0,0,0,8,0,373513,1,1,1,21.0,2,151455,185234,33779,54,False,0,0,6,0.2864953875541687,90,MC,Wolverhampton Wanderers,Aston Villa,1,1,21974,2023,616997,0.0848196074366569,0,1,0,0.2864953875541687,0.793586254119873,0.6960424184799194
7,0,3,54,0,41.1,43,0.07,0.97,0.9,1.15,81,1,2,16.3,90.8,2023-10-22,90,19,0,0,0,0,9,0,362599,1,1,4,31.0,15,-2240,28475,30715,54,True,0,2,3,0.8366490006446838,90,MC,Aston Villa,West Ham,4,1,21976,2023,618971,0.0608512870967388,0,3,1,0.0754801407456398,0.764406681060791,0.6427874565124512
8,1,2,28,0,40.8,43,0.13,0.13,0.0,0.17,92,1,0,8.1,37.8,2023-10-29,89,12,0,0,0,0,10,0,840846,1,1,3,2.0,7,459976,485179,25203,55,True,0,0,0,0.0,90,MC,Aston Villa,Luton,3,1,21987,2023,620446,0.2038964927196502,1,3,0,0.0,0.7944376468658447,0.7752234935760498
9,0,0,14,0,11.6,43,0.18,0.2,0.02,0.41,108,2,0,2.4,8.2,2023-11-05,85,16,0,0,0,0,11,0,1193873,1,0,2,4.0,2,350381,375479,25098,56,False,0,0,1,0.0129347397014498,90,MC,Nottingham Forest,Aston Villa,2,0,22002,2023,622089,0.0,0,0,0,0.0129347397014498,0.5910319685935974,0.5780972242355347
10,0,0,13,0,18.8,43,0.04,0.04,0.0,0.93,112,1,0,2.9,8.2,2023-11-12,90,10,0,0,0,0,12,0,1242292,1,1,3,2.0,2,52547,128310,75763,56,True,0,0,0,0.0,90,DMC,Aston Villa,Fulham,3,1,22007,2023,623901,0.0374317243695259,0,1,0,0.0,0.6730398535728455,0.6730398535728455
11,1,2,29,0,32.3,43,0.12,0.12,0.0,2.32,130,1,0,6.1,28.4,2023-11-26,90,18,0,0,0,0,13,0,1189361,1,2,1,0.0,7,-50426,71945,122371,56,False,0,0,0,0.0,90,MC,Tottenham,Aston Villa,1,2,22024,2023,625569,0.2718904912471771,1,2,0,0.0,0.3055478930473327,0.2657903730869293
12,0,0,18,0,21.1,43,0.07,0.4,0.33,2.02,132,2,0,6.3,16.8,2023-12-03,90,3,0,0,0,0,14,0,1234593,1,2,2,25.0,2,32724,84994,52270,56,False,0,0,4,0.5256865620613098,90,MR,Bournemouth,Aston Villa,2,2,22025,2023,627164,0.0265255961567163,0,1,0,0.5256865620613098,0.6480333805084229,0.1933675110340118
13,0,0,14,1,52.2,43,0.48,0.87,0.39,0.83,141,0,0,10.2,8.8,2023-12-06,90,13,0,0,0,0,15,0,1129020,1,0,1,41.0,3,-102698,32318,135016,56,True,0,0,5,0.8388551473617554,90,MC,Aston Villa,Manchester City,1,0,22035,2023,628059,0.7440377473831177,0,4,0,0.8388551473617554,0.99801105260849,0.1234887391328811
14,0,0,7,1,12.3,43,0.01,0.02,0.01,1.36,151,0,0,2.7,10.4,2023-12-09,90,1,0,0,0,0,16,0,1087573,1,0,1,4.0,2,-42857,48478,91335,56,True,1,0,1,0.0125472014769911,90,MC,Aston Villa,Arsenal,1,0,22045,2023,628935,0.0771402940154075,0,1,0,0.0125472014769911,0.2921309471130371,0.2149906456470489
15,1,3,26,0,34.6,43,0.21,0.25,0.04,0.56,171,1,0,6.6,29.8,2023-12-22,90,17,0,0,0,0,18,0,720394,1,1,1,2.0,8,-12016,48124,60140,55,True,0,0,1,0.018885625526309,90,MC,Aston Villa,Sheffield United,1,1,22065,2023,632463,0.3876603245735168,1,2,0,0.018885625526309,0.039455808699131,0.0205701850354671
16,0,0,7,0,29.8,43,0.09,0.13,0.04,1.04,188,3,0,3.8,4.0,2023-12-26,90,14,0,0,0,0,19,0,823693,1,2,3,4.0,2,97967,116325,18358,55,False,0,0,1,0.0469343625009059,90,DMC,Manchester United,Aston Villa,3,2,22082,2023,633055,0.1050087437033653,0,2,0,0.0469343625009059,0.1683974415063858,0.1214630752801895
17,0,3,32,0,15.3,43,0.04,1.01,0.97,0.98,191,2,1,8.6,43.8,2023-12-30,90,6,0,0,0,0,20,0,853517,1,2,3,27.0,10,30357,77682,47325,55,True,0,1,4,0.9094431400299072,90,MC,Aston Villa,Burnley,3,2,22085,2023,633523,0.0423446334898471,0,1,0,0.1482743173837661,0.3802224695682525,0.3202796280384063
18,0,0,15,1,29.5,43,0.11,0.14,0.03,1.13,207,0,0,4.4,12.0,2024-01-14,90,9,0,0,0,0,21,0,1086813,1,0,0,2.0,3,215976,305484,89508,56,False,0,0,1,0.0173534508794546,90,MC,Everton,Aston Villa,0,0,22098,2023,635206,0.1612793505191803,0,2,0,0.0173534508794546,0.1786327958106994,0.0641598626971244
19,0,0,16,0,46.7,43,0.48,0.48,0.0,2.54,211,3,0,6.2,13.6,2024-01-30,90,15,0,0,0,0,22,0,1022406,1,3,1,2.0,1,-55524,47276,102800,56,True,1,0,0,0.0,90,MC,Aston Villa,Newcastle United,1,3,22105,2023,637873,0.3762646317481994,0,2,0,0.0,0.1070407703518867,0.1070407703518867
20,1,1,30,0,55.5,43,0.45,0.46,0.01,0.22,230,0,0,9.5,32.6,2024-02-03,45,17,0,0,0,0,23,0,963647,1,5,0,7.0,5,-60064,21043,81107,56,False,0,0,1,0.014450104907155,50,DMC,Sheffield United,Aston Villa,0,5,22124,2023,638748,0.8217641115188599,1,4,0,0.014450104907155,0.8215687274932861,0.5082043409347534
21,0,3,33,0,16.1,43,0.07,0.8,0.73,1.8,231,2,1,12.0,46.6,2024-02-11,90,14,0,0,0,0,24,0,923835,1,2,1,57.0,10,-41403,45990,87393,55,True,0,1,3,0.7547752857208252,90,DMC,Aston Villa,Manchester United,1,2,22125,2023,640930,0.0814369842410087,0,1,1,0.7547752857208252,0.4282909631729126,0.2559056282043457
22,0,0,18,0,56.3,43,0.15,0.15,0.0,1.4,244,1,0,7.7,20.4,2024-02-17,90,10,0,0,0,0,25,0,951907,1,2,1,0.0,2,41660,99826,58166,55,False,0,0,0,0.0,90,MC,Fulham,Aston Villa,1,2,22138,2023,641784,0.1985910385847091,0,4,0,0.0,0.405018538236618,0.405018538236618
23,0,3,47,0,10.5,43,0.05,0.6,0.55,2.58,252,2,2,12.2,73.6,2024-02-24,90,16,0,0,0,0,26,0,1121559,1,2,4,38.0,15,129128,169999,40871,55,True,0,2,3,0.8630386590957642,90,MC,Aston Villa,Nottingham Forest,4,2,22147,2023,643179,0.0,0,0,2,0.8630386590957642,1.7417614459991455,1.338725209236145
24,1,0,18,0,14.1,43,0.02,0.06,0.04,2.28,265,2,0,3.2,14.2,2024-03-02,90,12,0,0,0,0,27,0,1428445,1,3,2,4.0,4,322403,344418,22015,56,False,1,0,1,0.0304147731512784,90,MC,Luton,Aston Villa,2,3,22159,2023,645164,0.2814556062221527,1,1,0,0.0304147731512784,0.5502263903617859,0.5502263903617859
